,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRAPPC6A,5.008491392777066,-2.674400678190119,0.5732937965438949,-4.664974040034551,3.086560027792012e-06,0.005006400365078644
HSD17B10,5.048284902567992,-2.2195128898077994,0.6429918149854756,-3.4518524778700885,0.0005567520359292028,0.18061036045543338
MRPS25,3.9477698219647097,-2.3620789558258024,0.6744013758853146,-3.5024824092700046,0.0004609442191088736,0.18061036045543338
SFT2D1,5.01460891815313,-2.1447722980743724,0.6119944256844679,-3.5045618196205175,0.00045735936878463023,0.18061036045543338
KXD1,6.074582929685766,-2.484733103082052,0.6838882075461993,-3.633244550300568,0.00027987952322820666,0.18061036045543338
TTC14,6.234168587570244,-1.9037610094432535,0.5801642545164956,-3.2814172790252876,0.0010328681597171073,0.2413580454439332
NT5C,6.332684824924424,-1.7756449786778175,0.5415141370254374,-3.279037161303893,0.0010416191850231395,0.2413580454439332
CCT3,7.304225043666807,-1.9444892403839453,0.6018932370996937,-3.230621513133687,0.001235213872637235,0.2504396126771994
AP1M1,5.864316600765295,-2.0040148451652446,0.6273058433089002,-3.1946376182222496,0.0014000651694774193,0.25232285609915267
OGDH,5.006314199502879,-1.7641630250116385,0.584993951656969,-3.0156944700278117,0.002563914663945708,0.2601322656897584
JUN,40.20145159151258,2.1652299693015964,0.7089331750432726,3.054208838751879,0.002256549365602928,0.2601322656897584
RSBN1,4.285610295543487,-2.0607193880713734,0.6570806419378129,-3.136174247949315,0.0017116747218828188,0.2601322656897584
FTH1,76.12766786613025,0.9516238719188658,0.31938593437481727,2.97954220739753,0.0028867945637581077,0.2601322656897584
MED1,2.866804254595049,-2.149841401945526,0.7100977412542168,-3.0275288556028195,0.0024656217268135537,0.2601322656897584
SDAD1,3.8127776450212765,-2.1102871442088595,0.6930537980431373,-3.0449110158076222,0.002327491620029659,0.2601322656897584
SYF2,9.269226978968979,-1.5509240726030886,0.5203660952096077,-2.9804479709200953,0.002878271278924562,0.2601322656897584
TAGLN2,39.101843920010545,-1.047545379044074,0.3498178598292186,-2.9945451600312425,0.0027485436477471315,0.2601322656897584
AC079767.4,5.114470615425936,-1.91577914848831,0.6393083300282768,-2.996643495015268,0.0027296973428667525,0.2601322656897584
KANSL1,5.411957006018811,-1.8178112810032454,0.6267234644572073,-2.9004997963138583,0.0037256808034805268,0.31805548753923235
TSN,2.555389401820626,-2.180612319967001,0.7644711631097694,-2.8524454880633474,0.004338425274309398,0.33509170452046877
EIF4A2,14.969773455391806,2.3420820035879526,0.8209165957608022,2.853008473311929,0.004330746679562183,0.33509170452046877
HTT,2.6508371922701843,-2.098776130073533,0.7742450744561384,-2.710738756133256,0.0067133496548947924,0.41880973616305206
KLF2,91.49156254476958,1.3017824434415906,0.47934444022065903,2.715755799404567,0.006612467205302861,0.41880973616305206
ATP5C1,5.15678404458956,-1.7845408246996715,0.6515814692094715,-2.738783880494266,0.00616668960776335,0.41880973616305206
GPATCH4,3.133332647840964,-1.9617551205001946,0.7229951528971751,-2.713372437752977,0.006660220506834395,0.41880973616305206
TOB2,3.2373101325143456,-2.0795564900943253,0.7659251179150304,-2.715091125037403,0.006625753642062524,0.41880973616305206
LRRC14,3.6696469697499507,-1.842825836952496,0.6890129489734313,-2.6745881041831567,0.0074821113579730415,0.4292694653177007
LSM7,15.867147510011705,-1.2591463904423068,0.4721619300003067,-2.6667681370276695,0.007658448738418887,0.4292694653177007
PTP4A2,16.474073918842656,-1.058303523955258,0.3969565981268994,-2.666043413685591,0.007674978109872578,0.4292694653177007
SYMPK,5.497441798124384,-1.7338163323062745,0.6642199591016561,-2.6103044760221086,0.009046166777470234,0.46865297352555785
RAB31,4.637666483541029,-1.8574246423772982,0.7165280866432723,-2.592256573051864,0.009534863209829476,0.46865297352555785
JADE1,3.0737718652558086,-1.9277507367764795,0.7428750800526708,-2.594986409612501,0.009459465928035388,0.46865297352555785
ITGB1BP1,4.398506591410784,-1.8446188216135195,0.7068407311183079,-2.6096668462994606,0.009063043814003344,0.46865297352555785
DNAJB14,2.7929149138645486,-1.9189246096556418,0.7437832711684008,-2.579951289629336,0.009881425217437066,0.47140210890243883
HLA-E,95.0891672644134,0.7278237148114104,0.28379381186817115,2.56462151172451,0.010328840614752009,0.47866798506079306
ACP1,4.684568764662082,-1.6326682323246053,0.6412040948889994,-2.5462535959119865,0.010888605336907123,0.48224457826506534
JUND,70.8811998654981,0.8924150900898082,0.35097444363206287,2.542678266983319,0.011000646976453402,0.48224457826506534
SLC25A36,3.1490071727942124,-1.8922256438553804,0.749097424021163,-2.526007409954626,0.011536704790115523,0.4924351360412468
ADD1,10.376564852609079,-1.2504314856704795,0.5007597305169814,-2.4970687726418044,0.012522466804883252,0.5208061835261701
TRIM22,13.928651799915885,1.7707430988453645,0.7185011086990887,2.464495986723605,0.01372061000746341,0.5563707358026412
DDX5,36.542325564553,1.051327685022862,0.43816761350490635,2.39937332796754,0.016423161016926213,0.5667737695628579
VPREB3,15.67712006885394,1.619349880514514,0.6657404317558034,2.4324042874242893,0.014998955088910077,0.5667737695628579
BASP1,18.409986929161985,1.6042147740548969,0.6684957871594868,2.399738046026265,0.016406808210336524,0.5667737695628579
TMEM259,5.65552909142699,-1.4479264186377165,0.6029865129177281,-2.4012583824329625,0.01633879512097205,0.5667737695628579
AP3D1,3.8092989009049294,-1.6649730360594759,0.6909475519161208,-2.4096952531957143,0.01596585038846161,0.5667737695628579
THRAP3,8.329636103072433,-1.6645596917784946,0.6832428015599742,-2.436263782037639,0.014839858398518972,0.5667737695628579
AKAP8L,1.7817315755894259,-2.166499155259432,0.8984250012026957,-2.4114413026788006,0.0158896092932927,0.5667737695628579
DUSP1,115.86034002676483,0.8041457960825722,0.3381364671168477,2.378169391013033,0.01739883124981217,0.57593682218766
HNRNPA3,10.957209784685432,2.1749929680831634,0.9142074059259273,2.379102328404666,0.01735485750997058,0.57593682218766
ABCF1,3.466442386607191,-1.6220975770401604,0.6865669115766847,-2.362621253207574,0.018146204206642133,0.5773762994650647
IQSEC1,7.779651547103132,-1.613911343884724,0.683149518249735,-2.362456974308713,0.018154248626830027,0.5773762994650647
CNBP,11.767564801744781,1.8454771916266746,0.80291313735708,2.2984767663677355,0.02153466874851978,0.6479273604444141
SP110,10.45865673417707,2.156388010584059,0.9383298301532448,2.298113031567893,0.021555356751785573,0.6479273604444141
NDFIP1,6.10730626145667,-1.5925478637107608,0.6930632595340315,-2.2978391103598272,0.02157094788162661,0.6479273604444141
CD79A,115.11340421167046,0.6977076099756201,0.3110483065128487,2.2430844192582007,0.02489137120682294,0.7247014703166287
PLEKHO1,8.383276561150709,2.3979101596156966,1.0699769657598746,2.2410857769379664,0.025020519320426142,0.7247014703166287
FAM58A,4.5947455728302,-1.4552964302184224,0.6606623249486905,-2.2027840475562854,0.027609973054494648,0.7316799184141721
