,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPA1A,266.013834626867,2.797740262736607,0.5990900742148181,4.669982667303231,3.0122515000427305e-06,0.009301832632131952
FN1,553.460200949508,6.797037325683617,1.4550176630147362,4.671446607459347,2.9908584738539135e-06,0.009301832632131952
PPIF,53.70321041963339,2.4631375679566414,0.5188904319309092,4.746931946289213,2.065254006540483e-06,0.009301832632131952
HSPA1B,72.7196607431324,4.34588073934786,0.9517400959055138,4.566247400991402,4.965327165411406e-06,0.011499697715092816
HEATR5B,19.178597181260113,-1.5801899008100044,0.3612582738465399,-4.374127916807958,1.2191887733815646e-05,0.022589129593213627
FAM110B,6.753036846591095,-2.2356739660397316,0.53323907933611,-4.192629634015527,2.7573941863777707e-05,0.027423869727403554
C6ORF226,21.211201728667053,-1.5375651930512624,0.3640748349123379,-4.223211948778273,2.4084513031151793e-05,0.027423869727403554
UTP14A,14.215349074557736,-2.0093192344381694,0.48037043569761145,-4.182853658594045,2.8787270616233145e-05,0.027423869727403554
CEP290,14.709696976348743,-1.8638458603367736,0.44626960313422787,-4.176501933465029,2.9602622762741314e-05,0.027423869727403554
ZNF212,6.877193661444779,-2.729640536893017,0.637327476787688,-4.282948148809122,1.844331626703411e-05,0.027423869727403554
MEGF8,9.377532503894964,-2.467498059407852,0.5990753008793264,-4.1188445856239495,3.807768407994104e-05,0.03206833321059761
TMF1,33.86386194995459,-1.1485181810383271,0.2818754991527229,-4.07455839365467,4.6101744861821146e-05,0.035590547033325926
ZNF331,111.02839072006974,2.0782644786184763,0.5319902056818914,3.9065840995223025,9.361007212033655e-05,0.06670797754790753
YTHDC2,18.49369251679491,-1.3163480969831687,0.3486866221720045,-3.775160884531509,0.000159904425742002,0.07406773000369532
GABPB2,17.592310977237855,-1.6685349420420827,0.4356800185979355,-3.8297256491394878,0.0001282862021481859,0.07406773000369532
PRKD3,32.50445348570727,-1.3996307844477918,0.36275879759453,-3.8582959082696457,0.00011418035697520446,0.07406773000369532
FAM177A1,29.165382072502325,1.6829885516484138,0.44502450642322894,3.781788479863739,0.0001557056423824384,0.07406773000369532
ARID4A,34.63899076496256,-1.400897862527438,0.369925928513952,-3.7869685646395617,0.0001524963841097969,0.07406773000369532
SIGLEC11,6.942005037169593,-3.0201786960760564,0.7918248262696248,-3.8142005603745157,0.00013662448194960223,0.07406773000369532
CLEC5A,48.357849898601934,3.065758354299273,0.7993386817826844,3.835368441649816,0.0001253762031754315,0.07406773000369532
JRK,6.409682511144187,-2.3834889632899285,0.6420750056045876,-3.7121659346412326,0.00020549318924781683,0.09065185262817978
PALB2,5.333916408295238,-1.998110182561257,0.5455417044577617,-3.662616746316889,0.0002496519119924124,0.10512615057716856
PSMB9,56.69256510712932,1.3227997376473668,0.3670980384050764,3.6033963662527557,0.00031408600936264417,0.11128061435458914
METTL14,17.684747007614053,-1.4585473705019978,0.4043896194367595,-3.606787366435089,0.00031001149767318495,0.11128061435458914
