,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PPIF,53.71917676861039,2.4643525662938233,0.5191833748731376,4.746593757737307,2.0687085448828593e-06,0.009256996776718665
HSPA1A,266.0319682810494,2.798504241032283,0.5990267966998148,4.671751341425671,2.9864236643039516e-06,0.009256996776718665
FN1,554.4130204922368,6.7995951744218734,1.455594789843474,4.671351685143818,2.9922411733817472e-06,0.009256996776718665
HSPA1B,72.71848643009422,4.346601134665236,0.9514475393814966,4.568408613984973,4.9144125439077e-06,0.011402665705001841
HEATR5B,19.176415824134292,-1.5790490524646192,0.3613619496503311,-4.369715887332833,1.2440829281369041e-05,0.023092667312077216
CEP290,14.705107264260143,-1.8627474171987297,0.4461176028198231,-4.175462715267597,2.9738096046840588e-05,0.02759992694107275
C6ORF226,21.207118060910968,-1.5363330389457592,0.3641030715571183,-4.219500352950877,2.4484433984086526e-05,0.02759992694107275
UTP14A,14.214151178572278,-2.0083327960927546,0.480516995889004,-4.179524997606256,2.9211860971137563e-05,0.02759992694107275
FAM110B,6.751016017991234,-2.23418393382238,0.5330985575898779,-4.1909397465321545,2.778014332976677e-05,0.02759992694107275
ZNF212,6.875393493534148,-2.728009516201352,0.637084840140997,-4.282019197941675,1.85204998820122e-05,0.02759992694107275
MEGF8,9.371784648225683,-2.4658400963352505,0.5986543150106296,-4.118971557553156,3.805671124307002e-05,0.0321094851860848
TMF1,33.86054511237278,-1.147266504083147,0.28212483974136676,-4.066520711663972,4.772024591181107e-05,0.036907633525626544
