,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PCNX3,9.732616625819436,-2.8182445575371466,0.6206379641761021,-4.540883284957231,5.6019038547776e-06,0.022071501187823746
CD69,96.26971738912336,1.5347881192265194,0.4103966414101346,3.7397677377498595,0.0001841903683699002,0.2419033504591356
JUN,96.02994474971938,3.230344979689334,0.8581008190455788,3.7645284889510773,0.00016686364437718787,0.2419033504591356
CDKN1B,21.540253662164893,1.4004650982850047,0.40632982517342714,3.4466214673935567,0.0005676433213980226,0.2619042993131474
JAK1,58.72076519219636,-1.0341055570053068,0.28920327244778155,-3.5757048952204524,0.00034928548578924,0.2619042993131474
RHOB,12.546442315963747,2.4278516756197135,0.7027920380345407,3.4545805077837124,0.000551149636664404,0.2619042993131474
PGAP3,6.50122087972326,-2.106704027616272,0.605516891512043,-3.4791829214798584,0.0005029451571981478,0.2619042993131474
RGS1,45.55577045709083,2.1122220348320537,0.5941599776519291,3.554971917124711,0.0003780194624485686,0.2619042993131474
RGS2,32.42707725811388,2.233127746504928,0.6506019119317467,3.432402680579889,0.0005982585517305398,0.2619042993131474
DDHD2,7.869422895474629,-1.8790607274551547,0.5617183172424127,-3.3452010906103946,0.0008222293282760202,0.32395835534075196
HSPA1A,34.90860424637509,3.65758062701941,1.1905543732486406,3.072165966716032,0.0021251153214335424,0.5716481989982919
UBN1,7.664048972080346,-1.6359103492333327,0.5256526323108462,-3.112150969437041,0.0018572949221148788,0.5716481989982919
ZFAND5,14.103708651527036,1.6652313805750438,0.5432963895727608,3.0650514388371946,0.0021763256307041567,0.5716481989982919
GAK,11.909027252807938,-1.401609077037599,0.45424972710712874,-3.0855474277633372,0.002031778176402546,0.5716481989982919
BCL7C,14.082548397675538,-1.2758110937901423,0.40802724017445186,-3.126779215144239,0.0017673259517505364,0.5716481989982919
CCL4,601.8676520711714,0.9761523089645405,0.3206028517953997,3.0447399438215075,0.0023288158246538,0.5734708968209982
RBPJ,11.348905366549497,2.0128574295324233,0.6851167206715927,2.9379773822470705,0.003303611240067333,0.5916467402666041
GSN,11.97448840355927,-1.7692568262802875,0.6012385376529154,-2.9426869960582085,0.003253772120346255,0.5916467402666041
FO538757.1,5.294189545421787,-2.098609244185842,0.7038609336273811,-2.9815680114117975,0.0028677634051984223,0.5916467402666041
RANBP1,12.016498995843648,1.5206862908542391,0.5169045941089344,2.941909025737473,0.003261957408565315,0.5916467402666041
ZFP36L1,39.16823238224101,0.9163560060619299,0.30551931075422833,2.9993390722168867,0.002705660137999153,0.5916467402666041
XPO6,15.838948018508908,-1.24063436185589,0.41926037345531353,-2.95910236312405,0.003085365961921233,0.5916467402666041
SOAT1,7.6512913195154315,1.7108084626106188,0.6096084802878686,2.806405287870574,0.005009763749185474,0.5936363612918198
CHMP2B,7.300091205580921,-1.6494176749788265,0.5705623362906443,-2.890863223994185,0.003841852852510602,0.5936363612918198
LFNG,7.930557629644693,2.062543998465287,0.7322259694884041,2.816813503495864,0.004850268066244425,0.5936363612918198
JUND,123.17431104507229,0.9748091615722346,0.34424149077154775,2.8317596446244666,0.004629263208224324,0.5936363612918198
IDH3B,12.434639554262132,-1.4425636955363657,0.5153463662777777,-2.799211928000297,0.005122750325868497,0.5936363612918198
NFKBIA,101.11997796703908,1.1009927259188634,0.3899966214993983,2.8230827274501458,0.004756429661914946,0.5936363612918198
DDB2,5.731226252463273,-1.7982770161420707,0.6381967857321352,-2.8177469024371518,0.004836191552348866,0.5936363612918198
DERL2,11.675001514337255,-1.3945013557825587,0.48846421338846774,-2.8548690314668645,0.004305457963729651,0.5936363612918198
NCOA2,4.771867719614414,-1.6655347142867352,0.5922780576947073,-2.81208242083019,0.0049221888857655105,0.5936363612918198
YTHDC1,15.47480048915321,-1.301097833637469,0.46455500648936815,-2.800740096355513,0.005098556399569332,0.5936363612918198
FOSB,34.21970511781914,1.3922998200516323,0.48509058852017267,2.870185183965351,0.004102314690216455,0.5936363612918198
SIGLEC7,7.361495552615736,-1.5940488190649391,0.5513515696183191,-2.8911658312108224,0.0038381553343548626,0.5936363612918198
SLAMF6,27.380266345156144,-0.9117220727990782,0.3282669129739457,-2.7773803474108916,0.005479901215720774,0.6168803082839958
BTG2,59.155536107717055,1.5145194860408375,0.5482962032701061,2.7622286585390463,0.005740825757756586,0.6169897830976293
KLF6,140.7375479944218,0.8145709282876578,0.2952185193979924,2.759213513937829,0.005794066491018346,0.6169897830976293
LGALS3,6.256491814500489,2.0277629494348024,0.7379253171817202,2.7479243525336985,0.005997384447351652,0.6206563821889332
ILF3,17.632425082106515,-1.208882784315686,0.4425405943023103,-2.731687894579607,0.006301080022222671,0.6206563821889332
AKAP13,41.285777785989474,-0.8570584569556384,0.3136828729809891,-2.7322449861889044,0.0062904347261553435,0.6206563821889332
CTCF,7.619513203783419,-1.2916305329236362,0.47803051938881347,-2.7019834101283995,0.006892720147154774,0.6623735946290198
AP2B1,28.783816281533277,-0.8507642580665236,0.316808484444587,-2.685421318681037,0.007243842816721693,0.6712171031965702
FOS,137.1966188337599,1.3570835482571024,0.5060582321582607,2.681674680934147,0.007325465847069168,0.6712171031965702
MAP2K7,8.279954969156059,-1.4389430162205428,0.5463828860393839,-2.6335799546196292,0.008448994036273675,0.7082773724025165
HLA-DPB1,31.139598150698763,1.0577600690308053,0.40101744092084174,2.63769093584037,0.00834726194989992,0.7082773724025165
FAM46C,13.813287714570492,1.3207714752404156,0.5002086469729502,2.6404411103909586,0.00827981809641682,0.7082773724025165
HDDC3,5.250490545985494,-1.5497793624955973,0.5866749292044326,-2.641632163483096,0.008250760937482483,0.7082773724025165
RSU1,13.434811765757045,-1.2499709255366502,0.47664278635657087,-2.6224480078495547,0.008730058694181291,0.7165923178140476
ATP6AP2,18.657447485060246,1.1043540870984352,0.44049098935273967,2.5070980196920267,0.0121726950399305,0.7188004611549706
GIMAP1,16.905873954357943,-1.011785996101335,0.39585802968302786,-2.5559314709657244,0.010590397339011688,0.7188004611549706
PYURF,17.48246911255245,-1.1198550840240025,0.44108116170602457,-2.5388866749434493,0.011120583832666424,0.7188004611549706
RAB21,9.368555922578947,1.258026775861044,0.5118402304676152,2.457850518533324,0.01397713381823577,0.7188004611549706
HSPH1,9.862509827664526,2.056240258401738,0.831483113579709,2.4729789755431026,0.013399202545714969,0.7188004611549706
DRAP1,16.549614174899013,1.016975840416758,0.4052516118447684,2.5094924009982975,0.01209048169553182,0.7188004611549706
PPP2R5A,18.55484398103664,-1.0200753906475206,0.41325620532868573,-2.4683849328679717,0.013572428034479405,0.7188004611549706
PTGDS,36.97997567499818,-1.2760370057908963,0.5000874553801757,-2.5516277044398747,0.01072210222034756,0.7188004611549706
DNAJB1,46.93419918029756,1.310866720134511,0.509865451933496,2.5710051841392327,0.010140380898980887,0.7188004611549706
VAV3,9.228193653360767,-1.228184355411348,0.49230909578769555,-2.4947423598709886,0.012604861438243197,0.7188004611549706
RINL,9.17587659063928,-1.1558855634286933,0.4577027901553139,-2.5254064172002595,0.011556455588205785,0.7188004611549706
CRAMP1,5.5449341953739415,-1.607839310371237,0.6445971941807759,-2.494331847681487,0.012619450274929167,0.7188004611549706
OSTM1,6.869294332654596,-1.271016293121303,0.5184666354732932,-2.4514910047413734,0.014226574227848511,0.7188004611549706
PHF20,13.842961781092106,-1.136575203518732,0.4641885015372236,-2.448520805135862,0.014344414544099423,0.7188004611549706
MRPL4,8.1415123380982,-1.6179322107627794,0.6612402215167692,-2.4468145737588776,0.014412496556152964,0.7188004611549706
LPGAT1,7.8418035971851685,-1.228308351311919,0.4935283685244012,-2.488830287475539,0.012816412923958131,0.7188004611549706
ACAP1,24.944326089893675,-0.9244545640636385,0.3670740072895531,-2.5184419100925766,0.011787532556994485,0.7188004611549706
SLC38A2,17.133828926859756,1.2220108896627617,0.46899229552220256,2.6056097324628875,0.00917108916148193,0.7188004611549706
FAM53B,23.555654190698366,-0.946722295538941,0.37657483368922373,-2.5140349562505375,0.011935860258645358,0.7188004611549706
FAM65B,43.35709738607107,-0.7653894392807984,0.31171254243321905,-2.4554335648677803,0.014071475964005844,0.7188004611549706
CCNG1,9.242779111545357,-1.3438439289013633,0.5228044162272868,-2.570452519508047,0.010156574832013557,0.7188004611549706
TCF3,9.951613006749879,-1.341947633186393,0.5280459130501788,-2.5413465004109814,0.011042642253525666,0.7188004611549706
SYNE2,43.316284495815765,-0.7422964676196941,0.2968110886242471,-2.5009054448077466,0.01238762473702878,0.7188004611549706
SPON2,159.72358549063225,-0.9311445779118966,0.376486703775188,-2.473246913038162,0.01338916012119695,0.7188004611549706
CBR4,5.078517029918097,-1.3232171495604674,0.5245754610888173,-2.5224533889061007,0.011653939366144938,0.7188004611549706
RNASET2,10.697803793612904,1.4685228510148007,0.5717381470772699,2.568523472715441,0.010213279498288439,0.7188004611549706
CARD11,20.055837714851545,-0.858406732310958,0.33601839212126033,-2.554642104236905,0.010629703065320477,0.7188004611549706
REL,17.764937897212317,1.2117211035639042,0.46641856513823937,2.597926399445032,0.009378859436463301,0.7188004611549706
CCT5,13.92123596448571,1.2230466296745524,0.4926934809479922,2.4823682004504843,0.013051233911749819,0.7188004611549706
RUNX3,127.60054997806789,-0.617999036220674,0.23845530734608467,-2.59167658333448,0.00955095121109293,0.7188004611549706
RPL29,83.52381786814804,-0.6700075169994565,0.2683447254451745,-2.4968164210715806,0.012531381229698007,0.7188004611549706
DUSP1,213.21708596704823,1.0612756611455187,0.43680094608640685,2.4296551338869583,0.0151131955808936,0.7443248823590098
XCL1,15.596876679689,1.7823742083921774,0.7367817414899972,2.4191346066579684,0.015557482025560421,0.7567466565519513
STAU2,4.577482642772224,-1.629646736855377,0.6775738317841468,-2.4051205350777627,0.016167132367756472,0.7610463193275214
PCSK7,34.064047076919785,-0.7382472647911518,0.3061924009239505,-2.4110567818255926,0.01590637181807794,0.7610463193275214
MLLT6,44.35674220737705,-0.7775097765748277,0.3247606243027775,-2.3941011267731387,0.01666115436210677,0.7610463193275214
MVD,8.942733180828117,-1.3116080484980155,0.5459047489639898,-2.4026316880136442,0.01627757260736591,0.7610463193275214
CASC3,8.349469479369565,-1.2675668973219014,0.5301519335578027,-2.3909502485737857,0.016804829893780297,0.7610463193275214
SIGIRR,34.887442257328004,-0.8458067008958567,0.3533484227913709,-2.3936903247343775,0.016679824992997666,0.7610463193275214
UQCRQ,15.966458115689845,1.0074228668406489,0.4221451081751583,2.386437382149279,0.017012504273374182,0.7616962140578896
PDE4B,4.509364517835061,1.7918644944502828,0.7542560752296817,2.3756712783581286,0.017517060496158893,0.7668579817207337
PSMD7,16.531237353012003,-1.432507581421124,0.6027088411458679,-2.3767820938177144,0.0174644017719269,0.7668579817207337
PI4KA,9.252550865130736,-1.1987364986507987,0.5075603339473305,-2.3617615847324895,0.018188335107530363,0.7789352209094526
SP110,8.25535565289377,1.3211613597553737,0.5591682711755155,2.3627259053485865,0.01814108122134074,0.7789352209094526
FYN,69.1146278864759,-0.5922534297488141,0.25126820160446833,-2.3570568260010263,0.018420427777531917,0.7803923165965135
IER5,16.081193241506057,1.3887696998991612,0.6132754079562805,2.264512292327503,0.023542624585063492,0.7929947314950303
PTCD3,4.1237749496717,1.7650700309963652,0.7601967865010857,2.32185936896728,0.020240509237874366,0.7929947314950303
BORCS7,5.910638501683096,1.7283575669518985,0.753465703454496,2.293876893172058,0.021797571030873944,0.7929947314950303
CHMP3,9.798930391073558,-1.3716722986875838,0.6015504453174509,-2.280228215879257,0.022594156703727226,0.7929947314950303
SGPL1,6.114910360684127,-1.2226562654529387,0.5352098302896535,-2.2844428414015523,0.022345518199244088,0.7929947314950303
STX5,6.194095719067275,1.6443480040616283,0.7164624196004309,2.2950931675923445,0.021727785559294565,0.7929947314950303
IER2,75.4307244317733,1.157108818588471,0.4992485495002555,2.3177009121943954,0.020465581422279278,0.7929947314950303
TMEM261,7.0943043394944425,1.7511340545557228,0.7676213127611307,2.281247309636181,0.022533816687920507,0.7929947314950303
AKAP8,7.451641494330707,-1.398567194840928,0.6119432021750134,-2.285452620226906,0.022286301572390723,0.7929947314950303
DUSP2,127.10659502168345,0.9697725112219374,0.42009438215700196,2.308463413013469,0.02097337551996578,0.7929947314950303
CD3E,21.911758187712152,1.1610977083589304,0.5084728479511131,2.283499921456108,0.022400937479568946,0.7929947314950303
PCBP2,58.511876979160476,-1.014243914454847,0.44790458558030594,-2.2644195819982302,0.023548320706832118,0.7929947314950303
TTC39C,5.815464332549002,1.5387236400247197,0.6762435864417641,2.2753984967474876,0.022882035478118658,0.7929947314950303
LPCAT1,27.67245888156641,-0.9285028792785315,0.39826849562097166,-2.331349050923121,0.019734961733635613,0.7929947314950303
ANXA2R,10.808655176229129,-1.2223977852045191,0.5388195639709992,-2.2686588738457765,0.023289078385812664,0.7929947314950303
HAGH,7.212522688489957,1.4993342026276926,0.6609072212538009,2.268600121789137,0.023292654207197713,0.7929947314950303
RICTOR,14.366799341136415,-1.0238750864480564,0.4516808573261522,-2.2668108905680966,0.023401780557683678,0.7929947314950303
RNPEPL1,27.5031932179513,-0.8386558979692541,0.35973814582679875,-2.331295437245728,0.019737786656771738,0.7929947314950303
CAPRIN1,10.418812518078843,1.1156314800353881,0.4864896515437456,2.2932275671131506,0.02183490683635068,0.7929947314950303
CSGALNACT2,6.770846350497015,1.4951654886575405,0.6385272431310377,2.341584489529297,0.019202079218295576,0.7929947314950303
