,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPA1B,12.491445513741962,4.055639032349599,0.8537744265187621,4.750246559722264,2.0316877890786466e-06,0.013785001648898617
IER2,110.24988430931349,1.617485495442737,0.38464967403943484,4.205087394086574,2.6098129223423665e-05,0.08853790339046479
AHNAK,494.35058824182886,-1.162457077295182,0.30845982031066466,-3.7685850822464197,0.00016417552592121813,0.13924136792193312
STAT1,98.51624858174614,1.7313103482449874,0.4551536995971657,3.8037927622631336,0.0001424974048890298,0.13924136792193312
CDKN1A,24.573705138177612,2.435272922587764,0.644471847306628,3.778711099274916,0.00015764218400181467,0.13924136792193312
VDR,9.745260092039388,4.49807423859833,1.1839445687110703,3.7992270562930717,0.00014514806833381807,0.13924136792193312
SERTAD1,19.5632554831358,2.0540358469678957,0.5226620017223517,3.9299505994297244,8.496331564941627e-05,0.13924136792193312
CRIP1,60.95318062222737,-1.1344326077698197,0.29434026956706844,-3.8541535938606173,0.00011613067772329804,0.13924136792193312
ZNF331,55.9109928449395,1.4401149298014106,0.3880308249266284,3.711341566932776,0.00020616368878561978,0.15542451426782558
CTSL,16.241487170381074,2.7358586949099206,0.7573553009622807,3.6123846910872515,0.0003033940303135602,0.18713895415250056
DNAJB1,241.5622918265108,1.5580615152000967,0.42911396088906817,3.6308805054302975,0.00028245594555677023,0.18713895415250056
JUN,506.12847561909496,2.1619145473975396,0.6131026718378011,3.5261867982357824,0.0004215894952830516,0.2383737271246254
DPP4,35.800667264331864,-1.312378038717455,0.3850394659542563,-3.4084247324230628,0.000653391076858348,0.34101988126799165
CRBN,38.032975935254036,-1.399695359942341,0.4191745819026824,-3.3391704086372798,0.0008402899982882971,0.356335477399131
UBL4A,16.692924210321358,-2.2038244838666525,0.6533034609179015,-3.373354980808222,0.0007425815103239868,0.356335477399131
SH3BP1,30.987756822660344,1.4849112800633124,0.4434895353654872,3.3482442349841963,0.000813253072123487,0.356335477399131
S100A10,252.6065352870961,-0.9097775334834967,0.277081827891128,-3.2834254790645083,0.0010255375453196408,0.3662248549996717
RAB27B,6.7137558442584995,-2.221838811612417,0.6722205993255382,-3.3052227406325594,0.0009490094725689859,0.3662248549996717
LMNA,119.26422380994478,-2.472266035438273,0.7522337187142794,-3.286566360869703,0.0010141687489263027,0.3662248549996717
SDF2L1,26.592316541592833,1.3054693599024305,0.4036315894945307,3.234309191550826,0.0012193736845894539,0.39397383094949734
RALGDS,51.78665321334233,-1.0865788002054708,0.3350131323555326,-3.2433916621881536,0.0011811572077559105,0.39397383094949734
DUSP2,143.5831857061642,1.1663848860402297,0.36427870049270406,3.201902511628155,0.0013652319281231232,0.40274341879632136
MYBL1,26.864700291892532,-1.48751256362312,0.4636896592332756,-3.20799166857153,0.0013366537059807543,0.40274341879632136
RP11-448A19.1,4.097273376336206,-2.4392325821724157,0.772554302799969,-3.157360684332355,0.0015920429028211068,0.4345241950196023
AREG,48.52708065363038,1.38345415256461,0.4383962904682235,3.155715918779855,0.0016010471445084833,0.4345241950196023
METTL7A,9.884197181461515,2.3001305034761574,0.734540903953019,3.1313851837218762,0.0017398380225201997,0.4540308070307521
BTN3A3,21.79719986228702,1.3201050854955034,0.423490804768712,3.11719893473596,0.0018257832384453762,0.45881256566118067
PLEK,7.800542926907645,2.5991889700595476,0.8400296641275677,3.09416331476698,0.0019736880864487365,0.4782669166626671
TRAF1,28.014174294301572,1.4828636681331646,0.4932463672559974,3.0063346971667624,0.0026441777633693176,0.5980248708153606
BTG2,232.85649687317647,1.0626497818739442,0.35251750305122065,3.0144596301635027,0.002574374689780664,0.5980248708153606
PHYH,10.465423830356148,-1.6070002451571725,0.5413699146233861,-2.9683959188517366,0.0029935846520978684,0.6552087698220658
ABCB8,6.253015414094448,-1.8092555537391088,0.6137345388173227,-2.9479448186598334,0.0031989416067392997,0.6782755875539421
MRPS6,32.14952342450724,1.17547404534197,0.40134310436567106,2.928850732840732,0.003402177591856909,0.678934557669092
MAL,69.12982305504075,-0.9093841667569387,0.31028977186883844,-2.9307577922398984,0.0033813630672535427,0.678934557669092
FOXP4,6.276455260167179,2.523596792620753,0.8655713792714358,2.9155270761666148,0.0035508829440003007,0.6849385601972523
HSPA1A,122.40927308603248,3.824053980617293,1.314882513310119,2.9082856771670964,0.0036341618521888107,0.6849385601972523
GADD45A,31.45849502069237,1.6152754070003337,0.5614064504970262,2.8771942423716235,0.004012285327459668,0.6887181175461019
IL10,5.750622194572349,2.8182925811342456,0.9798548688188137,2.876234706606719,0.004024503390475923,0.6887181175461019
JUNB,1046.6348763436777,0.928300245197532,0.3230619666344677,2.87344330522159,0.004060239454951227,0.6887181175461019
RGS2,89.51163221150739,1.3632060970639868,0.4704776550027719,2.8974938183960197,0.003761571510863906,0.6887181175461019
DNAJA1,64.4560335171329,1.404417033820363,0.49053444606899727,2.8630344822365874,0.0041960489571458955,0.6943949310789
MAP3K3,29.58097183215077,1.0494863672472647,0.37946478665085887,2.765701599112765,0.005680048400318996,0.6950309981225469
