,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TNFRSF14,10.379028241270039,-0.16009385503405818,0.379577216805769,-0.4217688732250196,0.6731937275352149,0.9993460400548618
SDF4,4.883124387989252,0.12840000849721286,0.5025542381750026,0.25549482770952303,0.7983409379746877,0.9993460400548618
UBE2J2,3.0614011241246453,-0.4184284378423577,0.6361844819680225,-0.6577155678930721,0.5107209169222244,0.9993460400548618
CPSF3L,2.7320161519127235,-0.990962170077522,0.5593634841571556,-1.7715889544893975,0.07646281454944488,0.9993460400548618
AURKAIP1,6.709538353689082,-0.006803677117671149,0.47731602607262075,-0.014254030340552636,0.9886273143754414,0.9993460400548618
CCNL2,4.005083494161069,0.6503434402164098,0.5052881036796388,1.2870745134912944,0.19806831776601386,0.9993460400548618
MRPL20,8.811055565169742,-0.3224653394689519,0.4363010197280259,-0.7390891262870873,0.45985287921398676,0.9993460400548618
SSU72,6.750192199488039,0.7235492308830793,0.47362623836778095,1.5276797868644003,0.12659206110125654,0.9993460400548618
CDK11B,3.222156749867104,-0.7017966577520867,0.5308086455421854,-1.322127406261909,0.18612572907670488,0.9993460400548618
SLC35E2B,1.5638302917125233,-0.19365129999051925,0.6154973530867468,-0.3146257234403191,0.7530458458638473,0.9993460400548618
CDK11A,3.1880706318398997,0.1713436890196364,0.5423626968453684,0.3159208588943346,0.7520625790349892,0.9993460400548618
GNB1,4.166136965323363,-0.3755827411557932,0.645697799445799,-0.5816695387194366,0.5607892933088232,0.9993460400548618
FAAP20,7.423970292141342,-0.4840240216269984,0.443790292907132,-1.090659325728618,0.27542281442804195,0.9993460400548618
RER1,5.866672031389113,-0.29730853008119784,0.48447274989368877,-0.6136744123305972,0.539430500203838,0.9993460400548618
RP3-395M20.12,2.7359126530332016,0.05135889378634057,0.6034580248636836,0.0851076490331571,0.932175809324183,0.9993460400548618
MT-CYB,621.2351843208592,-0.1679127536371269,0.486355648913207,-0.345246845620769,0.7299088036058059,0.9993460400548618
AGTRAP,2.342134283918498,-0.7189725971593781,0.6150057408468237,-1.1690502208473676,0.24238339808708076,0.9993460400548618
RPL22,200.97017060508912,-0.30157160285839346,0.3135949577393421,-0.961659603943816,0.33622062045785306,0.9993460400548618
ZBTB48,1.7847983855525682,-0.3431420754038507,0.6230050814525554,-0.550785355721023,0.5817808241154229,0.9993460400548618
CAMTA1,5.398318420493244,0.35839119147526044,0.4708572436441322,0.7611461781952067,0.44656976127253656,0.9993460400548618
PARK7,15.575668071390597,-0.28409568071652913,0.45713292398804045,-0.6214728054108867,0.5342885820281567,0.9993460400548618
RERE,5.501833481161548,-0.507588385642652,0.41075497475529066,-1.2357449497600128,0.21655338351936204,0.9993460400548618
ENO1,13.004809079372789,-0.42982159038165985,0.45915422134306544,-0.9361159505936695,0.3492134913819678,0.9993460400548618
SLC25A33,5.8964373747412475,0.5276155475931312,0.46085696374564933,1.1448574918015701,0.25226819513711074,0.9993460400548618
LZIC,1.4215814524316608,-0.22353415438684152,0.6906827107651329,-0.3236423192629393,0.7462088447442163,0.9993460400548618
UBE4B,2.528953157587127,-1.415052013040771,0.6866646025314621,-2.0607615534920996,0.03932579403694632,0.9993460400548618
KIF1B,1.3613292210874532,-0.2318434563996776,0.7276518821384438,-0.31861864456164063,0.7500157134497498,0.9993460400548618
TARDBP,3.235154923698659,-0.06983575515375717,0.7675716901396824,-0.09098271347272915,0.9275063267311522,0.9993460400548618
UBIAD1,3.0647694647047143,-0.2393193972213969,0.5983294150383972,-0.3999793277855791,0.6891717427609118,0.9993460400548618
FBXO44,2.4577100059002723,0.05842272261086917,0.6273913095793404,0.09312006991305158,0.9258081732275132,0.9993460400548618
MAD2L2,2.1384752806654412,-0.10477374438899298,0.6676658196880902,-0.1569254278104869,0.8753036196369087,0.9993460400548618
MT-ND6,12.782302923638516,-0.40860014740582135,0.5694125050572805,-0.7175819704990812,0.47301507769265416,0.9993460400548618
MIIP,2.784495822906161,0.41756377718827337,0.5087706424732011,0.8207308801436357,0.411799577209642,0.9993460400548618
TNFRSF1B,3.9467488339525336,0.30860188210129813,0.48508257366120394,0.6361842268875956,0.5246563526024168,0.9993460400548618
VPS13D,1.5673115134637,-0.5189902944255719,0.6741627867844148,-0.7698293418137535,0.44140113198230324,0.9993460400548618
PRDM2,23.244419681016236,-0.029626183848430052,0.3945288989516254,-0.07509255703994101,0.9401410697276047,0.9993460400548618
EFHD2,3.2523972214861265,0.28731401171751964,0.696120185394271,0.4127362167422134,0.6797998872561624,0.9993460400548618
CASP9,1.967305241788276,-0.31573694361382604,0.5924461068981715,-0.5329378317074406,0.5940766158268744,0.9993460400548618
UQCRHL,8.34107953686611,-0.33350444511681854,0.8479011156910434,-0.3933294094618697,0.6940761994643864,0.9993460400548618
SPEN,4.128939257100287,0.4023542594573562,0.6218690743075953,0.6470079894314531,0.5176267727080721,0.9993460400548618
SZRD1,7.3567067805885635,0.008843660725378953,0.4405830411407208,0.02007263080867045,0.9839854331964932,0.9993460400548618
NECAP2,5.4985394869706266,0.25631689773356126,0.4397798004647251,0.5828300832887402,0.5600076911839922,0.9993460400548618
RCC2,2.5033230629527434,-0.6724134882515965,0.6611287854856651,-1.0170688419770462,0.3091206813811592,0.9993460400548618
UBR4,2.827404606260748,0.34585528785367486,0.5742731233785188,0.6022487798470632,0.5470085498366333,0.9993460400548618
MRTO4,1.8863707474209206,0.1711198854446563,0.6021026454969087,0.2842038425249451,0.7762541709241064,0.9993460400548618
AKR7A2,3.5458196562255804,-0.0573611871109084,0.5601236842479104,-0.10240807293826265,0.918432776085551,0.9993460400548618
CAPZB,17.14893007923088,-0.2645033453255113,0.39649390154972586,-0.6671057090454111,0.5047046137252084,0.9993460400548618
MINOS1,6.6136514548405625,-0.405461587726869,0.6066164724519412,-0.6683985782449906,0.5038792027951804,0.9993460400548618
DDOST,6.246491197429058,-0.31798042498287926,0.4819852317856619,-0.6597306390588429,0.5094267010588739,0.9993460400548618
HP1BP3,8.951944299129526,0.5219903975996153,0.4897819557169434,1.06576077682471,0.28653179578887,0.9993460400548618
ECE1,1.4770030350916863,0.5988539276899288,0.6376887963616187,0.9391005943757127,0.3476790991387303,0.9993460400548618
