,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPA6,8.182781549216331,-5.191681686087567,0.8218875668982861,-6.316778468471553,2.6707199314110563e-10,9.91104166546643e-07
HSPA1B,178.96867880240512,-4.289413947119118,0.7270991399661066,-5.899352249707057,3.649313957994149e-09,4.514201366038762e-06
HSPH1,95.77971101881366,-2.987380043039355,0.5059577930962915,-5.904405631856354,3.5392038641715986e-09,4.514201366038762e-06
HSPA1A,232.69247694617022,-4.22635250028833,0.7270003901860448,-5.813411598316716,6.121230406598315e-09,5.678971509721587e-06
BAG3,6.2179742206725965,-3.512851776842789,0.6297970199927805,-5.577752300071311,2.436462552658463e-08,1.8083425065831115e-05
DNAJB1,198.7651314201967,-3.3947819846745935,0.6182392325926426,-5.491049104791143,3.9955323690819104e-08,2.362562925179294e-05
TNFSF9,12.665457767776806,-4.16824817011627,0.7617779063902356,-5.471736755753327,4.4564646931433734e-08,2.362562925179294e-05
DNAJB4,13.630341847511751,-3.277990323475404,0.6214016581481056,-5.275155417583588,1.3264362596648185e-07,6.153006199520177e-05
NEU1,32.11021200237825,-2.893954505615862,0.5622798899286615,-5.146821996395832,2.6493650864708524e-07,0.00010924215373214814
GLA,47.75755068703082,-3.0467579500617936,0.626724972168235,-4.861395485042101,1.1656111694810523e-06,0.000415677939331561
DNAJA1,158.37875860959426,-2.2199691307016765,0.45768797948215256,-4.850398590789828,1.2321361715567692e-06,0.000415677939331561
SRGN,138.71636882248322,-1.6077615867913062,0.3327913211826434,-4.831140370721779,1.3575324866327652e-06,0.0004198169214911826
ELL2,17.52053902124583,-2.270319664889325,0.4808122637327675,-4.721842257649142,2.3371792354512407e-06,0.0006671747802122733
TNF,24.826920824160684,-2.2705881905959657,0.4833496985456969,-4.697609613552494,2.632239273756703e-06,0.0006977314246365088
HSPA2,4.77421303674119,-3.558973148035991,0.7647587753127038,-4.653719921789397,3.2599954764227137e-06,0.0008065228808669793
INSIG1,19.083149827357513,-1.8893339191009706,0.42098711550232343,-4.487866372933078,7.194002654586892e-06,0.0016685589906982473
TOB1,13.338122732040127,-2.089787515687364,0.4672986615023139,-4.472059707958347,7.746978867419354e-06,0.001691119916293719
EIF2AK3,8.812436223632277,-2.2533168786397777,0.5093461247295542,-4.423940360469442,9.691678518049215e-06,0.0018120888124412034
CHORDC1,28.089271662044368,-1.9396797980105085,0.43767396072937254,-4.43179163498345,9.345330458029745e-06,0.0018120888124412034
IER5,19.522795925811444,-2.899739585335257,0.6557100065423352,-4.422289665253169,9.766040487422276e-06,0.0018120888124412034
SLC38A2,18.50640487823854,-2.128863319726369,0.4844016122143349,-4.394831202139771,1.1085886235737482e-05,0.001959034467658181
TUBB2A,7.9421903432635395,-1.7202226677210104,0.393828929522159,-4.367943893324935,1.2542170146501812e-05,0.0021156360642576467
RP11-138A9.2,13.313124680077363,-2.5567485905655474,0.5910089738781014,-4.326074059059702,1.5179040707178385e-05,0.0021916748698960612
LRIF1,19.360759974307197,-1.6144824510741358,0.3722255995887614,-4.337376184920737,1.4419371320885009e-05,0.0021916748698960612
H3F3C,18.392772590894342,-6.021977755473234,1.3847727659869211,-4.34871186333694,1.3693948799491249e-05,0.0021916748698960612
AP000769.1,9.159071541608679,-2.4402815588775386,0.5644189427436803,-4.3235288082557215,1.5355307630637992e-05,0.0021916748698960612
SGK1,12.95462243221685,-1.8280056127678739,0.4237346601523051,-4.314033721269873,1.6030247910650102e-05,0.00220326851838602
TIPARP,16.10401743156933,-1.8293472531874166,0.43126636893516535,-4.241803639138929,2.2173064930767258e-05,0.0029387229985027605
