,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPA1A,728.4125350860712,-5.257055209148435,0.7575737125569425,-6.939331608280021,3.939593980452575e-12,1.3820095683427631e-08
HSPA1B,463.8084446054351,-5.027545614255711,0.7598730173199492,-6.616297064985573,3.683078857794839e-11,6.460120316572149e-08
DNAJB4,25.035526660134867,-3.6136875636894765,0.5580428574527323,-6.475645222276794,9.440763661707559e-11,1.1039399641756705e-07
DNAJB1,490.71203136959537,-4.1084896447944494,0.6428504967207888,-6.391049965352835,1.647505322765717e-10,1.4448621680655338e-07
HSPB1,126.7817788466519,-2.620778031566948,0.43397424731129414,-6.039017402078787,1.5505552414011184e-09,1.0878695573670247e-06
DEDD2,43.80104106489085,-2.490364920248115,0.4158318170202588,-5.9888753537269315,2.112970157255724e-09,1.2353832186088466e-06
ANKRD37,87.6947852887663,-2.6173324657753994,0.4393281500655515,-5.957579693868629,2.5600088493392587e-09,1.2829301490688742e-06
ZFAND2A,43.75981129815326,-2.9368118079342604,0.5445687202484759,-5.392913141603601,6.932446813651297e-08,3.039877927786094e-05
MAP1LC3B,72.38053773473544,-1.5522375467813296,0.2919271260264931,-5.3172090168847825,1.0537100263210763e-07,4.107127524815929e-05
NEU1,64.81749126746925,-3.3159482144290635,0.6296715761929971,-5.266155151034975,1.3931056087875204e-07,4.442740432387838e-05
GADD45B,174.03997820061596,-2.21475210500262,0.4202893185815623,-5.269589321178098,1.3672932395905834e-07,4.442740432387838e-05
SLC38A2,35.58750363319332,-2.3255279382407092,0.4472271408517736,-5.199881057781036,1.9941609647330443e-07,5.829597220236266e-05
PIKFYVE,46.97364358298533,-2.0324215544743365,0.3920582108977811,-5.183979057141178,2.1720133359600778e-07,5.8610944481138104e-05
IVNS1ABP,35.64771039572325,-2.014095680393823,0.3950479332069649,-5.098357720906343,3.426129048467229e-07,8.584900501445029e-05
SLC20A1,16.927297638093798,-2.5054002313119264,0.49503020994586444,-5.061105728448194,4.1683197356951956e-07,9.448852372940919e-05
CHORDC1,62.46699404942139,-2.519091948518173,0.49836166376697,-5.054746646194841,4.309624799516953e-07,9.448852372940919e-05
JMJD6,16.237220228290102,-2.0213040479570137,0.4101684242258027,-4.927985501985548,8.308178043139142e-07,0.00016191715875184506
DNAJA1,382.6681023202462,-2.8620707451054597,0.5798114288380434,-4.936209606701132,7.965549693391773e-07,0.00016191715875184506
TIPARP,24.473075881308848,-1.820196846616166,0.37032920614580955,-4.915077764348677,8.874722547207558e-07,0.00016385540366107426
ABHD5,27.42414744777252,-2.6134602894211816,0.5346570579541192,-4.888105843812599,1.018107920132952e-06,0.00017427480518605228
IER5,58.53396915629029,-3.8105116710480957,0.7817562067661225,-4.874296664443477,1.0919679094199746e-06,0.00017427480518605228
CD70,53.032963729141365,-1.9990259506160144,0.4101306094130481,-4.8741203527259005,1.0929434760812856e-06,0.00017427480518605228
DNAJB6,105.0445440582678,-2.173293396601906,0.45802594620337744,-4.74491328409788,2.0859567688372996e-06,0.00031815375413396724
MRPL18,71.91151451869996,-2.1844650489389688,0.4677164224326308,-4.670490374439687,3.0048156392593205e-06,0.000439203885938404
CSRNP1,33.53233541787197,-2.1919666055382394,0.47393072255650026,-4.625078099419734,3.7445727927019134e-06,0.0005254384542719325
C3orf58,10.975598906259274,-1.9764087370004044,0.4305277217509467,-4.590665448818008,4.418350590108667e-06,0.0005853452732231632
TAGAP,98.09863090527325,-1.85158755141905,0.40369499942904413,-4.586600166060507,4.505223026518075e-06,0.0005853452732231632
AHSA1,53.70250748822117,-2.1479588124523405,0.4706994430334634,-4.563334085567711,5.034760057813563e-06,0.0006307835101003565
FKBP4,30.771444073945162,-2.321476209564522,0.5097741150394329,-4.5539311257201565,5.265260084409712e-06,0.0006369149095210093
TSC22D2,25.012329866158613,-2.0247977421703602,0.4478408130708321,-4.521244341904388,6.147717651807067e-06,0.000718873117417973
PRNP,34.48243992386176,-2.003883776514261,0.44606751357763846,-4.492332921629549,7.044718178923204e-06,0.0007971893990858903
AZIN1,25.289675224694175,-1.7529733426702034,0.3986873763812692,-4.39686191868241,1.0982716291785154e-05,0.0012039802734869474
P4HA1,16.549286073717433,-1.9404518216141282,0.45263085012041016,-4.287051625177391,1.810602262935732e-05,0.0019247250722359236
RNF138,22.61677858446515,-1.5852491764946144,0.3727658818825025,-4.2526670318886435,2.1123954721687708e-05,0.002179495093049426
PDAP1,21.573374899819733,1.5516027524439318,0.3666671565862413,4.231638216222373,2.3199536075591506e-05,0.002325256358662143
GRASP,23.7171823886829,-2.7202725831952477,0.6556913102223072,-4.148709218478067,3.3435518886246796e-05,0.003258105562582049
IFIT3,18.354827869671155,2.7511763658005437,0.6694775507324481,4.109437818774645,3.966234909288452e-05,0.0037604194761578077
ETNK1,25.198632867242303,-1.27695351921007,0.31267422653757243,-4.083974344001856,4.42719209364876e-05,0.004086997332768382
PPP1R15A,282.0333928704705,-1.9123514036741533,0.46991071054709643,-4.06960590757271,4.709272877168698e-05,0.004235930577719946
CACYBP,77.03576480500072,-1.9526400716566612,0.48310401319292395,-4.0418626596606,5.3028289571370545e-05,0.0046505809954091966
ZC3H12A,23.969407794872062,-1.595337657532546,0.39730252643404157,-4.015422886562986,5.933929889028999e-05,0.005077128305052129
KLF10,15.794626757489748,-2.055242484573199,0.5134341644523216,-4.002932852677458,6.256206278584551e-05,0.005225421815541572
HSPE1,238.94824511680744,-1.7424605337384331,0.4371350859123486,-3.9860916908596526,6.717056321618077e-05,0.005479868273543306
APOBEC3C,19.684176295328324,1.7675839459894376,0.44554715661092736,3.9672207975349614,7.271562063531615e-05,0.005797418117924752
RORA,9.0377614770143,-2.015055937810724,0.5087839416994714,-3.960533681703692,7.478244357801349e-05,0.0058297069349260286
RARA,17.00086868717948,-1.6936310216636603,0.4319745610255593,-3.9206730545492716,8.830199752203377e-05,0.006073792300143028
ZC3HAV1,47.63632691578981,-1.5897577221897523,0.4047865869919156,-3.927397234191218,8.58700920965388e-05,0.006073792300143028
REV3L,23.27950667643126,-1.4275622108633257,0.3631986061426546,-3.9305277793456566,8.475959939527006e-05,0.006073792300143028
RAB8B,22.85962596361444,-1.403936122439528,0.357016493147753,-3.9324125058236516,8.409759293815957e-05,0.006073792300143028
INSIG1,28.42676136189336,-1.793899145124163,0.4571924128459244,-3.923729035566288,8.718879650527818e-05,0.006073792300143028
MX1,45.24271446375255,1.8195306663755426,0.4620826072228697,3.9376739958055906,8.227526969542742e-05,0.006073792300143028
JUN,454.86670221408866,-1.758601803867177,0.44932421416295604,-3.91388166592194,9.082415825315527e-05,0.006127137445232091
MTRNR2L8,29.91507104192746,-2.934537117420016,0.7591438298584258,-3.8655877871882116,0.000110821977401482,0.007335160315554695
ATF3,31.50157764960676,-2.2371562496153214,0.5833428218430693,-3.8350626181479965,0.00012553230882884428,0.00815495072910344
SIRT1,8.888045896686046,-2.337307358035845,0.6102518962143946,-3.8300697999219304,0.0001281069155583583,0.008170891995976743
CDC42EP3,27.765544417071805,-1.9910317879957746,0.5218654038802665,-3.815220884909597,0.000136061171107724,0.008373729618349049
OSER1,40.54076561317913,-1.3977490683460148,0.3662579625434141,-3.8162967397066043,0.0001354695728960031,0.008373729618349049
MT2A,48.96566916751853,2.224110685923493,0.5858282347573025,3.796523543876133,0.00014673943222174728,0.008687798977098633
PKM,72.60607479226583,1.539393519994033,0.4058075900778368,3.7934074118691727,0.00014859405320009065,0.008687798977098633
GOT1,15.178269425962407,-1.4601350500240986,0.3848012548006179,-3.7945173821760467,0.00014793091870876225,0.008687798977098633
ETF1,20.874093406225448,-1.247773472424841,0.3292988461239,-3.789182644008906,0.00015114376209287618,0.008692005203636223
ZFP36,478.9043799257623,-1.742054466913868,0.4612645794227382,-3.7766924767863346,0.00015892475431589592,0.00899206513129295
HSPA4,51.267989752174266,-1.6842332097840214,0.44845287225680847,-3.755652631475483,0.0001728903557831249,0.009476552626362534
GLA,49.157999814023924,-2.4358190748152313,0.6483445038116847,-3.7569826851231056,0.00017197439067296276,0.009476552626362534
RALGAPA1,29.033587116017003,-1.6079026786381956,0.42892067076947116,-3.748718092214267,0.00017774073675026303,0.009592530838768041
ENO1,68.96389532173711,1.5696705993961548,0.4199539942701075,3.7377203713094547,0.00018569630785260645,0.009870040120408234
PAF1,23.175412158182937,-1.4574618297968,0.39157990629532385,-3.7220036226721076,0.00019764818670430732,0.009904997699410143
UBB,432.60837172092505,-1.528871904431169,0.4103140518872764,-3.726101744259026,0.00019446393455968132,0.009904997699410143
LDLRAD4,34.91616024204084,-1.588047656057546,0.42664524221577355,-3.7221735974601575,0.00019751514771317288,0.009904997699410143
CCDC117,7.90426202375491,-1.8841264292780362,0.505085923914791,-3.730308725839471,0.00019124528548994282,0.009904997699410143
ATP1A1,27.285926643216584,-1.5606358123424624,0.42011753902192905,-3.7147599597383185,0.00020339667781042774,0.010049514728999726
DUSP1,583.667029374071,-1.823150372950576,0.49308484544965825,-3.6974374486970754,0.0002177868604712049,0.01061105981295815
MCL1,124.5130573436805,-1.509267702892735,0.4086268302160957,-3.693511025926964,0.00022117891540153345,0.010628707331898347
RHOB,58.704519051453836,-2.177064929571205,0.5909864720534669,-3.6837813258342145,0.0002297994010021657,0.01089373376642699
CDKN2AIP,25.183980096694903,-1.5828857354642174,0.4306710681128914,-3.6753937114932853,0.00023748289709332678,0.01110786670671187
DYNLL1,151.2035742757399,-1.2820971038160147,0.35160744817922307,-3.6463877840337955,0.0002659525385905156,0.012275809281256956
RILPL2,81.59169292176821,-1.5862544215237089,0.435748068817949,-3.6403016674904176,0.00027231880180422394,0.012406420217262567
FASTKD1,7.062843687007498,-1.9226316525131073,0.5292814803053433,-3.632531505549634,0.0002806542966717879,0.012622247086213229
SLC25A4,12.944935011648374,-1.4907488475643347,0.41082788497562667,-3.628645722655308,0.00028491191202901844,0.01265153148604806
HBP1,30.54221807582789,-1.462404997476307,0.40528607318208176,-3.6083277818907344,0.00030817698028134537,0.013513560585336995
MRPS18B,22.79785390158755,1.3169648207403846,0.3653719480596749,3.6044497333037993,0.00031281498195587806,0.013547592058039756
SDHC,22.180861716427152,1.3331165951338437,0.3710287814777282,3.5930274460766243,0.00032685814471347793,0.013814679176564827
ZNF296,15.728991160403186,-1.7885812941712207,0.4976821115600022,-3.5938227487519074,0.0003258615591093573,0.013814679176564827
CD55,203.25743458919177,-1.5393448668086496,0.4306100733054253,-3.5747999460217352,0.0003504957914282431,0.014637371861074722
IFRD1,45.87605417866614,-1.6542990818301424,0.4633324116080845,-3.570436775809787,0.0003563864699326357,0.014708279253219837
HSP90AA1,1162.710644860193,-2.2798960034843945,0.6392378787147791,-3.5665846461856163,0.0003616640252304948,0.014752527912890416
SGK1,21.051444485366233,-1.8185670478743854,0.5124620337720193,-3.5486863963144195,0.00038715787393240605,0.015610917491435406
NUDT4,30.700157157201705,-1.5699787437813457,0.4448486385360974,-3.5292425507871914,0.0004167509754063123,0.016065521117860918
NUCKS1,42.72559878246331,1.3793899500606348,0.39062834625021464,3.5312080224128812,0.0004136662806318446,0.016065521117860918
NUP98,17.046948043634945,-1.2279860886528573,0.34735269719540957,-3.5352714936945815,0.0004073563931988954,0.016065521117860918
CDKN1A,88.74988537107211,-2.0357453996501165,0.5760519590731563,-3.533961420642586,0.0004093808287047581,0.016065521117860918
UBE2B,69.26550326207004,-0.9273471262260136,0.26443308265236476,-3.506925521286399,0.00045331600847565095,0.0172851364970933
HSP90AB1,640.4707322724652,-1.8138987648847407,0.5205372758070617,-3.4846664190809387,0.0004927509330096829,0.018586777129010402
HSPD1,215.72158549625655,-1.9210853463068651,0.554851571720806,-3.462341001123684,0.0005354982120390462,0.01998433753013802
GTF2B,57.52337831411086,-1.4554019152946025,0.42117912363268406,-3.4555414398076336,0.000549188764073559,0.020279517730211
CKS2,91.35389917944852,-1.7179013615252055,0.49807158214863456,-3.4491053557288662,0.0005624472082094975,0.020340874292772343
NAMPT,29.177471062730017,-1.4503128046422842,0.4203754494718244,-3.450041638883793,0.0005605000940942346,0.020340874292772343
H3F3B,996.1575822699017,-1.1330203895296305,0.32901124164722206,-3.443713302491034,0.0005737837888161161,0.020539117664968725
MFSD14A,13.05524881469043,-1.2723919387370164,0.3727626419367857,-3.4134105610100076,0.0006415521267724151,0.022687468885196318
NMI,13.189179523320226,1.5162841472886845,0.44449942347230553,3.411217354218135,0.0006467351449599862,0.022687468885196318
CD83,576.4901906518463,-1.8278557484447735,0.5377885246576896,-3.398837395439464,0.0006767293682209411,0.02350462003682239
FAM49A,26.407562562024292,-1.4348060584526823,0.42281965363163415,-3.3934232860961173,0.0006902488877656965,0.023706313237658327
SRGN,227.053981263126,-1.607957627628552,0.47416579429803346,-3.3911295309882306,0.000696051956521895,0.023706313237658327
SERPINB9,36.248914875940734,-1.4685293196005582,0.4337874566990545,-3.3853660287355174,0.0007108339863584914,0.023976977155246038
LYN,60.895073316653985,-1.5302248998326993,0.45281417711007266,-3.379366144405685,0.0007265317711316025,0.024044089180468502
RTFDC1,19.880456090596862,1.3707150376992157,0.4055347910174493,3.380018356156862,0.0007248098884755068,0.024044089180468502
VAMP5,16.003137557881963,1.9477015723121849,0.5794183128691668,3.3614774145945536,0.0007752669662860947,0.025417163717117944
PCBP1,86.98878732446198,-1.1864411743680965,0.3532400282950863,-3.3587393254792137,0.0007829888881995761,0.025432639072260305
ELL2,19.215237221490028,-1.746157526430116,0.521411393199149,-3.3489055843533992,0.000811314378963297,0.02587355310366587
HMGN2,130.45635890919948,1.0875993367435703,0.32472480559259426,3.349295520429359,0.0008101733228200607,0.02587355310366587
PER1,12.433021750206198,-1.5424785641980114,0.4613189018390053,-3.343627495099513,0.0008269068790375208,0.0261332372221948
NANS,20.41713478072724,-1.2446953576578734,0.37347504954461935,-3.332740324087349,0.0008599516467467317,0.02693491407846013
ZNF267,13.940370155674085,-1.488864752965766,0.4475292074275947,-3.3268549365164013,0.0008783208394470373,0.02726680977681599
TMED5,23.50378754192558,-1.2130993618255852,0.3651063361173638,-3.3225919186338992,0.0008918528216660327,0.027444032442144235
