,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
THSD4,6.040614547027133,-3.0817912399589344,0.7201260112588644,-4.279516628723913,1.872996446155307e-05,0.12621751057309452
SCGB1D2,6.629534772172385,-4.6512522223237305,1.1358851673843053,-4.094826093234887,4.2248539103964696e-05,0.12621751057309452
NOV,32.991993912419396,-3.279822011507338,0.7988769009867303,-4.105541175938717,4.0336942150999755e-05,0.12621751057309452
SCRG1,3.5177497724805638,-3.809948020229432,0.9225057705154621,-4.129999119789326,3.627646232553573e-05,0.12621751057309452
PLEKHA6,2.4821897218386733,-2.86583033576657,0.7255572177437613,-3.949833680489511,7.820551648952288e-05,0.15575932034163306
PIM3,35.4364903250084,1.7098606131081888,0.432599332193479,3.9525271674332076,7.733014630342835e-05,0.15575932034163306
AZGP1,14.01057870784763,-4.840170304752068,1.3238580629634589,-3.65610969949251,0.00025607180790543816,0.38250726305874827
THBS4,164.52431287459999,-2.675836035155107,0.7261719187732815,-3.6848519833641915,0.000228835587152503,0.38250726305874827
CMKLR1,6.081474429861844,-3.0127243368390424,0.8316439077437339,-3.622613367075125,0.00029164157538273254,0.3872352028692949
MAP1B,108.49143085668487,-1.4039888344720393,0.3914702641910219,-3.586450780299749,0.00033520929921631323,0.4005751125634943
BAG3,151.94999858646926,1.916278426400576,0.5502703006416406,3.4824311327834825,0.0004968830072759433,0.5140579187907292
SLC25A33,17.913915670192115,1.5598209871078408,0.45203609303967235,3.450655846127192,0.0005592261878058141,0.5140579187907292
RERG,15.046047289383003,-1.7204947200676672,0.4964372491429186,-3.4656841786913466,0.0005288841422942535,0.5140579187907292
MATN2,12.039293481957419,-2.144700009242407,0.6522102782298245,-3.2883566555611106,0.0010077408746400622,0.6954662086349087
F3,41.522830426453154,-1.9341378421598665,0.5879056322350577,-3.289878062244104,0.001002308079668883,0.6954662086349087
STX3,9.675019110893997,1.3138386506097137,0.39711500065418454,3.3084588807911337,0.0009381095956373806,0.6954662086349087
NGF,4.22626690165181,-3.7910509384379356,1.1567142697303758,-3.2774307688981916,0.0010475641636341721,0.6954662086349087
SCG2,10.404696578729421,-2.205358640888991,0.6701088906245243,-3.291045189437277,0.000998158774182815,0.6954662086349087
PAK3,9.351807084781814,-2.063637606113513,0.6576285413122288,-3.137998849617659,0.0017010554458345764,0.7868908013108197
MAMDC2,3.162762138487037,-1.7779644805978525,0.5705323126670725,-3.1163256508406794,0.0018311992844371723,0.7868908013108197
CILP,317.057400631298,-1.8328022293121589,0.5859436442547153,-3.1279496710701107,0.001760303210729465,0.7868908013108197
DPEP1,21.973114925132116,-2.806723353729046,0.8877019312731402,-3.161785791885852,0.0015680486504767942,0.7868908013108197
FOSL1,7.605915914737053,1.9495474182625308,0.6200223788662871,3.1443178257973274,0.0016647452701019293,0.7868908013108197
AKR1C2,5.693683256368772,-2.1570177649545466,0.6904290205836928,-3.1241701907764408,0.0017830729018165684,0.7868908013108197
FAM129A,11.641598795167786,-2.1014101259951063,0.6634155741939819,-3.167562245653064,0.0015372279796097498,0.7868908013108197
IGKC,954.4410611004234,-5.8194094221783,1.8686035410978867,-3.1143093193322007,0.0018437608733642638,0.7868908013108197
DKK2,8.333883404547974,-1.8969522180585359,0.6010209027267476,-3.156216713016685,0.0015983006033506752,0.7868908013108197
MGLL,14.014155387900148,-1.8796559545740978,0.593277250680977,-3.1682589420318847,0.0015335486529254674,0.7868908013108197
ARHGAP15,3.982644106258136,-2.397762723037965,0.7840302758206911,-3.0582527192946523,0.002226317362055748,0.8868164158855396
NPR3,9.010331315834406,-2.679062039456449,0.8743075561629958,-3.0642100946877733,0.0021824558395410368,0.8868164158855396
