,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCGB2A2,28.042842893314845,-5.082256022822229,1.097481613798005,-4.630834775659061,3.641944128607756e-06,0.01413802710725531
THBS4,130.38676416410652,-3.73370963283783,0.890681927244731,-4.1919674337480135,2.7654570087598252e-05,0.033233275790417495
ELN,132.36814645610963,-2.693944425374035,0.637545960634807,-4.225490539837573,2.3842084141862985e-05,0.033233275790417495
CA12,27.850136055328655,3.688182034421819,0.890168762670972,4.143239112722113,3.4243457795381245e-05,0.033233275790417495
ANXA4,85.69864929612005,-1.088161933338148,0.2688781029168323,-4.047045562779545,5.186814812566439e-05,0.04027043020476583
GXYLT2,27.710431308517467,-1.7621217223084464,0.4434108988466978,-3.9740153588729714,7.067100287681732e-05,0.045724138861300806
BNIP3,43.31819691154987,2.0646909697856115,0.5424558173552863,3.8061919583642765,0.00014112286719612202,0.049803542768667795
IKBIP,57.7747946613321,0.9976836256373911,0.2576299301048747,3.8725454966791273,0.00010770456254060595,0.049803542768667795
COL16A1,71.28435596185433,-1.4058928329782128,0.36522245552231913,-3.849415094062575,0.00011840021539524293,0.049803542768667795
MATN3,45.039950660842415,-2.515544107661037,0.6605025293229622,-3.8085306202226907,0.00013979503734493364,0.049803542768667795
GLS,36.144677910002095,-1.1943289140071907,0.30780311228323065,-3.8801716628134906,0.00010438276773087852,0.049803542768667795
NBEAL1,207.62277723534635,-1.5787252156249496,0.4376442012356657,-3.607325793801222,0.0003093691124942306,0.09809401007966641
SLC6A6,25.72720114412873,-1.2060228964610609,0.33577816730068993,-3.5917251742608545,0.0003284961697670436,0.09809401007966641
MAN1A1,36.97318166477319,-1.102390309937196,0.31021130641933686,-3.5536754693492982,0.0003798876791249537,0.10164706345966543
SFRP4,879.4096921848574,-2.0116281883517293,0.5674711679795507,-3.5448993743841104,0.0003927629963665588,0.10164706345966543
PPA1,116.91712258624759,1.1616658550582815,0.3390611666250154,3.4261247509450867,0.00061225910754556,0.11883949277459319
NOV,28.71397644641893,-3.0078063931504713,0.873023843682178,-3.4452740494055223,0.0005704806895963371,0.11883949277459319
UPP1,29.55461680173918,2.041947842313345,0.5891015419846644,3.4662069215335736,0.00052785686783363,0.11883949277459319
ANPEP,24.740321617933336,1.3468891063099049,0.3907908350593746,3.4465729118372646,0.0005677453401323826,0.11883949277459319
LTBP3,64.72109373448015,-1.2892182565769759,0.37546352518756865,-3.4336711027600533,0.0005954662472045753,0.11883949277459319
CILP,262.0414727708062,-2.4549588598928023,0.7320401295865872,-3.3535850845761934,0.0007977188371748935,0.14638160608301462
ASPN,300.2860606087994,-1.879608493672526,0.5622966120666204,-3.342734872195587,0.0008295711833658736,0.14638160608301462
COPZ2,35.058064289533064,-1.0822604450649875,0.3330677981601364,-3.2493698011137218,0.0011566101130253657,0.16035573067015962
PGAM1,186.11423041490804,0.9899282900073402,0.304411341064782,3.2519428696208554,0.0011461905779333017,0.16035573067015962
POLE4,46.68564408017011,0.9064958171445212,0.2788013832317397,3.251403585724113,0.001148367172469274,0.16035573067015962
LTBP2,70.87128426668929,-1.4848050455495843,0.4544972118555782,-3.266917830997385,0.0010872523266649999,0.16035573067015962
CD82,65.7219473273029,2.026801425211745,0.6147145274770366,3.297142550917602,0.000976739137422316,0.16035573067015962
SHMT2,30.275597243955513,1.1096142923531513,0.3379588317678738,3.283282423923418,0.001026058148190594,0.16035573067015962
IGLC2,70.54109851086143,-3.7076996155237576,1.1583530219996812,-3.2008373484648946,0.0013702885954812029,0.16119576750478878
ITGBL1,100.99362879246095,-1.8997520760055657,0.5876970030789427,-3.2325366065383534,0.001226964145247483,0.16119576750478878
PAM,63.64940876738352,-1.020167142877936,0.31624328503796806,-3.225893453375477,0.0012558009678219262,0.16119576750478878
EDIL3,24.092669044864863,-1.8567659898515638,0.5790959905299486,-3.206318158328777,0.0013444524839647685,0.16119576750478878
SKIL,47.864929366291996,-1.0561317857932742,0.32864759434812163,-3.213569196780918,0.0013109620516651578,0.16119576750478878
NFYB,25.505627962702402,-1.0055062104711014,0.3158593859651145,-3.1833982308259032,0.0014555727096406243,0.16619215467132067
SLC5A3,27.469892262568504,-1.3179027571617359,0.41666711920652993,-3.162963181907544,0.0015617208139853172,0.16840556110808336
