,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCGB2A2,28.076951122407955,-5.085412258105388,1.0963778104412654,-4.638375758497551,3.511579251962002e-06,0.013603858022100797
CA12,27.827359285408612,3.6858123447674855,0.8892065139496139,4.14505774186933,3.397280918415689e-05,0.03290266569485595
ELN,132.3616884343252,-2.6940342366993213,0.6370457782809225,-4.228949203570916,2.347853444622348e-05,0.03290266569485595
THBS4,130.32611743592392,-3.732237480113197,0.8898642441567121,-4.19416501406918,2.7387855996718624e-05,0.03290266569485595
ANXA4,85.70078412490886,-1.088863270827714,0.2689420462751374,-4.0486911061640685,5.1504868604329955e-05,0.03990597219463485
GXYLT2,27.712706487726678,-1.7631292455929004,0.4429996460256165,-3.9799789038453257,6.892138415916571e-05,0.044500240372101325
GLS,36.14217743154251,-1.1952605136079077,0.3076736149760212,-3.884832677969677,0.00010240038725401925,0.049297977037021413
IKBIP,57.756372287759895,0.9963658544249587,0.257402112025338,3.870853454096286,0.00010845497941781767,0.049297977037021413
COL16A1,71.27562164468978,-1.4074660295144812,0.364859850403766,-3.8575525039461938,0.00011452808294610034,0.049297977037021413
BNIP3,43.32088789488576,2.0641960609613395,0.54217115286256,3.8072775544452684,0.00014050502422413542,0.04948331489493642
MATN3,45.01057191497615,-2.5151035834824986,0.659820126707603,-3.8118018558064657,0.0001379574484288763,0.04948331489493642
