,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZBTB2,13.945247042042018,-2.3609113205041155,0.3927962605122491,-6.010523922567975,1.849247175286968e-09,2.3117438938262387e-05
POU2F2,13.282770670175635,2.975769687415806,0.7835473952625506,3.7978170885485323,0.0001459759764506806,0.18066175231662487
DFNB31,5.743355014342355,-2.1861013895522277,0.5864557238567086,-3.7276495063868924,0.00019327390951982918,0.18066175231662487
GLS,48.64236945252678,-1.4378585895899934,0.3803833957521737,-3.7800245900501475,0.00015681287086294064,0.18066175231662487
TDO2,50.28126009664711,5.0037244203269795,1.277700093791181,3.916196331707209,8.99569990974503e-05,0.18066175231662487
TYMS,21.03136720679228,3.074524236500834,0.8258832648009055,3.7227104211174504,0.00019709552899709252,0.18066175231662487
THBS4,22.632542239094008,-2.574155583461502,0.6927043306787516,-3.716095698346791,0.00020232497659649213,0.18066175231662487
SRGN,33.58187698395158,2.4757586232791122,0.6333871000682464,3.9087607294375797,9.2770789131131e-05,0.18066175231662487
APOBEC3C,23.102989011359693,1.7693844580785276,0.4564700109314297,3.876233740893708,0.00010608577905751151,0.18066175231662487
CD52,9.96097074111,3.890963128729559,1.0368813680673126,3.752563454758659,0.00017503550722808184,0.18066175231662487
RAC2,13.402033869143933,4.040841527249074,1.006496602428488,4.014759232668326,5.950650828138792e-05,0.18066175231662487
ANKRD6,7.365559411623031,-2.1482110189581074,0.5647091670283889,-3.804101552419306,0.0001423197897743892,0.18066175231662487
ITGB5,103.17111214358373,-1.5783560625871373,0.3944288569499352,-4.001624208716245,6.290915657018252e-05,0.18066175231662487
MGLL,25.105049640106113,2.3410119389949533,0.5899553146495268,3.9681173825608673,7.244265155041e-05,0.18066175231662487
RABGAP1,25.595224593665833,-1.5074059381828664,0.4170556359721227,-3.6144001139541637,0.00030104384854738164,0.23520932191817612
GXYLT2,34.03802729489669,-1.850163475936624,0.5114453556567449,-3.6175193605206104,0.00029744008799354496,0.23520932191817612
GALNT1,82.89810034235776,-2.0674736534870046,0.5830725609260631,-3.545825669112857,0.00039138503681210177,0.28780613795224025
C15orf48,25.64193056032576,3.695475004726511,1.068171856246258,3.459625886150056,0.0005409263621686316,0.33810602267350315
FOSB,805.7838409411403,-1.8778504073791804,0.5415382357379162,-3.4676229367633944,0.0005250835010299394,0.33810602267350315
MKI67,11.113953881116592,4.436712033927258,1.2786776875442947,3.469765740925675,0.0005209124787525409,0.33810602267350315
KIAA0930,49.26767611234296,-1.0124330656014053,0.2958180003168523,-3.422486341321295,0.0006205121529778709,0.3693820202083983
VAMP8,14.066626030589909,2.474206515307798,0.7338561328831017,3.3715143942278973,0.0007475613208547605,0.3993264271209238
OASL,23.31578535990434,3.2532677943362684,0.9650585951116554,3.371057271356535,0.0007488028910614952,0.3993264271209238
CD55,223.3401761233046,-1.7198003832979891,0.5111509507699477,-3.3645645786385616,0.0007666454084394985,0.3993264271209238
PTGS1,4.238305737099318,4.098948754901992,1.2520796555552482,3.2737124484977502,0.0010614456621353434,0.40936387188134665
PSMB7,115.73415626083357,0.865330020632827,0.2804911631675606,3.0850527013426574,0.0020351608804860615,0.40936387188134665
NEGR1,30.18797321935723,-1.5230469722555033,0.49390814652923765,-3.083664407963646,0.0020446809863708297,0.40936387188134665
EDIL3,37.696828383954944,-2.371148696785437,0.7663479147776109,-3.0940890567615478,0.0019741821682488386,0.40936387188134665
LTBP3,76.14027067195362,-1.1350504729858826,0.3595080892799349,-3.1572320813678916,0.0015927452540263503,0.40936387188134665
GZMA,3.2077734063648324,4.105821482121186,1.3030994837154855,3.1508119935819408,0.0016281725848091677,0.40936387188134665
TMEM117,7.315775862393656,-1.716416711221329,0.5210427134381781,-3.2941957865513505,0.0009870372187891251,0.40936387188134665
HTRA1,324.3188440354069,-1.4422061795857384,0.4508756230797779,-3.1986785396258925,0.0013805901713059708,0.40936387188134665
BST2,507.701240419601,1.5505398266445298,0.48916217073455814,3.1697868711232045,0.0015255078817317227,0.40936387188134665
TK1,6.421443879731922,3.6730188046006123,1.13651319409422,3.23183120414888,0.0012299968984342043,0.40936387188134665
RP11-366L20.2,4.825283268946063,-2.131446845745448,0.6634260859050912,-3.2127872132697077,0.0013145364092063015,0.40936387188134665
TIMP2,363.97329199709714,-1.0251906614268311,0.3198771265261466,-3.204951452954335,0.0013508526274015743,0.40936387188134665
CBX4,16.52360409532786,-1.7277007578340635,0.5325633124022506,-3.244122750478,0.001178129630589556,0.40936387188134665
RP11-437B10.1,5.4574776429599074,-1.7810438869581586,0.5404475523982866,-3.2954981090294693,0.0009824736469711349,0.40936387188134665
AIM2,12.55157157659803,5.23478032021149,1.5995933251451981,3.272569494959801,0.0010657466910623174,0.40936387188134665
SEZ6L2,16.567439286919452,3.0003414536390376,0.9529109610190856,3.1486062983579686,0.0016405104701316348,0.40936387188134665
KIAA0101,5.406438765357188,3.622115803567865,1.1415794534276655,3.1728985597036017,0.0015092524713177504,0.40936387188134665
CXADR,2.396252801147469,3.157348418472841,1.0126644193499772,3.1178625002935547,0.001821677697240569,0.40936387188134665
SLC6A6,33.75593332611077,-1.2809959075981698,0.4152660154433642,-3.084759792420041,0.002037166087126798,0.40936387188134665
ST6GAL2,10.856969414755293,-2.9023965479113096,0.90382906136669,-3.2112228649990113,0.0013217138722740986,0.40936387188134665
CD24,65.55822358004004,4.117027647734808,1.2962970257227757,3.1759909696925206,0.001493255994809893,0.40936387188134665
SCARF2,27.69716011557041,-1.6042412868392473,0.5030154602375484,-3.189248469781916,0.0014264321431843947,0.40936387188134665
ID1,152.00849053295914,-1.7954887243266135,0.556932866964358,-3.2238871699441645,0.0012646321661205797,0.40936387188134665
TPX2,8.848425028758292,3.8036790858215603,1.1852416654656959,3.2092012934147474,0.0013310427053526478,0.40936387188134665
PSPH,9.597750037994773,2.516496794251532,0.8167777864111956,3.0810054290392226,0.0020630288719722294,0.40936387188134665
UBE2C,9.414486856437456,3.7500690284290283,1.17655099765431,3.187340825774269,0.0014358746633605969,0.40936387188134665
PAM,82.8854840839461,-1.0043258185375032,0.31630126604135356,-3.1752190913020137,0.001497234086503652,0.40936387188134665
EGR3,54.76656125202314,-2.0241159052277533,0.6163584587896991,-3.2839914442033797,0.0010234802943072262,0.40936387188134665
C11orf53,4.248573770570692,-2.8903370706765403,0.9234504961653689,-3.129931796754319,0.001748468933696935,0.40936387188134665
AREG,5.879334569373066,2.5906517378093237,0.7826634340902925,3.3100457041544264,0.0009328073855256996,0.40936387188134665
STX3,14.284907459434695,-1.2772662669888117,0.40407770289094,-3.1609422095075215,0.0015725969585025192,0.40936387188134665
CYS1,8.095809277344337,-2.717170596338776,0.8774646385302525,-3.096615495400497,0.0019574359239779363,0.40936387188134665
CCT7,103.13333851161545,0.6814277234267565,0.2200187834415449,3.097134311752068,0.001954013183192037,0.40936387188134665
PRTG,3.8873084032207683,-1.6301384021117293,0.5200283189953288,-3.1347108274047133,0.0017202359298267255,0.40936387188134665
S100A2,14.29087705690282,3.2103527079147676,1.0334048404401472,3.1065779666247892,0.0018926639125348406,0.40936387188134665
CD82,113.19925937902549,2.189612484309985,0.7001966279501242,3.1271394304200415,0.0017651619195678783,0.40936387188134665
P3H3,36.99332636743258,-1.0037980405916433,0.30535753046206715,-3.28728765612132,0.0010115744590285384,0.40936387188134665
CDKN3,12.169230873222455,2.7118874858253887,0.8761105118211755,3.095371473386587,0.00196566543289015,0.40936387188134665
F13A1,14.558926815991827,-2.5412502749332684,0.7954127539958415,-3.194882483549609,0.0013988778821429195,0.40936387188134665
KLHL21,20.410348688028844,-1.0965955844702509,0.3569100093075628,-3.0724708074109324,0.002122945970806321,0.4146710559539034
TNFRSF1B,10.042705065155577,2.1954250452211452,0.716461408098025,3.064261410882261,0.0021820814862659717,0.41869423200218064
BBX,85.19226471247444,0.7945137625848524,0.2596123839900886,3.0603846795505145,0.0022105287026752997,0.41869423200218064
MAD2L1,7.904906761524178,2.4235625432596017,0.7937881274969544,3.0531604836441706,0.0022644480141455854,0.42250544216170094
