,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOD,6.318509811863507,-4.035630396104255,1.0355664702706577,-3.897026904559293,9.738080447905963e-05,0.49294163227299986
AGR2,19.623781476973726,-5.79628410262963,1.4393395864695933,-4.027044178536585,5.6482423060207294e-05,0.49294163227299986
A2M,4.014707274525156,-2.8371875510076014,0.7484166174871948,-3.7909200366681395,0.00015009027411382698,0.5065046450427948
AZGP1,15.492735553076564,-4.263984378231851,1.2050108826010093,-3.5385442901794084,0.00040233977942697856,0.9439920737107752
ICA1,3.9180740918780055,-2.8133051315656097,0.815322202097958,-3.450543998834464,0.0005594579654548253,0.9439920737107752
CRABP2,13.34822305315141,-4.076594007281058,1.169388943280017,-3.486089064470394,0.0004901377893762875,0.9439920737107752
CAV1,3.9127378517015785,-2.5245731844625188,0.7502855644966676,-3.364816416474892,0.0007659460396106748,0.9693047131273089
ZG16B,2.517105533361296,-3.7345469811213508,1.102030202195805,-3.388788232554999,0.0007020220427694342,0.9693047131273089
MT-ND1,1140.8406911983213,-0.20470652948095655,0.4857133512359853,-0.42145543036863997,0.6734225501986043,0.9998232645973151
PRMT2,53.40875894886066,0.2664209052727154,0.2865389520086544,0.9297894872759518,0.3524800904579751,0.9998232645973151
DIP2A,16.807231148235438,-0.580803226351429,0.35638408537858307,-1.629711455084892,0.10316249519299069,0.9998232645973151
PCNT,5.553314338779011,0.35796480047482426,0.4934870062071697,0.7253783705999908,0.4682199385968874,0.9998232645973151
YBEY,10.354004448434816,0.6901355030065195,0.5288666241657225,1.3049329858831529,0.19191566792091608,0.9998232645973151
MCM3AP,7.662719085118329,0.2494924855708764,0.3376989283565615,0.7388015318409544,0.46002752151024817,0.9998232645973151
MCM3AP-AS1,0.7509693903908381,-2.1273257423473413,0.8686396708291745,-2.4490313000748247,0.014324099994723045,0.9998232645973151
LSS,1.6716674374925986,-0.3791827898565669,0.6107519843075558,-0.6208457763530116,0.53470110095535,0.9998232645973151
SPATC1L,4.610280274395996,-0.22410921075565327,0.5054551693189955,-0.44338098482126065,0.6574901874144179,0.9998232645973151
COL6A2,3.5390095898568896,-0.4210092683737511,0.8301679019931789,-0.5071374927444621,0.6120583496933723,0.9998232645973151
COL18A1,2.73313814797452,-0.6254263813777501,0.609330731048781,-1.0264152938770463,0.30469587210542415,0.9998232645973151
POFUT2,4.39754488896578,0.3703731810303509,0.46514866557433426,0.7962468957597437,0.42588854493789396,0.9998232645973151
ADARB1,3.7291248581653607,-0.16422535101053184,0.5528518051043704,-0.2970513065061413,0.7664273390206086,0.9998232645973151
FAM207A,8.260415507567425,0.20296118904602636,0.4203743027931727,0.48281064683890723,0.6292301904345521,0.9998232645973151
ITGB2-AS1,9.406384341929519,0.9602312874875094,0.4815083949365816,1.9942150491768256,0.046128558217482206,0.9998232645973151
ITGB2,104.49011761451195,-0.19369708887293297,0.4288417609289866,-0.4516749685322926,0.6515031535510315,0.9998232645973151
ACAP3,3.512971181262701,0.04745257790726175,0.546206449294733,0.08687663422600184,0.9307695724703946,0.9998232645973151
UBE2J2,15.401001116441797,0.17463237920060395,0.4711002804751588,0.37069045899201575,0.7108680974744056,0.9998232645973151
SDF4,32.95172050206714,0.23773861405951216,0.3875350967055263,0.6134634413258343,0.5395699487848004,0.9998232645973151
TNFRSF4,9.580358801930368,0.37804765727229994,0.5015278144614514,0.7537920058895508,0.45097412491730215,0.9998232645973151
TNFRSF18,24.11915265474757,0.9988115048998879,0.8139117723373109,1.2271741715095241,0.21975713494272453,0.9998232645973151
C1orf159,2.4510156777761756,-0.20421587497644264,0.564029830720174,-0.36206573456530183,0.7173029088024769,0.9998232645973151
AGRN,1.0526195537744434,-0.4519768082024625,0.6827287331425991,-0.6620152137467749,0.5079614715562728,0.9998232645973151
ISG15,177.10265977810818,-0.2277473943531243,0.553746885334949,-0.41128428959986846,0.6808640880485498,0.9998232645973151
HES4,5.542409054172085,-0.27950492091594853,0.8596426151269049,-0.3251408387597055,0.7450744817736966,0.9998232645973151
PLEKHN1,1.8940261932842803,0.41089381705499,0.7260122744347304,0.5659598763325454,0.5714210565490245,0.9998232645973151
KLHL17,0.9206372150777611,-0.5485603006123035,0.6962299404640706,-0.7879010492520069,0.43075458738660644,0.9998232645973151
NOC2L,12.031211309556262,-0.23954828699986916,0.3705566767983976,-0.6464551902547315,0.5179846079092327,0.9998232645973151
LINC00115,2.1060670834825013,-0.20392017516703703,0.5960838899844466,-0.34209979265226886,0.7322757934919296,0.9998232645973151
RP11-206L10.9,2.42194001169013,0.03523226069472253,0.5460265696848798,0.06452481005650623,0.9485523527024581,0.9998232645973151
AP006222.2,2.7355294374949173,-0.10352297140473833,0.7356731557646442,-0.14071870176795914,0.8880921702349384,0.9998232645973151
MT-ND2,1115.3511279601887,-0.26950235987217824,0.47254393699704883,-0.5703223314742506,0.5684590972990362,0.9998232645973151
TP73-AS1,2.022214086741111,-0.6171503960683093,0.6300118699903388,-0.979585346666204,0.3272908409983669,0.9998232645973151
WRAP73,9.587970502048314,-0.12343328474700478,0.40019342828482213,-0.3084340621884374,0.7577520666042554,0.9998232645973151
TPRG1L,3.05755093533071,-0.2518345027515916,0.6796056319772423,-0.37055976422518033,0.7109654551661928,0.9998232645973151
FAM213B,3.897934825242798,-0.0942961042546408,0.6607853918814247,-0.1427030703359766,0.8865246917609225,0.9998232645973151
TNFRSF14,35.79709391101577,0.14967583423802333,0.32927377006163566,0.45456349046571787,0.6494233056166165,0.9998232645973151
RP3-395M20.8,3.955307831541755,-0.29167444667627723,0.5205612777702853,-0.5603076124401787,0.5752696359179139,0.9998232645973151
RP3-395M20.12,5.85197692331957,0.6485126500927315,0.4588891660112997,1.413222839252567,0.1575902131458221,0.9998232645973151
PANK4,2.5265107940090545,1.0319417958531867,0.5400607202552759,1.910788467203111,0.05603177038048906,0.9998232645973151
PLCH2,3.1188252737503888,-0.1066386102137585,0.7227570053702665,-0.14754420838733734,0.8827024882802718,0.9998232645973151
PEX10,3.510424751554558,-0.5811614739467204,0.5724388283613178,-1.0152376903054816,0.30999253827543805,0.9998232645973151
RER1,35.739040774762174,0.08972030854178673,0.38599528628911756,0.23243887096223387,0.8161971608559506,0.9998232645973151
SKI,14.906867184184408,0.15103292986663508,0.5481624829133497,0.2755258423814997,0.7829122744903577,0.9998232645973151
FAAP20,31.086697221604307,0.380834831501695,0.43242512694743224,0.8806954262581304,0.37848269299877746,0.9998232645973151
PRKCZ,6.186728236091936,-0.1339679264772127,0.4621295371310741,-0.2898925857647902,0.7718984139021106,0.9998232645973151
GNB1,22.792835281739755,-0.22807866477253025,0.4263640211484527,-0.5349388162682638,0.5926921660315516,0.9998232645973151
