,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACP5,30.237754631972557,1.966848904205049,0.35404873621153005,5.555305535760859,2.7712658565374605e-08,0.00029034552378942976
IL7R,428.0172860745281,-2.1536433344177404,0.4116785814977339,-5.23137085874747,1.6825756219419974e-07,0.0008814172395543153
ACRC,5.269229565677671,-2.516902666629261,0.4946762243060338,-5.087979860281636,3.61897791387005e-07,0.0012638677201205505
KRT86,44.41271346873266,4.2937717120936405,0.8589958235458949,4.99859439871215,5.774973332406616e-07,0.0015126098900906028
SIT1,45.80192607734937,1.7738201072250959,0.37141320773751935,4.775867067384067,1.7893457136804763e-06,0.003124495840371725
BCL6,6.3460193579108894,-1.943125364303226,0.40556526511526036,-4.791153314747001,1.6582535092229697e-06,0.003124495840371725
AIM1,60.69291460841258,-1.6582924673020853,0.3580267043972065,-4.631756366034422,3.6257667131145747e-06,0.004748394731662675
EZR,243.1615512944162,-1.118782214286509,0.24148895234997947,-4.632850502680993,3.60664989889422e-06,0.004748394731662675
C4orf32,4.663949645895668,-2.1231868895866945,0.46401994739464875,-4.575637106783526,4.747729083243548e-06,0.005526884178349184
MLLT4,3.4794945589753037,-3.619635155084179,0.8107762089816518,-4.464407212479138,8.029073376600615e-06,0.007010050147220387
ELL2,34.41885766284009,-2.03357754053199,0.4552864091913046,-4.466589600476106,7.947638418321128e-06,0.007010050147220387
SNAI1,4.824268790148071,-2.4311664417419077,0.5421362837156519,-4.484419351310276,7.311275161407758e-06,0.007010050147220387
CCR1,5.020531125170105,2.119128707903961,0.4934785513649095,4.294267100449807,1.752713629136328e-05,0.012285346436832725
CD70,16.49175260094562,2.04295025755198,0.4749951832619503,4.300991524845283,1.7003556417777497e-05,0.012285346436832725
EFNB2,1.9154879519509886,-3.3873044010583606,0.7889405530465172,-4.2934849628127045,1.7589023246396e-05,0.012285346436832725
DYNLL2,11.45229293675865,-1.5498310233472954,0.36581355313226777,-4.236669226924243,2.268599547749771e-05,0.014855073413608968
ID1,16.58228378080495,-2.1702357670329357,0.520478902412153,-4.169690177594144,3.050140027469843e-05,0.01775350948211197
FAM104A,15.369893329420997,1.1578164929887729,0.2774646602049277,4.17284310057231,3.0082210700059377e-05,0.01775350948211197
CA2,1.987655285499392,-2.890334297712931,0.7074234628700231,-4.08572015124692,4.39403142018989e-05,0.022279088896176715
UBL3,24.761754796176742,-1.156512263803848,0.2833222446308226,-4.081967744222902,4.4655995687669275e-05,0.022279088896176715
CDKN1C,4.303091500193595,-3.3600645595001524,0.8208267972527182,-4.093512261960969,4.248875959565369e-05,0.022279088896176715
TRAT1,65.98111734607676,-1.107960461522675,0.2747398579100553,-4.032762009673167,5.512509952155506e-05,0.026252075803969654
LY6E,219.5923674904083,1.4112923377949693,0.35467233183245644,3.9791441596342207,6.91637951775552e-05,0.02920546206649608
RTKN2,5.8130428810202845,-2.5082828521700904,0.6306427569441339,-3.977343471483474,6.968946756346302e-05,0.02920546206649608
RP11-25K19.1,11.482190242977708,1.8570567871680788,0.46547837415762966,3.9895661974173793,6.619424426348036e-05,0.02920546206649608
RAB9A,34.0830037298649,-1.0405892757495965,0.26260438619330617,-3.9625738580908796,7.414605847612186e-05,0.029878009794397257
LAYN,10.445521347954626,2.935662068651815,0.7425722541800048,3.9533689174712814,7.705848710106338e-05,0.029901547013253368
POMC,5.378372727386607,2.044149990153099,0.5218587603760485,3.9170560031992103,8.963693079110391e-05,0.03238365944477226
LMNA,146.3293166868326,-1.7630269312574294,0.44967455561093966,-3.9206730940382757,8.83019830510213e-05,0.03238365944477226
CSF1,20.727409016090864,2.1494598547018997,0.5520844953386416,3.893353051661863,9.886810145312112e-05,0.034528036630811665
TADA3,23.11029896989393,1.1823740111731003,0.30529920280504774,3.872836877101571,0.00010757583151324571,0.035220999586383604
CARHSP1,32.45028957684841,1.1440246645153644,0.2952138251518517,3.87524081545606,0.00010651930444169268,0.035220999586383604
TUFT1,2.4927301810612508,-2.6420629168827694,0.6941292149588892,-3.8062983950895215,0.00014106217813683353,0.0447851042527153
KRT81,10.52305652889726,4.841859934081343,1.2776478629602492,3.7896669923299404,0.00015084937423273157,0.04648379099518613
HSPA2,9.27986331966735,-2.1090059406416515,0.5590298134495227,-3.772618006950148,0.00016154351878389515,0.04709795060343147
ABCA5,7.378270166604651,-1.3993375265332009,0.37096342369787616,-3.7721711552696466,0.00016183317950973876,0.04709795060343147
ARPC2,347.39222291669444,0.7528723251419842,0.20089703127273265,3.7475532633426725,0.00017856792607501057,0.049061356635087934
EGR1,65.27011765680354,-1.5322340461152217,0.40896528128649406,-3.7466115492621483,0.00017923931784939704,0.049061356635087934
ZFP57,1.2877206058445774,-2.8911654587625257,0.772644594991018,-3.741908605205652,0.00018262793822357827,0.049061356635087934
EIF4A3,74.7678108627734,-1.6103736906131836,0.43143194738378743,-3.732625041744183,0.0001894945740988751,0.04963336632084786
ST6GALNAC4,6.760977591484053,1.757587261313542,0.4719892919912376,3.723786304343047,0.00019625706422292283,0.050150860045452744
CHST12,60.9704580416497,1.1148666575343067,0.30035453592199585,3.7118355949312027,0.0002057616247567358,0.05132772720419812
A2M,3.8010499122854275,-2.3031313271230545,0.6244461340501272,-3.688278622505126,0.0002257763421374778,0.05376042583123534
SSBP2,13.709369557854746,-2.3289254213675252,0.6307187614296641,-3.692494283963424,0.0002220653335646695,0.05376042583123534
ADRB2,15.816256373388008,-1.3713903355706107,0.37280450181998126,-3.6785777233795947,0.00023453821980070778,0.05460570953004479
PIP,6.480304999049185,-5.138111630762477,1.4022284500902156,-3.664247170589004,0.0002480671428970413,0.055297860768772376
RIPK2,10.312132551960735,-1.2544727142235081,0.34187772359320606,-3.669360790866216,0.0002431577053037407,0.055297860768772376
LRP2BP,1.2456932707509256,-2.279315900731157,0.6273440828488899,-3.6332787110708793,0.0002798424554971912,0.06108144596341818
UBE2S,66.10698614463666,-2.084898879034789,0.579014464517013,-3.6007716677232144,0.0003172741209879321,0.06401833031239189
CDKN2A,14.30361260687065,1.8107579952409634,0.5018206301323882,3.6083769508703876,0.00030811859151832046,0.06401833031239189
TYMS,7.120347354699555,2.7465094354500943,0.7602900580320342,3.612449494025045,0.00030331819710974407,0.06401833031239189
GOLIM4,8.864019661495245,2.1935791108999423,0.6092613790329698,3.6003908771989273,0.0003177391597064406,0.06401833031239189
GLUL,73.50799447447508,-1.3145979415115523,0.3670899762806625,-3.5811327643184203,0.0003421077471344642,0.06637523827273668
CDCA7,6.088183417345217,1.8000310896312406,0.5020738631477477,3.5851917850213537,0.00033683058832463444,0.06637523827273668
CCL3,156.65080879683526,1.6507662939042518,0.4628222632887146,3.566739167157311,0.00036145092658433647,0.06762359567543023
