,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIEN1,570.9336486125637,4.056222440444839,0.6745421802215239,6.01329695811276,1.8178758346463884e-09,4.020232408320488e-06
ANXA6,26.934068701970023,-3.5589162126643212,0.5873383448497305,-6.0593970134452295,1.3663277462741482e-09,4.020232408320488e-06
STARD3,112.93868570257578,4.208563223683955,0.7276951991693774,5.7834148534823235,7.319924604586295e-09,1.0792008842028393e-05
IL6ST,62.36588172508571,-3.9415119740235918,0.7219917095804914,-5.459220544670495,4.782294144301331e-08,5.2880217500611965e-05
CASC3,60.38731900563463,3.799320256938846,0.7737942420916336,4.909987759367336,9.108207821829166e-07,0.000805712063919008
PABPC1,497.12158942797726,1.8703038148516022,0.40592445158073437,4.607517008567338,4.075058800209431e-06,0.003003997512221052
SQLE,140.20837099535368,3.0921230288541897,0.6847703581607348,4.515562030400243,6.314905790150792e-06,0.003453970681083666
TOP2A,164.7042271578772,-1.8500059262850879,0.4117682706187448,-4.4928326398368945,7.028201702408545e-06,0.003453970681083666
HMGA1,101.98507351896464,2.202755325405243,0.4902665570033436,4.492974880581586,7.023507196588523e-06,0.003453970681083666
EFCAB2,11.932887040962111,-2.602145855765978,0.6031523542133114,-4.314243055819526,1.6015067548496563e-05,0.006584693141490136
C20orf96,8.499039293553833,-2.5893817933395735,0.6017909601492285,-4.302792771592106,1.6865858455582416e-05,0.006584693141490136
HIRIP3,38.533150078261585,-2.1151327636898127,0.4930344511385161,-4.290030359553057,1.7864869477251106e-05,0.006584693141490136
PSMD3,181.39638042156983,3.804786615581116,0.9176641554915154,4.146164577544399,3.380908564167452e-05,0.011502891214855877
DTL,19.790464611245206,-2.0961096803857693,0.5112485355442906,-4.099981779222483,4.131826678019052e-05,0.013053620997770191
MSL1,38.93398159644026,2.9042320717158434,0.7192266420339272,4.037992896791003,5.39104851443769e-05,0.01589640505290527
GSDMD,36.96958929359344,-2.234278315994568,0.5623186799654549,-3.9733311298351794,7.08744116063086e-05,0.016498816975510682
VPS37A,27.086435686916595,-2.765027154354484,0.6947442219028245,-3.97992105178132,6.893815852951408e-05,0.016498816975510682
YBX1,223.34379546285322,1.7872024951292194,0.44880202500515226,3.9821622799244327,6.829112382366385e-05,0.016498816975510682
MSI2,32.19383822344521,-1.9458752530629666,0.4886785649548429,-3.98191243203552,6.836296842711101e-05,0.016498816975510682
TIMP1,95.3234166508402,-3.082029183639497,0.7807700154856891,-3.947422573243001,7.899705361073261e-05,0.017470198406013517
DCUN1D5,28.020424752982443,1.7752210735483964,0.45315776659144175,3.917445985536647,8.949208961711623e-05,0.01884873868459548
MARCH3,9.48558530611254,-2.875728347356145,0.7375385457231943,-3.8990888869900973,9.655532706247682e-05,0.01941200961806068
ACSL1,16.154690280658144,3.009778654677491,0.7916289211685276,3.8020069431454595,0.0001435287039891468,0.02658481262545452
NQO1,159.5870181682851,2.6142560058183273,0.6878248667233732,3.800758205023895,0.00014425401379401052,0.02658481262545452
UCHL3,36.579576903103295,2.0344143535679677,0.5457299754644911,3.727877237889309,0.00019309939265406547,0.03416314454835726
CCDC74A,30.767144528550425,-2.7031888218780122,0.739723334519989,-3.6543241178570205,0.0002578603565037802,0.04386601372370077
ZNF331,51.75232878565738,-3.4712155850286295,0.9631173013153597,-3.6041462242323767,0.00031318071128134825,0.04947136735705012
IDH2,136.2344880131219,1.7984513748377884,0.49804228311473175,3.611041543682522,0.0003049698013191845,0.04947136735705012
SSU72,70.78171429319784,1.6727288909071867,0.47637428286703737,3.5113753010341835,0.0004457945538258573,0.06799135557144023
HIP1,10.027989070237822,-2.0169361327338744,0.5762404517545643,-3.5001640835741594,0.00046497185449978094,0.06855235041508437
ID3,78.65135855802284,2.896251482854142,0.8398122359613587,3.4486893127232356,0.0005633144399470391,0.0803722505769598
CDC123,60.31418156190621,1.8709468045661903,0.5531234117529517,3.382512410090923,0.0007182603256230588,0.09927704438221216
IRF1,37.66926706954778,-1.6572024242423984,0.502679595027536,-3.29673700829575,0.0009781504620804612,0.10300855937575905
MTHFD2,123.16755148455334,1.4147273169203691,0.42607160764022456,3.320398007170116,0.000898891972560369,0.10300855937575905
TNFSF10,96.979963572206,2.126777687381566,0.6379070159759485,3.3339932531197523,0.0008560873428936016,0.10300855937575905
MED13L,12.15939837326432,-2.0307828275421334,0.6124871499527217,-3.315633360959313,0.0009143570225902683,0.10300855937575905
APOLD1,5.559609977555458,-2.394671478657404,0.725290269256866,-3.3016732474723396,0.0009610996051035882,0.10300855937575905
PDK2,14.960687694066575,-1.9683049203325818,0.5899841264783678,-3.3361997924951816,0.0008493210255870008,0.10300855937575905
PPA1,134.68466197432718,1.439966377681059,0.4353391409682953,3.307688746934722,0.000940692971592547,0.10300855937575905
NUTF2,65.07688946508698,1.6044398345272775,0.48193914252391573,3.3291336871390533,0.0008711657754540467,0.10300855937575905
RARRES1,8.726802335936672,2.316215084837008,0.6901240557555878,3.3562300364984115,0.0007901281856008795,0.10300855937575905
BTG2,236.9035527343301,-2.9681783523739695,0.894128219744014,-3.319633903539863,0.0009013556603796647,0.10300855937575905
SNX24,9.848603718908482,-2.0202026262614567,0.618261305191642,-3.2675546881188953,0.0010848090555696341,0.10310469367250302
MDM4,24.94865138181228,-1.5730743649797265,0.48133498647249545,-3.2681488135905856,0.0010825343018628566,0.10310469367250302
TKT,93.36024594316451,1.8726822305657598,0.5720567909074235,3.2735949652747287,0.001061887019622799,0.10310469367250302
CLU,147.89349175807965,-2.9193389132030227,0.8941625735346949,-3.2648860504892827,0.0010950812136461812,0.10310469367250302
NAE1,28.891179791844348,1.3583781969806945,0.416074554227562,3.2647471064470865,0.0010956184948242465,0.10310469367250302
TATDN1,55.07816406222239,1.9439775129377408,0.5970596711502293,3.25591830577451,0.0011302626734239385,0.10414899592820999
