,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AGR3,264.9315786663983,-9.038630940494144,0.8754621998930725,-10.32441028475942,5.465360701989811e-25,5.827167580461537e-21
BTG2,281.57517009107244,-4.4053470073444245,0.558020612020914,-7.8945954906399,2.9125832588550432e-15,1.5526981352956235e-11
ANXA9,18.341539798975905,-6.0060110835987945,0.7706497548461197,-7.793437999338688,6.521008603974807e-15,2.3175664578526462e-11
XIST,84.0050228901434,-5.207162194122239,0.6760759860737474,-7.70203690322205,1.3391419783896814e-14,3.569482943397696e-11
SLC16A6,8.311665921552494,-5.815329861448497,0.8678144385861679,-6.701121349078678,2.0682619138842265e-11,4.4103617051667246e-08
YBX1,986.8041775444201,2.840946114300534,0.4380852504858671,6.484916146228906,8.878114853080876e-11,1.5776410093924718e-07
RARRES1,282.5630237462803,6.118097774264444,0.9700318842257876,6.307109976232882,2.84293830726891e-10,4.330201176014446e-07
YBX3,128.69846606554694,3.778775157960601,0.6044810499085026,6.251271497315882,4.0712442847983515e-10,5.425950820565003e-07
RAB11FIP1,60.3136068797381,-2.814427274674972,0.45511470918680863,-6.183995414482963,6.249918377914117e-10,7.404069971702258e-07
TBC1D9,36.87162767901891,-4.3051538289152145,0.7007075304412335,-6.144009650080785,8.046395064538812e-10,8.579066417811281e-07
CAV2,46.6743291490257,6.0816854989656575,0.9923935760050754,6.128299946728549,8.882301894423461e-10,8.60937298166754e-07
FAM198B,9.582547616168931,-4.494095224805277,0.740518799015239,-6.06884690946623,1.2883187821203202e-09,1.1446712379139045e-06
CSRP2,71.43671060657242,5.756931819166864,0.9578693818650613,6.010142852627338,1.8535992323975766e-09,1.5202365396786893e-06
FSCN1,79.34094109626065,6.081911900607466,1.0190656151729631,5.9681259087278695,2.3999414667103404e-09,1.8277268512904035e-06
RP11-53O19.1,17.85425808519467,-6.4792688588694896,1.0934008459761693,-5.925794627573122,3.1079081042558464e-09,2.2091010805050555e-06
AFF3,12.204763455549404,-5.075138962083759,0.86426207128757,-5.872222246803983,4.299917498415644e-09,2.696807080476917e-06
PGM1,39.87428401359149,2.3519373552264016,0.40018177573886876,5.877172569600259,4.173330897131477e-09,2.696807080476917e-06
RASD1,57.18596907299864,-3.75505241053616,0.6687505164594281,-5.615027305573636,1.9653120736970938e-08,1.1641198516532452e-05
CAV1,139.96373650639288,5.817066342556427,1.0506725459438668,5.536516933856582,3.085460202108141e-08,1.7314303513093158e-05
FBP1,43.69447663929489,-4.4066424761889955,0.8197890215083216,-5.37533726431376,7.64394642059459e-08,4.074987836818976e-05
GLRX3,101.26543296438176,1.9886641731879642,0.37382885889729733,5.319718170111402,1.0392811818001072e-07,5.276579028739402e-05
SERPINE2,41.7064717459145,5.806152849270688,1.118804582732019,5.189604099665548,2.1074166236279577e-07,0.00010213307291418766
TUBB6,51.557451420050946,4.942053316627674,0.9609187638971427,5.143050070730718,2.7031354074428004e-07,0.0001253079552789354
CCDC74B,10.833380739809975,-3.8491829148923062,0.7514343363566598,-5.12244746966864,3.0159513170766704e-07,0.00013180014246355883
ANKRD30A,116.09245016266763,-6.788925037005657,1.3265195203254794,-5.117847821296971,3.0904178968195184e-07,0.00013180014246355883
NFATC4,12.123788139517831,-5.354169182965704,1.0542787706192465,-5.078513702614776,3.8039900095997607e-07,0.00014112850453055893
RLN2,5.48180803453418,-4.190342301966966,0.822282689220429,-5.095987495419185,3.469280279234879e-07,0.00014112850453055893
SPHK1,50.99096996736129,4.958205851791126,0.9766415545529618,5.076791816482401,3.8386106090660375e-07,0.00014112850453055893
LY6G6C,5.556589970162247,-5.4992967038310425,1.0821916259718762,-5.081629326869285,3.7421110279135825e-07,0.00014112850453055893
TOP2A,241.418118938649,-1.6391445705648426,0.32378453387824224,-5.062454808855187,4.138921942746581e-07,0.00014421391875715764
ESR1,75.77587567310843,-5.020681590139027,0.9922339034295615,-5.059977866897635,4.1930514738997247e-07,0.00014421391875715764
ARMT1,85.6759634386967,-3.1430291658577723,0.6328633258806549,-4.966363253051708,6.822011771127796e-07,0.00022730090469926426
PLAUR,58.004321663020654,3.5338199665062286,0.7155741666243519,4.938439831019423,7.875006806662262e-07,0.0002544343108261607
FOXP1,60.515140686053776,-1.9457569883796388,0.3949128088389251,-4.927054643024414,8.3478415126799e-07,0.0002617784888476267
ZNF703,39.0479029898843,-3.37200471824007,0.7003108450318697,-4.815011422658487,1.4719147031272063e-06,0.0004129882780195335
WWP1,32.36071779612876,-2.2978442737676867,0.4769032051259121,-4.818261334941143,1.4481461364877597e-06,0.0004129882780195335
SLC4A8,5.199845077018995,-3.309735177469313,0.6861559052119577,-4.82359060430576,1.4099667376860414e-06,0.0004129882780195335
SLC39A6,412.81608757366405,-3.6351428253857287,0.7528692454122826,-4.828385337210938,1.376445519605425e-06,0.0004129882780195335
CCDC74A,37.42496274083975,-3.6050838918112578,0.7557589230161021,-4.770150615521675,1.8408822227905345e-06,0.0005032688784459661
CXCL3,22.01035412951402,5.7055291083397455,1.1993188270349342,4.757308048307285,1.9619166371234118e-06,0.0005229488796252454
EXOC6,16.93566537483581,-2.0028298417232335,0.42268119896294765,-4.738393490501105,2.1541920364088793e-06,0.00056019501200467
MSI2,44.19504086608645,-2.0067521447781136,0.42518073956226293,-4.7197625810711195,2.361200697679426e-06,0.0005854679497362336
FMO5,7.090950332746329,-4.1397580426242,0.8764848781443286,-4.72313686847489,2.32234441744757e-06,0.0005854679497362336
MRPS5,65.01408721082518,1.6339213547061349,0.3473285936031336,4.704252355834241,2.547979311567555e-06,0.0006174217140893925
RNF145,26.184963913090435,3.977789627769105,0.8510579795194896,4.673934941559422,2.9548296783551947e-06,0.000677137136936901
NAT1,16.701463254048715,-4.790525922047756,1.0254016180479872,-4.671853289218788,2.9849414215001266e-06,0.000677137136936901
DTL,28.314819526494038,-1.8366556935478464,0.3927690190177656,-4.676172520279079,2.9227874645376856e-06,0.000677137136936901
STARD10,146.77622019762418,-2.987554674787646,0.6418186237187538,-4.654827024927215,3.2425280762520263e-06,0.0007110088235670318
RHOH,42.163544243338514,-4.1131006353608575,0.8839222471504496,-4.653238051899353,3.2676263697978387e-06,0.0007110088235670318
MAGED2,140.14446545530865,-2.6042137830046923,0.5629170957953405,-4.626282986352053,3.722865550928601e-06,0.000793863850080015
ANKRA2,17.496125322562456,-2.01764040434346,0.44002924276717914,-4.5852416345224585,4.534617005557119e-06,0.0009480016963382354
SLC22A5,9.858437231659058,-2.54902873456692,0.5596407818660712,-4.554758725887373,5.244573905617505e-06,0.0010753393650325739
ACTR3B,29.186571184486144,3.8079097810638807,0.840913643895629,4.528300627188425,5.945994678633242e-06,0.0011961546276148607
ATG16L2,21.915172401167563,-2.8099654944412817,0.6232238318168296,-4.508758091374068,6.520820911818954e-06,0.0012874998622558092
DCUN1D5,76.40306139745333,2.026130552583277,0.45151704343631094,4.487384434401919,7.21029002208024e-06,0.0013977474948258094
SLC7A8,15.722155101714199,-4.403720307024184,0.9822140741952384,-4.483462844525317,7.344139516949081e-06,0.0013982717058876983
C1S,41.38697488247216,4.388490096517868,0.9843375289575969,4.458318379027196,8.260514594030132e-06,0.001518510458647401
EVL,37.43141091669382,-2.7677324180310308,0.6207258505413416,-4.458864433658213,8.239501105886793e-06,0.001518510458647401
TMEM106C,235.35806710744362,-1.3048856197962675,0.29317573290380095,-4.450865038766481,8.552508071259129e-06,0.0015455396789112682
HMGA1,347.69250612830973,2.717521758717069,0.6112760163984091,4.445654149378371,8.762482194739573e-06,0.001557093086005222
DDIT4,373.4025968387893,2.747380035156352,0.6196267011266821,4.433927766767838,9.25316395070737e-06,0.0015912457103619674
PFN2,206.03364406617442,2.6040880709227583,0.5869203004632816,4.43686829177188,9.127710317738655e-06,0.0015912457103619674
TNFRSF18,19.63951549505109,-3.1992626094452667,0.7256925650722728,-4.408564677973031,1.0405794585612101e-05,0.0017610568551078766
SERBP1,335.2941119897823,1.7079689063171908,0.39287948476116613,4.347309983252182,1.3781737731218353e-05,0.0022959513701601574
MRAS,19.783293636105824,4.442107131324897,1.0275308373101222,4.323088874834626,1.5385971583752826e-05,0.0024264444008207835
USB1,29.692885703705933,1.9366276325732028,0.44956483462356384,4.307782734374249,1.6489924103970372e-05,0.0024264444008207835
ZNF552,27.474148664793482,-3.022610628118171,0.7016295851238105,-4.3079862825122985,1.647475998542576e-05,0.0024264444008207835
GADD45G,42.907472536993374,-3.181338283788034,0.7368636322869738,-4.317404393963973,1.5787475507023628e-05,0.0024264444008207835
STC2,61.990053492214095,-4.335512232052114,1.0022841172519616,-4.32563198141772,1.520951694894101e-05,0.0024264444008207835
PTRF,40.834000833326016,4.139764967552237,0.9580373492887699,4.321089329790248,1.5526079747629473e-05,0.0024264444008207835
SLF1,22.377355628785242,-1.839479810020591,0.4269165740960011,-4.30875707722452,1.641745697435646e-05,0.0024264444008207835
COX6C,2372.4273677577967,-2.7563595315088785,0.6393048633356353,-4.311494702429298,1.6215466016735868e-05,0.0024264444008207835
CDK6,23.130713032459372,4.705081778768409,1.0926464018271689,4.30613396145393,1.6613247163751378e-05,0.0024264444008207835
NDUFA2,226.896108999527,-1.2651227632685151,0.29448331188184607,-4.296076253638826,1.7384780342724728e-05,0.0025048179461369066
FOSL1,25.62493943733931,4.713069621040075,1.102288670116826,4.275712659316874,1.9052683216317464e-05,0.0027085294460316906
RRAS2,15.459189205490228,3.5904324842685256,0.8403078791462716,4.272758322718931,1.9306968065809143e-05,0.0027085643883902246
HIRIP3,56.579617331459524,-1.6580809684670446,0.3886420352128744,-4.266344909291269,1.987015121075213e-05,0.0027513708079096
SSU72,161.527242881246,1.621598702399925,0.3804875517459312,4.2618968609063455,2.0269899608591107e-05,0.0027707393541897226
ZMYND10,19.345869731233186,-3.7736440862592833,0.8880584997108794,-4.249319259359433,2.1442113647006095e-05,0.002893871084865557
TXNIP,116.84303820687806,-2.349837705103231,0.5576796793813026,-4.213597504054968,2.5133501168000788e-05,0.0033083134500398073
KIF13B,12.370135604045634,-2.0842259638837337,0.4943935622648371,-4.215722296900084,2.4897999585455385e-05,0.0033083134500398073
IL6ST,87.938223764831,-2.4977445795636855,0.5944317429696453,-4.201903093340075,2.646804407011615e-05,0.003401272291728906
CYB561D2.1,5.1406518586226655,-3.9091499931559692,0.9303467926354113,-4.201820250363249,2.6477734028653084e-05,0.003401272291728906
THSD4,10.474852512889994,-2.9514510846640167,0.7044678674713082,-4.1896177539768695,2.7942475150854027e-05,0.0035466984530762575
MOCOS,17.00806684372069,3.1982945623389787,0.7715994922108799,4.145019008728012,3.397855221997894e-05,0.004262109691404887
INPP4B,16.97062612597367,-2.822956505878782,0.6819737327000466,-4.1393918424133895,3.482277264384329e-05,0.004317213975914618
RRM1,84.77602987320252,-1.3377726743630107,0.3256526596830495,-4.107974047148993,3.9914494217061445e-05,0.004702700101318907
SUSD3,34.46420196005796,-4.1052601034392096,0.9996691946066042,-4.106618595019061,4.014933645469853e-05,0.004702700101318907
FAM136A,99.87282989122333,1.4834403214617853,0.361447917390597,4.104160655209178,4.05785414857756e-05,0.004702700101318907
LYRM9,3.785084472119863,-2.5858524625639645,0.6288501017942314,-4.112033146191796,3.9218997444114774e-05,0.004702700101318907
IL15RA,16.11813704530961,5.2295488734830755,1.2733084349429848,4.107055863269484,4.007343355472203e-05,0.004702700101318907
ARMC10,82.8806394019275,1.6732483819238266,0.40765556404166337,4.104564072018447,4.050779950943333e-05,0.004702700101318907
FHL3,13.688585048094591,3.1344292702057874,0.7652650409164955,4.095874112388484,4.2057844053658496e-05,0.004821728315054913
GATA3,198.13402031050057,-2.667751793354315,0.6526747551275135,-4.087413788255246,4.3620869374382386e-05,0.004895639044943842
KCNN4,32.84777870070496,3.7492056869869548,0.9168661520515144,4.089152684498167,4.3295180730943406e-05,0.004895639044943842
FTL,2167.3748009063333,1.8519618662186874,0.45366131509931307,4.08225653054254,4.4600526301616735e-05,0.004953445952373309
ZNF467,4.152825202577999,-2.9055976660631098,0.7123607789454931,-4.078828806892293,4.526315116534362e-05,0.004975213584792719
ZNF331,67.0200939202055,-3.108529971422657,0.7664617829133837,-4.055688151347717,4.998691527737051e-05,0.00543837235395229
CENPA,84.76105197142446,1.5648741214845645,0.38626614403715964,4.051284705226509,5.0937182283171166e-05,0.005485780176799707
PTPN13,9.31779896783982,-2.7791640927337187,0.6880714215517656,-4.039063396160298,5.366506039478385e-05,0.00552375877432571
CRIP1,69.64291041620824,-3.204445606481594,0.7922405767327014,-4.04478854099739,5.237037211843724e-05,0.00552375877432571
MET,12.353070332646446,4.620772962334266,1.141689982572469,4.047309718810608,5.1809668378131044e-05,0.00552375877432571
