,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2,577.1343742680821,-6.080399083948427,0.6669585867746654,-9.116606644728174,7.751332099064923e-20,4.521352013384569e-16
MIEN1,1812.767182366226,-4.538429063359189,0.6355313903744263,-7.141156411936399,9.25489649041887e-13,2.6991905614306635e-09
GRB7,482.79785065531274,-6.162644197713474,0.9041738131566449,-6.815773812557673,9.375771286159914e-12,1.822962463739026e-08
STARD3,367.8131066490258,-4.382550192832259,0.6984294251810851,-6.274864767755131,3.4993830920152147e-10,5.102975393931187e-07
PGAP3,95.5700389326705,-5.076411170787973,0.8394925850059491,-6.046999415429023,1.4756829308680084e-09,1.7215317071506184e-06
MSL1,114.54621491904273,-3.826971408075452,0.6901702533625006,-5.544967186618804,2.9400930218363146e-08,2.858260432728537e-05
CASC3,193.84858978199563,-4.1800501329011865,0.7591352902916026,-5.506330935155875,3.663894887802368e-08,3.0530712686501733e-05
FSCN1,218.6389150766221,6.160024854459018,1.1545215146675951,5.3355652330416605,9.524737755652372e-08,6.944724416090036e-05
LGALS3BP,176.29818914090495,4.283872899301433,0.8137717426477442,5.264219282624789,1.4078633278686241e-07,9.124518657175205e-05
C1S,107.75777941973506,7.348468832571818,1.453022117941907,5.05736887404051,4.2508051733070846e-07,0.00024794946575900224
EFEMP1,145.99016353211243,6.42351745029572,1.2876058822751835,4.9887295007890495,6.077767818955757e-07,0.00032228745170880847
SQLE,471.9229539072747,-3.0706600578972414,0.6249835111331383,-4.913185713219733,8.960832402838599e-07,0.00043557112838131284
PTRF,108.37774047522727,5.608509913368883,1.1634875299541587,4.820429758787237,1.4324928894294482e-06,0.0006427485403109208
VIM,3625.530389440773,7.246189867867616,1.5679805246369936,4.621351958147055,3.8124734406681863e-06,0.0015884398271012524
CAV1,159.45807512857584,4.968521876007342,1.0994686034523955,4.51902115295143,6.2126188321295945e-06,0.002415880376520795
MSN,79.92295295110445,3.072421409939379,0.6891456928370905,4.458304596363021,8.261045646127395e-06,0.0030116674533663184
XBP1,812.8796650875876,-2.6348518627790942,0.6111731639606142,-4.311138018077135,1.6241648506652254e-05,0.005426696806873144
SPHK1,139.88023713072394,4.59382168906645,1.0672461162344624,4.304369553739596,1.6746192786510645e-05,0.005426696806873144
PSMD3,613.3876012273969,-3.6414080188154423,0.8787554289286159,-4.143824207441961,3.415616127566001e-05,0.010485941511627624
FBXO32,73.89309915003695,-2.4067974865079718,0.6038937897685981,-3.9854648736000677,6.734814033000073e-05,0.01785644102476792
USP6NL,80.01920026841633,-2.7404924510669346,0.6842157936434916,-4.005304286347502,6.193769807832357e-05,0.01785644102476792
FN1,108.72096797234623,4.978261860496392,1.2459877473771552,3.995434040965327,6.457583463359718e-05,0.01785644102476792
CAMK1D,33.66329191385942,-4.4090542188331865,1.1103543611481936,-3.970853245691653,7.16156852448312e-05,0.018162360523178277
SORBS3,79.45821494446095,3.823303358509894,0.9729424221252322,3.9296296179156402,8.507680651703538e-05,0.020677208850577805
MRAS,53.646097105924746,4.123817791143939,1.0540169524856202,3.912477670704447,9.135398746981308e-05,0.021314712356456787
MTSS1,126.57453100300017,-4.157875497791046,1.0696103396826468,-3.88728057642439,0.000101373554287994,0.02274276700622573
BAG2,54.17101755424066,3.969104539997355,1.0272694112095573,3.863742555445058,0.0001116629067224813,0.024123323515267903
LRRC26,147.84531741790073,-3.7580206242926764,0.9776433029858544,-3.8439588475829316,0.000121065316008044,0.02522049958124717
CTHRC1,66.84822744345637,3.3723454108516746,0.8920179693574579,3.7805801303317423,0.00015646335035056344,0.03147071457223574
SH3KBP1,35.01986858372282,3.91640132879966,1.0430705093904664,3.7546851277467965,0.0001735595250607548,0.03374575698931276
IL32,281.57998406229876,3.7310865470021133,0.9964562100127122,3.744355757444187,0.0001808572418398621,0.03403033198877147
DDIT4,966.7976512362937,2.8052605356167755,0.7517575622891827,3.731602681953016,0.0001902654260285815,0.03468181968827237
PRR11,55.692722810128515,1.8157751871256245,0.4929002663365795,3.683859212779798,0.00022972915830127416,0.04060636910216158
CDK12,143.78522781691882,-2.7846229344032962,0.7599138436317289,-3.664392954200195,0.00024792590204767665,0.04253387607776759
HSPA1B,699.5028849021677,-1.961216281067427,0.537593400346614,-3.6481405460017373,0.0002641451367485401,0.04279884951817318
TRIM47,154.46153618814822,2.904534584807276,0.7959153295256199,3.649300970919145,0.00026295487971693605,0.04279884951817318
NFE2L3,54.841425675047226,3.533509542843716,0.9723725083455399,3.6339052292375764,0.00027916343820513935,0.04400973878515075
RNF139,59.77446849146043,-2.3762279255097067,0.6560916304175661,-3.6217927730572765,0.000292568447141567,0.044909256636230535
RAB11FIP1,58.846264350144544,-2.019298690005851,0.559980179344174,-3.6060181493758794,0.0003109313995305273,0.046504175729783735
SPTLC2,47.89393901681135,-1.940796645044676,0.5428375604777301,-3.575280684956024,0.00034985234950106963,0.04977289645462779
RAD21,948.3335941676982,-2.1706745192899817,0.6065705435088835,-3.5786019326508747,0.00034543713989887816,0.04977289645462779
LGALS8,62.15299611398322,-1.8620840196487818,0.5223589461228367,-3.564759507748333,0.0003641899638197653,0.0505790490228736
