,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZBTB16,21.64711955901227,-2.530590333755343,0.6345368598825253,-3.988090359674051,6.660729516384747e-05,0.8323913676626019
FO538757.2,22.477607362404378,-0.17532411024154268,0.5025339226812147,-0.34888014983370697,0.7271792881258075,0.9998083215447379
UBE2J2,27.089540341844625,-0.08255365858704632,0.3329449344424296,-0.24794988614347246,0.8041731812091502,0.9998083215447379
ACAP3,9.670266255104544,0.8145773660845852,0.39888296349150965,2.042146295129809,0.041137021834691485,0.9998083215447379
PUSL1,6.140388300313149,0.6395321768862701,0.5090464414643157,1.256333656014962,0.2089950243873555,0.9998083215447379
CPSF3L,28.538666710909446,-0.16746345514698788,0.35277779699266715,-0.4746995320413228,0.6350011515332992,0.9998083215447379
CPTP,10.639859506829257,0.10504433531055836,0.5268652911578128,0.19937607785800085,0.8419685719268044,0.9998083215447379
DVL1,9.8657248644857,-0.12583704846205235,0.39251535298673373,-0.3205914049081932,0.7485200519720517,0.9998083215447379
AURKAIP1,103.32559869288409,0.06271268725743333,0.3086206508846827,0.20320314624981514,0.8389762537858116,0.9998083215447379
CCNL2,46.03543764107583,0.2631809159932574,0.34672148104780426,0.7590556985333461,0.4478192386865948,0.9998083215447379
MRPL20,88.13477230151776,0.02969584696036428,0.21473578867912735,0.1382901617984965,0.8900111005521189,0.9998083215447379
RP4-758J18.13,1.69738613046105,0.969193148355208,1.235542793931359,0.7844270171099003,0.43278959066870426,0.9998083215447379
ANKRD65,17.159352112430774,0.6005839419794575,0.4497752577434124,1.3352978663003254,0.1817788767035149,0.9998083215447379
RP4-758J18.10,3.684491824886371,0.711392592515373,0.9440821653734573,0.7535282612122668,0.4511325351933514,0.9998083215447379
VWA1,184.27750028924342,0.34832569572474453,0.4203757425880323,0.8286056031213563,0.4073276163968599,0.9998083215447379
ATAD3C,4.605642616590767,-0.371695076813161,0.5482729614476942,-0.6779380034202563,0.4978110027421121,0.9998083215447379
ATAD3B,7.1016075444037305,0.7356237950490185,0.42602384207640764,1.7267197804321102,0.08421800144517569,0.9998083215447379
CCL16,3.5430615322781724,-1.4899256839229973,0.9296337151131154,-1.602701859561652,0.10900049278895223,0.9998083215447379
RP11-157P1.4,1.4817193082862912,-0.49677273660882193,0.7919071307919578,-0.6273118618240214,0.5304548294913629,0.9998083215447379
RP11-1223D19.1,2.871042444833209,-0.6464739620775589,0.8910391942383835,-0.7255280870446256,0.46812812039190677,0.9998083215447379
TDRD6,1.7052011972602492,-0.7078586782058731,1.1024328856441912,-0.6420877746151828,0.5208161932850982,0.9998083215447379
IL13RA2,3.6031320303095233,-0.4805585838820365,0.9873696182706021,-0.486705864743686,0.6264667885076283,0.9998083215447379
OR51E1,6.372462346141729,-1.2847436632749114,1.3861486526461362,-0.9268440731968796,0.3540074981606749,0.9998083215447379
PTPN5,4.91649495436494,-0.09982332285376282,0.8040433197312343,-0.12415167243368246,0.9011951859122697,0.9998083215447379
RP11-690P14.4,1.2060722714588707,0.33748414401319193,0.9362359970497055,0.36046909654903453,0.7184963628466203,0.9998083215447379
RP11-676J12.6,2.416164043846926,2.2519402807673607,0.9457554152646339,2.3811021797186753,0.017260923344589722,0.9998083215447379
HOXB5,2.8012153932757,0.3022603447243675,0.6981443127459684,0.4329482303386607,0.6650523801892578,0.9998083215447379
TMEM92,3.3330024583652227,-0.06874458849454029,0.8438339327395759,-0.08146696385076073,0.9350705965525019,0.9998083215447379
