,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLCXD3,10.054904044602353,-2.5077829017648274,0.5140103857433331,-4.8788564809604225,1.0670266910380443e-06,0.014179717697204572
CCL3,5.0185011635554435,3.9708035833626334,0.9150375143013952,4.339498131280691,1.428084812050921e-05,0.09488909533672345
RAC2,4.9684819265910765,2.9879400283011734,0.7129891741720938,4.190722856024705,2.7806714401977565e-05,0.12317447589595996
THBD,149.5321665105831,-0.8474505640507747,0.21045341461743494,-4.026784576488254,5.654479366842699e-05,0.12523729384328772
COL21A1,10.855666472549279,-1.9651398877322424,0.4872369151736982,-4.033232759122278,5.501473859850484e-05,0.12523729384328772
ARRDC2,24.074903264031185,-1.0411114006412938,0.25760864364617236,-4.041445915422267,5.3122633983354554e-05,0.12523729384328772
PSAT1,1.6080137714491491,2.9962816056759314,0.7663031909907433,3.910047147007281,9.227810813817044e-05,0.1532854723810184
SPP1,123.03669610181939,2.881553633814373,0.7321346478856622,3.9358247040159013,8.291147816922053e-05,0.1532854723810184
RARRES1,7.343739608187313,3.00118135559985,0.7978657791998277,3.761511564776857,0.00016888961090225844,0.23067693606132864
LTB,4.965620366959639,2.87290210643393,0.7653228486578638,3.753843376650911,0.00017414369891561687,0.23067693606132864
S100A9,4.668267115306737,3.2399288858538,0.8684490862679144,3.730706770361308,0.0001909433589190018,0.23067693606132864
LTBP4,42.40462461421786,-1.5051013556924957,0.4097025730560873,-3.6736438935824083,0.00023911592032100132,0.26480095542881554
MTRNR2L8,84.01480354156416,-2.0105662310870005,0.5619705014831519,-3.5777077725267015,0.0003466206655633358,0.28789012654194807
FAM118A,27.71115247192936,-1.9822450064503394,0.5537022467191937,-3.579983679307015,0.0003436156682690323,0.28789012654194807
P2RY6,22.802517877195772,2.0642088131704686,0.5737632590695422,3.5976664252046144,0.0003210850449719111,0.28789012654194807
MFAP5,2.2259938493975477,3.379382440074397,0.9442721323176402,3.5788225919364725,0.0003451456535891128,0.28789012654194807
S100A8,4.659961052982177,4.490921733821885,1.276082140149024,3.519304590609993,0.0004326796450526911,0.3101541202161108
CORO1A,4.379889569971712,2.586722771007744,0.7363747765728124,3.5127802490013313,0.00044344407285018474,0.3101541202161108
MAFB,42.14116585430107,-1.4434311108445987,0.40901597529334716,-3.529033578234607,0.0004170802062390421,0.3101541202161108
TOB1,42.94728105474746,-0.9924158072780629,0.2845824574567718,-3.4872697921965594,0.0004879788246316405,0.3242375300264936
LXN,47.70695098999872,0.7984359608682035,0.2304458528017866,3.4647443256657873,0.0005307357932562106,0.3358546645991325
PLAUR,25.14301421107036,1.3367926010084168,0.39074441383309044,3.421143217109275,0.0006235848477157955,0.3602964800563133
GABBR1,7.715378511982993,-1.609550168825777,0.4698031461083939,-3.4260097705995745,0.0006125183481745265,0.3602964800563133
TRIM21,9.756414715762753,1.3937660605167244,0.4102567719502076,3.3973017773510006,0.0006805387216425234,0.3768199613294789
TMOD1,2.3109371246662596,-2.923771450365209,0.8712628592649379,-3.355785707234118,0.000791398647059355,0.4206758648308707
KLF9,68.94970585992674,-0.8449784886542977,0.2526193376938586,-3.3448685930698643,0.0008232156350045005,0.4207581759067234
PTPRB,136.279209416068,-0.4986598475481184,0.1520679200497523,-3.2791916098081106,0.0010410492461619572,0.4275495102469052
NBEAL1,184.8341492085544,-1.6145274021370317,0.4903325308244143,-3.2927193295180044,0.0009922347242887534,0.4275495102469052
LAMP3,6.468856852116926,2.479917915902679,0.7484420111825976,3.313440291765841,0.0009215578127311774,0.4275495102469052
EFNB1,23.50920750077335,0.9098009918168334,0.27791718131829835,3.2736406849738415,0.0010617152410375402,0.4275495102469052
AGR2,13.40588061852469,-4.876526182648151,1.4805513098401883,-3.2937231896235506,0.0009886981311203814,0.4275495102469052
DENND4A,14.931478514468157,-1.1591165653870148,0.3525351832641773,-3.287945772261869,0.0010092127667817733,0.4275495102469052
KLF11,24.277593990104275,-0.9731622428693655,0.29457666422108636,-3.3035958413154733,0.0009545333529609612,0.4275495102469052
SYT1,3.795185491087449,-2.473340465855509,0.7606980119652529,-3.251409136019257,0.0011483447515735217,0.4360100972474437
CCL19,10.16961444936839,-4.551241615393668,1.3962983082611475,-3.2595052135109053,0.00111606729282723,0.4360100972474437
GABARAPL1,44.47790319797272,-0.6946088880608992,0.21489398965365875,-3.2323327850182753,0.0012278397297102095,0.44725156400436944
RRAD,5.193254098805246,-2.28041704274352,0.7065654723416478,-3.2274674209396736,0.001248912620992266,0.44725156400436944
TM6SF1,19.8099637347726,-1.144731652774624,0.35543292110615987,-3.22066861227162,0.0012789193642987462,0.44725156400436944
HIST1H2BC,3.001394546487969,1.7811722816780273,0.5615632454120284,3.1718106486316624,0.001514917471438347,0.5019312176662423
CKAP2,5.989757903415643,1.2341777855991596,0.38917265609110335,3.171285973673969,0.001517656568561287,0.5019312176662423
LRIG1,10.301358321451616,-1.3310403897383332,0.4204939649687794,-3.165420911182779,0.0015485875479205307,0.5019312176662423
RPS6KA5,13.823422439811731,-0.9645553720441742,0.3099685854077023,-3.111784282189412,0.0018596033038752184,0.5883873405999471
MET,43.10576312464289,-0.6645088737975154,0.21727402895797038,-3.0583907197028988,0.0022252922525646513,0.661191229504144
AC093323.3,3.27884609252182,-1.7061469847893171,0.5581928204456049,-3.0565548718940905,0.002238964958062042,0.661191229504144
ACAP1,1.6253009102119091,2.584259719349456,0.8422094606996389,3.068428745982815,0.0021518763887110924,0.661191229504144
ZNF208,5.451141570886256,-1.2721746492291512,0.4191421813338383,-3.0351864018570107,0.0024038706756815205,0.6944573349811244
C1QC,3.285957886581128,2.6468848087708645,0.8800630928109142,3.007608011735541,0.002633125342317854,0.7445021845545098
PLIN5,2.261781887964985,-1.8984598348568094,0.634507729159596,-2.9920200300338577,0.002771380789612613,0.7672683190242087
HCST,2.0955038698988924,2.3832886660347534,0.8022985590988163,2.970575777565633,0.002972420634905002,0.8061326085153587
STARD10,11.98681860570574,-1.6645088046183794,0.561957921592554,-2.961981210090009,0.003056664368890531,0.8124002559637253
