,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
THBD,123.44100316792401,-1.0648302352297516,0.2964670971962193,-3.5917315793225604,0.00032848809457921527,0.4754865169034141
MAFB,40.2998940193081,-1.9658745104744366,0.5455893810255346,-3.6032125602943696,0.0003143082905172671,0.4754865169034141
ZBTB2,7.212819486187496,-1.7311437411237824,0.43631249550870904,-3.967669408838253,7.257891765503228e-05,0.4754865169034141
ACAT2,8.968793553300333,1.635048921885419,0.4473987811864538,3.654567224232135,0.000257616159209745,0.4754865169034141
AC058791.1,4.410631288227319,-2.2494499910893295,0.602043944354079,-3.7363551484646513,0.0001867069207696953,0.4754865169034141
THRAP3,60.35509894047569,1.0868262028633888,0.2831198499199675,3.838749572559513,0.00012366247743957976,0.4754865169034141
RARRES1,8.765029325808564,3.130517888776658,0.8694812936342068,3.600443059208213,0.0003176753949557272,0.4754865169034141
CXCL8,13.007357957275222,-2.0328914228880186,0.5640784242728768,-3.6039162914421166,0.0003134580474426143,0.4754865169034141
HMOX1,27.71991300464216,-1.9480511061448695,0.5570143116115112,-3.4973088941088735,0.0004699773051012679,0.6047041325636313
PCGF3,18.669506972036945,-1.0736757649947444,0.30984341657428294,-3.4652205196599284,0.000529796866233995,0.6135047710989663
GPCPD1,24.666592502097107,-1.0204249026023862,0.30011768347476464,-3.4000825635727274,0.0006736550870765114,0.7071193747998205
PARP9,33.403524650745126,1.1286894894384953,0.33422680798829935,3.3770166320052,0.0007327661915024046,0.7071193747998205
LIPE,7.235259199799244,2.209302736231042,0.6626921543366276,3.333829624771418,0.0008565910922742314,0.7630249883488922
ZNF267,22.66593145438275,-1.346154661449474,0.4101199682939971,-3.2823436202074276,0.0010294806943313155,0.8515276028826166
USP18,10.587216662474797,1.8791978851698363,0.6285197308565886,2.9898789058041824,0.0027908806463034504,0.9536620357799765
GPR108,27.78844597245822,0.8494756552603376,0.2870559561167632,2.9592685229454143,0.00308370271857757,0.9536620357799765
RASL11A,9.691452278240265,-1.9308498135204688,0.6479827026640722,-2.979786043025691,0.002884497793591696,0.9536620357799765
CD300LG,29.157268013036667,3.4656267156345866,1.1467344011874965,3.022170357883892,0.0025096926296190015,0.9536620357799765
PLPP2,12.726616648619801,1.3058646201236712,0.42987483286865735,3.037778721329939,0.00238328889855178,0.9536620357799765
OAS3,21.73284727907335,1.3281748577711248,0.41604761079339725,3.1923626607020124,0.001411140340071584,0.9536620357799765
SERPING1,136.75851609595904,1.1122212854143771,0.37906684791497613,2.9341032895175414,0.003345128687787691,0.9536620357799765
CASP7,16.41034847720848,0.919952658058631,0.31287203246525774,2.94034801004716,0.0032784379918383228,0.9536620357799765
IFIT1,52.543899564231836,1.8629158152675418,0.6338090530453334,2.9392382553019423,0.0032902004332940335,0.9536620357799765
ZNF22,41.25019401290803,0.8856009641027842,0.3043786125479703,2.9095374234390827,0.003619640490231265,0.9536620357799765
ZBTB10,17.994542964850762,-1.1818937364421143,0.406261178349352,-2.909196840427073,0.0036235863190258177,0.9536620357799765
GLIS3,10.573277410695871,-1.4493882102693652,0.48438439328664096,-2.992227310287576,0.0027694996488280502,0.9536620357799765
CD82,7.2358173047939145,1.447772512100632,0.4844711379260466,2.9883565784709987,0.002804821066644482,0.9536620357799765
GSTT2B,7.631739218815901,-1.5603234306792741,0.5156717904262458,-3.02580722786782,0.0024797034174569256,0.9536620357799765
EIF2S2,93.0011875984807,0.9156925218901979,0.2903603912101172,3.153641300984347,0.0016124714586968208,0.9536620357799765
DEDD2,17.910294360856476,-1.2779661260651864,0.4098784000630848,-3.1179152789424704,0.0018213515153749915,0.9536620357799765
MX1,74.55007730642963,1.5370381181977872,0.5066938751567526,3.0334649648612464,0.0024176278185149076,0.9536620357799765
MX2,23.20982064364743,1.4886268462209606,0.5054061741108549,2.945406927091571,0.0032253016745834445,0.9536620357799765
SLC25A33,16.825050362836063,-1.2464357498115832,0.40535194635487726,-3.0749469961107687,0.0021053996648375045,0.9536620357799765
SPINK5,2.6458963636981108,2.470128700311438,0.8018349554393361,3.0805949323549027,0.00206587486395307,0.9536620357799765
SNHG15,33.91950430355097,-0.8867754788882459,0.3019785738841276,-2.936550985993169,0.0033188425822504265,0.9536620357799765
GABBR1,5.729546365365677,-1.5071229916769517,0.49193876907886824,-3.063639392558889,0.002186623099566984,0.9536620357799765
RLIM,14.604605662589007,-1.0732373409892542,0.3671257311816049,-2.9233509117843863,0.00346286013123986,0.9536620357799765
MGLL,128.5420360218405,1.306067498281868,0.40764226652487356,3.20395504964688,0.0013555363855632342,0.9536620357799765
SSFA2,61.59201628129062,-0.7125815910155076,0.23467898310367297,-3.0364099144775736,0.002394136381536913,0.9536620357799765
LXN,45.46259628708078,0.8412350373234927,0.2810908971036077,2.992750907239165,0.002764753016337863,0.9536620357799765
RLF,17.72979596291818,-0.9414987251488587,0.31376141287262366,-3.000683597543191,0.0026937430711966755,0.9536620357799765
MXD1,9.227320451269767,-1.4276843169050029,0.45284501516567377,-3.152699641361147,0.0016176816201413083,0.9536620357799765
RGS2,18.110072220172604,-1.3078147989832878,0.4442286895505733,-2.9440124641801173,0.003239869513478256,0.9536620357799765
RP11-373D23.3,3.2560646012059786,2.174264276519467,0.745367853612462,2.9170352141989864,0.0035337587455456874,0.9536620357799765
KBTBD2,40.542281256461756,-0.963519129299684,0.3340473322900664,-2.8843790569865186,0.003921863699824651,0.9667680880341846
PTGER4,6.299202404156845,-1.734433971151632,0.6013528285190529,-2.884220193032116,0.003923842844352908,0.9667680880341846
FEZ2,66.93030878173963,1.0201126357708048,0.3529776573145245,2.890020415263345,0.003852168087730151,0.9667680880341846
FAM132A,4.306905349028444,0.21014966325065138,0.7095522161955097,0.2961722315200927,0.7670985540519548,0.9991200737598246
ACAP3,6.044769416261379,-0.99185597485959,0.45369927329394083,-2.186152884174867,0.02880442199949518,0.9991200737598246
PUSL1,5.893465559534666,-0.2319894975288217,0.5425572410455409,-0.4275852941926713,0.6689530744037442,0.9991200737598246
CPSF3L,22.78289704543481,0.31620224154391424,0.3281091112089523,0.9637106399722764,0.33519101841880605,0.9991200737598246
CPTP,11.022782857584797,0.332986842251435,0.436260051012252,0.7632760356553557,0.4452987908260576,0.9991200737598246
DVL1,5.840121211957475,-0.3313378645555096,0.4596739977649214,-0.7208105443566045,0.47102608700310933,0.9991200737598246
AURKAIP1,85.57442206459716,0.1480715982981123,0.2231802510228644,0.6634619220091417,0.5070347589567892,0.9991200737598246
CCNL2,37.62094653200865,-0.03353764641137864,0.38515113186982186,-0.0870765879579814,0.9306106347897201,0.9991200737598246
MRPL20,75.43863345948598,0.21565513361262442,0.25769023831997667,0.8368773882107369,0.40266149163820497,0.9991200737598246
ANKRD65,13.096027219606926,-0.6834477022352367,0.4084522922773625,-1.673262006744074,0.09427572835321266,0.9991200737598246
VWA1,163.54159093792356,-0.00446250473854378,0.4945166234046556,-0.009023973163571852,0.992800008854209,0.9991200737598246
ATAD3C,4.968802912269846,1.3552555311478138,0.5686931671852872,2.3831050016928637,0.01716729687649233,0.9991200737598246
