,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RAB11FIP1,132.14388213336653,-2.3740855143988964,0.38369829881930617,-6.187375658699278,6.117406471795193e-10,7.665110309159377e-06
LY6G6C,10.527663124634431,-4.370414305081851,0.7240192278706171,-6.036323535129716,1.5766498975878997e-09,9.877711608388191e-06
ME1,16.687624076563836,4.005661406020294,0.6839870098853177,5.856341345856719,4.731751831336239e-09,1.5925189354498282e-05
TCN1,101.2397500588378,-4.12544262315301,0.710408429658087,-5.807141991739241,6.354824163806179e-09,1.5925189354498282e-05
ESR1,63.2603200125326,-4.62829560684547,0.7958831997233936,-5.815295018733928,6.0527041739933585e-09,1.5925189354498282e-05
CDCA7,19.298727779893134,4.565182123523799,0.8253363483294798,5.531299006476506,3.1786794810950276e-08,6.63814231635345e-05
BTG2,650.6930120659175,-3.1660097411357087,0.5787477276655713,-5.47044867701871,4.488976892736464e-08,8.03526863799827e-05
NEK10,6.467591886937938,-3.7417694500148944,0.69778195483406,-5.362376347070665,8.21341915240013e-08,0.00012864267747446703
AGR3,181.04494831985588,-4.694972824137306,0.8799676350646175,-5.33539261792571,9.533803752610801e-08,0.0001327317344669037
MAOB,28.95183804155635,-4.586862801629558,0.8710119757303026,-5.266130580792174,1.393291974329659e-07,0.00017021005087978187
CENPW,133.05725021679038,4.131758329352914,0.7880216416300297,5.243204134351356,1.5781177490128092e-07,0.00017021005087978187
DKK1,46.05795138179983,5.787162127994741,1.1050058010037926,5.237223300309966,1.630104238274048e-07,0.00017021005087978187
NINJ2,12.750176345838957,4.924197129889157,0.9473139255654036,5.198062645337081,2.013762689579988e-07,0.00019409574231105575
CTHRC1,43.29277012530474,4.0292211744918305,0.7785153178095439,5.175519456481061,2.2727774323328876e-07,0.00020341358019379343
FAM198B,6.665137955066433,-3.5528450045475153,0.6906730126807213,-5.144033340404883,2.689017799242813e-07,0.00022462262016341634
FOXP1,98.17961389714546,-1.449431388423209,0.2843452775848658,-5.0974343612603565,3.4428773473145637e-07,0.00026962033226157176
FBP1,42.2775214211058,-2.9840512220177895,0.5902918791136034,-5.055213069335654,4.2991052876021755e-07,0.0003168693485509133
STMND1,4.169147147215136,-4.1160933980562255,0.8171406600898072,-5.0371907788848125,4.7241386969914257e-07,0.0003288525437405698
ETV7,27.700742604874694,2.8596882257437928,0.5769411591028253,4.956637571482615,7.172358799998006e-07,0.0004729981882314475
ANXA9,10.44123867430982,-3.7043944928362365,0.7509902863442626,-4.932679636735141,8.11091267287156e-07,0.00048395112281466966
GATA3-AS1,16.51494988957643,-4.683528929318503,0.9491346733973288,-4.934525163383082,8.034598706080096e-07,0.00048395112281466966
PIR,25.09525038946898,3.122697130456899,0.6454766273294692,4.83781596148018,1.3127360373104957e-06,0.000747662843068205
CDKN2A,321.74762744856724,5.942314578375586,1.2309219998224992,4.827531378294057,1.3823591311666499e-06,0.0007530852136312226
SERP2,5.547838755964164,-3.0502368463420457,0.6407996589397127,-4.76004754963363,1.935473552248784e-06,0.0009700593443870905
NFATC4,6.545239964281196,-4.004673998775175,0.8399628056419323,-4.767680154259506,1.8635932966175286e-06,0.0009700593443870905
ZNF703,48.9660704997936,-3.1739140906002086,0.6685607291417232,-4.747383374842818,2.0606513746034127e-06,0.0009788508190156611
SYTL2,42.76635129077476,-3.9148742183405627,0.825458836233717,-4.742664378278121,2.109255555740052e-06,0.0009788508190156611
RBM47,114.40323488109088,-1.6499720377911147,0.34918395862633,-4.725222900507834,2.2986308110586362e-06,0.0010286372879487397
MEIS3,5.834785876070492,-3.270404584011576,0.699812179840476,-4.67326045219315,2.9645543148995228e-06,0.0012808919160583112
CCDC167,68.1638527044977,1.7801051967745978,0.3821694853978983,4.657894637823397,3.194596288132131e-06,0.0013342763830098536
NUDT5,141.0075387617517,1.7472221743562595,0.37920299613400604,4.607617007695822,4.073100085420272e-06,0.0016463207764618065
GMPR,13.232188243748988,-3.0894893827283862,0.6763768567770214,-4.567704160443926,4.930953130299555e-06,0.0019307763350829195
OLFM4,24.294872818806535,-3.595740711008588,0.7894543043828078,-4.554716708802701,5.24562226075941e-06,0.001968421283808928
MLLT4,113.92098741214734,-2.4309572650826303,0.5341687827130034,-4.550916009610257,5.341286803631569e-06,0.001968421283808928
STC2,108.92374760901372,-3.5395794870606783,0.780682152566304,-4.5339572262862236,5.788875688936236e-06,0.0020724174966391725
