,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RAB11FIP1,132.15823922851897,-2.37368832073808,0.38366807705222017,-6.186827788685173,6.138696290283276e-10,7.680736798402434e-06
LY6G6C,10.529043417607966,-4.37069784296304,0.7238463993935104,-6.038156502021864,1.558848413450194e-09,9.752155674544413e-06
TCN1,101.24979423208177,-4.126227956027946,0.7090739948427238,-5.819178232510365,5.913764860756727e-09,1.4798605187557634e-05
ESR1,63.25943246242377,-4.628050173832393,0.794694297840302,-5.823686147503255,5.756363229513708e-09,1.4798605187557634e-05
ME1,16.68820987643122,4.0054873586171125,0.6839657875077806,5.856268590878235,4.733824138602366e-09,1.4798605187557634e-05
CENPW,133.03263197929328,4.117592368910216,0.7373610546689056,5.584228164530771,2.3474036312725412e-08,4.8951190390803396e-05
CDCA7,19.31167922241637,4.565843759869411,0.8251069615107751,5.5336386345708775,3.136548536279278e-08,5.606356469418047e-05
BTG2,650.7059824130348,-3.1658640456799585,0.5780142177475168,-5.477138707793593,4.3225837726248885e-08,6.760521020385325e-05
NEK10,6.467972659493259,-3.741628614769731,0.6983133834098436,-5.358093806679558,8.410457216034369e-08,0.00011239263587844124
AGR3,181.00527074515614,-4.695613232923822,0.878311183830656,-5.3461840397436715,8.982787394376697e-08,0.00011239263587844124
MAOB,28.960397846430485,-4.587582750529992,0.869355336142659,-5.2769938364733076,1.3132030143759672e-07,0.00014937087378065548
DKK1,46.119800207929885,5.789331416178217,1.103572118683611,5.245992824722669,1.5544295174580974e-07,0.00016207518435363096
NINJ2,12.7536843369747,4.924862303838202,0.9471954782988963,5.199414921915533,1.999168064178264e-07,0.00019241223706921876
CTHRC1,43.2998526080101,4.029605084026534,0.7776028947522513,5.182086012308877,2.1941798237064717e-07,0.00019609698538725266
FAM198B,6.666950255818933,-3.5524401830855052,0.6913478597148908,-5.138426528940898,2.7704847300769855e-07,0.00023109536628482163
FOXP1,98.19204287477399,-1.4492572350916035,0.28458655809803524,-5.092500660527891,3.533714830013506e-07,0.0002763364997070562
FBP1,42.27062816698898,-2.9843487703589844,0.5894486536945175,-5.062949506549601,4.1281922002345825e-07,0.00030383494593726526
STMND1,4.169080666701931,-4.116110907111247,0.8182810319188073,-5.030192252482351,4.899882706074829e-07,0.00034059629121337923
ETV7,27.7076350105254,2.859952363580922,0.5768074345643757,4.958244627586768,7.113296093225316e-07,0.0004684292669391324
GATA3-AS1,16.51339089090515,-4.683927797144401,0.9474263848417431,-4.943843523976586,7.659719198117581e-07,0.0004767858373458518
ANXA9,10.440930848649495,-3.7046314263712827,0.7506379094080248,-4.935310860189388,8.002319840363561e-07,0.0004767858373458518
PIR,25.10587197239362,3.123425306834732,0.6453087194036824,4.84020316620087,1.2970645830571004e-06,0.0007376760028732018
CDKN2A,321.7922870554923,5.942502266189691,1.2309023777945503,4.827760814661089,1.3807679027897115e-06,0.0007511377391176031
SYTL2,42.77459100235189,-3.914907439945919,0.8242019232484726,-4.74993727813189,2.034797499316622e-06,0.0009429402337573917
SERP2,5.548626651916899,-3.0506998566608114,0.6417230284111637,-4.753919871340774,1.9951013556947996e-06,0.0009429402337573917
ZNF703,48.959053399888155,-3.173669753504585,0.6675640314153813,-4.754105380386826,1.9932705620097445e-06,0.0009429402337573917
NFATC4,6.545683171315451,-4.004629069981874,0.8400696073195677,-4.76702053626193,1.869702586467416e-06,0.0009429402337573917
RBM47,114.41434655859067,-1.6499722786934874,0.34905394398672807,-4.726983628513946,2.2787963022196357e-06,0.0010182964047632886
MEIS3,5.835619027414074,-3.2699215560934225,0.7004663977755946,-4.668206164460431,3.0384092979460216e-06,0.0013109164529620904
CCDC167,68.16196792844032,1.7801121358597174,0.38201831287607746,4.65975602702891,3.1658439655641235e-06,0.0013203679899046103
NUDT5,141.01477353347505,1.7472346220125612,0.3790019410986147,4.610094124974252,4.0248670069411825e-06,0.0016244882577692928
