,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2,2209.4589501496785,3.9037777835462117,0.6069630868896281,6.431656006547374,1.2622114080595952e-10,1.761794683369583e-06
CLEC7A,30.053572717686613,5.924905160534054,0.9424016574635954,6.287027525482606,3.236020184955791e-10,2.2584184870806465e-06
GJA1,432.2416824242549,-8.101949072225004,1.3117884592660598,-6.176261892682003,6.563707613043482e-10,3.053874362095364e-06
CFD,791.7079147457712,-4.595076479098594,0.765836648485862,-6.000073890670463,1.9722775869717074e-09,6.882262639737773e-06
TNNT1,430.308442539298,-6.084283162492298,1.0268445653670915,-5.925223123050955,3.1187364180352563e-09,8.706264584587222e-06
PRRT3-AS1,53.39320512391088,3.32478151663181,0.5679511125957523,5.853992435081772,4.799104612675623e-09,1.1164317030621058e-05
PDSS1,37.937668186578215,2.262983441084976,0.3909425376298202,5.788532132637287,7.100416715738966e-09,1.4158230931183499e-05
SMOC2,130.52889091257407,-6.252019372483347,1.130813953633188,-5.528778056192406,3.224690001403543e-08,5.626277879948831e-05
HHAT,43.064456077544,-2.6460889530982916,0.4804672599311206,-5.507324169138252,3.6432900325214324e-08,5.6503380304371285e-05
STMN3,83.27348500737217,-3.7325399675994215,0.6820427804952126,-5.472589219241243,4.4350734532662584e-08,6.190475526069044e-05
CCDC74B,115.92041822615882,-5.17614660303771,0.9591705042330144,-5.396482252315227,6.796013063350211e-08,8.274602753470653e-05
MEIS3,31.615051659388328,-4.047256995535663,0.7511234521707357,-5.388271373818977,7.113858220493468e-08,8.274602753470653e-05
GRB7,1717.2415673140754,3.8177271974021774,0.71900223953943,5.3097570319776635,1.0977147424191417e-07,0.00011786078749758753
CA12,783.5836156951965,-2.314849266051823,0.4401810446470863,-5.258857222958671,1.4495337693226768e-07,0.00014451851680147087
FSIP1,512.539190391209,-5.181385516427763,0.9947293590777222,-5.208839438731114,1.9002545931872757e-07,0.0001768250240780533
KCND3,35.78309622685038,-3.730359680665564,0.7195004588865632,-5.184652260595284,2.164182786542863e-07,0.000188797895841033
ETNK2,111.009816530146,-3.0990667930662577,0.6003228792656778,-5.1623333044662125,2.438905309329811e-07,0.00020024847239779703
THSD4,188.48831046981104,-2.927936694360801,0.577468846071079,-5.07029377304349,3.9720210906316373e-07,0.00027720735191518196
HIP1,82.82343470430496,-2.08154042123666,0.4095046655840634,-5.0830688785140605,3.7138494856794436e-07,0.00027720735191518196
MLPH,1195.6639883592836,-1.7269343207340895,0.34023610872104854,-5.0756938386864805,3.8608453292799585e-07,0.00027720735191518196
MIEN1,4740.559282783811,3.31639585565672,0.6596930507237654,5.027180219676743,4.97744536022773e-07,0.0003157962833548121
STARD3,863.6262485069853,3.538418164846494,0.7038071305139828,5.027539522457559,4.968131152501185e-07,0.0003157962833548121
DRC3,61.87980776976823,-3.0409596147951183,0.6074798858151074,-5.005860582058292,5.56129999711478e-07,0.00033749837112925253
