,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2,2209.0177899750083,3.9031453542973447,0.6065115007731805,6.435402048141902,1.2314692472646046e-10,1.7164218368374058e-06
CLEC7A,30.04743330452471,5.924167626045166,0.9417438251026582,6.290636018133041,3.1616787771601223e-10,2.2033739398028894e-06
GJA1,432.428201932371,-8.10429376121412,1.310573970320204,-6.183774395606263,6.25867960722587e-10,2.907782545517139e-06
CFD,791.8258213579228,-4.596078952359394,0.7651618659232554,-6.006675393857611,1.893661060177975e-09,6.598461964190154e-06
TNNT1,430.32722450211537,-6.084626858159721,1.0257324521705622,-5.9319824046553125,2.9929870558018526e-09,8.343250716753244e-06
PRRT3-AS1,53.39916693438222,3.324502270177848,0.5679070736570304,5.853954677425934,4.800194859666182e-09,1.115085265900454e-05
PDSS1,37.9306428480178,2.262447779237312,0.39096419611826533,5.7868413570866455,7.172225495991263e-09,1.4280925566160889e-05
SMOC2,130.55544821611088,-6.253462333525481,1.1297172687560437,-5.535422451682361,3.104790853721045e-08,5.4093218648954904e-05
HHAT,43.075153299335575,-2.6467350786023354,0.4806229501412781,-5.506884508582733,3.6523969857558314e-08,5.656345465273865e-05
STMN3,83.28433935188461,-3.7332361449712104,0.6815476829821115,-5.477586144283314,4.311671158422541e-08,6.0096072606093374e-05
MEIS3,31.62342295363791,-4.048502144088052,0.7508717051775587,-5.391736186317877,6.978016339876893e-08,8.104965978767011e-05
CCDC74B,115.97392543421824,-5.177351373031108,0.9584925994617052,-5.401555918051676,6.606533793621197e-08,8.104965978767011e-05
GRB7,1716.8706581310164,3.8171022966085557,0.7183825161605821,5.31346770103646,1.0755850745799347e-07,0.00011531926745765484
CA12,783.6315768114617,-2.315453558494548,0.43984911422741113,-5.264199662108244,1.4080136723788534e-07,0.00014017781832583183
FSIP1,512.6103647602067,-5.183187781084861,0.9937746704914575,-5.215656964291097,1.831668766740337e-07,0.00017019866180551212
KCND3,35.791824243563795,-3.7315265428821305,0.7191302265620324,-5.188944095315743,2.1148987205218626e-07,0.00018423411479146076
