,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PSAT1,76.49341682282687,7.476746818345916,1.0258978519527364,7.288003190682549,3.145825250447917e-13,4.873827060518958e-09
MTHFD1L,32.407981236560865,6.181058841367518,0.8656878672663867,7.140054833950333,9.329369497388916e-13,7.226996081152324e-09
CENPW,173.67546513130162,4.0418855715529265,0.5857905695842097,6.899881598336125,5.204589989841884e-12,2.6878237570873436e-08
PLIN5,50.66277177097468,-5.681436117468058,0.8742035046278084,-6.498985748046076,8.086332114012114e-11,3.132038586059742e-07
CLEC7A,19.370341440832572,5.349728612684846,0.8472045672268392,6.314565359575611,2.709218071002394e-10,7.909063992710926e-07
CDCA7,33.26209165537465,4.948572448538804,0.7860418893841943,6.295558182548826,3.0629564291141523e-10,7.909063992710926e-07
USB1,95.95939696297368,2.5071054084621553,0.40004277017736617,6.26709340941366,3.678495147874862e-10,8.141560760860748e-07
PGM1,129.0343911374336,1.7285750149902483,0.2839379550256068,6.0878617472410745,1.1442861488832985e-09,2.216053163081118e-06
HOXB-AS1,24.895411323420717,-3.7609670257405354,0.6238623197986878,-6.0285208873556435,1.6546701566273273e-09,2.8484227485141313e-06
MCCC2,202.60076081288935,-2.2927732616521648,0.38229626933972316,-5.99737283759554,2.005352856010919e-09,3.1068931798177165e-06
RGS11,32.493326200069255,-4.556330622839014,0.7696710331473567,-5.919841629231076,3.222517814257584e-09,4.538769863299341e-06
ENO1,1552.9158480535039,2.4591339744783522,0.41827621310661567,5.879210668505159,4.12227457390115e-09,5.322199997787543e-06
PDSS1,26.695139538452924,2.0223320926002164,0.3480853550209602,5.809874111131277,6.251983646049061e-09,6.7121265064161726e-06
BAG2,45.37622423710022,4.3294076433972775,0.7470864870218565,5.795055483677376,6.8298597589026825e-09,6.7121265064161726e-06
CAV2,118.91969170320623,4.753340147484861,0.8164610081898424,5.821882612647218,5.818841481223811e-09,6.7121265064161726e-06
NFATC4,78.6258183746619,-4.918329461100154,0.8490756583111263,-5.7925691461737,6.931777196324712e-09,6.7121265064161726e-06
RIBC1,13.71107794387919,-2.428471498017811,0.42218528475768635,-5.752146239326259,8.811752218582652e-09,8.03061630132359e-06
RP11-496I9.1,11.118135342166214,-3.900935706121322,0.6801592153421591,-5.7353272853311665,9.732422503408836e-09,8.376912324739615e-06
CIAPIN1,87.50634100633711,1.5665089234518426,0.2741328820158985,5.714414527480843,1.1008236091058977e-08,8.732372478134904e-06
GLIPR2,72.84295755708102,5.468799252289989,0.9576950829941372,5.710376245424941,1.1272668273587949e-08,8.732372478134904e-06
EME2,20.7565420031948,-2.5062748687374,0.4404606772665921,-5.690121725033036,1.2694884264452833e-08,9.365801995674655e-06
NHLRC4,8.399813486817143,-3.695528213737818,0.6530351718177912,-5.659003332777515,1.5225459902804832e-08,1.0309108415875623e-05
P4HTM,164.4294504813131,-1.7213103855536338,0.30481184827382296,-5.647124267975704,1.631539008386338e-08,1.0309108415875623e-05
SLC22A5,83.30644539241715,-2.3789998677403315,0.4215255458398201,-5.643785747315898,1.663510684805335e-08,1.0309108415875623e-05
ACSL4,16.577131906833024,4.782148839876934,0.8464335484803198,5.6497628767937735,1.606693107694781e-08,1.0309108415875623e-05
SLC16A6,34.337229977398856,-4.990981493617959,0.8864337339247527,-5.630405638467761,1.79786281924442e-08,1.0713187945597615e-05
SSH3,83.49726375717597,-1.5811684092642426,0.2815355640434114,-5.61622974573981,1.951691215269867e-08,1.0799125713634302e-05
FMNL2,17.64099173876495,3.865303277862681,0.687809434416853,5.619729949095288,1.912561691032313e-08,1.0799125713634302e-05
MRAS,47.390880418646645,4.304580404559087,0.7706005838840864,5.586007193068234,2.323496158465078e-08,1.2413077925206709e-05
UPP1,110.9974391426046,3.9949227870529183,0.7172521567130918,5.569760578148987,2.5508962081372802e-08,1.2839656129825209e-05
FSCN1,247.52439572822448,4.884190886559253,0.8771072210889547,5.568522033709157,2.5690914608183146e-08,1.2839656129825209e-05
CERS2,352.18337229360134,-1.1870598524230531,0.21352040040042258,-5.559468089217313,2.7059806429669933e-08,1.3101174406714884e-05
AC018816.3,159.32820458377114,-5.760680469570391,1.0406483860356395,-5.535664636463581,3.100503309981181e-08,1.4128264053393657e-05
CCNB2,20.127256030950146,3.7819349642023123,0.6830639326576913,5.536721796285473,3.0818549350690875e-08,1.4128264053393657e-05
TPGS2,239.78084285414505,1.4225782101296736,0.25826329925448266,5.508247645856643,3.624233157262341e-08,1.5175741704179853e-05
NMI,109.41486148945718,1.5343289709126928,0.27828424561476134,5.513531560233266,3.5170393336423864e-08,1.5175741704179853e-05
AKR1C1,46.78843216793445,7.658371591108559,1.3900170441492152,5.509552291710209,3.597475152633857e-08,1.5175741704179853e-05
NAT1,164.15015722612895,-4.571939856438735,0.8319168602501557,-5.495669188702297,3.8923156495812285e-08,1.5462473425374867e-05
GPR143,11.949493949356125,-2.625955182392029,0.4777576043302638,-5.496417343420789,3.875846337064571e-08,1.5462473425374867e-05
RP11-347C12.10,17.840131226115282,-2.6483529859014117,0.4859024038374871,-5.450380498193972,5.0262167018265293e-08,1.9467793840349604e-05
SLC6A14,30.473944560878433,5.537520159409463,1.0176352387449341,5.441557002525753,5.28168866390208e-08,1.9664686170463432e-05
TNFAIP6,13.353555919516996,5.42625274953734,0.9974903764330648,5.439904862983369,5.3309031121116895e-08,1.9664686170463432e-05
SLC1A3,9.310858381171885,4.128589950681116,0.7607123533116997,5.427268181866159,5.722311585705764e-08,2.03887589501862e-05
CHMP1A,119.19375739181172,1.0304866220599083,0.19008667613038244,5.421140729259145,5.921991562372549e-08,2.03887589501862e-05
ACTR3B,108.97179420430157,2.9504467504817025,0.5439086189820669,5.424526561104157,5.810834941103014e-08,2.03887589501862e-05
LOX,9.967658166731733,5.871856688057457,1.084537033289628,5.414159690100103,6.157719385027124e-08,2.0593129545602643e-05
TTC36,105.92678774052779,-3.9231054714154543,0.7249467216374248,-5.411577643325847,6.247189625271569e-08,2.0593129545602643e-05
WWP1,223.14886809665313,-2.507850645353162,0.4638469853787289,-5.406633489933137,6.422036817169173e-08,2.0728461751750414e-05
SLCO4A1-AS1,10.9035433619738,5.983238421293442,1.1087731042335813,5.3962694427271884,6.804074532645138e-08,2.1083105346854224e-05
NME3,834.5931104550258,-1.1647058769028649,0.21572760876135255,-5.398965313666988,6.702633004899434e-08,2.1083105346854224e-05
ETV5,29.570896927332928,5.112951529811138,0.9481666057230363,5.392461091700433,6.949915147742632e-08,2.1112752036073843e-05
NUDT5,291.48740802173614,1.4735689514698644,0.2736874127460063,5.384131249168553,7.279537357586881e-08,2.168882159251799e-05
ARNTL2,14.753741427259067,3.90478035127308,0.7262995870422729,5.376266792570556,7.604608513979336e-08,2.2229849001336197e-05
