,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2,827.4364778381591,-5.166460842768259,0.792493827339189,-6.519244269844644,7.06625000072458e-11,8.516244500873264e-07
GRB7,639.9986747982681,-5.147465951078377,0.8320179042387245,-6.18672497893922,6.142699447910893e-10,3.701590687311104e-06
GNAI1,34.794095927153336,5.288952218634415,0.8842295577005213,5.981424362683117,2.2119476690485423e-09,8.886131102457677e-06
MIEN1,1823.104381700154,-3.8194622650120738,0.6763202923688302,-5.647416332333166,1.6287705863916278e-08,4.9074857767979744e-05
CCDC88A,24.340920981741597,5.221257915873108,0.9313842014162869,5.605912047824655,2.071611468261755e-08,4.993412283098135e-05
PGAP3,123.64716964652128,-4.593782098310837,0.8357880251891586,-5.496348308258132,3.877363190396235e-08,7.788330195109237e-05
MXRA8,11.766331707691588,-3.3491853496479616,0.6507053107065659,-5.14700786137931,2.646742390124842e-07,0.0003987317410723074
MSL1,130.3144158881225,-3.628452003145774,0.7027773457495035,-5.163017881966691,2.4299991620829287e-07,0.0003987317410723074
STARD3,345.49456130914064,-3.6918428245370865,0.7625457021709762,-4.841470896795259,1.2888155375853357e-06,0.0017258672065531629
ACSL4,14.88229026886387,4.934671925530226,1.0601924248606345,4.654505927241372,3.247584954811309e-06,0.003913989387538589
CCDC28B,28.73145962661873,3.1609791636663584,0.7015658336855801,4.505605905949819,6.618381969539009e-06,0.007251339954262194
ESRP2,34.48109221473006,-1.9380522328729533,0.4518044903695603,-4.289581609265756,1.7901002707969876e-05,0.017978573719704412
SOAT1,24.52781694071857,2.8226962695205535,0.667735769635986,4.227265331403974,2.3654866990624168e-05,0.020363461212214464
ANP32E,141.98836952383866,2.692564847519236,0.6351723296632098,4.239109170493819,2.2440851452782648e-05,0.020363461212214464
ARNTL2,12.82090034437947,3.768627108616762,0.9264585959821965,4.0677771515751395,4.746373985796203e-05,0.035752062048009896
CDK12,164.51306574567786,-2.579884984460792,0.6321862009284893,-4.08089417432985,4.4862778714391565e-05,0.035752062048009896
CNTLN,9.407222132592905,3.073034377907066,0.7673590156067165,4.0046892203089,6.209906718163388e-05,0.04402458574547362
YBX2,6.0731284538096455,-2.8736113136559216,0.7271724755375567,-3.951760291162872,7.757842942842088e-05,0.0519430684150738
ACAA2,78.99145150852837,2.375509955534564,0.6044132883023432,3.9302742039421745,8.484904218642456e-05,0.05382108718056783
USP6NL,74.79428147540972,-2.6197372799615417,0.6695720976172462,-3.9125544348161996,9.132494351881526e-05,0.05503241096443808
BAG2,40.50230976566601,3.998135060690716,1.0279351662485845,3.8894817416177894,0.00010045852608259369,0.05765362649273425
IDO1,6.109169738737909,4.842621439507303,1.2523326788544078,3.866880998375904,0.00011023618561967971,0.06038938677674455
CAV1,86.73549234998983,3.958646234507255,1.0378296008487684,3.81435086383136,0.00013654136317274945,0.07154767430252071
PTRF,92.14015646189858,3.6281566153338933,0.9682341793002056,3.7471891541322733,0.00017882723558345948,0.08980107680216057
SERHL2,110.88766866099743,-2.804750840518899,0.7716179496554159,-3.634895794960999,0.00027809301742562635,0.09706591108437862
CHST11,9.123400510305094,3.2515307056155294,0.8774101514989316,3.705827542638693,0.00021070163757602457,0.09706591108437862
KIAA0196,75.1046732318777,-2.7407506601735068,0.7499888222226421,-3.6543886774886976,0.0002577954860082063,0.09706591108437862
TNFAIP6,12.744232342359986,4.595262084761858,1.2591736592133123,3.6494267896556996,0.0002628261290343086,0.09706591108437862
C1R,27.77047286132959,3.830406162969144,1.0441519081351336,3.668437641233918,0.00024403719775096839,0.09706591108437862
LRP1,10.269631890407503,3.1686001364409244,0.870457807690023,3.640153616232814,0.00027247543298022415,0.09706591108437862
LRRC26,220.53092740202777,-3.3195603863834955,0.8996143923302514,-3.689981412797222,0.00022427043786993643,0.09706591108437862
SH3KBP1,31.256824975891387,4.001914694440696,1.1020306774075428,3.6314004469049324,0.0002818873952832104,0.09706591108437862
TPPP3,26.17802925965327,-3.4821953621208483,0.9446665116837845,-3.6861636556949007,0.00022765998110955586,0.09706591108437862
NEXN,8.684579849030628,4.408108995377541,1.1965738333617808,3.683942329737342,0.00022965422111647006,0.09706591108437862
MXRA5,16.321230801594485,-3.542318769532049,0.9660169486604386,-3.6669323187798413,0.00024547773434103825,0.09706591108437862
NIF3L1,45.12415334404982,1.83129814167364,0.5074272080770442,3.60898689018581,0.00030739514184745443,0.10290906248737558
WIPF1,21.810611392764965,3.8828995051904003,1.0866032079901902,3.5734290830710074,0.00035233669771835994,0.11413530060383115
RBM8A,641.682092995738,1.1781737325609511,0.3302159245839253,3.567888901922157,0.0003598690194943233,0.11413530060383115
THRA,53.144187558918276,-2.3640939828775576,0.670787023600026,-3.5243585515261984,0.00042450939486845233,0.12814011193654135
FDXR,34.1554960676007,2.2440069891727115,0.6389611083998226,3.5119617761908444,0.0004448119692377934,0.12814011193654135
HAUS1,85.53813172963194,1.850199474933431,0.5253333917332115,3.5219529237026825,0.00042838020732171797,0.12814011193654135
