,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2,827.4364778381591,-5.166460842768259,0.792493827339189,-6.519244269844644,7.06625000072458e-11,8.516244500873264e-07
GRB7,639.9986747982681,-5.147465951078377,0.8320179042387245,-6.18672497893922,6.142699447910893e-10,3.701590687311104e-06
GNAI1,34.794095927153336,5.288952218634415,0.8842295577005213,5.981424362683117,2.2119476690485423e-09,8.886131102457677e-06
MIEN1,1823.104381700154,-3.8194622650120738,0.6763202923688302,-5.647416332333166,1.6287705863916278e-08,4.9074857767979744e-05
CCDC88A,24.340920981741597,5.221257915873108,0.9313842014162869,5.605912047824655,2.071611468261755e-08,4.993412283098135e-05
PGAP3,123.64716964652128,-4.593782098310837,0.8357880251891586,-5.496348308258132,3.877363190396235e-08,7.788330195109237e-05
MXRA8,11.766331707691588,-3.3491853496479616,0.6507053107065659,-5.14700786137931,2.646742390124842e-07,0.0003987317410723074
MSL1,130.3144158881225,-3.628452003145774,0.7027773457495035,-5.163017881966691,2.4299991620829287e-07,0.0003987317410723074
STARD3,345.49456130914064,-3.6918428245370865,0.7625457021709762,-4.841470896795259,1.2888155375853357e-06,0.0017258672065531629
ACSL4,14.88229026886387,4.934671925530226,1.0601924248606345,4.654505927241372,3.247584954811309e-06,0.003913989387538589
CCDC28B,28.73145962661873,3.1609791636663584,0.7015658336855801,4.505605905949819,6.618381969539009e-06,0.007251339954262194
ESRP2,34.48109221473006,-1.9380522328729533,0.4518044903695603,-4.289581609265756,1.7901002707969876e-05,0.017978573719704412
SOAT1,24.52781694071857,2.8226962695205535,0.667735769635986,4.227265331403974,2.3654866990624168e-05,0.020363461212214464
ANP32E,141.98836952383866,2.692564847519236,0.6351723296632098,4.239109170493819,2.2440851452782648e-05,0.020363461212214464
ARNTL2,12.82090034437947,3.768627108616762,0.9264585959821965,4.0677771515751395,4.746373985796203e-05,0.035752062048009896
CDK12,164.51306574567786,-2.579884984460792,0.6321862009284893,-4.08089417432985,4.4862778714391565e-05,0.035752062048009896
CNTLN,9.407222132592905,3.073034377907066,0.7673590156067165,4.0046892203089,6.209906718163388e-05,0.04402458574547362
