,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SIGLEC8,5.716952569809706,-2.4037490456354895,0.5029071607162751,-4.7797073364632645,1.7555055022983502e-06,0.02102568940102734
TFF3,2.204823830345627,-3.7688196105521894,0.9506452780306689,-3.964485700028484,7.35543557047616e-05,0.4404802591379649
RBP4,7.393553585777431,3.088774932450913,0.9075705049071072,3.403344330551001,0.0006656633312298232,0.7972649718139593
MGP,61.337988908669146,-2.4633731392953298,0.7219016519195529,-3.4123389699208535,0.0006440796804184053,0.7972649718139593
MAMDC2,1.4902173949961997,-2.913030758523246,0.8137907394195939,-3.5795820933043023,0.0003441441260741362,0.7972649718139593
AGR2,19.113509600863654,-5.566333171755441,1.5999451988237372,-3.4790773933055648,0.0005031432565293487,0.7972649718139593
AZGP1,13.525112469136728,-2.9502650703193094,0.8574977767367745,-3.4405512764669828,0.0005805304251892477,0.7972649718139593
CLU,8.626710202385917,-2.2758525199082866,0.655280474482363,-3.4730968013446297,0.0005144897555808994,0.7972649718139593
WIPF3,4.428059114020904,-3.2575351772828656,0.9164207668463277,-3.5546282833517604,0.0003785138098857038,0.7972649718139593
SPARCL1,12.333438894481455,-3.6087471018095223,0.990095470228655,-3.644847603409507,0.00026755029540531937,0.7972649718139593
FOXA1,0.9954540793325714,-3.215639961340493,0.962186196121629,-3.3420142320707407,0.0008317279602486696,0.9056005254453015
PIM1,17.31081979092661,1.2172558278177863,0.3669839499419296,3.316918432019714,0.0009101618448012785,0.9084173679320761
IGFBP3,1.5812324571735732,-2.605952083113259,0.7928590686852314,-3.2867784276398733,0.0010134053678053068,0.9336581607849354
AQP3,2.9087604365743194,1.8279886036197786,0.5622974591798686,3.250928087574798,0.0011502894911020899,0.9840726596378379
APBB1,1.2752247333989915,-2.519855446548746,0.7935456581350905,-3.1754385153724507,0.0014961022308999986,0.995489801082738
ZNF812P,2.972062520829963,-2.4811909926407862,0.7761962815876025,-3.196602523740325,0.001390563991856788,0.995489801082738
AGR3,9.909825765973922,-5.129536424540421,1.6085648372644865,-3.1888900625626464,0.0014282018203332382,0.995489801082738
HTR2B,2.1641798043089007,-2.183481034001698,0.6851157011318253,-3.187025243173587,0.001437442287669447,0.995489801082738
LRRC39,1.7390925147713614,-2.1455317097994087,0.9500150783764847,-2.2584185858039074,0.0239195750729774,0.9998513750290299
AC240274.1,3.223017818588855,-0.61159366055866,0.7332791631904515,-0.8340529654458673,0.4042511379225826,0.9998513750290299
AL592183.1,4.183407352000532,-1.181537776491894,0.8277791232578408,-1.427358752225819,0.1534765137374764,0.9998513750290299
