,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARRDC2,32.63484306780684,-1.4604892761975112,0.23724418747204098,-6.156059255907497,7.457732929054926e-10,9.9389206745515e-06
MT1F,23.816661572869386,2.2069114581223506,0.4483463027236356,4.922336695352898,8.551691840353023e-07,0.005698419857819237
POU3F1,2.4132159033235685,-3.840346154191759,0.8174100430985591,-4.698188120657468,2.6247961682716866e-06,0.011660219511518922
FOXA1,0.8177270341236519,-3.869450087190038,0.863390416313873,-4.481692191708734,7.405350057023394e-06,0.024672775052487692
KLHDC7B,9.700874246562229,2.2569429362380986,0.5225903939898281,4.318760853996923,1.5690769050027623e-05,0.034851813188286354
RP11-405M12.3,4.3161251362371384,-2.4058648026247753,0.5560153248108627,-4.326975706008045,1.5117062750736327e-05,0.034851813188286354
TNIK,3.1672470502821986,2.55776039711664,0.6005473016760471,4.259049020748696,2.0529844857848736e-05,0.0390858917743643
SLC19A2,13.992100268570491,-1.4267365576789348,0.33900405739901507,-4.208612040296719,2.569441161590159e-05,0.04280367795064006
KCNAB1,1.0930927159497006,-3.181340427214532,0.7684438824029721,-4.1399775573283,3.473398010470951e-05,0.051433305872829294
FAM46C,15.437517040722401,-2.6869642273632066,0.6955210697574201,-3.8632391514758146,0.0001118933664786446,0.13530424589657178
CD24,34.93576243346641,3.538916287358935,0.9219608185956977,3.838467119187671,0.00012380478924128304,0.13530424589657178
HSPA2,20.691160577912395,-2.083548497190023,0.5394136228968451,-3.8626174956439145,0.00011217858144067909,0.13530424589657178
MTRNR2L8,64.6269358197639,-2.1008783376027305,0.5495759446107605,-3.822726154964236,0.00013198433230700331,0.13530424589657178
PIP,8.045501640361344,-5.014458549270689,1.3199032263889698,-3.7991107598012257,0.00014521618790987794,0.1382354383053531
CTA-228A9.4,1.0663899349303252,-2.650282506383763,0.7061038596176403,-3.7533890663321228,0.00017445975736278977,0.1550016790915933
ATF5,116.82086161356226,1.3087510483555398,0.35530512554661875,3.6834567087713506,0.00023009237552976656,0.17043077425717487
SERPINE1,25.137967633672684,-2.5975906988203152,0.705225503669819,-3.6833476459701138,0.00023019088591799713,0.17043077425717487
TUFT1,7.636159218644469,-2.2296488229245837,0.6020669188053187,-3.7033239217807803,0.000212792893066597,0.17043077425717487
TMEM45A,4.001351253953729,3.2425188031066647,0.8938092781068212,3.627752455171028,0.00028589917465274804,0.19374072474733026
