,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDKN1C,3.7608138398288258,-3.518970495399826,0.8555560830521305,-4.113079861282933,3.9041524847958356e-05,0.20018541865790646
IL7R,756.6819675960049,-1.2138282424542632,0.2861509477854311,-4.24191585541924,2.216197868787221e-05,0.20018541865790646
KIAA1683,6.4646215180727475,-2.610198274187784,0.6831417279444899,-3.8208737183155663,0.00013297973328877345,0.2897954601368119
ATP1B3,71.70698642790131,-1.3878825175117284,0.35958474135118645,-3.8596813432532735,0.00011353497789371953,0.2897954601368119
U2AF1,8.001847974156107,-1.3594611668200058,0.35719920420513873,-3.8058908049505904,0.0001412947148399863,0.2897954601368119
HIC1,2.0699987074700004,-2.867847299094861,0.766059707003181,-3.7436341748267314,0.00018137767524460723,0.2959342549243394
SNAP47,5.838328582473068,1.569927447213224,0.4224211260517485,3.71649841921235,0.0002020029043852146,0.2959342549243394
PIGK,5.892617138918529,-1.4595135813368503,0.40462675714971796,-3.6070614598450996,0.00030968432729689565,0.3035323582415731
HOMER1,3.857260482102188,-2.524410678967018,0.6997273378269511,-3.607706234269395,0.00030891596946600264,0.3035323582415731
CDK4,9.927791441107686,1.537794544142108,0.42787289140378165,3.594045276149309,0.00032558322190709936,0.3035323582415731
PLEKHO2,3.4502103883046633,-1.8937393634477977,0.5193394274019295,-3.6464386555850425,0.0002658999182316477,0.3035323582415731
RP11-134G8.5,2.944546612189626,-2.840569468500461,0.8123941229609917,-3.496541134673934,0.0004713318196090916,0.3452505578636596
EZR,189.52299155930643,-1.142177613421159,0.32566350732008364,-3.5072324277910303,0.00045279346632071474,0.3452505578636596
KIAA0513,2.8749868326562438,-1.8881635354011033,0.5350419085104278,-3.5290011966685104,0.0004171312442863183,0.3452505578636596
NCKAP5L,2.6772793146931178,-1.9743971261242188,0.576098210718508,-3.4271884366065923,0.0006098657034908762,0.41694485261992903
SASH3,13.214775382839301,1.5559770183698447,0.45905007152136557,3.389558383496352,0.0007000529998953491,0.4222966772898121
P2RY14,2.6771813754860583,-2.2769673008218483,0.6712500798447734,-3.392129653598547,0.0006935161510645818,0.4222966772898121
PER1,30.1148103304426,-1.1736054418029849,0.3501524056567534,-3.3516989255057243,0.0008031731342967093,0.4575855829007085
ID1,12.16286467192512,-1.7086895214695526,0.5140214236506444,-3.3241601280628075,0.0008868525845390216,0.4605723063331398
RAB33A,3.0461242279202967,1.8710770564892654,0.5658001256233871,3.3069576547508728,0.0009431514805456788,0.4605723063331398
CNOT6L,62.85059737654337,-1.2697249475910348,0.382469528264681,-3.3198068179495466,0.0009007975877958682,0.4605723063331398
SAP30,2.817087371162094,-2.4174458305492,0.737465635199872,-3.278045396507202,0.0010452858354944785,0.4660611409998207
NFKB1,17.828653423541823,-1.523282000482618,0.46455273507658534,-3.2790292370821845,0.0010416484344118167,0.4660611409998207
ZNF703,1.7572494961632372,-2.3380039335364375,0.7524172423307954,-3.1073237055199603,0.0018878955038917162,0.5142270755331179
ID3,30.998461815034766,-1.5291424172150425,0.49829127332489054,-3.0687722203355294,0.002149404044755837,0.5142270755331179
NBEAL1,148.17545634157693,-1.8023243670194182,0.5818203498209029,-3.097733462870821,0.0019500672941656927,0.5142270755331179
IDH2,31.173372176116555,1.418630571535984,0.4418799517090402,3.2104433931641547,0.0013253036875541494,0.5142270755331179
MTRNR2L8,20.833090049232222,-2.0150748982092144,0.6541576486596464,-3.080411736128218,0.0020671461335940795,0.5142270755331179
TRGC1,3.323777864183486,-2.023183100638813,0.6428810411661181,-3.1470567198077157,0.0016492296589116064,0.5142270755331179
OGT,24.929677151580798,-0.996746589440642,0.32396983869838697,-3.076664770539347,0.0020933057361333424,0.5142270755331179
MAPKAPK2,8.821127166037737,-1.320972679714987,0.42568992242650744,-3.103133548910931,0.0019148321035846526,0.5142270755331179
KLHDC7B,3.3080701520453317,2.05090801394537,0.6685207826910537,3.0678298521845124,0.0021561934907775786,0.5142270755331179
COPB1,18.405373460731784,-0.9269418611054158,0.28997087379460784,-3.1966723035844873,0.0013902276716328678,0.5142270755331179
HAT1,11.154355401097975,-1.0046460467352394,0.3234676305946768,-3.1058626944781302,0.0018972479014246768,0.5142270755331179
SGK1,37.57630656522,-1.2266404062296659,0.3955173310665713,-3.1013569062115374,0.0019263595149256383,0.5142270755331179
RP11-138A9.2,41.730188194118156,-1.8274009492996623,0.5848739157582784,-3.124435711807168,0.0017814644562006532,0.5142270755331179
NEDD1,5.5598692451587475,-1.182366800566846,0.3734102573890654,-3.166401503895777,0.001543376039594232,0.5142270755331179
CCNE2,3.7834507046212575,-2.032698465681983,0.6480348268344114,-3.136711765340641,0.0017085400249344956,0.5142270755331179
EIF4A3,50.49103351282133,-1.4294451395871215,0.46374774489656534,-3.0823764758272754,0.002053549391088793,0.5142270755331179
EGR1,40.65609985076095,-1.2650534056812641,0.39564316851068604,-3.1974605057463434,0.0013864339530455848,0.5142270755331179
C17orf107,1.3525165522002125,-2.042685117529115,0.6620062667931035,-3.085597856081194,0.0020314336614329995,0.5142270755331179
NKRF,4.730186581241406,-1.6572807702957417,0.5361511672492795,-3.0910699659545857,0.0019943663434314474,0.5142270755331179
IER5,20.558820906020976,-1.9715866604884351,0.6255224829670311,-3.151903751143586,0.0016220973235764882,0.5142270755331179
NUPR1,7.854419671778569,2.8046101724060897,0.9343888077594948,3.0015451267348405,0.0026861322267757912,0.5167189360671438
THAP3,2.395672210153337,1.592648842656277,0.5379435021793529,2.9606247425687475,0.0030701576352519344,0.5167189360671438
PRNCR1,0.8778815047882698,-2.1827288728276666,0.7236387477673651,-3.0163239317435897,0.002558597616989244,0.5167189360671438
ACVR1C,1.417971928116192,-1.7953344182413942,0.6010207982723467,-2.987141914892363,0.0028159896947005034,0.5167189360671438
USP53,8.032192528928736,-1.4623298449771298,0.48882302650155035,-2.9915322431573133,0.0027758122318053934,0.5167189360671438
SLC16A10,1.8657853099399082,-1.839211535780337,0.6093336359313692,-3.0183981768363957,0.002541147806470804,0.5167189360671438
AHSA2,4.581393079111364,-1.2698292333336516,0.4244874210820573,-2.991441372035809,0.0027766384918306644,0.5167189360671438
CMB9-22P13.1,4.359679858002821,-1.5324313134100338,0.5081196235971853,-3.0158868940375294,0.0025622881919292817,0.5167189360671438
HSP90AB1,428.4333380851087,-1.1506896674173273,0.38724481695987484,-2.971478550574269,0.0029636957536746185,0.5167189360671438
NMI,10.625317529528068,1.0961328472993976,0.3604365179751339,3.0411259476627683,0.002356952167891144,0.5167189360671438
MKNK2,18.474336751314368,-1.4087495468230957,0.4649027764645485,-3.0302024813364845,0.0024438983653627105,0.5167189360671438
