,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TUBB2A,68.19377845529858,-1.9899702774914103,0.4067285325385166,-4.892625223687652,9.949976764428054e-07,0.010205691167273854
KLHDC7B,8.66296389710396,3.1682067038935378,0.6763037413251193,4.684591419952661,2.8051894218730097e-06,0.01438641395007573
OAS1,22.69178793830276,2.060737720804234,0.459511728129023,4.484624862992863,7.304232419449172e-06,0.02497317064209672
TUBB4B,265.06879241758423,-2.012396212044442,0.4714805911112615,-4.268248258748683,1.9701399757503064e-05,0.04041545146254179
RSAD2,17.603871837743004,2.7674643710178666,0.6474850549253763,4.2741749017462976,1.91846399345073e-05,0.04041545146254179
HSH2D,14.997696226326415,1.569671713082433,0.37541333047760633,4.181182674268582,2.8999675869244846e-05,0.04957494589847406
HSPA8,1478.7736701692115,-1.662083574506868,0.4131730224548125,-4.0227301497852395,5.752739453002906e-05,0.07375731071181352
MX1,66.4179474452911,1.7053611849736978,0.4220347498198568,4.040807506257771,5.326746838636699e-05,0.07375731071181352
SLC25A4,19.050478038219612,-1.728413186439186,0.44261881912771983,-3.90496994647768,9.423709564838217e-05,0.10739887667393956
ID1,23.652213698558374,-1.6817729330765194,0.439962418779949,-3.8225377016069015,0.00013208527541308271,0.11373519306502107
ETV7,10.625048746623369,2.220783106035933,0.57525902661247,3.860492410025214,0.00011315875591304912,0.11373519306502107
TMEM140,20.42785202381217,1.3577861189668778,0.35722423295381217,3.800935081418272,0.0001441510685234741,0.11373519306502107
IFI35,35.97254269230177,0.9641390583953876,0.2536334747510963,3.801308401194074,0.00014393401670530022,0.11373519306502107
PSPH,4.770389073001987,2.6158456915355095,0.7051729579702647,3.7095093650000868,0.00020766127650773852,0.133040461017674
AUTS2,8.78421664025001,-1.7254797318498134,0.47164549740742506,-3.6584251123662894,0.00025376986784848214,0.133040461017674
HIC1,3.4724380863546855,-2.556318251284213,0.6841053926151457,-3.736731618957301,0.00018642772158657475,0.133040461017674
USP18,9.674398740386321,1.4990343851460812,0.41038150991901196,3.6527824692733186,0.0002594139826804602,0.133040461017674
