,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACP5,9.085110401823968,2.5900128424912356,0.5347129955789236,4.843743959667705,1.274151048076028e-06,0.005957677140428494
CD55,41.953797189959175,-1.277360866132686,0.2640399478023627,-4.837756092456159,1.3131313952895072e-06,0.005957677140428494
LRRC8C,3.3645752352934277,-2.2016916560772413,0.4952580068818724,-4.445544797829756,8.766940882527809e-06,0.026517073856019112
ERRFI1,5.659454255711115,-2.1304860412153874,0.48875510806329103,-4.359005166529127,1.3065502867001276e-05,0.029639093253792395
TOB1,20.399009831789368,-2.0006582841967484,0.482519247834622,-4.146276636994285,3.379255160961619e-05,0.06132672266113146
RP11-138A9.2,8.247189500536145,-2.574312166392807,0.6359955698521531,-4.047688833730784,5.1725847828367527e-05,0.07822672386576782
SSNA1,13.431790880867256,1.2233958566261485,0.308786668056975,3.9619451977130584,7.434160631628018e-05,0.09322598637040008
EMP1,2.293959707316182,-2.5026539148224463,0.6355272130961686,-3.9379177842440285,8.219174465100294e-05,0.09322598637040008
MED26,2.2078593746254467,-2.192011176725852,0.5642221570843232,-3.885014349761268,0.00010232384443518144,0.09878004682519068
KLF9,6.656917499761063,-1.8531973699554636,0.47886934775001416,-3.86994360499953,0.00010886053209741093,0.09878004682519068
C4orf32,3.3376315641614673,-2.369851202526802,0.6162910446228375,-3.8453442139129606,0.00012038332790475695,0.09930530158252406
WARS,5.4445434747976655,2.09001519315058,0.5521363090677023,3.785324672234705,0.00015350803057486315,0.11607765578635901
CCL5,571.3238861179206,1.0183043276578922,0.271176778377935,3.7551310025473366,0.00017325083586172633,0.12092908343148498
LGALS3,24.92353727920748,1.4204528157766783,0.3803706106282324,3.734391606729585,0.00018816951060254217,0.12196072422910482
CREBRF,8.412316521661275,-1.23893549475756,0.335632222502669,-3.6913484811420556,0.0002230682662717841,0.13494142987667793
NFE2L2,36.37819199646506,-0.8249702370091587,0.22662395069140684,-3.640260592458377,0.00027236224877007914,0.15446344033373113
IRAK3,1.3436228576447728,-3.142856819657478,0.8771414643537864,-3.5830672102280614,0.00033958318775188307,0.1812575203329757
PLIN2,14.236017466086322,-1.2640877967104243,0.36215489909133136,-3.4904616778127187,0.0004821867620784807,0.1988801217772788
ELL2,15.149366623488849,-1.6520879349816793,0.47143442814536146,-3.5043854168246633,0.0004576624698392537,0.1988801217772788
IDH2,18.43369789938121,1.2461739618337018,0.3554915542014839,3.5054952701559854,0.00045575859923816984,0.1988801217772788
AC013264.2,1.0561186220975451,-2.472173828900298,0.7014965876556034,-3.5241423442447313,0.00042485594619035466,0.1988801217772788
MIR22HG,4.830118430977264,-1.8513606922439159,0.5291532947183013,-3.498722791151667,0.00046749234352613995,0.1988801217772788
SNAP47,3.872755537445933,1.86782945089429,0.5381111186173252,3.4710850348040974,0.0005183598206899157,0.20450421795392587
GRASP,5.048000855531263,-2.3966687996533445,0.6933098479479294,-3.4568509400912837,0.0005465270660915621,0.20663277490478477
BCL6,2.8577752355982864,-2.017959461939486,0.5903262083760553,-3.4183802672267363,0.0006299502730170195,0.22446095676460612
UBE2S,24.057823024722143,-2.3500126284101195,0.6886018338858647,-3.412730714277523,0.0006431546039100462,0.22446095676460612
JOSD1,11.897378320474699,-1.111769759676675,0.33389916420109417,-3.329657210543661,0.0008695296130988189,0.2668867090458162
H3F3C,10.713497876998742,-2.989935742181934,0.8971202825461346,-3.3328147856563217,0.0008597215398537376,0.2668867090458162
B4GALT4,6.9408559002584385,-1.2708432551128992,0.3821425497208222,-3.325573810195504,0.0008823673431093769,0.2668867090458162
SLC38A2,25.537681158831052,-1.3990989598944827,0.41888097620908166,-3.340087135387432,0.0008375210757175144,0.2668867090458162
CAPG,27.624056896476475,1.4145866508105414,0.42775097200097395,3.307033165098969,0.0009428972797939973,0.2706473600854028
SIRT1,2.9084046382740905,-1.8943758283311882,0.5734243993014132,-3.30361915300265,0.0009544539919255995,0.2706473600854028
CNOT6L,27.410437832414257,-1.1631504382942381,0.35352534809703295,-3.2901472116646797,0.001001349800568036,0.2753408512228594
BZW1,37.56413534556887,-0.8897685432256213,0.27205897023814124,-3.2704988276871765,0.0010735798720561353,0.2850679247308918
ETV3,7.620387489007961,-1.675399550859723,0.5133388024289255,-3.263730586763293,0.001099556685649241,0.2850679247308918
SLC25A28,0.954762014955494,-2.4560239887487634,0.7675201954031382,-3.199947054759572,0.001374528349464675,0.29993836185709083
MAT2A,19.95429390791263,-1.0936175556190062,0.3420313546466427,-3.197419010747823,0.0013866334355081625,0.29993836185709083
SGK1,5.535067682332794,-1.6870567455146286,0.5238785407983674,-3.220320387515071,0.0012804740360116479,0.29993836185709083
MKNK2,10.40151611714683,-1.7114074654176201,0.5298042975664082,-3.2302634638464855,0.0012367619287339635,0.29993836185709083
MOB4,16.26996232939022,-1.2726979303410941,0.3952121898198883,-3.2202901710119467,0.0012806090217481144,0.29993836185709083
MTRNR2L8,7.4853038472905205,-2.1544724610908266,0.6738890240870046,-3.197073084859543,0.0013882974650647802,0.29993836185709083
AKT3,2.9368222573101472,-1.6470726032294603,0.5135554045517152,-3.2071955404056105,0.0013403585483492517,0.29993836185709083
ATG4C,2.0278295154327344,-1.7020979419152953,0.5342351930112228,-3.1860460789215335,0.001442316232603648,0.30436226731733723
ASCC3,4.84031454636231,1.250164114729498,0.3980332708735822,3.140853306020636,0.0016845638599064618,0.33968294366202745
NXF1,5.99793532114209,-1.3107601814127836,0.4164629013223766,-3.1473636121027435,0.001647499454387656,0.33968294366202745
CD24,13.951632938458609,4.667037692166113,1.489793331848978,3.1326745746498053,0.001732213810980444,0.34169800262688155
PARP1,15.016032646791794,1.3191358478863344,0.42229787877259406,3.1237093866547325,0.0017858674819566651,0.3447864155590379
PLA2G16,15.427682074073678,1.0055131177802519,0.32400000061854983,3.1034355427796987,0.0019128789839458896,0.34817746462874416
USP7,3.4769243311679094,-1.4516801444154606,0.469002520137946,-3.0952502003368405,0.001966469380380029,0.34817746462874416
SEC22A,1.2446011359972395,-2.359862837189352,0.7663319645682174,-3.0794263404097926,0.002073996496669809,0.34817746462874416
LGALS1,112.27475742409764,1.317352161198573,0.4291603918860917,3.0696033140640493,0.0021434325654117003,0.34817746462874416
TTC39C,8.882552123432285,1.1490152680966648,0.37603367081289446,3.055618039769603,0.002245971756218503,0.34817746462874416
BBS2,2.6078114837865622,-2.37601224770012,0.7786777502297788,-3.051342159190996,0.0022782079539027315,0.34817746462874416
ASTE1,4.755844131857873,-1.217810942769316,0.3940526100071384,-3.0904780525302313,0.001998345727957548,0.34817746462874416
CPEB4,3.327145595252599,-1.5127613108229376,0.4935457073617287,-3.0650885789473743,0.0021760553842408606,0.34817746462874416
CTD-2341M24.1,2.1491857104767593,-1.8276231336814426,0.5953585225496563,-3.069785792020821,0.002142123483952008,0.34817746462874416
OAT,14.629247245775609,-1.1033186779580568,0.3615473771342443,-3.0516572591491635,0.00227581800171595,0.34817746462874416
CHPT1,2.5848421373976453,-1.76861145198531,0.5704436053788339,-3.100414195739416,0.0019325019580944502,0.34817746462874416
TSC22D1,6.693045946825082,-1.2312458854191317,0.3996206627138468,-3.0810365936978097,0.0020628129529574905,0.34817746462874416
ZMAT1,2.9021489031777885,-1.4217449408363358,0.4664228835851297,-3.0481886521265515,0.0023022534579815574,0.34817746462874416
ACO1,0.9190892891300044,-2.224338861868545,0.7329779298170169,-3.0346600782698,0.002408069251655522,0.3582101703200362
METRNL,16.775965811302232,-1.6566895842698235,0.5508884567841836,-3.0073049523323903,0.0026357520737420315,0.3679509894943876
KLF7,1.571605224167479,-2.1618296696629407,0.7155170726915882,-3.021353021711561,0.002516477787082365,0.3679509894943876
MEPCE,3.771154144910091,-1.463190897915352,0.4864326202783453,-3.0080032401570613,0.0026297033421035917,0.3679509894943876
DNPH1,7.470278211435407,1.4521482118935527,0.48260706614921894,3.0089659139896594,0.0026213852418975076,0.3679509894943876
IRS2,8.658638144862275,-1.4459896592754131,0.48532414222986936,-2.9794307215620304,0.002887845242527528,0.39199587444879463
MICU3,1.2125845863359226,-2.540543906003257,0.8533372015311605,-2.977186394129667,0.002909070896366767,0.39199587444879463
C7orf43,1.4715471417973705,-1.9550628213866623,0.6573420681910553,-2.9741939790447534,0.002937593063975979,0.39199587444879463
TUBB2A,9.591522724749542,-1.5802414895393282,0.5350388296133557,-2.9535080485303937,0.003141844155818146,0.39699819556363203
C20orf27,4.598115119262585,1.6820927183216352,0.5692598339507868,2.9548768734437956,0.003127938569877198,0.39699819556363203
SKIL,21.522402068065375,-1.0503242902134466,0.3560156531787628,-2.9502194098360532,0.0031754833329187973,0.39699819556363203
CUL4B,1.8584868435832813,-1.5272720210829729,0.5155977534426034,-2.962138626255651,0.0030551020015282663,0.39699819556363203
CA2,1.0484864114336172,-2.6984325912038174,0.91520732892152,-2.9484385733488927,0.003193836045420447,0.39699819556363203
SMAP2,14.987770039669916,-1.388515705113933,0.4731537705738212,-2.934597146779574,0.0033398098774612183,0.4008551951522085
LTB4R,1.318012749303378,-2.0976180602304746,0.7161779546549875,-2.928906211921846,0.0034015704239277115,0.4008551951522085
CSF1,13.727372814212025,3.1385675815623206,1.0712995254746223,2.9296826022319276,0.0033930838842013834,0.4008551951522085
CUL3,4.774967138580131,-1.3384552990351122,0.45538336866373286,-2.939183534441863,0.0032907814204071253,0.4008551951522085
MT1F,7.22508202446835,1.714195126431659,0.5884707253447489,2.912965849622201,0.0035801375202305264,0.4164893315201512
RNF19B,1.8666069306690782,-2.194256786561711,0.7600350923335504,-2.8870466754694735,0.0038887653692193107,0.4179869742663172
CHRNE,1.9448904406453806,-1.9567834148912007,0.6817145272479164,-2.8703853837334834,0.004099717953460682,0.4179869742663172
NMD3,4.481261723200181,-1.108455785583442,0.385401411835493,-2.8761072262407326,0.004026129176325633,0.4179869742663172
GTF2B,24.226116638590113,-0.9803097255175878,0.34009633711153775,-2.882447173184597,0.003945992956101652,0.4179869742663172
SLC9A1,2.153280394304159,-1.7429921516376965,0.605131367371734,-2.8803533341992025,0.003972297212477912,0.4179869742663172
WDR47,5.3046231360404565,-1.8858565608003999,0.6504697219489552,-2.899222665045722,0.0037408912614746,0.4179869742663172
SLC12A2,2.194545486562991,-1.9563689613131874,0.681248978289757,-2.871738562051951,0.004082205326029331,0.4179869742663172
SNHG12,26.969317957771718,-1.5948694897305484,0.5551988955475288,-2.8726092622315327,0.00407097278429288,0.4179869742663172
DNAJA4,6.572574846701412,-2.199153016806121,0.7659690562902881,-2.8710729222626488,0.0040908114322793735,0.4179869742663172
SLC19A2,2.9024454541188103,-1.5396947365634337,0.5352002443049596,-2.8768573126549404,0.004016571715254142,0.4179869742663172
PRCD,1.1029012031537577,-2.247404665373328,0.7812939087806962,-2.8765163021438056,0.004020914251170204,0.4179869742663172
MT1E,4.841830054428694,-1.9684785408661942,0.6887183759620465,-2.858176301912223,0.004260835851455838,0.4262565599868987
PRKCA,1.4801465216274052,-2.452984597117458,0.8585456195631973,-2.857139494073086,0.004274779254882939,0.4262565599868987
TYMP,14.096371525983367,1.3269461825521802,0.46561516868237,2.8498774778048235,0.00437360733681995,0.43137079319895905
NBEAL1,46.44511046772098,-1.5454246330207557,0.5454690033336917,-2.8332033966654913,0.00460840528132787,0.4401754686607273
TAF10,4.600506371216737,-1.4688855335689248,0.5180253877838853,-2.8355473847581547,0.004574722815483859,0.4401754686607273
ZNF701,1.5119327122241413,-1.6975635521247159,0.5978405866643411,-2.83949198162723,0.004518543070464554,0.4401754686607273
CDK4,5.080408180286558,1.1685827690168487,0.424680180536803,2.7516771975083465,0.0059290933209080006,0.4572964797099318
GADD45A,6.267298407920546,-1.5822917478197807,0.5888284386894648,-2.6871863582904267,0.007205673815164395,0.4572964797099318
HSPA8,300.82099163967797,-1.1016187691113772,0.41119406797523905,-2.679072620224944,0.007382638056387413,0.4572964797099318
CBX4,3.6375610457993925,-1.5649110768223629,0.5707857362508987,-2.741678667552546,0.0061126107108230915,0.4572964797099318
MAP1A,1.5751459271626866,-2.182175526249616,0.7812834595815259,-2.793065051471128,0.005221119108615097,0.4572964797099318
ZNF814,1.4927479346799097,-1.8716670035162188,0.7086756156763674,-2.6410771897800944,0.008264288810038805,0.4572964797099318
XPO1,6.362360718352706,-1.1043740545539429,0.4184535706901584,-2.6391794261248407,0.008310698220503746,0.4572964797099318
PTBP1,13.010905030850413,-0.9668839961166267,0.3652360340145632,-2.647285333511407,0.008114085735130578,0.4572964797099318
CD7,224.1041512460733,0.9164710655476602,0.3339540333861699,2.744303029536682,0.006063953295748301,0.4572964797099318
HPCAL1,11.428358544009836,1.053621571505828,0.391607928560694,2.6905011228405984,0.007134479494916922,0.4572964797099318
DTHD1,4.269702498601259,-1.3240491630693576,0.47378340596629914,-2.794629669160551,0.005195919849588384,0.4572964797099318
C19orf70,15.177816864897542,0.8027155479518543,0.293764444851189,2.7325143053254197,0.006285294194751277,0.4572964797099318
CRTAM,35.218242826788455,-1.918171248915255,0.6891925116492692,-2.7832154535820237,0.00538230509679479,0.4572964797099318
TAGLN,2.282678778411688,-2.0623337654333835,0.7718366438655657,-2.671982189268264,0.007540465057326394,0.4572964797099318
SIK3,3.837762050266543,-1.5742582967246161,0.5611434392869296,-2.805447211010963,0.005024681112469569,0.4572964797099318
PDLIM7,2.657374264113683,1.5905941377811328,0.578524039467006,2.749400248339804,0.005970443227992619,0.4572964797099318
TSC22D3,295.8719762945104,-0.9279242872932333,0.3404005637264388,-2.725977528165773,0.006411136304707746,0.4572964797099318
RP11-214O1.3,0.8292952730027583,-2.2701376799431086,0.8299008810151751,-2.7354323050798137,0.006229839877315365,0.4572964797099318
LMNA,51.22808845940774,-1.3978159982341742,0.5166147571816582,-2.7057221629901247,0.006815604226515907,0.4572964797099318
UBB,254.96148347510072,-1.046180817794788,0.37489016059074004,-2.7906329047053395,0.0052605098009328366,0.4572964797099318
RELL2,0.6808134621829032,-2.2605899128888387,0.8508617844314428,-2.6568238863840796,0.007888063867255811,0.4572964797099318
LY6E,74.21935587848063,0.8518438091250579,0.3227714187554763,2.639155016914288,0.008311296658342368,0.4572964797099318
SNX5,8.11039847374285,0.9532771640358899,0.33893524122088176,2.812564313472041,0.0049148193942648065,0.4572964797099318
