,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFI27,23.48322452825168,4.2030095769470215,0.7920949117311066,5.306194389964498,1.1193758419523299e-07,0.000713937911997196
WARS,15.295205540091084,2.3538694093335746,0.5110504685062459,4.605943159026389,4.106005452094585e-06,0.01063301747780949
CD55,93.12779277970546,-1.5525433836939229,0.34011737840284023,-4.56472818585314,5.0014193216413405e-06,0.01063301747780949
SGK1,16.46868098749886,-2.399515263282855,0.5423025349077732,-4.424680153285526,9.658527484500511e-06,0.015400522074036065
SIRT1,7.386908183654141,-2.2673682914668936,0.56371244910648,-4.022207235374731,5.765529529729696e-05,0.04991069829514618
LMNA,158.60733978896698,-2.3553065696822224,0.6011727683924563,-3.917853059080408,8.934113654589423e-05,0.04991069829514618
EIF4A2,139.4512816045556,-0.874722385061361,0.22492959886473649,-3.8888718491308185,0.00010071127555315705,0.04991069829514618
ARRDC2,9.63950925506987,-1.4363067600728878,0.3497188593128277,-4.1070326115529685,4.0077466257035994e-05,0.04991069829514618
MKNK2,18.67449595292405,-1.4911036441457568,0.37886249890189816,-3.935738291511032,8.294131991652492e-05,0.04991069829514618
AFAP1L2,6.017496700943943,3.1272828017211403,0.8037918125127727,3.8906626728938547,9.997082997480933e-05,0.04991069829514618
PLCL2,5.52587100918346,-1.6906703357651185,0.42858097762461217,-3.944809555327376,7.986342458827783e-05,0.04991069829514618
CD151,18.782026598046425,1.5143651756625385,0.38915422974266384,3.8914267401486122,9.96564804097202e-05,0.04991069829514618
KLHL24,16.267852177711344,-1.3828935301117493,0.35582651875767995,-3.8864262701384216,0.00010173080555611482,0.04991069829514618
KLF9,9.423242973160036,-1.3831681831929459,0.3766328552185833,-3.67245757779206,0.0002402290397113931,0.08270259669071578
MOB4,32.43627326538379,-1.2276825183519866,0.33055815162482255,-3.7139683662842597,0.0002040343100162113,0.08270259669071578
PSMB9,157.84648612996267,0.7767154339876876,0.2118697821911936,3.666003834783627,0.00024637023159667607,0.08270259669071578
GRASP,10.512759085370394,-2.611264236005942,0.7098724046977475,-3.6784980212292906,0.00023461151096471845,0.08270259669071578
HHEX,5.254964362149741,-1.8304120126066037,0.4925068230371985,-3.716521126182154,0.00020198475905210822,0.08270259669071578
GRPEL1,22.275187288510956,-1.0388992550678964,0.28257136991590137,-3.6765906446116348,0.00023637188879780175,0.08270259669071578
SLC38A2,49.2121339216415,-1.416518213390529,0.39142794355667715,-3.618847955819033,0.00029591742535079493,0.0943680669443685
TYMS,8.4113399428234,2.732686262018776,0.7611034927771098,3.5904266475611184,0.00033013713065415485,0.10026736282439046
TRAPPC10,7.821487847723846,-1.6068050864414893,0.45202428857715415,-3.554687495884926,0.00037842858437586404,0.10970988687042096
HBS1L,12.643208332839865,-1.2512839500486432,0.35593995497366304,-3.515435490070872,0.0004390334070650126,0.11245727368713952
OAS1,15.207542403377982,1.9340993086869986,0.5592565125035918,3.4583402525412295,0.0005435144891013118,0.11245727368713952
ATP5G1,38.891281788614116,0.8252487988383888,0.23928786269819832,3.448769985794195,0.0005631461815864347,0.11245727368713952
NR1D2,7.818356687324696,-1.5137995986289432,0.4390048328293899,-3.4482526966104037,0.0005642258949495868,0.11245727368713952
CCDC64,7.925922953334839,-2.2521712308296036,0.6528387064645752,-3.4498126543785324,0.000560975714291234,0.11245727368713952
EIF4A3,49.72292124756355,-1.556262255451573,0.44834331739922445,-3.471139626836033,0.0005182544439995117,0.11245727368713952
PER1,17.922117224219736,-1.3046002582730332,0.3778413638265257,-3.4527724679503335,0.0005548568040120998,0.11245727368713952
PKM,66.26011289044955,1.0566265093499243,0.3053930658596612,3.459890310133895,0.0005403954722321824,0.11245727368713952
IKZF3,31.377117375873475,1.2105951877663763,0.35104278693250984,3.4485687580845257,0.0005635659658314734,0.11245727368713952
ANAPC11,54.09568533147703,0.7895801087433304,0.22857057896033364,3.4544258160205077,0.000551465908600864,0.11245727368713952
GADD45A,15.753608263000602,-1.9087676368045638,0.5559488723762375,-3.433351035763607,0.0005961696960635589,0.11522334307555694
MAFF,65.08714521485166,-0.9650867981682395,0.2833044185260287,-3.4065363441536713,0.0006579279016908807,0.12341953402895403
PARP1,38.70203311840017,1.2215626082457942,0.3596676919157561,3.3963645768102997,0.000682873386848604,0.12443904175201133
PSME2,126.5448762142276,0.7936660632672852,0.23505498114991466,3.3765124201350005,0.0007341105755922423,0.1265447905710087
DBN1,5.404456913385839,2.07222691098596,0.6126897593656366,3.3821797725679166,0.0007191306663814859,0.1265447905710087
CCL5,1477.880631109338,0.9042418134193404,0.26850686899272586,3.367667340547021,0.0007580700533963253,0.12723607369899376
MT1F,19.008251259645014,2.2483768325927436,0.6709451262364345,3.3510591919858994,0.0008050309282524243,0.1316535194972811
TUBB2A,19.24745965092002,-1.6308445729183894,0.48985021767520764,-3.32927191633854,0.0008707334920244668,0.13883845530330122
CD38,30.62469437237253,1.7771708787470375,0.5376077614504217,3.3057016772830368,0.0009473889691235316,0.14737675231877767
ITGA5,7.075580140947273,-1.3404836182493889,0.40887354765446066,-3.278479681405637,0.0010436787748021262,0.15837324375342524
NANS,16.60293963982819,-1.3297684774425746,0.4064033559630499,-3.272041084137792,0.0010677405897455761,0.15837324375342524
FAM107B,42.2209158442242,-1.4251698584380654,0.43871321982963285,-3.2485227114685693,0.0011600594760118757,0.16084476821747268
ABHD5,25.814859892152683,-1.4402663223461136,0.44246470828946227,-3.2550987578514063,0.0011335294178171312,0.16084476821747268
KLF2,49.65474030241941,-2.261256681054425,0.6959729329113536,-3.2490583672489484,0.0011578771734700323,0.16084476821747268
ITPKB,6.469196983273755,-1.473070811865873,0.45607675806368403,-3.2298747652038466,0.001238444528050997,0.16455831666477622
SIK3,9.82290248958819,-2.057357403080985,0.6367048188413338,-3.231257785711336,0.0012324673095318154,0.16455831666477622
GBP1,21.05496363261418,1.169035949861328,0.3632759627758166,3.2180382674610346,0.0012907059642017502,0.168002502850587
AGPAT4,7.634757339442965,-1.218506066693867,0.3827454942681073,-3.1835934973549875,0.0014545912838294709,0.1855476641652873
BZW1,78.21714407575806,-0.905230164791991,0.28522181217386494,-3.1737760793700542,0.0015046972531149274,0.18817566824249032
BST2,100.61159720267422,0.7463854924527753,0.23695735491130976,3.1498726542256446,0.0016334164424176391,0.18882150156611643
ACP5,27.83666300860347,1.680609821457958,0.5348851956435209,3.142001003478914,0.0016779746077938095,0.18882150156611643
TRIM28,12.56888312767088,-1.4451957449374415,0.4602029210307478,-3.1403445716957608,0.001687492252942715,0.18882150156611643
IFI35,21.641991008755465,1.0790499240981566,0.34141147916121956,3.1605554879091025,0.0015746860872488744,0.18882150156611643
DNAJA1,407.49571796120483,-1.854581757861107,0.5881738546471151,-3.153118322428315,0.0016153631660062956,0.18882150156611643
UBB,517.8838700342995,-1.0679436318491062,0.337366341927233,-3.165531053715644,0.0015480013719042756,0.18882150156611643
TAGAP,116.8241392127334,-1.3477235207133267,0.43514944335794487,-3.0971509702810702,0.0019539033744663645,0.19170581796245753
KRT19,8.309621242327081,3.2384927020882346,1.046179221100554,3.0955429402253105,0.00196452925388143,0.19170581796245753
