,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFI27,23.478078615231514,4.20264960550694,0.7910663627680847,5.312638488130258,1.0804925525178608e-07,0.0006871932634013594
CD55,93.16388689882933,-1.553703675653331,0.34031246538179527,-4.56552090711763,4.982555327216556e-06,0.010563017293699097
WARS,15.294002859956406,2.3536970842628664,0.5106013755958516,4.6096567630986005,4.033343096666267e-06,0.010563017293699097
SGK1,16.47830128965242,-2.4005462391408527,0.5419133928189094,-4.429759941258807,9.433804142732479e-06,0.01499974858694464
KLHL24,16.271528082345647,-1.3834861972984764,0.35586009739658403,-3.8877250004140436,0.00010118817496583915,0.04950436867559515
CD151,18.780331250487798,1.5138310266057489,0.38892832617241335,3.892313633989883,9.929276820602002e-05,0.04950436867559515
PLCL2,5.526626642939813,-1.6911381857107868,0.42852262425473764,-3.9464385075395234,7.932228172815511e-05,0.04950436867559515
LMNA,158.68450021478688,-2.3561097198115966,0.6006467610909337,-3.922621201739732,8.759080573042744e-05,0.04950436867559515
AFAP1L2,6.016670249195986,3.1271045090146514,0.8026375329728113,3.8960357328824036,9.77799691749424e-05,0.04950436867559515
EIF4A2,139.46559608083487,-0.8754947108525275,0.2251830837524274,-3.8879239784062594,0.0001011052804798336,0.04950436867559515
ARRDC2,9.642180206946461,-1.4370350936333096,0.34989957654161574,-4.106992948767956,4.008434613065209e-05,0.04950436867559515
SIRT1,7.391167467411839,-2.2686661947013707,0.5632943746678811,-4.027496628275364,5.637387562291225e-05,0.04950436867559515
MKNK2,18.68050952598262,-1.4920962932979727,0.37888742213691895,-3.9380993036996945,8.212960581687488e-05,0.04950436867559515
