,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
INMT,4.098366314959514,-2.8235907171292705,0.6673976321057349,-4.230747280628548,2.329162370228512e-05,0.24120805506086468
KCNMB1,34.86160503010551,-1.4189449905221043,0.3500542365985934,-4.053500406993234,5.045691210172051e-05,0.2612658908627088
ACTC1,7.903846602026443,-2.152478674761261,0.945206785295277,-2.277256901079946,0.02277088900985211,0.9996344618246478
RP11-879F14.2,6.4367468727871335,-0.6443719980529736,0.7316824572971136,-0.8806716515157805,0.3784955646932149,0.9996344618246478
MXRA8,56.39606678046205,0.05435415882901374,0.4163188648340507,0.13055896194057867,0.8961242083920161,0.9996344618246478
AURKAIP1,57.200916337468634,0.03876100450337888,0.30246680505192347,0.1281496146220902,0.8980305729054696,0.9996344618246478
CCNL2,18.59499157998538,0.23838594229960267,0.36300062621138873,0.6567094519577542,0.5113677556938497,0.9996344618246478
MRPL20,55.28926873475163,-0.26378340016530005,0.24799930641356685,-1.0636457173207228,0.2874892236673199,0.9996344618246478
VWA1,4.722744310515237,-0.44997524416890206,0.7576828905932784,-0.5938833379444056,0.5525901440095762,0.9996344618246478
ATAD3B,3.3667714763112424,-0.18929121209835378,0.6120298652308744,-0.3092842732877879,0.7571052930122462,0.9996344618246478
ATAD3A,2.4464262748812313,-0.38682381270093824,0.7165783568011417,-0.5398206756170366,0.5893207069693445,0.9996344618246478
SSU72,35.630838776607945,0.15914187955122333,0.3332449868899188,0.47755220877123905,0.6329689530171543,0.9996344618246478
RP11-345P4.9,3.344108657711092,0.12514977462242297,0.6222006001767275,0.20114055593465496,0.8405886709157622,0.9996344618246478
MIB2,4.777443632669046,0.06683282275845205,0.6025237390903143,0.11092147648714344,0.9116786149171747,0.9996344618246478
CDK11B,8.419282076786857,-0.5053152062910671,0.41733130459377954,-1.2108250704627321,0.22596245461263287,0.9996344618246478
SLC35E2B,11.444337124326314,-0.26367845990098804,0.5177280887232762,-0.5092991198357082,0.6105425747823314,0.9996344618246478
CDK11A,6.1185007542771706,-0.21721806697974147,0.4481047303607786,-0.48474843549376195,0.6278548041036438,0.9996344618246478
NADK,5.333911371897752,0.25527469900433164,0.5859558943438024,0.4356551431063041,0.6630869557778132,0.9996344618246478
EPHA3,9.003756124651717,-0.1735482741498041,0.4015361136912735,-0.4322108727765369,0.6655881577242104,0.9996344618246478
SEMA5B,14.677998321629518,-0.04470345375765379,0.538546922174529,-0.08300753735097303,0.9338455463604306,0.9996344618246478
LINC00989,7.008203449409097,-0.8288343008348177,0.6361638621247937,-1.3028629102987757,0.19262156838556288,0.9996344618246478
SLC35F1,2.4909876387216774,0.6452824061489599,0.7219104814601635,0.8938537709603376,0.37140013500251556,0.9996344618246478
DGKB,2.2856278745892933,-0.4772876397174605,0.6519516804250975,-0.7320905123003144,0.46411332435162644,0.9996344618246478
PXDNL,4.168454822310987,-0.30938743323859647,0.9653450843204607,-0.32049413029992774,0.7485937792465878,0.9996344618246478
PGM5P3-AS1,2.1058173072689685,-1.1013942504623835,0.6293743636993261,-1.749982703440011,0.08012129837444643,0.9996344618246478
DMRT3,3.286393054539562,0.5247670311118813,0.7118667749002793,0.7371702818766789,0.4610188033038396,0.9996344618246478
OR51E1,39.72535245193577,-0.3877227709354134,0.42922142544151987,-0.9033164421756934,0.3663579725666529,0.9996344618246478
OR51E2,5.951749187117512,0.025701708822217454,0.6614077018619231,0.03885910120167152,0.9690027244354573,0.9996344618246478
ZP1,2.0619280606802683,0.2665426128541902,0.8357526270003183,0.31892524682915374,0.749783199033324,0.9996344618246478
RP11-598F7.5,2.1287632838987096,-0.9333029880311329,0.7727915038846167,-1.2077034793209653,0.2271613392371119,0.9996344618246478
RP11-598F7.6,11.519036086701059,0.12084865621215586,0.5994398044369849,0.20160265520849285,0.8402273692952069,0.9996344618246478
TRPC4,8.11311501897301,-0.2978953441352348,0.5985628304588544,-0.49768433483728036,0.6187065511231249,0.9996344618246478
RP11-326A19.4,4.024865545074755,0.08807615028784845,0.9803995048426065,0.08983699997072948,0.928416745327541,0.9996344618246478
CBLN4,8.677954917094773,0.009910825714905258,1.1525794812375885,0.008598821926157714,0.9931392172915431,0.9996344618246478
FAAP20,43.81016333580328,0.302554492655024,0.3195813697585466,0.9467213088285249,0.34378080922568177,0.9996344618246478
SKI,15.656171752015458,0.43051360175740727,0.48106697366753554,0.8949140666948682,0.37083302659300177,0.9996344618246478
RER1,45.07815121234907,0.05793695243564554,0.37426449267470097,0.15480216149171952,0.8769772871301098,0.9996344618246478
PEX10,5.2741019186579035,-0.0960470568449811,0.4792823142442554,-0.20039766540609905,0.8411695851939833,0.9996344618246478
PANK4,3.2578988279944388,-0.508396705337544,0.6485758812550084,-0.7838661905740085,0.43311863001811124,0.9996344618246478
RP3-395M20.12,9.701935613026519,0.28610702448257275,0.6701152425380973,0.4269519723188613,0.6694143096339235,0.9996344618246478
TNFRSF14,14.349728966578839,0.20643363448470023,0.5137005339158737,0.40185598584273013,0.6877900165344015,0.9996344618246478
FAM213B,4.153453004966251,-0.5317101344900106,0.49593012227093447,-1.072147285700724,0.28365388299620875,0.9996344618246478
PRDM16,2.625576814721811,-0.73903189689368,0.70889593649598,-1.0425111202451798,0.2971747725304109,0.9996344618246478
WRAP73,7.34533571288422,-0.2730292542970865,0.4014365672195849,-0.6801305027793847,0.49642183206497015,0.9996344618246478
TP73-AS1,4.0743835559030765,-0.15144140439650042,0.4514580424067547,-0.33544956600873826,0.7372859833502778,0.9996344618246478
LRRC47,10.039459244611518,0.040497651846831496,0.5235141904321264,0.0773573144472041,0.9383392971193125,0.9996344618246478
CEP104,6.899119744709288,-0.16187978341288417,0.43999244447760966,-0.36791491636880125,0.7129366775137578,0.9996344618246478
C1orf174,12.803431618219504,-0.42152485560062286,0.4485781220644797,-0.9396910702212797,0.3473760469258118,0.9996344618246478
AJAP1,2.220335024929683,-0.46571172432341484,0.8819535459104398,-0.528045639685774,0.5974676592185135,0.9996344618246478
RPL22,540.1178170397063,-0.3838818010317615,0.2951500236481556,-1.300632797811942,0.19338417502920946,0.9996344618246478
ICMT,16.75673814234008,0.25790104103675254,0.3210937137256883,0.8031955470080566,0.4218617189000593,0.9996344618246478
GPR153,2.2573212903187927,1.0596046921086246,0.7761850470053733,1.3651444281189422,0.17220766057789894,0.9996344618246478
ACOT7,4.371389748164149,-0.031695018992906054,0.521319544467813,-0.06079768028889419,0.9515203377670055,0.9996344618246478
NOL9,4.68165781549274,0.07616354886760628,0.4773389935273447,0.1595586153663836,0.8732287813684355,0.9996344618246478
ZBTB48,4.225748528456157,-0.01301845624190488,0.48846183112303077,-0.026651941692094814,0.9787373444744153,0.9996344618246478
KLHL21,10.972473852165953,0.8756104636908902,0.46197322820496933,1.8953705761113877,0.05804332401379412,0.9996344618246478
PHF13,4.167119102226112,0.5515284684039548,0.43722474224061897,1.2614301413446332,0.20715391445485465,0.9996344618246478
THAP3,7.636488171091917,0.09813047678468459,0.36135056537353755,0.27156585927365173,0.7859558535225897,0.9996344618246478
DNAJC11,5.214975656220732,0.33942329966794194,0.5239917275795597,0.6477646149793577,0.5171372050849772,0.9996344618246478
CAMTA1,67.18610756953018,0.04114852722700416,0.2837522988833965,0.14501566115562467,0.8846985066838948,0.9996344618246478
VAMP3,30.77362615008932,-0.09734554713573029,0.2995327788611155,-0.32499129980317293,0.7451876563567834,0.9996344618246478
PER3,8.265993327530877,0.2774405349646741,0.7653502946984414,0.36250137601892407,0.7169773954428456,0.9996344618246478
