,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NET1,91.39636148381787,-1.5946387392231338,0.36365494079603994,-4.385032513878328,1.1596845550227614e-05,0.011625837664103182
TOB1,60.96753707156843,-1.3364023419198698,0.30227158861530795,-4.421197334628328,9.81554807486535e-06,0.011625837664103182
RCAN2,40.6632940151379,-1.1546594787257587,0.27876354773813056,-4.142074844772895,3.4417798109280825e-05,0.023002561736369352
PRDX4,58.58669211867379,0.987864453338191,0.2502981608855337,3.9467507465624605,7.921895166059272e-05,0.033316126295253025
S100A10,72.67029272723293,1.4485201388566151,0.37224362037945086,3.8913229389399593,9.969913105811379e-05,0.033316126295253025
PDIA4,28.31872499362442,1.014094593886824,0.26026886955394685,3.896334569803897,9.765945918858155e-05,0.033316126295253025
MYDGF,54.14731083826899,1.0744877260144416,0.2893664680951688,3.713242011375889,0.00020462104380653562,0.03418876606934199
CSRP2,177.87920116622863,-1.2988929646668745,0.3441429605729263,-3.774283113344781,0.00016046844433616355,0.03418876606934199
ID1,55.435917671556616,-1.5873850485840617,0.4271168762203642,-3.7165121234054808,0.00020199195306447407,0.03418876606934199
NTRK2,62.746851076028896,-1.4942356211623804,0.39585562492272947,-3.7746984685491163,0.00016020132173743173,0.03418876606934199
SPON2,66.45109140771368,1.966699039616706,0.5194730124660554,3.7859503620416057,0.00015312224057856667,0.03418876606934199
PLS3,68.62336911573944,-0.916214357038197,0.24498400824650549,-3.7398945490200832,0.00018409747099720037,0.03418876606934199
HSP90B1,191.04583782994746,0.6569920204879738,0.18245639109743408,3.600816702206565,0.0003172191649783677,0.041618189973436755
GADD45B,486.70531450121644,-1.2840656458905004,0.35555512571046755,-3.611438995077599,0.000304502717598938,0.041618189973436755
GRN,66.75331922999129,0.8708090502118245,0.2412331936360291,3.6098226661364645,0.00030640640973716613,0.041618189973436755
CCDC102B,78.56537626789081,1.3472486135402337,0.377060390492217,3.5730313963275937,0.00035287243368998747,0.041618189973436755
SH3BGRL,176.65351920149132,-0.6878322169416898,0.1919158029341953,-3.584031155462148,0.00033833170229061746,0.041618189973436755
MRPS6,43.88745127612202,-1.4271242456608701,0.40344527973592226,-3.5373427756919193,0.00040417474410436654,0.04502057566273638
PDIA6,81.02121660017282,0.8230972784190929,0.23978852342722867,3.4325966341291037,0.0005978307945549936,0.04748846362991105
TMED9,47.362102105160695,0.8932397048190492,0.25710263071863315,3.4742534618270358,0.0005122768817605423,0.04748846362991105
TNFAIP6,38.8046740139039,1.9412808266738124,0.5610966551937557,3.4597975388098807,0.0005405816759856678,0.04748846362991105
CFL2,30.13705277247094,-0.8364899949522047,0.24426249615932832,-3.4245535360720147,0.0006158105009365024,0.04748846362991105
NBEAL1,139.2931954774518,-1.4809330623210284,0.4290706466805266,-3.451490037312405,0.0005575003383729985,0.04748846362991105
SRSF3,137.89265320318748,-0.8346585166814382,0.24316286723189803,-3.4325081217497173,0.0005980259699153864,0.04748846362991105
SERPINF1,237.8025818951379,1.0388708793607557,0.3021792858193967,3.437928832691917,0.0005861817363060865,0.04748846362991105
PDIA3,115.80487423580598,0.9639217146770146,0.2781622812819773,3.4653214311967506,0.0005295980945748508,0.04748846362991105
PCOLCE,190.06677045489468,1.0048627365790577,0.29654021818918264,3.3886220989356293,0.0007024474704579138,0.05216322882474507
ZFAND5,93.85378016327476,-0.9204833332463499,0.2739140343549368,-3.3604825521776336,0.0007780644498915242,0.05571497221544665
CYBA,70.62299936310988,1.611374897321323,0.48263134067272156,3.3387282621872187,0.0008416285103027228,0.058188453901964116
HLA-B,1102.2141435839935,1.2118282471898427,0.3656336935965003,3.3143232377461667,0.0009186524250993074,0.05941606813948746
CTSB,71.41355705119551,0.9352357301922621,0.28160973917787524,3.321034751577012,0.0008968436964643126,0.05941606813948746
TDO2,31.667608546669246,1.8120728402909536,0.5575265836868365,3.250199888780187,0.0011532391803306136,0.07225764239259001
NUCB2,29.53631824760369,0.8229651061277277,0.2550441023057302,3.2267560735092427,0.0012520214455286113,0.07383244112602545
GLUL,75.74974221493073,-0.8928299618444193,0.27648525588051115,-3.2292136483049,0.001241311228225414,0.07383244112602545
MARCKSL1,78.95345904595007,1.3898124456763872,0.43515985219033737,3.1937974946008767,0.001404145773688776,0.08043749360702844
HSPB8,32.49830664715396,-1.2921170738645957,0.4075794735754269,-3.1702211657758466,0.0015232294913816063,0.08483542028389224
PSMB10,27.203625002042127,1.6307979737363725,0.517795599522444,3.1495014156946017,0.0016354931615045554,0.0886260483463955
CD36,73.72246983781673,1.3176315259357778,0.42146242280001756,3.1263321583499497,0.001770015085545326,0.09339158543469418
ZNF703,28.40324285625404,-0.8988572012592813,0.289684655529799,-3.102881647684713,0.0019164626540128802,0.09606269053239562
GPM6B,32.155426773295495,1.197340580660412,0.385131704474572,3.1089120078907073,0.0018777763274066054,0.09606269053239562
GTF2B,33.89219198670251,-1.0566313498040343,0.3444620323268944,-3.06748277209632,0.002158699036639847,0.10556564801129009
ID2,42.323785295528886,-1.225913165903609,0.4015210756748098,-3.0531726481438066,0.0022643562177777497,0.10809605277724735
KLF4,38.980041014509,-1.154321886544308,0.38197765450644594,-3.0219618161586164,0.0025114222571535334,0.11189781390206299
MDK,65.68470232746661,0.8845535680198781,0.2926232173477247,3.022841372729361,0.00250413468032507,0.11189781390206299
OAT,56.04920285837418,-0.8377649079101686,0.2762440533306231,-3.0326984339007237,0.0024237768318775255,0.11189781390206299
MGST3,326.71703318007275,-0.8537894973070674,0.2835996164347676,-3.0105453175161556,0.0026077903028918817,0.11366564254996138
MT1X,248.56723094282634,-1.9415995670139983,0.6469591796994345,-3.001116033187797,0.0026899204270219414,0.11475086076976579
CSDE1,67.59575191629982,-0.5480961772416365,0.18374901148499756,-2.982852385501875,0.0028557569174997343,0.11928734624139516
RHOBTB3,30.395508271156533,0.9498131262835691,0.32177526674016826,2.9517903470515585,0.0031593736225854607,0.11951970025063866
CRYAB,167.33336093959932,-1.0018402928255816,0.3383443388237222,-2.9610079964941916,0.0030663397767338703,0.11951970025063866
POSTN,111.02428629834318,2.369809251077467,0.8002299676379012,2.9614102781886693,0.0030623370272420025,0.11951970025063866
CDKN1A,377.66152170718686,-1.388196067032158,0.47015376698789163,-2.9526426554568257,0.003150664542363139,0.11951970025063866
ITGA7,32.39972032848862,-1.0208370242878184,0.34563659326851154,-2.9534981080396485,0.003141945344822657,0.11951970025063866
CSRP1,218.98689395476643,-1.0671386575562325,0.3652338419780238,-2.921795668705975,0.003480197760166327,0.12388796675981516
ERLEC1,38.66294442262284,0.8037043540532945,0.27694428233401625,2.902043498713452,0.003707370576353571,0.12388796675981516
MMP9,58.952244485214685,3.949769970079532,1.351499065443765,2.9225103228485207,0.003472221110744258,0.12388796675981516
ENO1,102.41019927481236,0.6869155349540959,0.2361553959237717,2.908743762839213,0.0036288415186429197,0.12388796675981516
MT1M,221.19998246832915,-2.200303823597274,0.7525111620675718,-2.9239484203155217,0.0034562201201311163,0.12388796675981516
PVRL2,34.08108964033313,0.8222831870614447,0.28315680093782897,2.9039852983859227,0.00368445460736131,0.12388796675981516
MAPRE2,40.13597706535698,-0.6814639734651151,0.23414236819417178,-2.9104684415764694,0.0036088741013343383,0.12388796675981516
BAX,44.4411754148641,0.9619865388607185,0.3351540810438092,2.8702814414930957,0.004101065973751355,0.12650211195956101
MTRNR2L8,49.490066767412856,-1.903559445661224,0.6614592342053335,-2.877818234631088,0.004004357923181161,0.12650211195956101
SEPT9,28.20743636419433,0.6180961041672028,0.2152342414148206,2.8717368579655838,0.004082227337292863,0.12650211195956101
