,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPB8,40.539608003516896,-2.539130720060365,0.5440373850738935,-4.667198964121719,3.0533362883333786e-06,0.013184306093023528
KLF4,45.520449926919476,-2.200465437802177,0.5003075233117034,-4.3982257617006395,1.091394191969076e-05,0.015708800403074902
UAP1,13.482832664510665,-1.5224441734671181,0.34463465552624745,-4.417559723186829,9.982149352761356e-06,0.015708800403074902
MCL1,117.43807564378629,-1.0079507596928818,0.23414953472964165,-4.304730995330407,1.671887636770723e-05,0.018048027038939953
EGR3,15.762536011315138,-2.2113531077267083,0.5255011028398112,-4.208084618236845,2.5754442993796486e-05,0.022241536969442647
ZC3HAV1,30.414125063973923,-1.3112322262275624,0.31558339688565756,-4.154946803816327,3.2536323134952296e-05,0.023415307216120666
CKS2,35.802168486858996,-1.9579156583266963,0.48118156236853743,-4.0689748141827735,4.72204507706209e-05,0.029128272346791582
CD74,92.11673327268113,3.8269540452393125,0.951080759924752,4.023795040856567,5.7267760910668274e-05,0.0309102739515332
MLF1,12.913806873598299,-1.822834688107205,0.4566601904346174,-3.9916654139971297,6.561089918695848e-05,0.031478651409920747
NR4A3,24.185188974446643,-1.4377662572484575,0.369306099692086,-3.893155998363457,9.894847802935876e-05,0.04272595281307712
CCL26,9.487793730673365,-1.9763837725588451,0.5179386459552512,-3.8158646549993116,0.00013570687872766594,0.04884782962226868
NUDT4,81.12448818964654,-1.2866616584181447,0.3389541292875005,-3.795975759678088,0.0001470638687099335,0.04884782962226868
CSRP2,134.97004324389337,-1.423229416658135,0.37433447488165583,-3.802026027947553,0.00014351764557538377,0.04884782962226868
ID1,41.11590179319835,-1.7343815902093265,0.46262356361393725,-3.7490126457472894,0.00017753213457744724,0.05475598265038695
TRIB1,10.07498017474463,-1.7653153639705021,0.4791677332651713,-3.684128211098841,0.00022948671587612896,0.06606157594354166
MRPS6,29.914708334581658,-1.341616908726568,0.3690836263606504,-3.634994383130954,0.0002779866922274166,0.07502165856487406
PRF1,10.552424562162257,3.7437219989719646,1.0489067084054837,3.569165845705246,0.0003581196761806241,0.09096239774987852
DNAJB1,636.7944722069593,-2.2587006328033072,0.6409147840020185,-3.524182448561202,0.00042479164439192675,0.10190279558246332
STK38L,15.516206890959674,-1.333233591380104,0.3830888811704156,-3.480220013973782,0.0005010021742565707,0.1138593362336775
TBC1D1,18.53217503707857,-1.1407705884756258,0.3456895409800012,-3.29998583480899,0.0009668970869442749,0.20875308107126894
RLF,11.726100318939595,-1.4156532241502768,0.4322963016323932,-3.2747289736336667,0.0010576338915789527,0.2174696735160913
GLA,30.47236619766031,-1.5264649331239468,0.4729058897512989,-3.2278408161224514,0.0012472836142350537,0.2341639411420418
ABHD5,19.00290424505686,-1.553349696571946,0.47938710451738487,-3.2402826065497847,0.0011941128680411225,0.2341639411420418
RNASET2,12.106372406617734,2.2304341089733435,0.7022634914305815,3.1760644490143215,0.001492877806610509,0.25194191031460383
GABARAPL1,14.545512458631636,-1.0832059511585896,0.3415536468981672,-3.1714079501002748,0.00151701937660484,0.25194191031460383
IFRD1,49.4847724784466,-1.2308832128517693,0.38769397491385865,-3.174883522823015,0.0014989665759051237,0.25194191031460383
COPS2,26.740519071219293,-0.9742316352186761,0.30914075043537864,-3.1514177081042085,0.001624799407331109,0.2598475496613233
NR4A1,261.68459775896446,-1.2973333613878661,0.41343610900765715,-3.137929496535192,0.0017014579739498808,0.26238912612555665
