,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPB8,40.539608003516896,-2.539130720060365,0.5440373850738935,-4.667198964121719,3.0533362883333786e-06,0.013184306093023528
KLF4,45.520449926919476,-2.200465437802177,0.5003075233117034,-4.3982257617006395,1.091394191969076e-05,0.015708800403074902
UAP1,13.482832664510665,-1.5224441734671181,0.34463465552624745,-4.417559723186829,9.982149352761356e-06,0.015708800403074902
MCL1,117.43807564378629,-1.0079507596928818,0.23414953472964165,-4.304730995330407,1.671887636770723e-05,0.018048027038939953
EGR3,15.762536011315138,-2.2113531077267083,0.5255011028398112,-4.208084618236845,2.5754442993796486e-05,0.022241536969442647
ZC3HAV1,30.414125063973923,-1.3112322262275624,0.31558339688565756,-4.154946803816327,3.2536323134952296e-05,0.023415307216120666
CKS2,35.802168486858996,-1.9579156583266963,0.48118156236853743,-4.0689748141827735,4.72204507706209e-05,0.029128272346791582
CD74,92.11673327268113,3.8269540452393125,0.951080759924752,4.023795040856567,5.7267760910668274e-05,0.0309102739515332
MLF1,12.913806873598299,-1.822834688107205,0.4566601904346174,-3.9916654139971297,6.561089918695848e-05,0.031478651409920747
NR4A3,24.185188974446643,-1.4377662572484575,0.369306099692086,-3.893155998363457,9.894847802935876e-05,0.04272595281307712
CCL26,9.487793730673365,-1.9763837725588451,0.5179386459552512,-3.8158646549993116,0.00013570687872766594,0.04884782962226868
NUDT4,81.12448818964654,-1.2866616584181447,0.3389541292875005,-3.795975759678088,0.0001470638687099335,0.04884782962226868
CSRP2,134.97004324389337,-1.423229416658135,0.37433447488165583,-3.802026027947553,0.00014351764557538377,0.04884782962226868
