,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADIRF,3.3298242264106,-4.4187212850314905,0.9643815372817012,-4.5819223141564125,4.607210592681603e-06,0.02049274889117913
MGP,38.79669155749491,-3.3144968156859917,0.75507086073984,-4.389650015679791,1.13533234854178e-05,0.02049274889117913
AGR2,11.969923985956523,-7.108393473637206,1.577308499687848,-4.506660222172118,6.5855961880497024e-06,0.02049274889117913
FABP4,3.365883647233493,-4.462082506223284,1.007823074329291,-4.427446265003222,9.53553171157445e-06,0.02049274889117913
CRABP2,5.082818432461836,-4.514153879939272,1.0163649391315972,-4.441469501886061,8.934661172218782e-06,0.02049274889117913
GABPB1-AS1,23.246114051923694,-1.2284469709384465,0.29276529672104296,-4.196012931508593,2.7165474331410502e-05,0.04086140097349663
CLU,5.852254697433976,-3.111866977143938,0.7564663394699213,-4.113688626680358,3.893865833361933e-05,0.05020305592298777
MT1E,26.00135684078316,-2.1160816591318863,0.5213731696316706,-4.05867003211311,4.9352991911678057e-05,0.05567634400036181
APOD,3.502498236573668,-3.927797981662084,1.0053749939093592,-3.906798961041395,9.35269061444308e-05,0.09378670310594311
IPCEF1,25.355207696118423,-1.6439605091774876,0.4328497410982236,-3.797993513884152,0.00014587213976192883,0.11968146012285524
IFIT3,4.270948660469378,-2.135838563955127,0.5593987640344917,-3.8180966803556156,0.00013448522501976917,0.11968146012285524
RP11-473M20.9,3.0404861073432774,-3.036382486885398,0.8145274612977834,-3.727784060279001,0.0001931707792926358,0.14528052359300317
AIM1,54.93883058765024,-1.5937598087183067,0.4443598391513588,-3.5866423296985595,0.00033496326968333694,0.23254180837631663
PRSS23,3.7439691741280376,-3.1613653507810175,0.9580011751908382,-3.2999597836101398,0.0009669868449697871,0.5818037517234885
KRT19,4.330522587421762,-2.53677447467057,0.7648907461756473,-3.3165187150636966,0.0009114648253273435,0.5818037517234885
GPR171,27.375226145865174,-2.322054651689523,0.7127403301111229,-3.257925156736245,0.0011223000162127485,0.6330473528950035
CEBPD,3.5382618968540545,-2.3253655763866528,0.7332857908576487,-3.1711586469811617,0.0015183219727306697,0.8060503414055467
RP11-138A9.2,38.953241238257256,-1.7383052087141013,0.5599447175955053,-3.104422908351863,0.0019065060430797282,0.9559009465996972
SPATC1L,1.9913457022428858,-0.26579443717024104,0.6937472198289315,-0.38312865201215834,0.7016243762771607,0.9992613625165807
TNFRSF14,35.62173545403103,0.008620542293563878,0.3794630183285598,0.022717740272913085,0.9818754247959456,0.9992613625165807
AGPAT3,5.532334242714167,-0.09034232965911626,0.5273427138832077,-0.17131616173068934,0.863975173100644,0.9992613625165807
TRAPPC10,5.593451620528529,0.24235484560818318,0.7130514278187768,0.33988410394120694,0.733943807993449,0.9992613625165807
AP001055.6,2.672405427137922,-0.3390337897830337,0.6491682708968584,-0.5222587193219435,0.6014902070559615,0.9992613625165807
PFKL,17.657087533569722,-0.2374267581550683,0.46228543329475985,-0.5135934231431463,0.6075362787475052,0.9992613625165807
C21orf2,4.806108718333101,-0.06264761802197436,0.47435905090083336,-0.1320679301954989,0.8949305616789798,0.9992613625165807
UBE2G2,12.397277950785092,-0.33389925360945083,0.32021799360641384,-1.0427248320712823,0.29707575360219585,0.9992613625165807
SUMO3,29.94469670798728,-0.07820632998880464,0.382125555109218,-0.20466134479399564,0.8378367234606021,0.9992613625165807
PTTG1IP,7.696109113745114,0.4520483905648519,0.4902295759074056,0.9221157041129534,0.3564682263552461,0.9992613625165807
ITGB2,55.244605114698196,-0.13678172901082322,0.3542118622732255,-0.3861579568030249,0.6993796889484272,0.9992613625165807
ITGB2-AS1,12.471868839847236,0.5580858558965679,0.46885958030089153,1.1903049001119168,0.23392657554177343,0.9992613625165807
FAM207A,7.492513733561021,-0.07296989642810713,0.6176478679273583,-0.1181415823112485,0.9059554762208535,0.9992613625165807
ADARB1,2.4025039119565528,0.23560303177704794,0.5464595237944404,0.43114452492491256,0.6663632876467611,0.9992613625165807
POFUT2,2.3617428739215245,0.1492983803146512,0.6383717857679233,0.23387371378741958,0.8150830206946607,0.9992613625165807
RER1,27.59505084674777,0.21542373416932561,0.3393072751289283,0.6348927652301884,0.5254983559075914,0.9992613625165807
PEX10,2.266715059394816,-0.03872521811748057,0.5381048905167953,-0.07196592857628355,0.9426290225764965,0.9992613625165807
PCNT,2.922481436333499,0.42637714789258313,0.5185470320692429,0.8222535691529094,0.41093259625093337,0.9992613625165807
DIP2A,7.5917910454673745,0.12340049662422377,0.41741322338978576,0.2956314982599169,0.7675115161378709,0.9992613625165807
PRMT2,33.68646190962593,0.2349237139957232,0.293257355810301,0.8010837898561972,0.4230831398958298,0.9992613625165807
MT-ND1,653.9387885004769,-0.38843787607799174,0.4970443573698866,-0.7814953943616084,0.4345111844738403,0.9992613625165807
MT-ND2,606.5125202873876,-0.4798966251139505,0.5145645447719487,-0.9326266840375433,0.3510127510089317,0.9992613625165807
MT-CO1,2652.7746176566766,-0.11732088812372954,0.2898629047632314,-0.40474612720644854,0.6856641321418223,0.9992613625165807
MT-CO2,2220.419862315068,-0.16794133961102362,0.3361784785034926,-0.4995600561898517,0.6173848894382531,0.9992613625165807
MT-ATP8,409.4911443701979,-0.09577700507563339,1.3144768121072665,-0.07286321386079925,0.9419149671886438,0.9992613625165807
MT-ATP6,1390.4481015392128,-0.03399051604522823,0.4448230118651946,-0.07641357380028979,0.9390900708492446,0.9992613625165807
MT-CO3,1380.1290625657853,-0.3264209852342268,0.39377822845797783,-0.8289462485330393,0.4071348236105532,0.9992613625165807
MT-ND3,904.953903513722,-0.46866026127931587,0.5497217805140941,-0.8525408268179399,0.3939139891807919,0.9992613625165807
MT-ND4L,635.252153938217,-0.06126900143409595,1.0453294364937529,-0.058612145889246764,0.9532610362955621,0.9992613625165807
MT-ND4,912.02721166712,-0.11972280926068322,0.4594315653339345,-0.26058899364840893,0.7944094782991487,0.9992613625165807
MT-ND5,259.8003382162016,-0.041586468221924695,0.4257749818183364,-0.09767240913104709,0.9221924250997843,0.9992613625165807
FAAP20,22.134661450556074,0.13523888558005756,0.4699817790198519,0.28775346538348484,0.7735354605767921,0.9992613625165807
KLHL21,3.7047854059501573,0.13029123102676338,0.5680006483711947,0.2293857082740804,0.8185691431990144,0.9992613625165807
THAP3,2.301817997975652,0.13626594653647464,0.5334564741350337,0.2554396715447522,0.7983835333382487,0.9992613625165807
CAMTA1,17.883900818246172,0.1361165699418835,0.4896313977942524,0.27799804210897633,0.7810138617103551,0.9992613625165807
VAMP3,5.730853689059245,-0.22559046405572453,0.3572118295485168,-0.6315313362965899,0.5276931665522526,0.9992613625165807
UTS2,6.928988881865907,-0.18755852364639966,0.7123284485914673,-0.2633034297833691,0.7923167163523192,0.9992613625165807
TNFRSF9,65.9244455237271,-0.23213971144728648,0.47288029590611114,-0.49090586657342367,0.6234930275668124,0.9992613625165807
PARK7,134.58300282324169,-0.3809719552149559,0.31067241726756223,-1.226281877759522,0.22009261859722484,0.9992613625165807
ERRFI1,8.388263494762697,-0.37874237094133373,0.4490875383687292,-0.8433597875306937,0.3990272545167626,0.9992613625165807
RERE,8.592310435078453,0.21684640193925847,0.417808968473432,0.5190084902474933,0.6037548206134621,0.9992613625165807
ENO1,104.6752983423991,0.11706296722965726,0.4055849048126607,0.2886275249413647,0.7728664296718585,0.9992613625165807
H6PD,1.7399664781070423,-0.5579491897859451,0.6376364513131291,-0.8750271234289094,0.38155914775133304,0.9992613625165807
SPSB1,4.095011323281351,0.18110184992085582,0.6905120872507681,0.2622718027165923,0.7931118994914218,0.9992613625165807
SLC25A33,5.472377300975333,0.8934337875302435,0.46081356591482053,1.9388183283115217,0.052523463540564155,0.9992613625165807
PIK3CD,4.485897245279811,0.032514976456669675,0.43766168353794654,0.07429249047763746,0.9407776522509582,0.9992613625165807
PIK3CD-AS2,1.2195367724366377,0.3738713138326472,0.7322195623499106,0.5106000072338723,0.6096311708065938,0.9992613625165807
