,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IL7R,179.54873493658195,-1.63817289868527,0.30875730514715205,-5.305697618731727,1.1224289112810837e-07,0.0011173779811803188
CCL5,51.13685567094405,2.0896613966694826,0.4340468410098508,4.814368402745862,1.476661739599695e-06,0.007350083808857482
FILIP1L,4.026090932203861,-2.7099685967232436,0.5998766908986777,-4.517542751433513,6.256139960172004e-06,0.011591097667766575
MEPCE,4.792945654265359,-1.8977381959605466,0.41205784304809256,-4.60551407521457,4.114481533965537e-06,0.011591097667766575
NEK10,1.9998146728563506,-3.161442136442801,0.6978139761325067,-4.530494149693672,5.88458843805183e-06,0.011591097667766575
AIM1,44.02333431015274,-1.80982871281596,0.40271111238924573,-4.494111677421621,6.986096032807579e-06,0.011591097667766575
JMY,15.06102232379366,-2.0379555009078154,0.4606453681978049,-4.424131103023923,9.683120723480244e-06,0.013770780971749405
TCF4,2.522765550245999,-2.2780611117512746,0.5409488426569407,-4.2112320650549515,2.539816688354416e-05,0.028093194591742456
PCAT29,7.554307768446037,-1.8654673052445188,0.4402399125224321,-4.237387960932473,2.261351987551951e-05,0.028093194591742456
ELL2,15.55709517042384,-1.6695096535196605,0.4080796131518945,-4.091137120584946,4.292632193247021e-05,0.03052368105983864
TLE4,12.342352750270596,-1.9480532213875383,0.4741440111676513,-4.108568653203407,3.98118861547434e-05,0.03052368105983864
SULF2,2.2452477833044484,-2.88132627517397,0.7026758124144724,-4.1005058439017725,4.1224802478749626e-05,0.03052368105983864
MRPL1,24.059302877732463,-1.8883700280598918,0.45805694300600536,-4.122566106448329,3.746750373489176e-05,0.03052368105983864
CISH,7.836750142954577,2.513137481449344,0.6119645948598265,4.1066713704654605,4.014016823179136e-05,0.03052368105983864
IL6ST,46.59459712492355,-1.4175876065107311,0.3597549948366978,-3.9404250861178762,8.133734895191218e-05,0.04498407271201587
CDKN1C,1.7588294287072073,-3.4787623111867645,0.8765767671696352,-3.968576902191105,7.230312482029413e-05,0.04498407271201587
TMEM65,2.5373916804708743,-2.104251021139822,0.530482011130911,-3.966677431066631,7.288152399658956e-05,0.04498407271201587
GZMB,12.056580007003285,2.9030590359334503,0.7349846990674956,3.9498224107477022,7.820919870480404e-05,0.04498407271201587
