,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LMNA,263.6502993815453,-2.1375727937435216,0.44897969393814996,-4.76095650338696,1.926775760979663e-06,0.019138663633810993
JMY,35.426149858480045,-2.1034291420803712,0.46604907757209313,-4.5133211142446505,6.382028114123529e-06,0.031696342628794505
DENND4A,20.93918652682798,-1.7171117065399801,0.4540548871690959,-3.781727176742193,0.0001557439998241625,0.14388303090624477
CD55,49.391750159852414,-1.5632240651399818,0.4092071301204603,-3.82012909862985,0.00013338184194187106,0.14388303090624477
KLF11,4.6223222863393145,-2.218636931007447,0.5866666850554443,-3.7817673774977862,0.00015571884515619162,0.14388303090624477
IFIT3,15.269624253909758,2.7448230995978866,0.7192519029605807,3.816219447316943,0.00013551199402274386,0.14388303090624477
ELL2,31.930545577630866,-1.5114696105814975,0.40269718780519514,-3.7533651993434614,0.00017447637625698438,0.14388303090624477
CYP7B1,7.6867749166123644,-1.8311477487137038,0.4902160207842214,-3.7353894427691925,0.0001874249086218759,0.14388303090624477
FIBP,57.48932466058412,0.8146070134249632,0.21814741633910262,3.734204269275804,0.00018830961459591081,0.14388303090624477
PRNP,87.914671679949,-1.032053926713744,0.25479967225713107,-4.050452332106012,5.111872251567996e-05,0.14388303090624477
CSNK1G3,37.51492139510293,-1.010733101360368,0.26830787497568737,-3.767064613559908,0.00016517826144493773,0.14388303090624477
AF131217.1,8.819889669450548,1.698391409321807,0.43057278494471196,3.9444931698130676,7.996893274374708e-05,0.14388303090624477
IFI27,96.99747903502735,3.9897586451960003,1.0222007642843498,3.903106693516571,9.496581415959124e-05,0.14388303090624477
CLK4,29.81399930217197,-1.0489138100721276,0.2862265873932549,-3.664627453462228,0.00024769886825365964,0.16480941529936008
CCR1,6.046608467156566,2.4536580612208896,0.6697747177523052,3.663408003000042,0.0002488816298691635,0.16480941529936008
ZNF92,11.345280946317665,-1.3057625983187835,0.3608335743209284,-3.6187391951432635,0.0002960417977512596,0.17056829341152752
NKG7,29.52538555248954,1.9687709539855156,0.5469108719715693,3.5998021887702762,0.0003184593486763049,0.17056829341152752
NFKB1,26.36304657235235,-1.4119033440491917,0.3973968518915252,-3.5528800425288463,0.00038103817885985525,0.17056829341152752
PPP2CA,61.106677609349894,-1.201373418025369,0.3319604754136245,-3.6190254774411064,0.00029571452704867584,0.17056829341152752
CISH,28.977609009766237,1.6947647164800537,0.4781599731320956,3.5443466866932023,0.00039358733461962014,0.17056829341152752
USP18,21.491680850442226,1.623180290037531,0.4517369070738569,3.593198307731249,0.00032664379945774837,0.17056829341152752
B3GALT4,11.288247223073787,1.6290869068362244,0.4592824415046921,3.5470263167454035,0.00038960567091179526,0.17056829341152752
ATP1A1,54.50837196643227,-0.9832251684959721,0.2774781112464725,-3.5434332606603816,0.0003949532616999026,0.17056829341152752
MT1E,69.24182848265421,2.1795171030773317,0.6337914201121821,3.438855487648529,0.0005841789887973341,0.19342166319079734
LUC7L,23.664590134882413,-0.9374620123881544,0.27214031521172843,-3.4447744784112477,0.0005715360289628075,0.19342166319079734
OAS1,61.2213554193403,1.253109781473952,0.3625015893454867,3.456839413411951,0.0005465504427712016,0.19342166319079734
ZBTB10,8.316239611746134,-1.9390811679442732,0.5564038795231057,-3.485024528596497,0.0004920919295089886,0.19342166319079734
IRF8,4.270025157690288,-1.9274522875036817,0.5592158086131533,-3.4467056506927696,0.0005674664866552381,0.19342166319079734
FAM179B,16.647425357185536,-0.9822890967246798,0.28349220336323755,-3.464959829833755,0.0005303106848382122,0.19342166319079734
NFE2L2,103.40732819235504,-0.9280775020033258,0.2698249036024163,-3.4395546504885877,0.0005826721306426643,0.19342166319079734
MZB1,22.880911341443266,1.7191426333201087,0.5028456484733854,3.418827702972753,0.0006289153623860327,0.2015166546638859
HECA,20.647500365915217,-1.554528616636713,0.4597450958032859,-3.3812837392437554,0.0007214800001059525,0.20617613042821534
CEP120,15.846160976173403,-1.3649648956086207,0.4016401266189526,-3.3984774058783267,0.0006776205985978298,0.20617613042821534
C6orf203,11.48093244543762,1.8414536119188698,0.5440182936557103,3.384911193968525,0.0007120128621107611,0.20617613042821534
ZBP1,21.479511661573216,1.3660861578806902,0.40497502470719193,3.3732602618356724,0.0007428370240422477,0.20617613042821534
GZMB,38.71449308171506,3.0353134328996947,0.9002503516380708,3.3716325990617184,0.0007472405814372044,0.20617613042821534
FAM13A,12.244410532094454,-1.384152916775782,0.4135301763589514,-3.347163026802458,0.0008164318084176314,0.21112120316778418
CAP1,159.64456927351804,0.7764194932918276,0.2322557471956239,3.342950616579863,0.0008289264999037133,0.21112120316778418
NAF1,25.126001090371872,-1.3535981693700059,0.4043816142956562,-3.3473286655914762,0.0008159440862045514,0.21112120316778418
ZC3H12D,40.99163543772217,-1.4863728000846368,0.4464334741977196,-3.3294385076203796,0.0008702127762925641,0.21609558767285098
NMI,34.04924635906327,0.9247394713448398,0.2800076891891622,3.302550276468023,0.0009580991080043843,0.2168056088984764
SNRNP25,25.24908450380711,1.0827900117514286,0.32749494645256894,3.3062800616627195,0.000945435396842446,0.2168056088984764
TRAV5,9.529066426917828,2.2361258278691194,0.6754198038674969,3.3107199627030783,0.0009305628351461541,0.2168056088984764
AP2S1,88.20879970104721,0.9128126158931141,0.276452089730047,3.301883580567134,0.0009603792199268057,0.2168056088984764
TRIM28,18.52481979543514,-1.2746786843310742,0.38891904654279313,-3.277491024577065,0.0010473406023036086,0.2199471725612016
TESC,26.807975063782013,1.4347535211738935,0.4403762936917611,3.258017158794068,0.001121936222551665,0.2199471725612016
HIPK3,12.382238402743095,-1.3123945700131068,0.40243648176203783,-3.2611222627404106,0.0011097217974922675,0.2199471725612016
HSH2D,16.233479977248358,1.503792999904882,0.46124533616779945,3.260288792075303,0.0011129882585864026,0.2199471725612016
GZMH,5.3658896634490345,2.1876776911979183,0.667341583607594,3.2781977699808724,0.001044721720597202,0.2199471725612016
IFIT1,14.332816339742022,2.3255728017552344,0.7150547226328502,3.2523004577781327,0.0011447494256848717,0.2199471725612016
SAMD9L,64.91299090211932,1.113765758799149,0.34313906634646596,3.245814505057214,0.0011711512242813273,0.2199471725612016
VANGL1,3.93913914045522,2.0596438767661103,0.6344814822594554,3.2461843794581697,0.0011696306075402363,0.2199471725612016
SPINT1,4.19324666955442,2.0744040124950462,0.639217528786992,3.2452239168589894,0.0011735830208138211,0.2199471725612016
DNAJA1,728.5357063198037,-1.6735740352394843,0.5186138813173162,-3.227013575086897,0.0012508952539167677,0.22187754566348666
TOPORS,42.73596600041703,-1.0861308802303968,0.33622659377398406,-3.23035387545968,0.0012363708575488144,0.22187754566348666
PPP2CB,6.409545729160227,-1.7951067842987491,0.5548507642204009,-3.2352965879410536,0.001215164345144125,0.22187754566348666
WBP4,22.83896903791868,1.3608353336852586,0.4250584223387285,3.20152539549213,0.001367020246591307,0.22259218963347466
ATP13A3,19.29370871447883,-1.7492615813433872,0.5465785865737144,-3.2003843990830636,0.0013724441200709937,0.22259218963347466
HSP90AB1,1050.4629089062796,-1.3131512796303193,0.40976274218284514,-3.2046624654917077,0.0013522095212626481,0.22259218963347466
TMEM106C,41.45262760301744,0.8241423530902395,0.25643707548546296,3.2138190296003395,0.0013098219861651652,0.22259218963347466
APOL2,9.706065541256596,1.2744922403677148,0.3957942111601408,3.220088127696358,0.0012815119444709402,0.22259218963347466
TEX264,59.363982828977555,0.6710221665484079,0.20990116921971155,3.196848159745234,0.0013893804245721764,0.22259218963347466
SLC35A4,14.899114993866991,1.0464213375540825,0.3288151722732061,3.1823997971864615,0.0014606004650826719,0.2285596353554094
PTGER4,68.21479470314273,-1.2212976730914897,0.3840534454482922,-3.1800200924272706,0.001472648410625813,0.2285596353554094
UBE2S,40.0986805243523,-1.6373186117790202,0.5164096100517709,-3.170581220622281,0.001521342953756948,0.23248460861027326
ACBD3,11.82605947894096,-1.6682284436256825,0.5389708134484024,-3.0952110986347283,0.0019667286590783466,0.24131057323329153
MAP3K2,34.71278644146861,-0.9844566562095505,0.3181274812240165,-3.0945350977595156,0.001971216103795562,0.24131057323329153
NME6,13.658192988042204,1.1934673576227677,0.3876611944728196,3.0786350933210214,0.00207951222708256,0.24131057323329153
GLS,45.758360086900694,-1.467477818086515,0.4749727950539106,-3.0896039380949225,0.0020042356546005153,0.24131057323329153
MX1,89.34420110854992,1.3449015041065033,0.43228297036428487,3.1111600417040597,0.0018635391070374408,0.24131057323329153
ZBTB1,36.15385591170672,-1.1803114818351619,0.3741195905407727,-3.1549042383187573,0.001605507929640936,0.24131057323329153
ATP8A1,26.69549149436739,-1.2107039486537237,0.38715160293242284,-3.127208926641204,0.0017647446939456413,0.24131057323329153
SLA2,35.02614202201238,1.1664107062740314,0.37798851365748276,3.0858363789619903,0.0020298048528044404,0.24131057323329153
GPATCH2,24.093924684134485,-0.8776075095296186,0.2838896599833328,-3.0913683491717983,0.0019923630964332408,0.24131057323329153
ZNF80,5.888997153282146,-1.8712121327789675,0.607589655324312,-3.079730071737601,0.0020718827728471684,0.24131057323329153
MYD88,21.01108021777936,1.0557769357603357,0.3430921483802586,3.077240154706743,0.0020892690323228704,0.24131057323329153
PARP9,29.94520941727355,0.9587058128796229,0.31054652047369213,3.0871568337563757,0.00202080948178625,0.24131057323329153
HBP1,84.71806627958595,-1.2306820665925693,0.3986075046615872,-3.08745332739634,0.002018794705598485,0.24131057323329153
IFI6,221.3793906580575,1.1609907418928376,0.37711418025676635,3.0786186324320974,0.0020796271175761334,0.24131057323329153
CHIC1,4.408295560325148,-1.4266136414608697,0.45876548076120444,-3.1096795667663746,0.0018729040381441724,0.24131057323329153
MIR22HG,10.039163402684633,-1.7590500501414708,0.5661717651349768,-3.106919416446189,0.001890479240528971,0.24131057323329153
PAQR3,4.542904379222234,-1.9206322987114703,0.617943831584649,-3.1081017408754126,0.0018829323487889284,0.24131057323329153
HSPH1,388.9689896408079,-1.9045605402997483,0.6105496074078295,-3.119419809941106,0.0018120757758005302,0.24131057323329153
MRPL1,36.785533616039274,-1.0488571451157176,0.3369100614419415,-3.1131665840631575,0.0018509151272645622,0.24131057323329153
MRPS18B,38.8253147411685,0.8575041823539977,0.2761422108378553,3.1052991853444154,0.001900866460194973,0.24131057323329153
TSC22D2,21.092999360483343,-1.2763473635399305,0.40958046364363143,-3.11623106284302,0.001831786797878314,0.24131057323329153
ZC3H11A,32.53981255124267,-0.7671846351025563,0.25056256888128575,-3.0618485375844045,0.0021997473000839474,0.24550662844644774
MEF2D,19.551573486207865,-1.0374566493881905,0.33851419585024806,-3.064736020249917,0.0021786219843663206,0.24550662844644774
KPNA5,7.492356597932605,-1.19530858254164,0.3902219510459855,-3.063150546343252,0.002190198446851586,0.24550662844644774
