dataset,cell_type,comparison,n_genes_tested,n_significant_padj05
GSE114725,T cells,Tumor_vs_Normal,6791,1
GSE114725,CD8/Effector T cells,Tumor_vs_Normal,7324,0
GSE114725,NK/Cytotoxic T cells,Tumor_vs_Normal,3926,1
GSE114725,B cells,Tumor_vs_Normal,1602,1
GSE114725,Macrophages,Tumor_vs_Normal,9267,12
GSE176078,Endothelial cells,TNBC_vs_ER+,13262,1
GSE176078,Endothelial cells,HER2+_vs_ER+,12502,0
GSE176078,Endothelial cells,TNBC_vs_HER2+,11573,0
GSE176078,CAFs,TNBC_vs_ER+,13706,11
GSE176078,CAFs,HER2+_vs_ER+,11946,0
GSE176078,CAFs,TNBC_vs_HER2+,12527,1
GSE176078,PVL,TNBC_vs_ER+,12050,26
GSE176078,PVL,HER2+_vs_ER+,10350,0
GSE176078,PVL,TNBC_vs_HER2+,9873,13
GSE176078,B cells,TNBC_vs_ER+,5851,79
GSE176078,B cells,HER2+_vs_ER+,5075,0
GSE176078,B cells,TNBC_vs_HER2+,3891,162
GSE176078,CD8 T cells,TNBC_vs_ER+,10812,44
GSE176078,CD8 T cells,HER2+_vs_ER+,10087,0
GSE176078,CD8 T cells,TNBC_vs_HER2+,10732,35
GSE176078,NK cells,TNBC_vs_ER+,9074,4
GSE176078,NK cells,HER2+_vs_ER+,8047,0
GSE176078,NK cells,TNBC_vs_HER2+,9251,13
GSE176078,Memory T cells,TNBC_vs_ER+,10175,0
GSE176078,Memory T cells,HER2+_vs_ER+,9575,0
GSE176078,Memory T cells,TNBC_vs_HER2+,10248,6
GSE176078,T cells,TNBC_vs_ER+,9890,19
GSE176078,T cells,HER2+_vs_ER+,9003,7
GSE176078,T cells,TNBC_vs_HER2+,9926,2
GSE176078,Cycling epithelial,TNBC_vs_ER+,11321,448
GSE176078,Cycling epithelial,HER2+_vs_ER+,4521,28
GSE176078,Cycling epithelial,TNBC_vs_HER2+,9880,41
GSE176078,Macrophages,TNBC_vs_ER+,13292,9
GSE176078,Macrophages,HER2+_vs_ER+,11999,1
GSE176078,Macrophages,TNBC_vs_HER2+,12590,0
GSE176078,Epithelial (ambiguous),TNBC_vs_ER+,12536,290
GSE176078,Epithelial (ambiguous),HER2+_vs_ER+,7834,15
GSE176078,Epithelial (ambiguous),TNBC_vs_HER2+,11970,34
GSE176078,Luminal epithelial,TNBC_vs_ER+,15766,1603
GSE176078,Luminal epithelial,HER2+_vs_ER+,14353,562
GSE176078,Luminal epithelial,TNBC_vs_HER2+,12112,17
