,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
JUN,418.8979875186805,2.1627292496718797,0.46688712626264595,4.632231492404104,3.617453376480145e-06,0.020894410702549316
HSPA1B,10.126153652265577,3.8123459478549666,0.8765576818881282,4.349224274257768,1.3661993776790778e-05,0.039455838027371765
IER2,87.84012751210983,1.695708166584659,0.41732304973667544,4.063298606809821,4.838406886623447e-05,0.09315546059045676
ZNF331,44.54415912483032,1.5546173401528027,0.42496517097149733,3.658222947068459,0.0002539700809412299,0.16520774098163651
DNAJB1,181.90862486432883,1.7572428140553957,0.45646555781325565,3.8496723005206457,0.00011827595867786268,0.16520774098163651
LGALS1,66.42031410297507,-1.498404094840511,0.4068727774032287,-3.6827337144640846,0.00023074615518719812,0.16520774098163651
CRIP1,42.124163130465725,-1.1426612691836817,0.3126500974698515,-3.6547606363496086,0.0002574220340780347,0.16520774098163651
CTSL,12.105196536837628,3.0706302863443837,0.8285102148199932,3.7062069138296936,0.00021038644075375976,0.16520774098163651
AREG,46.6918704315894,1.9286670719412988,0.5122295684229063,3.765239632455101,0.00016638942859623497,0.16520774098163651
RAB27B,5.325093698514065,-2.3963061597230055,0.678873639476285,-3.529826495504566,0.0004158322719123722,0.2188228963730865
AHNAK,365.44480898034845,-1.0565296316709256,0.29936346597905966,-3.5292537391480807,0.000416733355281155,0.2188228963730865
DUSP2,108.35453451805216,1.380445285448267,0.4052744384384229,3.4061987495863515,0.000658742047694086,0.31707450562342004
PHYH,8.71582865510746,-1.8629162040459384,0.554366430738551,-3.3604419401154586,0.0007781788469989114,0.34015829512720447
STAT1,55.69327918654542,1.523532492325438,0.4555416432749906,3.3444417537163513,0.0008244834023166314,0.34015829512720447
ARF4,16.996114008673207,1.4634160158601575,0.4418199106309853,3.3122455114577773,0.0009255028673533075,0.35638030412218025
LMNA,83.9382568888007,-2.7030166501759325,0.8282134542039085,-3.2636715045568945,0.0010997859834211577,0.36076707553213383
BTG2,192.71778817515414,1.2717340064299472,0.3907898023804583,3.2542661008125147,0.0011368573525323594,0.36076707553213383
FOSL2,28.495397450663177,1.9518880930410645,0.5950240329374814,3.280351691687296,0.0010367775797092526,0.36076707553213383
IER5,41.52909148021398,1.7883890877538131,0.5516229936548759,3.242049567050359,0.0011867338010925455,0.36076707553213383
CREM,35.768217093746166,1.8093665672895292,0.5636755554931816,3.2099432903497904,0.001327611619367514,0.38341423567333804
TRIM69,11.696838866755273,2.502365955819352,0.7899078817856797,3.167921239325349,0.00153533108224653,0.42228915862171224
S100A10,180.3347434140398,-0.9345470431702599,0.303300699176478,-3.081255815458856,0.002061294698149843,0.457924545250519
TYMP,13.204633188876278,1.6342960872836887,0.5272596933717217,3.0996036826420155,0.0019377974118591065,0.457924545250519
GRN,27.31711687868967,1.6679183365980623,0.5360071250363598,3.1117465770346238,0.001859840816006034,0.457924545250519
DNAJA1,45.38273708569431,1.6746886419772282,0.5415803437689943,3.0922256711213834,0.001986617590042506,0.457924545250519
UCP2,91.58568928905119,-1.112553752643409,0.3579398104659463,-3.1082146218805553,0.0018822132674330646,0.457924545250519
CCDC71,4.0443934694868515,-2.3355253727691836,0.762330056800374,-3.063666914265157,0.002186421969134274,0.46773234421183585
UBL4A,10.125466350855625,-2.08137461635791,0.6862987292769305,-3.032753125669927,0.002423337627733221,0.49989993349239586
CRBN,25.717197339943308,-1.2486059991082126,0.4143033344177582,-3.013748370775106,0.002580417290730917,0.5139479403883371
ABCB8,3.9943957890455564,-2.1535424585631864,0.7238398994280834,-2.9751640663422014,0.0029283188544745676,0.5637989901148367
NSMCE3,24.627999634324237,1.2885853951555546,0.43555072283034485,2.9585197030139763,0.00309120479760119,0.5759612551917572
JUNB,838.3884386859925,1.0546394237834702,0.3579066302236592,2.9466887023702695,0.0032119637474356463,0.5797594564121341
PDSS2,4.974325241822267,-1.9670487792990858,0.683215459117805,-2.879104611946307,0.003988060217682378,0.6980313884040429
FOXN3,40.88500480822086,-0.9784533715143795,0.34135546129131233,-2.866376790378545,0.004151997443309128,0.7053510950751036
HSPA1A,82.11284985647163,3.668513779425936,1.2958274839118145,2.8310201974969003,0.004639979092439021,0.724338357781832
PTPMT1,5.753294440376688,-2.359651068170841,0.8320548269769845,-2.8359321906032418,0.004569214617485182,0.724338357781832
CD69,370.6967045192066,0.816944794575926,0.2880951437012437,2.835677075567446,0.0045728657203333465,0.724338357781832
PGLS,19.50412532170651,-1.2704070860675913,0.4502448306605103,-2.821591719784769,0.0047785970686839985,0.7263467544399678
CDKN1A,22.529770976604613,2.6032921910706524,0.9290614779142096,2.80206665861895,0.005077638090272526,0.7332109402353528
GBP2,30.679597132843323,1.2120813815834093,0.43165880658826816,2.807961665750368,0.004985616116879476,0.7332109402353528
S100A4,482.42531792654177,-0.7576600148675949,0.27226818258485536,-2.7827710446168714,0.00538968254805868,0.7343187322967453
BTN3A3,15.33455028781263,1.2988853195310204,0.467533770364342,2.7781636362199436,0.005466708013982002,0.7343187322967453
TRPM7,10.460250154503605,-1.6894318623184281,0.6080177304268005,-2.7785897972622022,0.005459542087092318,0.7343187322967453
PIK3R5,22.555148662782653,-1.2392359935193789,0.44781702205917706,-2.767282020279299,0.005652583261399536,0.7420300208600845
DFFA,6.999649939536354,1.9771392933932788,0.7169786972594909,2.7575983790738863,0.0058227689105109295,0.7473847383802473
NDRG1,49.86240722390939,-1.1118238690947344,0.41066677990910005,-2.707362571038333,0.006782014378998085,0.7948243236998052
TMEM167B,16.026000351994046,-1.291693013410991,0.47535170951483924,-2.717341681024643,0.006580863115202776,0.7948243236998052
ZC3H12A,17.437942058090233,1.6155680796777652,0.5977877775449474,2.7025779722575396,0.0068804044641603635,0.7948243236998052
FOS,736.5227945419833,0.8755273159521506,0.32171985038194006,2.721396627882116,0.006500671289118668,0.7948243236998052
HLA-DPA1,31.869280037679474,1.5112065057939286,0.5571968921593224,2.7121588922319773,0.006684654169467161,0.7948243236998052
CDK5R1,9.602794940371238,-1.519238501389492,0.5692879706961984,-2.668664330868562,0.0076153515170496915,0.8068452814591404
HAX1,39.99995032197797,-0.9509115911466973,0.35549376014732736,-2.674903747262992,0.007475070796861394,0.8068452814591404
GBP1,15.141791670776508,1.5421912247206093,0.5784876853304933,2.665901563383405,0.0076782171476040585,0.8068452814591404
LDLR,6.174341688728705,-2.087159100389105,0.7829696276792301,-2.6656961223075437,0.007682910401705803,0.8068452814591404
CD99,152.89656456500194,-0.7163771097172844,0.2664825201856089,-2.6882705447933977,0.007182317858488289,0.8068452814591404
DPP4,29.510309677430953,-0.9986996429489507,0.3761170617200448,-2.6552893888454143,0.007924039760438543,0.8173081010052325
PLAC8,30.7009326475724,1.1551163171655516,0.4376623458404643,2.6392864913871574,0.008308073769004243,0.8355654399772346
TMEM258,55.41940509639463,-0.8197483102979825,0.31542387535216576,-2.598878443753652,0.009352888635458497,0.8355654399772346
TNFSF10,25.86456806260611,1.420173378241677,0.5391216967207049,2.6342352512987546,0.008432703860685602,0.8355654399772346
UBR7,7.328714052581222,-1.682225499181978,0.6483605721839193,-2.594583278738893,0.009470566712186062,0.8355654399772346
MAP3K3,25.02229464562753,1.0380605996816243,0.4005180275078307,2.5917949465116865,0.009547666038521033,0.8355654399772346
FOSB,214.69034028820496,0.9956103675330048,0.3828429399434691,2.600571314388134,0.009306867278117506,0.8355654399772346
METTL9,59.53603947481716,-0.7499432010490787,0.2884117750985775,-2.600251674165357,0.009315541319025558,0.8355654399772346
RALGDS,36.29021916525329,-0.9607517579441395,0.36710827005331687,-2.617080126810014,0.00886855204552234,0.8355654399772346
ARRB1,5.738439947626337,-1.8070827365046571,0.6918473266820797,-2.6119675061417915,0.009002280998483443,0.8355654399772346
ANKRD28,26.59413944631173,-1.091738053657556,0.4209452149806154,-2.5935395267715085,0.009499361914526563,0.8355654399772346
CCL4,87.9116654318559,1.2689463807075798,0.49076099731757217,2.58567080033551,0.0097189706350392,0.8378623042983048
DHTKD1,6.238542858364073,-1.7497887920250117,0.6823553379537456,-2.5643366362052604,0.010337322939152729,0.8780643720080318
TMED10,61.11901090942652,-0.8209383059494928,0.32453753698468346,-2.5295634938778653,0.011420450838233853,0.8925250323970529
TNFAIP3,368.7664337510774,0.8319875557868254,0.3289625077408355,2.529125770290774,0.011434704362427618,0.8925250323970529
FAM101B,19.930187498256814,-1.3988936016274816,0.5485168557812005,-2.550320171355847,0.01076240306882065,0.8925250323970529
UBN1,18.53518719895575,-1.2645537572068895,0.49970306154309657,-2.530610385499567,0.011386425019017096,0.8925250323970529
SECISBP2L,10.75241857280887,-1.1802226464350392,0.46467439980798414,-2.539891689584661,0.01108868027414658,0.8925250323970529
PRMT5,8.900548844346154,-1.6841944530574475,0.6614314864027845,-2.546287087445732,0.010887560610537344,0.8925250323970529
TLE3,18.30792855102065,1.1373738069349042,0.45084212224160797,2.522776268729791,0.011643245224577322,0.8966851255621149
MYBL1,24.15524249722874,-1.191064677647703,0.4742661273088063,-2.5113846616167286,0.012025857678886085,0.9139651835953425
HMOX2,26.397041527276368,-0.8129740663674857,0.3307553514323793,-2.457931709484957,0.01397397436782307,0.9139843436935964
FAM46C,46.06781946423192,1.3316016055722428,0.5400934135860274,2.465502396577814,0.013682125989718148,0.9139843436935964
SAMD3,13.967243934081676,1.5245456197829896,0.6104713206323894,2.497325538902806,0.012513402193029858,0.9139843436935964
AKAP13,79.71061012438302,-0.7657465635726789,0.30613484442204303,-2.5013374907333543,0.012372521089364322,0.9139843436935964
MARCH5,6.063687287340673,-1.4827811322677336,0.6004495061246831,-2.4694518309085507,0.013532023557689668,0.9139843436935964
ACVR1B,5.616306564944077,-1.6319294521867764,0.6533802231882684,-2.4976719439464024,0.012501182272768675,0.9139843436935964
ZFAND5,33.02848327002857,0.9719889775121692,0.3959005788384863,2.4551340146150857,0.01408320751189925,0.9139843436935964
SLF2,9.500610625298329,-1.2933324123740728,0.5206782564498047,-2.4839378183228495,0.012993849527266906,0.9139843436935964
F8A1,9.211726204216454,-1.173969589855171,0.4763195185905274,-2.464668240615151,0.01371401643267343,0.9139843436935964
DUSP1,847.6047409954098,0.9247785335330975,0.3721682180363175,2.484840157530201,0.01296096162059308,0.9139843436935964
C19ORF25,14.685340570782751,-1.0334694255395271,0.42027471188838517,-2.4590330950342585,0.013931177483761529,0.9139843436935964
CHMP7,27.374922079194302,1.0226990778005498,0.4118883789196058,2.4829520087046806,0.013029864068797718,0.9139843436935964
SH3BP1,20.042115017959276,1.110019266773226,0.4517220275403297,2.457306040215459,0.013998337849790928,0.9139843436935964
CHORDC1,7.386913684767862,1.732866229441473,0.7174783938042217,2.4152173004868493,0.0157258246685185,0.9268608498506414
FAM129A,46.50541669657493,-0.804988565135042,0.33031738601073724,-2.437015425851291,0.014809047605739827,0.9268608498506414
CCDC167,27.567953042632812,-1.0404007921876093,0.42990350471393773,-2.420079810421417,0.015517101007151047,0.9268608498506414
