,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOBEC3G,13.358736840753552,2.9952959381284923,0.7849345328962336,3.8159818591195336,0.00013564247021463982,0.12623812734637394
OARD1,2.9192446849096454,-2.572981385156894,0.68445435601316,-3.759171612471151,0.00017047687690259814,0.12623812734637394
CD160,11.19586553076233,-1.8588384221476706,0.5121042610696526,-3.6298046383465756,0.0002836358079845703,0.14002154387504956
HLA-B,331.9670337499382,0.7824325827072569,0.23113258489390578,3.3852110599914256,0.0007112354424306451,0.17555661503996425
HLA-DRA,14.590749493790808,3.3373023290385904,0.9770137008537928,3.4158193750222625,0.000635904116444185,0.17555661503996425
SRPRA,5.543555211358301,-1.8812384642764675,0.5460958427545287,-3.4448869905096284,0.0005712981896487709,0.17555661503996425
EIF3A,7.835616997109832,-1.6769768304329888,0.5049928721085155,-3.320793070664631,0.0008976206244475718,0.18991087782955055
ALOX5AP,18.34633298619097,1.7822697242337104,0.5603868586487131,3.1804274078292636,0.0014705797838605304,0.21779286598974454
CUTA,7.486196229163037,-1.7114802534511915,0.5334469032143521,-3.2083422795004526,0.0013350251101787772,0.21779286598974454
KRT86,12.759197762131265,3.492774193204859,1.091446128704509,3.2001343001240055,0.0013736356467338353,0.21779286598974454
RTCB,3.0206675924767636,-2.185916399303025,0.6998432043758975,-3.1234373437295426,0.0017875191954956845,0.24066508441173715
GOLGB1,4.7238703046022446,-2.001525047077802,0.6476464374317511,-3.0904594411340716,0.0019984709689071585,0.24664462541262516
HMGN3,4.911393969126752,-1.5111360729095702,0.5166380632268776,-2.9249414250880825,0.0034452106549377323,0.3401571319975188
RNF220,4.655522308494931,-1.815559224594747,0.6197824544691205,-2.929349179705125,0.0033967260829084237,0.3401571319975188
TMEM126B,2.374983470824006,-2.034065428189887,0.6915714453970543,-2.941222402584974,0.0032691971824410884,0.3401571319975188
VAMP8,9.8859279740499,1.7847637469182156,0.6424443840195547,2.7780828836133007,0.005468066830980989,0.48278641579057624
HSP90AA1,33.971516742312026,1.8997360380095085,0.6849031605872637,2.773729407790435,0.005541775198136256,0.48278641579057624
ZNF827,4.121918636019025,-2.022834729532714,0.7405551524353328,-2.7315112492034856,0.00630445886995329,0.5035680420171547
RPL37A,125.40629667979842,-0.7519697134866216,0.2761090359759312,-2.7234520262211617,0.006460359755790641,0.5035680420171547
RPS6KA1,5.205706774299233,-1.4661908121562162,0.552382774656951,-2.6543021966366926,0.007947261834702079,0.5262496844335133
EIF4A2,13.20979614682224,1.6009694289782257,0.6116706892943266,2.617371499074502,0.008860984453673558,0.5262496844335133
NR4A1,16.54785746620946,1.6909471716237183,0.6466525303596234,2.614923923182254,0.008924733171091439,0.5262496844335133
HSPA8,26.6301127443441,1.4522866991901109,0.5534233893226276,2.624187425413413,0.008685597486548033,0.5262496844335133
SUPT20H,3.6454490782190447,-1.7073806275059504,0.6438481855486508,-2.6518372899521614,0.00800551100650137,0.5262496844335133
OSBPL8,4.260334967140277,-1.494978342645494,0.5743084284675184,-2.603093161343089,0.0092386845342818,0.5262496844335133
IQGAP2,5.459502417958167,-1.4782900982892966,0.5678396009335095,-2.603358581999277,0.00923153439280045,0.5262496844335133
RPL28,153.80349645985487,-0.6722584665802787,0.27076004760105815,-2.4828569522590507,0.013033341424674213,0.6893706660693754
DYNLL1,6.768695840503338,1.8115402575162731,0.7265217947169081,2.493442413826204,0.01265111038248267,0.6893706660693754
STAT1,6.653091745012748,2.0949062850406084,0.8551888263214474,2.4496417873602776,0.01429983969059384,0.705935419392316
ALDOA,4.795611948178273,2.242504432754248,0.9148663920835565,2.451182437303299,0.014238776512816787,0.705935419392316
RPL36,55.649830216602005,-0.754976506884965,0.33288096325483185,-2.268007456788703,0.023328752189928966,0.7123218198867506
VPS13A,2.1286937111918793,-1.6499249965590885,0.7392456190593224,-2.2319036515341004,0.02562133150735592,0.7123218198867506
RPL32,93.10626277697325,-0.8663358848263247,0.384079493508937,-2.255616088512068,0.02409468475738825,0.7123218198867506
ATXN7L3B,5.766572621756149,-1.383704921701343,0.6045001254309669,-2.2890068396840397,0.022078954988406594,0.7123218198867506
KLC1,4.652726064729051,-1.700006739006044,0.7240509106093334,-2.3479105047673845,0.018879056858188654,0.7123218198867506
ARHGEF3,6.776792909108215,2.4907980708943502,1.0472584586417333,2.3783986181642782,0.017388017648818654,0.7123218198867506
EPM2AIP1,3.922648389413628,-1.5269569605137583,0.6651063425077486,-2.2958087495549164,0.021686818949808152,0.7123218198867506
GANAB,8.311593971073007,-1.0370679312764592,0.46548522856581387,-2.2279287668734917,0.025885265520840854,0.7123218198867506
GRINA,5.47202527908573,-1.2149718060306556,0.540589742365484,-2.247493266731711,0.024608520416297325,0.7123218198867506
TAF10,3.597319479030581,-1.2827998717266245,0.5779710865177637,-2.219487966872886,0.026453544965409373,0.7123218198867506
CITED2,16.782944046034082,1.3918425148303832,0.588752058122263,2.3640554553124753,0.018076106582498072,0.7123218198867506
CXCR4,153.81088122229872,0.9372690292077189,0.40779292053884914,2.298394557632906,0.021539342990292507,0.7123218198867506
DNAJB1,18.2613060623461,2.1684808622396514,0.9141482848463932,2.3721325064937653,0.01768574683100551,0.7123218198867506
THRAP3,5.89287504274037,-1.5394498437537387,0.6488840365829259,-2.3724575686290605,0.017670192592958777,0.7123218198867506
CYTIP,14.797542372644358,1.4824667234141669,0.6355362552173365,2.33262337316571,0.01966792110434751,0.7123218198867506
TMEM59,6.24570657640362,1.92849631206247,0.84451039448806,2.2835672889870344,0.02239697405298567,0.7123218198867506
DUSP2,64.92674269125868,0.8845131504245028,0.380852102499383,2.3224583627602153,0.02020826791175431,0.7123218198867506
CMC1,16.75264558089082,-1.1187920014289132,0.5036062261880441,-2.221561099229067,0.02631298127362386,0.7123218198867506
RPS11,105.78502262381339,-0.6590554037418377,0.29518865020514967,-2.2326583467345666,0.025571483253288188,0.7123218198867506
RPL35,65.90003628482192,-0.7344645679018301,0.3039472811471912,-2.416420917238454,0.015673930614448637,0.7123218198867506
RNF167,6.340735096742436,1.6688972328423872,0.7074533415441701,2.3590209203050168,0.018323222770698935,0.7123218198867506
BPTF,8.785458757035181,-1.292097206873752,0.5550807034158908,-2.3277645915672487,0.019924607218460892,0.7123218198867506
PPP2R1A,8.72653246153319,1.38445799744248,0.6101426996424614,2.269072461661446,0.02326391970920702,0.7123218198867506
RGCC,17.69440852165478,1.3659924856285734,0.6073239806136278,2.249198993012597,0.024499838518212247,0.7123218198867506
KAT6A,3.9116368270742923,-1.454722215894401,0.6421540477876079,-2.265378877399134,0.023489439403889766,0.7123218198867506
RPL37,170.6062846556258,-0.5966515304728495,0.27659958683563035,-2.1570948000996486,0.030998278694666172,0.7552319919538696
RPL38,70.43490540086965,-0.7049208061217158,0.32314196178356164,-2.181458583190341,0.02914951462552358,0.7552319919538696
LAT2,5.129782822786262,1.9063013691298283,0.8717196660936546,2.186828453317264,0.02875504950356893,0.7552319919538696
ARPC1B,21.60900437130484,-0.7887066608130773,0.3658696495620548,-2.1557039829818008,0.031106786974467285,0.7552319919538696
VRK3,3.017266328071247,-1.7236032249483508,0.7944603872102411,-2.169526955271877,0.030042700188307344,0.7552319919538696
PSMD8,6.891307953399968,1.757009129718953,0.810823959907391,2.1669427848674223,0.03023921705437814,0.7552319919538696
PIP4K2A,8.768520134196509,1.4508529887316062,0.6751491715823197,2.148936930976751,0.031639399784402264,0.7557734045274154
NDUFA1,6.203261483793543,1.6890014648864318,0.7904544628879908,2.136747332307449,0.0326185479574404,0.7667947543645911
GALC,2.2446313731408454,-1.761154575586284,0.8372088741063207,-2.103602374576153,0.035413146651674415,0.7712775028107326
CCDC88C,3.987451366726374,-1.2967328891529128,0.6119713877129743,-2.1189436551911216,0.0340952289990828,0.7712775028107326
GLG1,6.131538549407483,-1.0931063673739227,0.5171638119077819,-2.1136559484731308,0.03454466352909657,0.7712775028107326
CXXC5,5.374818117601247,-1.1969906638116221,0.5667590565754838,-2.111992124209136,0.0346871248239671,0.7712775028107326
CLASP1,5.862094802560322,-1.3352251328216769,0.6336103333257045,-2.1073285307916696,0.035089111914604204,0.7712775028107326
S100A10,17.134158334716858,-0.9481814510647611,0.45582710587122316,-2.080133978106678,0.03751324582169704,0.7745587385178413
VPS11,2.4007085771972214,-1.5495792775431478,0.7406042908014066,-2.092317445077655,0.03641012818367761,0.7745587385178413
TRIM28,6.215824903255299,1.4808720351065978,0.7098659399092452,2.0861291574236174,0.036966925178359096,0.7745587385178413
MAD1L1,3.3416624483137314,-1.3406709023173946,0.644993050229389,-2.078581934860524,0.0376557928246351,0.7745587385178413
TMED4,4.071220938409483,-1.3426304265648468,0.6543627906715853,-2.0518135286801362,0.04018778801711414,0.78313307964929
