,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
APOE,92.76253188063998,5.751469274371863,1.2752319640433099,4.510135752977824,6.4786153278313395e-06,0.005675267027180253
RGS1,32.18335132451204,1.9822407042454449,0.4916473702574248,4.031834245767553,5.534321566010305e-05,0.024240328459125136
HMOX1,48.55109974012471,2.7722281835632674,0.8317660213510364,3.3329423328213634,0.0008593275164113545,0.16217816169550203
S100A6,23.333727179823548,2.2423081683319555,0.6763871864046263,3.3151251434124136,0.0009160210628885287,0.16217816169550203
CFD,17.836168992439305,2.0346931403535864,0.6239773560887665,3.260844517031052,0.0011108093266815207,0.16217816169550203
LRRC25,8.981870884512002,-1.5322693912868315,0.46746806598407686,-3.277805486159186,0.001046174599423735,0.16217816169550203
S100A11,38.89133109985656,1.1856080107555895,0.4157556114558285,2.851694548641235,0.004348686600664221,0.42502400758160724
NCOA1,6.941107857686132,-1.7636202218506052,0.619219349080486,-2.84813487251247,0.004397628326583801,0.42502400758160724
CUX1,5.2742040722874135,-1.833704883576993,0.6510100964536076,-2.816707288513868,0.00485187223266675,0.42502400758160724
FPR3,11.169729051735555,1.890463855820324,0.659618720124703,2.8659948514846967,0.004157010063362875,0.42502400758160724
PLTP,86.13999576879655,1.4786502626813371,0.5407572699751636,2.7344066271161735,0.006249281685128982,0.4290707769965566
AP1B1,19.03525930123224,1.2880146318722114,0.47210604765141573,2.728231587542022,0.006367488699720589,0.4290707769965566
HSPA1A,25.315289126419096,1.7045783178806153,0.6224960294746688,2.73829588811856,0.006175848343462558,0.4290707769965566
COTL1,16.964839029927454,1.6446122411902953,0.6123975788383005,2.6855302797082814,0.007241481288912223,0.4531098292205077
SH3BGRL3,32.92639883764484,1.202373323918077,0.4734720360237925,2.5394811782667905,0.011101701862123049,0.4891846149682491
NDUFB4,6.475223503989061,-1.4432027158164997,0.5687769718078199,-2.5373789505390403,0.01116859851525683,0.4891846149682491
HCST,19.767761379914283,-1.1567447290797415,0.439454851731958,-2.6322265518763435,0.008482727710726647,0.4891846149682491
ATF3,12.332569032059409,1.5992691302977977,0.6300614336419449,2.5382749124216986,0.011140043747107236,0.4891846149682491
SLC39A1,9.67421385804289,-1.332642557442055,0.5163542085241003,-2.5808689760681114,0.009855197772442825,0.4891846149682491
CTSD,99.49754515100672,1.4292483960706401,0.5579594617579435,2.561563149350594,0.010420229562584964,0.4891846149682491
TIMP1,7.906741279854343,1.7998334088190044,0.7192240931103154,2.502465401340419,0.012333167952717442,0.49108432393547635
HNRNPL,4.906912249200541,2.3713649790228764,0.9448448800346831,2.509792907948899,0.012080198342013711,0.49108432393547635
PNRC1,19.624162821652707,-0.9937314959374005,0.4008317807377788,-2.4791734181065155,0.013168726255956829,0.5015567043573123
CTSC,34.178812695377744,1.1013219930617637,0.44997115756771217,2.4475390800932293,0.014383552581580899,0.5039996824585947
MYL6,21.592868243815843,1.175217177977342,0.47918659340123976,2.452525162767422,0.014185745745993617,0.5039996824585947
WASF2,23.85041120916309,-0.9146992993183876,0.381897609601798,-2.3951427720957406,0.016613894634689326,0.5597604499995327
ATF4,11.652716258730567,-1.1863027480098332,0.5109793925606663,-2.3216254222404653,0.020253113792260326,0.572313796194195
NCF2,7.3783304882978715,-1.2859487852335099,0.5531973678609624,-2.3245750250147847,0.020094695539596426,0.572313796194195
MFSD12,6.285532842584898,-1.1669703179045077,0.4973810409806094,-2.3462299962293947,0.018964400975732505,0.572313796194195
SQSTM1,14.09130949847956,1.24343702922073,0.5268713548055574,2.360039159235791,0.018273006066916744,0.572313796194195
MYH9,13.92176386304944,1.398717172064007,0.5987376750931707,2.3361101701949023,0.019485500391952387,0.572313796194195
LYVE1,38.601569384683046,-1.3989382147729155,0.6186728540201335,-2.2611921723777293,0.023747359617390825,0.6118437360245401
TYMP,9.277133049834593,1.5507137828747386,0.6834760002191134,2.2688635480654775,0.023276625038075698,0.6118437360245401
RPL36,34.49817619458783,-1.0322697208155194,0.45312303055162756,-2.2781223888771316,0.0227192866712086,0.6118437360245401
PTMA,38.99224697001334,0.9520574495464933,0.4247034282712822,2.2416994687840384,0.02498080224572756,0.6145776451073555
CTSL,14.317449875973697,1.6845990607383725,0.7529085682962277,2.237455026644851,0.025256615552357076,0.6145776451073555
TRIM38,5.911036585522682,-1.2098623076245176,0.5524703087766044,-2.1899137173609353,0.02853049495206942,0.6281571679819394
FCGR2A,43.038270444012404,1.0765188864955753,0.49342200324062985,2.181740740026511,0.029128672354378604,0.6281571679819394
TSPAN14,6.317173966384344,-1.1433782475489525,0.5179692992129192,-2.2074247436795464,0.027284399283151444,0.6281571679819394
CLIC1,25.26927146989722,0.8921691295472088,0.40810401574665917,2.186131709375399,0.02880597069249116,0.6281571679819394
TXNIP,94.08596375768727,-0.7251973037290472,0.3329524921687483,-2.1780804192374084,0.02940005009961132,0.6281571679819394
PAG1,5.345666742023289,-1.3419382611567399,0.6189927691603043,-2.167938509164087,0.030163365383851407,0.6291216208631865
CEBPD,84.27966254197409,-0.8790592479091195,0.4122988533224006,-2.132092390811797,0.03299925204737418,0.6423854398555506
CD63,52.10717526704508,0.7631631880611102,0.3563095319716689,2.1418545382103087,0.03220518913622365,0.6423854398555506
CSF1R,66.43670117726325,-0.8033613560222082,0.37592586554280427,-2.137020699180207,0.032596308084430814,0.6423854398555506
CLEC10A,11.857250455844522,-1.2321709362380826,0.5848112403038448,-2.106954947715942,0.035121484952657746,0.6546046982665572
PPIG,6.0048355673384615,-1.157874187928516,0.547893954073099,-2.11331805967334,0.03457355400110022,0.6546046982665572
OGFRL1,10.780852379789547,-0.9502957061846812,0.4644406204140127,-2.046108080162253,0.04074573819631314,0.6734578615088738
MRC1,55.99810938621872,-1.1736236332589323,0.5694074673505364,-2.0611314402317644,0.03929050207312736,0.6734578615088738
RAB31,22.968982096821783,-0.9447776848464831,0.4606899022438506,-2.050788784917619,0.04028752020201171,0.6734578615088738
SLC25A3,14.49461392543427,-0.8430916666927334,0.40957538376085717,-2.0584529737875985,0.03954667106112212,0.6734578615088738
FCGR3A,22.384749994919027,1.6163885700105605,0.7899546651183076,2.046178902897525,0.04073877222451894,0.6734578615088738
CCR1,8.78878680344191,1.3552417839516482,0.6517408106005266,2.079418323831681,0.037578917745412686,0.6734578615088738
STMN1,7.645709936643383,1.3354387163724866,0.6668475473564051,2.002614723060149,0.045218658329620236,0.6883936933724867
ARF6,10.184601722471717,1.1372956404240415,0.5745503329852492,1.9794534527808552,0.047764975401600705,0.6883936933724867
ARPC2,29.816671172359502,-0.5937370871084442,0.3211306879687457,-1.848895509999437,0.06447290217267741,0.6883936933724867
ARPC1B,31.13381802026791,0.7500494367061019,0.41623478741265396,1.8019864254222104,0.07154754131174301,0.6883936933724867
CD44,12.974932747865827,0.8870733133239842,0.47154169222086806,1.881219260053219,0.059942098809559356,0.6883936933724867
CHPF2,3.296575082626646,-1.4281156337302647,0.7371609715108085,-1.9373185625974576,0.052706414555725174,0.6883936933724867
LAPTM5,76.85725664670659,0.6300482393621522,0.32636094669908056,1.9305258356879473,0.05354171721526098,0.6883936933724867
LGALS8,4.050483007832261,1.709002926558702,0.930975431920019,1.8357121659312747,0.06640023769069082,0.6883936933724867
PLEKHB2,6.677701682975652,-1.1860046430926499,0.6289679236931488,-1.88563613248942,0.05934400482560099,0.6883936933724867
CD164,15.713780250237113,-0.7643986129721726,0.4226307832003422,-1.8086676204317569,0.07050265625622472,0.6883936933724867
TAF15,5.93191281224289,-1.1923719666443515,0.6173638637582481,-1.931392549258875,0.053434525862007004,0.6883936933724867
TALDO1,8.560703704795069,1.396758058451821,0.7044975464559107,1.9826301248009155,0.047408759865632914,0.6883936933724867
MCL1,47.54874365599212,-0.7814092876978601,0.41668938886908147,-1.8752800252932984,0.06075420984853913,0.6883936933724867
MAFB,121.4417043216308,-0.8885106669047764,0.4595643061786035,-1.9333761455343939,0.05318987766707577,0.6883936933724867
MIS18BP1,4.420336930183586,-1.3551224194526383,0.7004334758440862,-1.9346911108433134,0.053028211846204626,0.6883936933724867
CALR,31.632102054352465,0.7983436304833433,0.439241899623144,1.8175488976991891,0.06913310824257349,0.6883936933724867
LAMTOR1,7.942536449634598,1.241690951242425,0.6721040929783352,1.8474682184124864,0.06467931015007823,0.6883936933724867
IFITM3,35.90888583598124,1.1492749456214875,0.6006173866197796,1.9134893048792727,0.05568544139471397,0.6883936933724867
SORL1,4.998534957062464,1.6779909953600816,0.8514950480530743,1.9706409323187175,0.04876496121928193,0.6883936933724867
CORO1B,7.952193666287118,-0.8938396628961538,0.48242325424810895,-1.8528121416727032,0.06390928933834299,0.6883936933724867
IRF2BP2,17.15703829398327,-0.8267223105001785,0.46186298230385014,-1.7899730919684205,0.07345823724265489,0.6883936933724867
NPM1,8.206892254530695,1.3088417737605662,0.6522047105763084,2.006795953074354,0.04477139396291831,0.6883936933724867
C1QB,143.30842318239493,0.6829869111714186,0.3725259609847494,1.833394132763217,0.06674397952047477,0.6883936933724867
TNFRSF21,5.753465731304399,-1.154609883705123,0.6035647917459291,-1.9129841559597738,0.05575008082226575,0.6883936933724867
IGF1,11.594077506290429,-1.119349162806222,0.5663550208349789,-1.9764090042955074,0.04810847256097117,0.6883936933724867
PCBP1,25.045116479138475,-0.6675558081914357,0.3696110613871133,-1.8061034366400335,0.07090218413264866,0.6883936933724867
DOCK2,8.913278007655483,-0.8794688282794069,0.48557578691144926,-1.8111875673895348,0.0701118220544402,0.6883936933724867
SET,11.117462309450058,0.9803489937225357,0.5428137802795661,1.8060503055350314,0.07091048213125374,0.6883936933724867
SIRPA,9.990583050597937,0.993377365423714,0.5557587259974253,1.7874255840803768,0.07386872965412528,0.6883936933724867
DAB2,50.08788999101068,-0.8465575244567956,0.44691761789829443,-1.8942138115697371,0.05819663558467235,0.6883936933724867
DDAH2,9.169034904349205,1.0880375299959177,0.5979222495098983,1.8196973450774825,0.06880510786060638,0.6883936933724867
RAB35,4.683481776170693,-1.2412823541285127,0.635913464958808,-1.9519674020566908,0.05094207493428056,0.6883936933724867
HLA-E,95.56371166637089,-0.5233353275020117,0.29092239857823965,-1.7988828981872558,0.0720372063797069,0.6883936933724867
YBX3,9.403455864197282,1.0865504882849335,0.5833755461777833,1.8625231986563384,0.0625293785885442,0.6883936933724867
ATP5D,7.177945769053321,-0.9788615537679949,0.5455639322316336,-1.794219698072697,0.07277810929156561,0.6883936933724867
RPL29,30.417490168555048,-0.7499518844343952,0.4149113308260421,-1.8074991660057218,0.07068448461330754,0.6883936933724867
HCLS1,17.114663456843765,0.9274804171496464,0.459388439546454,2.01894592311755,0.04349284039357421,0.6883936933724867
RNH1,7.405080572118349,1.1586217588460286,0.6064637731855151,1.910455018211962,0.056074652752873454,0.6883936933724867
HLA-A,138.16879550077684,0.7781610766918808,0.4263067357633492,1.8253548710613208,0.0679474948110535,0.6883936933724867
HLA-B,227.43301592043477,0.8148644515059199,0.43005085319008884,1.8948095218537742,0.05811764126821848,0.6883936933724867
SH3BP5,11.115560550379644,-1.4298777191262875,0.7994227917149244,-1.788637669510159,0.0736731871274733,0.6883936933724867
EIF3F,8.922917963097937,-0.8725227549474708,0.49008133368394996,-1.7803631662293726,0.07501654573466082,0.6895263798236895
CALM3,13.33733997045708,0.9544838618539818,0.5371253608041856,1.7770225193331513,0.07556453477519885,0.6895263798236895
HBEGF,6.354433421339651,1.218538593863376,0.6968275627332632,1.7486945968149328,0.08034382452383738,0.72557928126682
RIN3,10.718890096360186,-0.9663655318501784,0.5543681976458452,-1.7431835663623965,0.081301555098165,0.7267363496529851
MPEG1,26.13917646459587,-0.6721501587666431,0.38759713979780547,-1.734146333270875,0.08289212229651365,0.733469688199454
LITAF,18.222497067834166,0.7418270203228836,0.43088779716614134,1.721624574197098,0.08513754862733337,0.7370952546536926
AHCYL1,7.99268140732619,-0.8219786026070375,0.47664485759080366,-1.7245095368524892,0.08461589880427887,0.7370952546536926
CSTB,17.504217499138406,0.8854799317829846,0.5154618235626115,1.7178380460127871,0.08582615978844367,0.7370952546536926
RPL35,62.30230320362334,-0.5568630911695649,0.3266262032221288,-1.7048941134427564,0.08821417444614922,0.7502487069400652
OS9,14.114095194232238,0.7595091373738017,0.44871280735985153,1.692639757359773,0.09052405858932296,0.7624911088869896
PAIP2,7.729172818092603,-0.8742432665600981,0.5549105390676046,-1.5754670438032343,0.11514867971864454,0.7646316800113975
CEP170,3.543446974318049,-1.0162861339837936,0.679866319270037,-1.4948323003777655,0.13495821421116586,0.7646316800113975
LAMP1,17.818173987257474,0.6829189901715945,0.4589651267204937,1.4879539869430798,0.13676302865955486,0.7646316800113975
CFL1,51.83875986948108,0.5623829753807947,0.36879091346732207,1.524937179425996,0.12727476732308737,0.7646316800113975
LYZ,80.78034847239662,1.0531699694752332,0.6682288389476466,1.5760618340474608,0.11501155365183384,0.7646316800113975
PPT1,12.142626648116288,0.6889437247955911,0.477569640219344,1.4426036891272331,0.14913214356596063,0.7646316800113975
TAGLN2,22.976874512466104,-0.617290284244205,0.4179930674541859,-1.4767955076476549,0.1397304611502153,0.7646316800113975
ARRDC3,11.180931410803193,-0.8432838894590322,0.5364519085157614,-1.5719654941525032,0.11595855386515232,0.7646316800113975
