,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PCNX3,6.740697918443684,-3.6561936371674335,0.7818403141084564,-4.676394362366237,2.9196289040972044e-06,0.006180854389973782
JAK1,32.68757535661182,-1.27913409874153,0.31990530019551777,-3.9984773555166373,6.375127885423862e-05,0.06748072866721158
PCNA,4.896657475996164,3.423929087727232,0.9767744243791963,3.505342689437596,0.0004560199011743401,0.2413485326965195
FAM134C,11.41856546248485,-1.728007694935084,0.48289266124009317,-3.57845093461862,0.0003456367378351982,0.2413485326965195
RHOB,7.043839713001838,2.4260910526511164,0.7597409587703888,3.19331349013702,0.0014065016305883935,0.411473460382323
CCL4,311.5217058021156,1.1345188714051824,0.35522042648328583,3.193844685782913,0.0014039162687835064,0.411473460382323
RGS2,19.55514742837684,2.185312599510533,0.7052334090129136,3.0987082738596086,0.0019436630155045963,0.411473460382323
CDKN1B,11.9305048429968,1.640706682696021,0.5250989918027765,3.1245664309183416,0.0017806730896264872,0.411473460382323
TFEB,4.966677600590294,-1.8778346368650454,0.5729894857012118,-3.277258455392062,0.0010482037269425228,0.411473460382323
CD69,42.29148174536255,1.4609644705940765,0.4617444929228255,3.164010601071224,0.0015561112730812312,0.411473460382323
UBN1,4.667275819864858,-1.803468079037827,0.6238956684927651,-2.8906565153669446,0.0038443804583651745,0.5437397698237108
SRSF4,8.970128578242196,-1.5116374223518376,0.5560309615770663,-2.7186209524455114,0.00655546832973875,0.5437397698237108
SARS,8.742954522944128,-1.849635166503088,0.6747424838709071,-2.7412460467762148,0.006120665463479461,0.5437397698237108
KLF6,63.50256856342662,0.9788924457134187,0.3378062579317694,2.8977925148773793,0.003757991131868025,0.5437397698237108
IQSEC1,5.741273995585449,-1.5290813069223703,0.5637617284427769,-2.712282919853392,0.006682153291582776,0.5437397698237108
AAK1,13.216758367734576,-1.0326762619387906,0.38359757402864086,-2.6920823588464278,0.007100740786937244,0.5437397698237108
UBE2D3,20.132188866866326,1.1294377565495564,0.4118890895795278,2.7420919493219147,0.006104924939171464,0.5437397698237108
HIPK1,9.033477366327997,-1.3588598774554799,0.4783433001240732,-2.8407628519162227,0.004500576650414131,0.5437397698237108
DNAJC1,8.929225651225845,-2.1249270458490708,0.7806248386273567,-2.722084848831511,0.00648714841833487,0.5437397698237108
TM9SF2,6.38078115427361,1.7208140968892556,0.6402225971981532,2.687837174789149,0.00719164551490973,0.5437397698237108
ILF3,9.265824775799922,-1.5102324781025305,0.5333149387922839,-2.83178356399039,0.004628916949193995,0.5437397698237108
REL,8.635149932465461,1.7360249119427607,0.6388428736208748,2.7174521054030185,0.006578667600207373,0.5437397698237108
SCAMP2,9.603392447506968,1.676843728696314,0.6013894507300396,2.7882825790521557,0.005298830191091219,0.5437397698237108
FOS,69.23497397858982,1.457590005062937,0.5335025870203371,2.7321142212331453,0.006292932019390253,0.5437397698237108
IDH3B,6.948822394588803,-1.669376992445815,0.6036418109216178,-2.765509217953396,0.00568339987559205,0.5437397698237108
AHNAK,47.03254675164339,-0.8652082351253552,0.3157674856828903,-2.7400168616291327,0.006143603245482533,0.5437397698237108
JUN,48.7052135642728,2.8034531837928625,0.966749888445704,2.899874328716112,0.003733122998209299,0.5437397698237108
METTL26,5.104684742747451,-1.8173113301040908,0.6712443896631194,-2.7073765652121926,0.006781728468154266,0.5437397698237108
SLC38A2,10.000381186547612,1.4592866550843167,0.5471449028627999,2.6670935751186957,0.007651036586342452,0.558525670802999
HSPA8,61.278934157700014,1.2015848500910036,0.4565305107317833,2.6319924339009795,0.008488575324208249,0.5796875471402859
PSMD7,12.284193240874778,-2.0117212437374183,0.7619510281971577,-2.6402238061116945,0.00828512935853479,0.5796875471402859
RPL29,38.210779955626634,-0.9559988994495954,0.3649461723202233,-2.619561381810441,0.008804292638686005,0.582458984878071
