,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCGB2A2,28.076951122407955,-5.085412258105388,1.0963778104412654,-4.638375758497551,3.511579251962002e-06,0.013603858022100797
CA12,27.827359285408612,3.6858123447674855,0.8892065139496139,4.14505774186933,3.397280918415689e-05,0.03290266569485595
ELN,132.3616884343252,-2.6940342366993213,0.6370457782809225,-4.228949203570916,2.347853444622348e-05,0.03290266569485595
THBS4,130.32611743592392,-3.732237480113197,0.8898642441567121,-4.19416501406918,2.7387855996718624e-05,0.03290266569485595
ANXA4,85.70078412490886,-1.088863270827714,0.2689420462751374,-4.0486911061640685,5.1504868604329955e-05,0.03990597219463485
GXYLT2,27.712706487726678,-1.7631292455929004,0.4429996460256165,-3.9799789038453257,6.892138415916571e-05,0.044500240372101325
GLS,36.14217743154251,-1.1952605136079077,0.3076736149760212,-3.884832677969677,0.00010240038725401925,0.049297977037021413
IKBIP,57.756372287759895,0.9963658544249587,0.257402112025338,3.870853454096286,0.00010845497941781767,0.049297977037021413
COL16A1,71.27562164468978,-1.4074660295144812,0.364859850403766,-3.8575525039461938,0.00011452808294610034,0.049297977037021413
BNIP3,43.32088789488576,2.0641960609613395,0.54217115286256,3.8072775544452684,0.00014050502422413542,0.04948331489493642
MATN3,45.01057191497615,-2.5151035834824986,0.659820126707603,-3.8118018558064657,0.0001379574484288763,0.04948331489493642
NBEAL1,207.57394638708897,-1.5798669325489931,0.4371883549121969,-3.6136985690441987,0.0003018599778240319,0.09609768248004594
SLC6A6,25.723527556357418,-1.2069851660142474,0.335596008934002,-3.5965420740495513,0.00032247544456391256,0.09609768248004594
SFRP4,878.6288255047527,-2.0125275048117137,0.5665635879551697,-3.5521652778204285,0.0003820747866880998,0.09867718157531323
MAN1A1,36.977764317800236,-1.103605044725343,0.30999851411127816,-3.5600333372217037,0.0003708077171222265,0.09867718157531323
LTBP3,64.72331815694125,-1.2897913418118878,0.3753432464990681,-3.43629825191244,0.0005897213819826253,0.11991617651559643
PPA1,116.91202357416284,1.1607970773179117,0.33910562402409594,3.423113611455257,0.0006190819644584225,0.11991617651559643
NOV,28.707364267894736,-3.0091038546082065,0.8719582493772849,-3.4509724023566255,0.0005585706828930934,0.11991617651559643
ANPEP,24.732960376228238,1.3449564067589097,0.390486400898852,3.444310489848006,0.0005725178288090803,0.11991617651559643
UPP1,29.54009765933491,2.040608674547357,0.5884954925657906,3.467500941511847,0.0005253219017974308,0.11991617651559643
CILP,261.9280538318925,-2.4549936012672187,0.7313294738918921,-3.3568913723695006,0.0007882407467784196,0.1427940753462018
ASPN,300.23690445589875,-1.8813245506128626,0.5617498379528255,-3.349043334785709,0.0008109111145112132,0.1427940753462018
SHMT2,30.274714912748813,1.1088076000615765,0.3380700991389144,3.2798156444056383,0.0010387493991662296,0.15937365814301926
PAM,63.65630618972493,-1.0214811555560277,0.3162552869735078,-3.229925941575154,0.0012382228749152086,0.15937365814301926
PGAM1,186.10850030740085,0.9895427409799198,0.3044962842569797,3.2497695116200336,0.001154985779187065,0.15937365814301926
POLE4,46.67195055271546,0.9051175658589435,0.27860885646176775,3.248703495479688,0.0011593225235401405,0.15937365814301926
SKIL,47.863902469442756,-1.057685212766221,0.3283231002281602,-3.22147668571358,0.0012753183795646869,0.15937365814301926
COPZ2,35.05515161042143,-1.0833169152491977,0.33287106839017827,-3.254464019622686,0.0011360655002467335,0.15937365814301926
ITGBL1,100.98701292958931,-1.9000033491583053,0.5872710828440505,-3.235308879771371,0.0012151120289021734,0.15937365814301926
LTBP2,70.87512773182978,-1.4853642742761564,0.45429931917341443,-3.2695718694422373,0.0010771037142451553,0.15937365814301926
CD82,65.72092013738472,2.0262928604708397,0.6143477262168898,3.298283323922445,0.0009727792513310682,0.15937365814301926
EDIL3,24.09818612453774,-1.8577294722774618,0.5786833515320585,-3.210269428624724,0.001326106098820733,0.16054171958848498
NFYB,25.501647401316127,-1.0067156702674591,0.31567213542090683,-3.189117940122075,0.001427076414319596,0.167530122093155
OMD,43.0469487471427,-1.855142951567291,0.5846584694142883,-3.1730369927348794,0.0015085330203623813,0.1698138952797634
SLC5A3,27.47273503979987,-1.3192355335242272,0.4164075194484956,-3.1681357129944914,0.001534198847390738,0.1698138952797634
CXCL10,497.0501530761614,2.9301933023521016,0.9304463026420238,3.1492341836726636,0.001636989568924656,0.17615826638928103
SLC16A3,43.076823834940456,2.118846738065738,0.674958879282792,3.1392234447189047,0.0016939622586452684,0.17736242675653432
ALPL,27.785181447880472,2.3445530174745306,0.7559855411490531,3.1013199193081777,0.0019266001731662568,0.18204022124014826
COL6A3,919.8264668878968,-0.9460947673784531,0.3038823163015345,-3.1133590756221166,0.001849708223461015,0.18204022124014826
CCT7,68.98209849500651,0.6087150721434949,0.19548059023411632,3.1139412430383517,0.0018460624877876604,0.18204022124014826
PLXDC2,98.20581636382653,-1.3685869925504892,0.4410878721454569,-3.102753621163205,0.0019172918551382345,0.18204022124014826
P3H3,26.318357857462154,-0.9678430176306577,0.3140040102705705,-3.0822632386022333,0.0020543308019128296,0.18584997617218552
FAM229B,31.996874785811695,-0.7782096347014449,0.2525811045495626,-3.081028709923711,0.002062867572380996,0.18584997617218552
RNF114,40.253931363339866,0.7701050394860601,0.25142737773075274,3.0629323124498646,0.002191796305931185,0.19297770202675935
SZRD1,32.77612789933791,0.7861530241008863,0.25856207331350234,3.0404808177249123,0.0023620073705114004,0.19468971390130138
EMC4,79.22321940904891,0.6555223624886257,0.21533613038728688,3.044181955483522,0.002333139801651757,0.19468971390130138
ECM2,37.4536654813023,-1.3317935865159922,0.43675819832845975,-3.0492698056109067,0.0022939835954438235,0.19468971390130138
TAP1,63.01951130320176,1.2183267116024532,0.4023979873787361,3.0276660167680376,0.0024645029990001243,0.1989059295443017
CXCL8,27.766462848489596,3.3365124708084397,1.105372499501654,3.0184507686889916,0.0025407067901018674,0.20087138989499254
CD24,39.08818912167566,2.591160914071817,0.8625456731295985,3.004085458651987,0.0026638049079199043,0.2063916042656342
ITGB5,66.36997924561793,-1.0957451739150197,0.36591204074148376,-2.9945589428940433,0.002748419469386246,0.20877209851769246
MX1,51.33951171348442,1.5330365930729057,0.5130478234674934,2.9880968653403484,0.002807205679716247,0.2091368231388604
EGFL6,37.63057873433378,2.4310498579664643,0.8168999560370497,2.975945634469108,0.0029208663672376702,0.21245097816548142
MRPL36,54.09534861712439,0.6995565199377691,0.2358994819929544,2.9654856128877074,0.003022054801354135,0.21245097816548142
MESDC2,72.75818297937917,0.6500563531689317,0.21957394317648865,2.9605350423862946,0.003071051826862922,0.21245097816548142
PLAC9,205.8609428016798,-1.5015412530973926,0.5053344825258476,-2.9713809467189676,0.002964637921622732,0.21245097816548142
STMN1,45.4975869647851,1.3808679369999552,0.46971687460048156,2.93978779913848,0.0032843709470662557,0.21276134700113766
SLC29A1,46.424435226760856,-1.5175698059699145,0.5163969860605978,-2.9387658079627754,0.0032952196231461695,0.21276134700113766
FAM96A,30.6269567548285,0.880482545360572,0.29894837020493387,2.945266250346129,0.003226768601260162,0.21276134700113766
FIBIN,66.38650523761584,-1.0293067671032459,0.3485138657546559,-2.9534169748868733,0.0031427713490325884,0.21276134700113766
MARCKSL1,84.5630449205702,1.2623350441412162,0.43040255294507324,2.9329171853269926,0.003357934477151558,0.21325636335221537
CXCL1,57.7027095445854,2.178809081664165,0.7441631974451901,2.927864598980845,0.003412986404106624,0.21325660208885583
NEDD9,22.513994157930597,-1.577455384487649,0.5408820959560767,-2.9164496223512435,0.0035403989226049596,0.21770643533605735
KIAA0930,33.377547847979784,-0.7751510199969461,0.2667056670860864,-2.906391260695429,0.003656239538182082,0.21817244657849688
PODN,96.28073522353098,-1.368085009740628,0.4707766146562865,-2.906017349097651,0.0036606115197734376,0.21817244657849688
MFSD11,22.94911693940953,-0.8526362286260339,0.2941760718394639,-2.898387429319301,0.0037508693097125633,0.21926300431240078
NID2,38.69538884960324,-0.8750852079085105,0.30227918976024215,-2.8949568397434144,0.0037921066827389916,0.21926300431240078
SLC52A2,30.791085471444553,1.202495838388677,0.4167834563041521,2.8851813098626042,0.00391188298857408,0.22286227496670563
MMP1,26.49954610801874,4.278086160687198,1.4919135341609682,2.867516154743603,0.004137076828350995,0.22341203623387088
FOSB,428.7962491309125,-0.9028881848014169,0.31499463836505315,-2.8663604862856205,0.004152211308425065,0.22341203623387088
CD9,109.5801830488577,-1.4683704514322948,0.5106839787279107,-2.875301581008935,0.004036417549318671,0.22341203623387088
TMEM11,24.533923183278052,0.5395301257748649,0.18813740472144364,2.867745127948871,0.004134084173496378,0.22341203623387088
COL8A1,207.05710324491355,-1.7424453337370693,0.6107840807570745,-2.852800831968781,0.0043335772788769215,0.22997641614204375
AP1S1,38.28670437335243,1.13760221558275,0.4003596160082746,2.841450960826274,0.004490875818122796,0.23196870559210284
PSMB9,135.63067154176105,1.1787001973832072,0.4143675104852951,2.844576776791086,0.004447046706806301,0.23196870559210284
PXDC1,22.363211895646693,-1.1959921006128276,0.4216151393067329,-2.836691544282334,0.004558362676451182,0.2323565395864721
BMPR2,31.736813493476355,-0.9793802758303288,0.34648693258887703,-2.8266009009708006,0.004704492017295337,0.2366909360389888
ARPC5L,40.331499610588416,0.9760235039640223,0.34623784704115423,2.8189393860458325,0.0048182615844596785,0.23930699202816402
FXYD5,104.16673226246287,1.0837180491015326,0.3850391026520237,2.814566213242334,0.0048843114550920965,0.23951674148135169
CCM2,23.622560642921265,0.9216421792243343,0.3290641222986889,2.800798132552922,0.005097639610869529,0.24685319815635692
NINJ2,27.17992591301698,-1.471175196400023,0.5298633634529655,-2.776518057056827,0.005494458295688641,0.26063526039344026
PLS3,75.02174169941955,-0.8632073156332463,0.31104344745155266,-2.7751985219611397,0.005516802104352634,0.26063526039344026
TIMP2,260.9533128283309,-0.8463439700711757,0.30774550201936557,-2.750142453805605,0.005956936152357138,0.2780382006533922
CYBA,136.86396503245038,1.0619212203730202,0.3936319231190131,2.6977517777488598,0.006980947225833404,0.29327840947173295
PPP4C,65.0358671781155,0.873371734790935,0.32573029307549795,2.6812726766819455,0.007334272617652661,0.29327840947173295
CDH11,170.26324734561007,-0.9161600108045674,0.33581837202133163,-2.728141421477595,0.006369229527922784,0.29327840947173295
CCND1,51.80842492250982,1.3174861102216353,0.4875078695865146,2.702491985081341,0.006882184367688205,0.29327840947173295
MAN2A1,25.19414497322648,-0.9815456392498906,0.36548371811008223,-2.685607020541071,0.007239818488629426,0.29327840947173295
LAMB2,53.940735167797264,-0.9480058359395163,0.35176813809008783,-2.694973572895712,0.007039421394022773,0.29327840947173295
SMYD3,37.49133731076447,1.3502482025361089,0.5036622716202129,2.6808603276805787,0.007343315879906581,0.29327840947173295
IFIT1,54.23953390013073,1.7091562499607709,0.6310261784430974,2.7085346192414637,0.006758106111701344,0.29327840947173295
FBN1,213.1558020238253,-0.8066041482510655,0.30036600285431686,-2.685404275404243,0.0072442122605781405,0.29327840947173295
EVA1A,37.12663700820261,0.8278820990993868,0.3066434513348969,2.6998199227650406,0.006937701664868955,0.29327840947173295
SMIM10L1,22.44003106035618,0.7062011962781183,0.26342214990201634,2.680872495121614,0.007343048891513706,0.29327840947173295
CYBRD1,94.38970534081773,-0.7597598584111441,0.2789008515693198,-2.72412168746035,0.0064472746670487515,0.29327840947173295
RAB13,129.67000173465732,0.8211241179594276,0.30490842723710243,2.6930187709141484,0.007080828236137693,0.29327840947173295
PGD,37.20793427165184,1.4955466258268428,0.551300760200557,2.7127599557141546,0.006672542235603951,0.29327840947173295
VPS13C,23.087293266742286,-0.668263752427702,0.25022522411012277,-2.6706490315045244,0.007570475674419907,0.2932802276270272
MAD2L2,29.727175818114677,0.8112881920098315,0.3035133447276103,2.672990186767328,0.007517844962510637,0.2932802276270272
VASP,26.67453322548103,1.0193159462805688,0.381521556824099,2.6717125888394446,0.0075465253942734725,0.2932802276270272
CD44,126.4942256555823,0.7942556143723309,0.2978168799098126,2.666926114506518,0.007654849852460603,0.2936127557270532
GPM6B,40.80211322758611,1.6932312632393771,0.6382778274033499,2.6528122872884405,0.007982424917389127,0.29453023489501723
EGR3,31.239292764793436,-1.2160751562618712,0.4571411468544312,-2.660174356715935,0.00781002096469687,0.29453023489501723
BDP1,31.31472124369584,0.6307659823352479,0.23777428757276764,2.652793070159911,0.007982879366023958,0.29453023489501723
ISG20,40.06278285303868,2.052802907665896,0.7720099967387757,2.6590366916718837,0.007836442817797388,0.29453023489501723
TSC22D2,25.79566165529301,-0.8193858987942416,0.30985807679357713,-2.644390965287325,0.00818380684375455,0.2979388064891491
BLCAP,25.89093120389716,0.792630693750982,0.29995220037207415,2.642523351279862,0.008229079064104016,0.2979388064891491
SNAI2,49.78372066445669,0.8231159935172239,0.31207438203818627,2.637563481312943,0.008350399460424911,0.2995319213859825
HLA-B,1367.8728971852656,1.2405462828482312,0.47115588615535037,2.6329847918724636,0.00846381370992959,0.3008148102042865
FBLIM1,41.723040709150126,1.1246905420482063,0.4285791685485752,2.6242305379822346,0.008684498062079361,0.3044874343068848
TOMM40,24.487657693976505,1.2499889390119996,0.4766090974185784,2.6226711696906744,0.008724343109980437,0.3044874343068848
EIF4EBP1,53.281985593996595,1.266140223680191,0.48367006214056696,2.6177767093474107,0.008850469822665184,0.3061314294018297
CCL5,99.81175073896085,2.0949794047477917,0.8035444364146568,2.607173057031422,0.00912932071639303,0.3129821987195274
TGFBI,74.93263175644486,1.1595030480776691,0.44683038790895485,2.5949511927866618,0.009460435210782703,0.31912648845375263
B4GALT3,22.543662392112296,0.8200295015735068,0.3164296446468326,2.5915065653495977,0.009555671827732398,0.31912648845375263
COTL1,46.91219619244997,1.3545891860389505,0.522646997890232,2.59178602671979,0.009547913572430218,0.31912648845375263
TMED1,36.95132887085319,0.6593332374850981,0.2595742168234085,2.540056734269762,0.011083448814077902,0.3328861219466555
NUDT4,40.459070232605924,-0.5856718963299749,0.23153229524313135,-2.529547317426982,0.011420977308674436,0.3328861219466555
PTGFRN,34.0836044078972,-1.057835217728533,0.41532649808948213,-2.5469966943949296,0.010865446242687893,0.3328861219466555
HSPG2,100.98168294234488,-0.9571867976817044,0.3730662918939495,-2.5657284468729253,0.010295939782862615,0.3328861219466555
ENO1,223.90697979276857,0.9061934362862633,0.3537015621904554,2.562028368419564,0.01040628181051826,0.3328861219466555
IFT57,44.12293375448681,0.7049868492948749,0.2784096475767317,2.532192599757433,0.011335171051654366,0.3328861219466555
TM2D2,42.32025918421068,0.5639442751228834,0.22319509590543096,2.5266875727494917,0.011514388317204916,0.3328861219466555
HLA-C,1012.8316660239414,1.1537648884158604,0.45270155631676784,2.548621431309017,0.010814962824804895,0.3328861219466555
DTYMK,21.821221200332023,1.0938916836751966,0.43254685747959665,2.528955336883463,0.011440258428251962,0.3328861219466555
LARP6,25.558692432951183,0.7773495402376815,0.304156347851331,2.5557564250398066,0.010595725935521168,0.3328861219466555
PSMB8,90.70521512426686,0.8182939855770874,0.3230827785156131,2.5327688134189517,0.011316556232547483,0.3328861219466555
MMP9,49.33743175473436,2.802279016278077,1.1065827209786774,2.5323719258870243,0.011329374935721772,0.3328861219466555
H3F3C,36.06476945107693,-2.356354752929982,0.9247625543788978,-2.5480646267220353,0.010832240184713937,0.3328861219466555
HLA-E,344.34818764320914,0.8224615482199468,0.31995471482524085,2.5705561134461634,0.010153537616199687,0.3328861219466555
TSPAN5,24.79821287974417,1.089728856864367,0.43024367270615627,2.532817856472278,0.01131497313063087,0.3328861219466555
EBNA1BP2,30.023902965768333,0.6847188275440976,0.26825863537634087,2.5524577301435367,0.010696588803651394,0.3328861219466555
CHD3,23.58579585894954,-0.8610734488361257,0.33773819924820436,-2.549529341818162,0.01078684336128493,0.3328861219466555
GSTO1,130.42303902837227,0.8580121503743875,0.3365799446745862,2.5492075922822286,0.010796801023083303,0.3328861219466555
MRPS12,31.5258642124843,0.9676767609498809,0.3836768554650842,2.522113979945143,0.011665190365266746,0.33474775907439536
C7,36.85778453247981,-2.2397188920176663,0.8974079202752663,-2.495764569729523,0.012568598869729965,0.34769440823403996
USP9X,25.57293184452231,-0.5884697971873734,0.23564557409835402,-2.4972664962583053,0.012515486059231938,0.34769440823403996
COL14A1,172.81640943560106,-1.540118158407623,0.6175400240386297,-2.4939568262077247,0.012632790901102146,0.34769440823403996
LAMA2,46.790710288574175,-1.3630849569557177,0.5440692548708201,-2.505351928550638,0.012232960699166727,0.34769440823403996
FBLN1,424.95691349502283,-1.0430230100255637,0.41832406742896466,-2.4933373220336623,0.012654855849509457,0.34769440823403996
DHX29,42.62974679555204,0.5044630378693326,0.20167218728144698,2.5014011335401483,0.01237029761558776,0.34769440823403996
CDKN2B,24.033231967035178,-1.7103052067298516,0.6875208901583209,-2.487641075656634,0.012859344027149762,0.3508246391632266
PRICKLE1,35.2332849226983,-1.1731435078361632,0.4737816901037155,-2.4761267316585207,0.0132816424114573,0.3598117671467523
PI16,111.70244134459571,-2.091703433824653,0.8463346071530153,-2.4714851740033805,0.013455313043737123,0.3619852967460946
PPIF,23.452484013807766,1.2392908183120288,0.5022125689110898,2.4676618926505385,0.013599870834018531,0.3633510317999158
HIGD1A,40.02128413064913,-1.5144412827526164,0.6183569554619779,-2.4491376208765514,0.014319872277188398,0.36414685864734403
CTGF,1554.9240105156596,-1.3861076380637654,0.5659578728772248,-2.4491357121989514,0.014319948163731184,0.36414685864734403
PKIG,77.42571194491534,0.8233510892199754,0.3367499051596163,2.444992787242849,0.014485503884910657,0.36414685864734403
RNASET2,41.000311543725175,0.9474364512043303,0.3882000920901188,2.440587909454662,0.014663376582836856,0.36414685864734403
STK3,23.021750001499257,-0.5766584934965268,0.23627912648681682,-2.4405816208597733,0.014663631891839357,0.36414685864734403
PTPN2,24.78017311647017,0.6029432316767255,0.24615088986797887,2.44948629679994,0.014306015325393641,0.36414685864734403
BAZ1A,35.44923641526688,0.723894752470699,0.29630094225109344,2.443106481440923,0.014561440248648257,0.36414685864734403
S100A4,704.0316800931195,-1.3777960884101437,0.5592859654788284,-2.4634912610949464,0.013759124952480684,0.36414685864734403
MRPS5,24.04212359707944,0.5175242778170532,0.21051767204276284,2.4583412537068505,0.01395804704439523,0.36414685864734403
SLC44A1,62.9010096005259,-0.6005332941055934,0.24486360743781194,-2.4525216318971,0.014185884968415248,0.36414685864734403
MGST3,284.77261852489494,-0.5196527228223625,0.2111510116650183,-2.4610477530970507,0.01385319261467625,0.36414685864734403
SVEP1,35.27462576279146,-1.5363345986451662,0.630378706224764,-2.4371613182273006,0.014803073837140392,0.3652682041088018
LIMD2,22.245160627001567,1.0087747624877892,0.41911237422000586,2.406931468833822,0.016087188349393246,0.37007057019209955
SGCD,29.298640823220342,-1.1518898118096297,0.47715925068923265,-2.414057382615516,0.01577597758428163,0.37007057019209955
PON2,30.504835197440553,1.090267483549252,0.4522440640259582,2.410794458734282,0.015917816262453355,0.37007057019209955
NPDC1,44.64250979206938,-1.0515750370784613,0.4343269516789139,-2.4211599879158823,0.015471066595839357,0.37007057019209955
CD68,37.03796771761026,1.010186621103831,0.421101799613716,2.39891309424584,0.016443816877139805,0.37007057019209955
KLF2,42.79423832258988,-1.138450397597217,0.4723393119771807,-2.4102385059412903,0.015942094909445828,0.37007057019209955
TIA1,26.385799923008967,-0.6247938851434384,0.25973879682029855,-2.4054700059910754,0.016151677773268806,0.37007057019209955
LAMP5,31.907882550410903,-1.9254500339331813,0.7945668589650563,-2.4232700020249136,0.015381489763177845,0.37007057019209955
CNDP2,24.511329983082256,0.6585913612976226,0.2724968768920877,2.4168767319796967,0.015654317481774187,0.37007057019209955
RBCK1,58.39299692924717,0.7085208165824057,0.29483100766842746,2.403142132795007,0.016254868214750653,0.37007057019209955
SERPINE2,164.4177567730108,-1.0865105468550447,0.4512479821378688,-2.4077903721751945,0.0160493935358626,0.37007057019209955
GALNT1,40.41346408934013,-1.0058032087645945,0.416305930506887,-2.416019410388763,0.01569122485159939,0.37007057019209955
SEC31A,105.30486680976901,-0.5412977097066721,0.2256616850395654,-2.398713408577828,0.016452786114200774,0.37007057019209955
UTRN,27.39731149304871,-0.8550113721606534,0.3566880829761331,-2.3970842115795175,0.016526125101505737,0.37007057019209955
ABCA8,43.27981502311801,-1.637292060264866,0.6765422544527333,-2.420088397271357,0.015516734582705865,0.37007057019209955
TNFRSF21,22.52075360263789,1.2517211128099286,0.5169818324960347,2.421209091171554,0.015468976799324052,0.37007057019209955
RAD23A,77.26840775457804,0.6070255670713389,0.25372702638628686,2.39243558605843,0.016736965679248796,0.3705086002366276
STK17A,33.551073909454736,1.4529595579769121,0.6071375748821612,2.3931306808986674,0.016705289926915015,0.3705086002366276
AP2M1,180.32100879794095,0.5936035166693605,0.24884743307012358,2.3854114520927645,0.01706002880549477,0.3706769848837164
HLA-A,1006.0504948647388,1.0613516138433245,0.4444769913464686,2.3878662664362844,0.016946507138453117,0.3706769848837164
PHLDB1,55.223140863310775,-0.6521094839538433,0.27354005563243755,-2.383963410573034,0.017127305186934755,0.3706769848837164
GRP,27.55357166728073,-2.719954165177339,1.1386035817124216,-2.38885087739371,0.016901160905844467,0.3706769848837164
WIPI1,42.70743864412462,0.6728080335300358,0.28304777938562475,2.377012230904667,0.017453509388694066,0.3735629578552531
GDF15,35.795025354936975,1.734895697683864,0.7294834981526294,2.3782521497434517,0.017394926495259234,0.3735629578552531
MGP,3602.3935132245433,-1.7334129580110418,0.7306483143517354,-2.3724313379809887,0.01767144728581471,0.3761493779409131
DDIT4,201.8732891334434,1.1316129928453895,0.47847904619681897,2.3650210011075563,0.01802904853741118,0.3795898588800593
FGD5-AS1,34.24640597061616,-0.5107382220210889,0.21593667184925386,-2.365222255428837,0.018019253480269636,0.3795898588800593
HTRA1,220.7904214704735,-1.031568309430735,0.43803285002214876,-2.355002163373306,0.01852259786002063,0.38372483481133646
SOCS1,33.663440571908694,1.3125850000809616,0.5569356084738312,2.3567984882091375,0.018433246703486242,0.38372483481133646
PRELP,81.6558976582904,-1.3484777982553484,0.5718446528890928,-2.3581191000781825,0.01836779886667237,0.38372483481133646
ANK2,33.98519864242307,-1.350658896382252,0.5749464289192887,-2.3491908610008223,0.01881425997998507,0.3876938466088412
TKT,69.82000022615986,1.295817691592677,0.5523888241787763,2.34584342563255,0.018984080506712176,0.3891234279523967
RGS10,37.63934913081305,0.9388807076032506,0.4011803596332258,2.340295792300527,0.019268472486745136,0.389903794908432
PWP1,39.47705905698088,0.43544287033830786,0.18614880861617233,2.3392192170091453,0.019324091022823685,0.389903794908432
PARP1,25.568109608201222,0.9172675533061649,0.39154069916460116,2.3427131719978656,0.019144094204915356,0.389903794908432
ISG15,418.70085844917077,1.4491311562778926,0.6220061501524681,2.3297698196757013,0.019818320095166805,0.3918205524451066
STOML2,60.821492145615096,0.5312758551730723,0.22749338705420594,2.335346367876982,0.019525333741580782,0.3918205524451066
HMCN1,35.02995784125326,-1.2426525756020805,0.5334030605702468,-2.329669001661885,0.0198236521113167,0.3918205524451066
SP100,79.12015219446873,0.6170865990928003,0.2648167872330104,2.3302397311762193,0.019793484151592846,0.3918205524451066
CXCL3,69.2891553230706,1.9699559594235263,0.8467051403562986,2.3266139126007395,0.019985823392498433,0.3930207097590808
OGT,25.927483796587882,-0.7358502488997738,0.3169456109080848,-2.321692503617514,0.020249498889547028,0.39420381255329234
SF3B1,78.74051470520877,-0.5788919254604737,0.24916490417737377,-2.3233285095736282,0.020161511388698657,0.39420381255329234
CD40,36.13325687074935,1.0751920757220992,0.4641119741071649,2.31666523534649,0.02052197473570754,0.39590908300293887
COL8A2,26.68078865917716,-1.3671734432260603,0.5921372248273169,-2.3088794048115533,0.020950274139288193,0.39590908300293887
JAM3,22.575954548337343,-0.6417330161706593,0.27739871589829684,-2.313395770750211,0.020700889406449426,0.39590908300293887
TUSC3,53.064815283716406,0.8256740687162545,0.3570009747914888,2.3128062022757794,0.020733296634745924,0.39590908300293887
SH3D19,28.294486004210977,-0.8163074720992117,0.35313213863835574,-2.3116204468016317,0.020798608848161395,0.39590908300293887
ADM,70.85448225068546,1.4762868274060676,0.6390237448282049,2.310222177742319,0.020875856823762824,0.39590908300293887
GPNMB,146.22575559764647,-0.9284230834500882,0.4025800882479011,-2.306182323847033,0.021100446837933235,0.39681131577744344
