,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PSMB9,262.2818279903567,0.9593371404437574,0.20681437969736802,4.638638482718454,3.507119046986202e-06,0.01664460120594076
CST7,73.42702235651818,1.5748529138602232,0.3542581592690776,4.44549510760609,8.768967662493968e-06,0.01664460120594076
CNOT6L,29.069771594838027,-1.3586696755373873,0.30339228257091116,-4.478260501632334,7.525373538534908e-06,0.01664460120594076
EIF4A1,24.188255269550556,-1.4011922441965827,0.316175351438929,-4.431693482175921,9.34958640974063e-06,0.01664460120594076
SLC30A1,4.470945988789545,-3.131257396281982,0.7345063202144569,-4.263077539438647,2.0163051216078945e-05,0.023930181284949694
CHST12,24.988888137074277,1.7800174186519953,0.4138834106424725,4.300770151402948,1.7020553250732753e-05,0.023930181284949694
LRRC8C,8.394206655835147,-1.8684340667297452,0.45385722963967123,-4.116788154312629,3.841889072667241e-05,0.03908298869494775
ZUFSP,5.004462389997048,-1.8398070762370944,0.45518936153845463,-4.041849901805463,5.303117539400267e-05,0.04195944444229922
MYB,4.443346692782319,-2.2112185497561088,0.5437808727592109,-4.066377948411673,4.774947447850839e-05,0.04195944444229922
NKG7,236.50962181424464,1.435672101447999,0.35954981752500814,3.992971297637057,6.525046936467544e-05,0.046464859234585376
HOPX,32.49924153987725,2.4469699219396626,0.6332721222973013,3.864010171587638,0.00011154057366045567,0.07220731136691862
SHISA5,51.85321918054199,1.1408164276814288,0.2973401287991443,3.8367388629607393,0.0001246789248252501,0.07398655197338383
DNAJB9,13.914304944627315,-1.590411703112583,0.4218582336909156,-3.7700146070346365,0.0001632379931214773,0.08122350680732814
TIAM1,13.514747677320658,-1.7449378433884508,0.4636001082324429,-3.763885754991158,0.00016729333583660947,0.08122350680732814
KLF2,19.439777565921204,-2.2442870456864026,0.5971597726982367,-3.7582689730517234,0.0001710929085956919,0.08122350680732814
CDKN2C,23.14052386434315,1.3925502851792644,0.3732394597632355,3.7309835515854317,0.00019073367766290981,0.0848884074148488
ITM2C,28.204107269916975,1.2076822253665305,0.3278216254329895,3.683961434122639,0.00022963700009014928,0.09619088692011488
ICA1,7.92416496857036,-1.5552039547738192,0.42889829627382015,-3.626043675820375,0.0002877966986973321,0.1138555717457612
PKIA,9.625545777771336,-1.762568616974589,0.5013466993829457,-3.515668137725744,0.00043864890976300937,0.16440099402223105
GYG1,27.632866040939938,1.1836642907807744,0.340144296015562,3.479888696197982,0.0005016221329067405,0.17009767659185232
ZNF574,6.966322916281976,-1.5533607359273005,0.4462923935200289,-3.480589762410074,0.0005003111480357417,0.17009767659185232
PASK,7.53913038261785,-1.9883116808427903,0.5800910425455538,-3.4275855598764062,0.0006089743688687586,0.1757652033146925
