,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIEN1,570.9336486125637,4.056222440444839,0.6745421802215239,6.01329695811276,1.8178758346463884e-09,4.020232408320488e-06
ANXA6,26.934068701970023,-3.5589162126643212,0.5873383448497305,-6.0593970134452295,1.3663277462741482e-09,4.020232408320488e-06
STARD3,112.93868570257578,4.208563223683955,0.7276951991693774,5.7834148534823235,7.319924604586295e-09,1.0792008842028393e-05
IL6ST,62.36588172508571,-3.9415119740235918,0.7219917095804914,-5.459220544670495,4.782294144301331e-08,5.2880217500611965e-05
CASC3,60.38731900563463,3.799320256938846,0.7737942420916336,4.909987759367336,9.108207821829166e-07,0.000805712063919008
PABPC1,497.12158942797726,1.8703038148516022,0.40592445158073437,4.607517008567338,4.075058800209431e-06,0.003003997512221052
SQLE,140.20837099535368,3.0921230288541897,0.6847703581607348,4.515562030400243,6.314905790150792e-06,0.003453970681083666
TOP2A,164.7042271578772,-1.8500059262850879,0.4117682706187448,-4.4928326398368945,7.028201702408545e-06,0.003453970681083666
HMGA1,101.98507351896464,2.202755325405243,0.4902665570033436,4.492974880581586,7.023507196588523e-06,0.003453970681083666
EFCAB2,11.932887040962111,-2.602145855765978,0.6031523542133114,-4.314243055819526,1.6015067548496563e-05,0.006584693141490136
C20orf96,8.499039293553833,-2.5893817933395735,0.6017909601492285,-4.302792771592106,1.6865858455582416e-05,0.006584693141490136
HIRIP3,38.533150078261585,-2.1151327636898127,0.4930344511385161,-4.290030359553057,1.7864869477251106e-05,0.006584693141490136
PSMD3,181.39638042156983,3.804786615581116,0.9176641554915154,4.146164577544399,3.380908564167452e-05,0.011502891214855877
DTL,19.790464611245206,-2.0961096803857693,0.5112485355442906,-4.099981779222483,4.131826678019052e-05,0.013053620997770191
MSL1,38.93398159644026,2.9042320717158434,0.7192266420339272,4.037992896791003,5.39104851443769e-05,0.01589640505290527
GSDMD,36.96958929359344,-2.234278315994568,0.5623186799654549,-3.9733311298351794,7.08744116063086e-05,0.016498816975510682
VPS37A,27.086435686916595,-2.765027154354484,0.6947442219028245,-3.97992105178132,6.893815852951408e-05,0.016498816975510682
YBX1,223.34379546285322,1.7872024951292194,0.44880202500515226,3.9821622799244327,6.829112382366385e-05,0.016498816975510682
MSI2,32.19383822344521,-1.9458752530629666,0.4886785649548429,-3.98191243203552,6.836296842711101e-05,0.016498816975510682
TIMP1,95.3234166508402,-3.082029183639497,0.7807700154856891,-3.947422573243001,7.899705361073261e-05,0.017470198406013517
DCUN1D5,28.020424752982443,1.7752210735483964,0.45315776659144175,3.917445985536647,8.949208961711623e-05,0.01884873868459548
MARCH3,9.48558530611254,-2.875728347356145,0.7375385457231943,-3.8990888869900973,9.655532706247682e-05,0.01941200961806068
ACSL1,16.154690280658144,3.009778654677491,0.7916289211685276,3.8020069431454595,0.0001435287039891468,0.02658481262545452
NQO1,159.5870181682851,2.6142560058183273,0.6878248667233732,3.800758205023895,0.00014425401379401052,0.02658481262545452
UCHL3,36.579576903103295,2.0344143535679677,0.5457299754644911,3.727877237889309,0.00019309939265406547,0.03416314454835726
CCDC74A,30.767144528550425,-2.7031888218780122,0.739723334519989,-3.6543241178570205,0.0002578603565037802,0.04386601372370077
ZNF331,51.75232878565738,-3.4712155850286295,0.9631173013153597,-3.6041462242323767,0.00031318071128134825,0.04947136735705012
IDH2,136.2344880131219,1.7984513748377884,0.49804228311473175,3.611041543682522,0.0003049698013191845,0.04947136735705012
