,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ERBB2,577.0051058251115,-6.079792517393325,0.6667480921095618,-9.118575050071952,7.611852816097867e-20,4.433143080095398e-16
MIEN1,1812.4036495019982,-4.537832743760542,0.6353808641258032,-7.141909679643841,9.204307482232766e-13,2.6802943388261814e-09
GRB7,482.6802729700374,-6.161668801962652,0.9038049362393107,-6.817476376706973,9.26536336817674e-12,1.798715875208711e-08
STARD3,367.73497092311,-4.381952654727647,0.6981914584291862,-6.276147612270002,3.4706470220094205e-10,5.053262064045717e-07
PGAP3,95.54888225540249,-5.075377897585065,0.8392141759160348,-6.047774266974332,1.468605239700963e-09,1.7106313832036818e-06
MSL1,114.51957555139316,-3.826479679383604,0.6898612251215195,-5.54673830045973,2.9104786259282638e-08,2.825104586234368e-05
CASC3,193.80179059766877,-4.179543931067378,0.7587939536478808,-5.508140794973835,3.626433177557133e-08,3.0171924037275346e-05
FSCN1,218.6564885271798,6.160295465354085,1.1539904458258754,5.338255171554173,9.384532037578629e-08,6.831939323357242e-05
LGALS3BP,176.33790427378852,4.28446522773056,0.8135728244797696,5.266234440008754,1.392504365553788e-07,9.011050472205846e-05
C1S,107.77569065366556,7.348758581251944,1.4526622746457158,5.058821110394846,4.218563859581321e-07,0.0002456891591820161
EFEMP1,145.97682399809182,6.423472694685938,1.2870737415065057,4.990757318354841,6.014302165436746e-07,0.0003184299619227601
SQLE,471.891127651193,-3.0702118870289277,0.6248716947626979,-4.913347672428778,8.953430043679232e-07,0.0004345398047865654
PTRF,108.36813772728034,5.608464711328371,1.1629266892679597,4.822715621789361,1.4161680787262225e-06,0.0006344432992693476
VIM,3624.9614871073386,7.246222686929428,1.5678859681393456,4.6216515959567674,3.806969858909282e-06,0.0015836994613062615
CAV1,159.46145010103072,4.969001327302075,1.0989051897205258,4.521774374881053,6.132340543350768e-06,0.002380983421631658
MSN,79.91377460910115,3.0726156520957844,0.6888009912117896,4.460817698142698,8.16475230958444e-06,0.0029719698406887366
XBP1,812.8115152077531,-2.634480754794573,0.6110123118641673,-4.311665581266124,1.620293687792043e-05,0.005365738284278661
SPHK1,139.89516813292607,4.593967885032348,1.0667450722008434,4.306528340041313,1.6583669147839267e-05,0.005365738284278661
PSMD3,613.260780505385,-3.640780368479359,0.8783786238725027,-4.144887261063198,3.3998093597774864e-05,0.010421310374391621
FN1,108.64339208450366,4.977550923912924,1.2452099674254058,3.997358721922617,6.405319629333824e-05,0.017764086438685805
USP6NL,80.01087251511373,-2.739939756206618,0.6840117881973103,-4.005690842591522,6.183648418539277e-05,0.017764086438685805
FBXO32,73.8933243038544,-2.4063575583846077,0.6038252611576765,-3.9851886185931473,6.742654423339833e-05,0.017849645164332358
CAMK1D,33.656522171929275,-4.4078389913068765,1.109804601654415,-3.971725279149135,7.135397891848092e-05,0.01806806840092317
SORBS3,79.47399179817648,3.823741197636635,0.9726000867517463,3.931462941163232,8.44305125204726e-05,0.02048847103830135
MRAS,53.647310007937115,4.123969314239827,1.0535954792962159,3.9141866069837064,9.070946618268303e-05,0.02113167724191784
MTSS1,126.55302060951891,-4.1576091780616,1.0689634218303607,-3.889383951924776,0.00010049901139210793,0.022511778551832177
BAG2,54.162045634311,3.9690135989761712,1.0267188694441514,3.8657257766431523,0.00011075933201566999,0.023891198135528223
LRRC26,147.81892791512925,-3.757565507116653,0.9770955930912847,-3.8456477889012484,0.00012023436863827984,0.025008748676762206
CTHRC1,66.84075330928034,3.372412822077018,0.8915971229263228,3.7824402248050975,0.00015529839412611014,0.03118820163415398
SH3KBP1,35.019179487504196,3.9165118565293136,1.0426816598655415,3.7561913739178703,0.00017251878972871927,0.0334916477126687
IL32,281.61426835535156,3.7315069842786,0.996020490202089,3.7464158829920158,0.00017937911492891428,0.03370012791438699
DDIT4,966.517114781544,2.805113286695528,0.7512443123199115,3.7339561054819574,0.00018849535973680645,0.034306155472098775
PRR11,55.70121076448382,1.816171612759759,0.49300553369448474,3.683876728826414,0.0002297133641496113,0.04054092826688898
CDK12,143.76140362969915,-2.7840889074130666,0.7595750126644073,-3.6653245051428813,0.0002470251585786411,0.042313956575353105
TRIM47,154.49687108504096,2.905099579988279,0.7957256536139298,3.65088088689142,0.0002613424293695469,0.04250006076270269
HSPA1B,699.401732737575,-1.9609778627498284,0.5373213631117492,-3.649543824934418,0.00026270641954967324,0.04250006076270269
NFE2L3,54.85776182370842,3.534025108471152,0.9721080085480316,3.6354243328883515,0.00027752344594471703,0.0436836905184333
RNF139,59.77007439250329,-2.3759670871102982,0.6558207711096321,-3.622890874728201,0.0002913287497310545,0.04464996416930688
RAB11FIP1,58.84610628409757,-2.0187721604461624,0.5599821041881111,-3.605065492892982,0.00031207421801865925,0.04660308322411978
RAD21,948.266552931166,-2.170247799390872,0.6064231927949856,-3.578767806337135,0.000345218002743322,0.049037796292124576
SPTLC2,47.87666704806722,-1.9415056206954937,0.5424559634878839,-3.579102731606081,0.0003447759264038273,0.049037796292124576
LGALS8,62.14959360078572,-1.8615670708083278,0.5222861387822711,-3.564266658787151,0.0003648748756018895,0.05059598275012867
KIAA0196,77.1794696497965,-2.7197406044714687,0.7679496462302194,-3.5415611138339305,0.00039776670261751893,0.05348577090467955
COL1A1,44.80418471490357,4.316035895953426,1.2201141569447695,3.5374033416356787,0.0004040820604062328,0.05348577090467955
PLOD3,75.41847379214985,2.769289177118395,0.7868172426232946,3.519609163476672,0.0004321831438163349,0.05593410287969632
PLAUR,155.08898210021354,2.953275578166157,0.8432353023297634,3.502314917326862,0.00046123410894942206,0.058396248924379
CYP27A1,71.57881422397259,4.182598098815151,1.2051439089546139,3.470621282435299,0.0005192557879953228,0.06304262627325846
ABL2,33.69514677110468,2.4336847023534216,0.7012585962814227,3.4704525766365895,0.0005195820846697126,0.06304262627325846
PHLDA1,179.7258130406303,2.8994371184337306,0.8442626026605302,3.4342834910568296,0.0005941224822640964,0.06920338673412195
CXCL16,128.9329132220111,3.4498491957021433,1.0040414181225148,3.435963032434571,0.0005904515338551192,0.06920338673412195
UTP23,106.49856640467755,-2.369672470521473,0.6924942089319124,-3.421938320865387,0.0006217641661286029,0.07100302948103888
COMTD1,145.19485066080077,-2.184039264809275,0.641132456947557,-3.4065336127381913,0.0006579344850400779,0.07229831020515874
