,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-138A9.2,5.069820151056431,-2.9054787655734837,0.5994959996033928,-4.846535702482844,1.256359872531875e-06,0.001665020352090572
CD55,18.67207590355894,-1.4217637746031653,0.298348580153123,-4.7654450839801745,1.88437217062343e-06,0.001665020352090572
CCL5,364.24462371155164,1.167823674653334,0.2459737716333558,4.747756912855211,2.0568503422984214e-06,0.001665020352090572
TOB1,19.411051925570156,-2.470342093007286,0.513473078370042,-4.811045013010395,1.5014319501359333e-06,0.001665020352090572
ELL2,7.81118611364218,-2.023253663852326,0.43774670990688086,-4.6219734336386455,3.801067005408803e-06,0.001988318368625427
IRS2,5.411098288066861,-2.497309235944778,0.5407944333614383,-4.61785307297294,3.877306151716368e-06,0.001988318368625427
CNOT6L,14.348658460754546,-1.5268918763793007,0.3321925437216884,-4.596406226560383,4.298402896966642e-06,0.001988318368625427
SMAP2,8.46781483789957,-2.06671555144432,0.5041198536959126,-4.099651176783393,4.1377331452522655e-05,0.016747474905408545
ACP5,5.8832552071225015,2.8683924911840912,0.7065651789056253,4.059629000719857,4.915074779624654e-05,0.017457772395844284
GADD45A,3.8423296149937993,-2.6203203256066456,0.6489198905745465,-4.037971964901003,5.3915294613478336e-05,0.017457772395844284
SGK1,3.4907463018021736,-2.2975741781968253,0.5858808750912348,-3.921572244253649,8.797306355447308e-05,0.025896070889943987
EIF4A2,39.64265994989065,-1.249713970196058,0.3246518102238072,-3.8493978189572857,0.00011840856542712719,0.03195057790441982
MKNK2,6.073174253452359,-2.0234716256360548,0.5284278087949597,-3.829230013935927,0.0001285448206512089,0.03201754840527803
IGFBP7,6.0550666023346755,-3.049876401290244,0.8210506372413325,-3.7146020756254403,0.00020352370456233084,0.047072125383773374
ETV3,6.352756934525463,-2.220693358854594,0.6057064449205309,-3.666286494848095,0.00024609820529117586,0.049804124295801715
MTRNR2L8,5.2949867560693,-2.538791310429961,0.6896484132197325,-3.68128347976212,0.00023206281328062958,0.049804124295801715
PGAM1,12.406756709441371,1.4396661328673275,0.40429730768040345,3.5609095225669467,0.0003695724240230273,0.07039267699920955
PPP1R18,16.49980391110441,1.3685081641628725,0.39079943584573285,3.5018171436232266,0.0004620966444991301,0.0831260519382324
TRIM39,3.881886076395425,-2.347853223580464,0.6826862593214664,-3.4391394165660163,0.0005835666191242136,0.09945203751180019
HEXA,3.421162170013434,-2.2685214049849827,0.6684865772951143,-3.3935182575603267,0.0006900095876543069,0.1117125522412323
EIF4A3,16.856986324692617,-1.9875359978193923,0.5880397279458957,-3.3799348978718347,0.0007250300122184821,0.11179272283635454
DNPH1,4.764448135673563,2.07836094119623,0.6570207253268381,3.163311081491896,0.0015598555467673852,0.12333565243709353
FAM65B,6.10617613572815,-2.121325195525595,0.6475589905350807,-3.2758794589088094,0.001053335076421239,0.12333565243709353
TMUB1,5.764241226461156,1.9957454330375486,0.6141264074242886,3.249730688846156,0.0011551434537372895,0.12333565243709353
LGALS3,19.989231153881583,1.4499605837325957,0.45702855990965346,3.1725820023571996,0.001510898840971768,0.12333565243709353
GABPB1-AS1,8.106778922097014,-1.523591607868565,0.4621257765469033,-3.2969197677159405,0.0009775142093405077,0.12333565243709353
TSC22D3,178.89065938550578,-1.1951874383361045,0.3761718086330953,-3.1772381951722712,0.0014868486440915909,0.12333565243709353
KRT86,13.720812326664854,2.2469184556014135,0.7069069355057878,3.178520881244087,0.0014802855526834455,0.12333565243709353
C11orf31,17.641990131111434,1.3317048287686235,0.40838592781170413,3.2608979352066148,0.0011106000882535948,0.12333565243709353
PUM1,3.703260100893982,-1.539055979908497,0.4850754160666929,-3.17281793496806,0.0015096716321503477,0.12333565243709353
TAF1D,17.079310042379262,-1.0772253437192976,0.33869273717154724,-3.1805386578859087,0.001470015245576808,0.12333565243709353
SAP18,34.99449769141121,-1.3876543304035058,0.42497792672549,-3.26523859979167,0.0010937190379728995,0.12333565243709353
SKIL,10.562967893467995,-1.2750555645957962,0.3947896637367232,-3.2297085808358537,0.0012391645521154019,0.12333565243709353
FKBP1A,15.444624260116285,1.1728893469453148,0.3604830165423038,3.2536604864092746,0.0011392835221412576,0.12333565243709353
PER1,4.58777338966396,-2.012526430686433,0.6207881642462094,-3.241889176689021,0.0011874018703417768,0.12333565243709353
GTF2B,16.162733903518212,-1.3340379432483467,0.4180501747610121,-3.1910952890068276,0.0014173452620302983,0.12333565243709353
ARPC2,73.83298572063987,0.8526189732885416,0.25785205564397634,3.3066208107558275,0.0009442862177429337,0.12333565243709353
NABP1,10.65456244370316,-1.680717635953077,0.5313735186090908,-3.162968377408944,0.0015616929431503505,0.12333565243709353
UQCRC1,5.633141194287796,2.2772620801230277,0.6865632224545045,3.3169007684123826,0.0009102193874113691,0.12333565243709353
KPNA2,9.391641030182502,-1.6157301984547492,0.5029741721080124,-3.21235222016087,0.0013165286037515537,0.12333565243709353
SOX4,7.697511499810869,-2.478304551863268,0.7572321031543614,-3.272846649712191,0.0010647022565126781,0.12333565243709353
UBE2S,12.61140706907807,-2.600842254205252,0.8245277668580139,-3.154341622861471,0.00160860662824662,0.12401591100625133
NPC2,4.298525424123837,1.8188350267841809,0.5786237165387772,3.143381397610392,0.0016700807915342153,0.12576096751134394
CMC1,23.15165975314566,-1.8776808253821722,0.6002615389499892,-3.1281045070232474,0.001759376118187778,0.1294740879702733
IDH2,10.507320768459001,1.5609609039741865,0.507110022549086,3.078150370855848,0.002082897837818319,0.14987607108568257
TLE4,6.132637272197581,-1.89963282008992,0.6198771917564048,-3.064530918950838,0.002180116382455005,0.15181705247529684
JOSD2,4.135900832074461,1.9932720928964063,0.6511155313938103,3.061318609048549,0.0022036446776834313,0.15181705247529684
LSP1,45.78913509207533,1.128571410246523,0.3708604267299561,3.0431163017247402,0.002341418227018153,0.1547247391649955
RHOF,12.266498986693806,1.1532537918724146,0.37863867941924073,3.0457897054819787,0.002320700870685897,0.1547247391649955
MXD4,3.0873494390505765,-2.1661757870319485,0.7167777733345466,-3.0221023413639174,0.0025102566331355637,0.15584370215851578
NEAT1,63.611748590122716,-1.6113176228607988,0.534041983358077,-3.017211517208386,0.0025511173388429757,0.15584370215851578
ZFAS1,46.9780860699996,-1.2481001046618805,0.4118600581313575,-3.030398505561845,0.002442312569551323,0.15584370215851578
KLF2,12.641952667641903,-2.3988026795017103,0.7936973113103756,-3.022314231531595,0.002508499988973793,0.15584370215851578
SLC38A2,14.320959894704089,-1.3279681835162567,0.44095535141251596,-3.011570625602717,0.002598999356565736,0.15584370215851578
FAM214A,3.339956967599262,-1.4903162778758652,0.49653383455805,-3.001439527685664,0.0026870640426190865,0.1581947885454655
ANKRD49,3.3766655947941477,-1.7042225126418615,0.5691269964490927,-2.994450312979137,0.0027493983226779023,0.15897413872912586
DNAJC15,6.236112363231384,1.498995201186431,0.5044179934896607,2.971732215213209,0.0029612484118450703,0.16531935099231618
PSMB10,11.421151751257643,1.5983559930526878,0.5369135135031131,2.976933813090589,0.002911468566245951,0.16531935099231618
FKBP2,6.325246896212676,1.4169590220544732,0.47857753763589633,2.960772101954566,0.0030686891734125676,0.16841382277135414
CD247,25.468828356501742,1.2271339697670414,0.41565179044457473,2.952312483616437,0.003154035712920594,0.16980545386250873
PTBP1,8.999602192708908,-1.5059094284799681,0.5108334475923185,-2.9479460195444975,0.0031989291802387377,0.16980545386250873
PRELID1,21.756371474661094,1.5348384844228586,0.5258620192452769,2.9187095250303035,0.003514835769303025,0.18356513259682572
YIF1A,4.505601159810982,1.977060283632315,0.6843691838617222,2.88887976000945,0.003866168773355676,0.19490999792431205
SOD2,8.69357183005228,-1.3487514573993333,0.4674854157149786,-2.8851198605555095,0.003912646653823435,0.19490999792431205
GLS,6.372722206359547,-1.6285518074812484,0.5635279335221705,-2.8899220617200823,0.003853373486379932,0.19490999792431205
DNAJA1,100.2714653440484,-1.6154578250806968,0.563642032361094,-2.866106025332339,0.0041555504358654636,0.19529256510579854
CD82,6.015356427794274,1.9081988648369634,0.6663491533764888,2.863662173453422,0.0041877438113769845,0.19529256510579854
PLA2G16,9.520440145697961,1.4574808268190758,0.5091093111400457,2.8628052854805333,0.004199085241038148,0.19529256510579854
PARP1,8.001145137774673,1.538493283621677,0.5377300308669599,2.8610886417134407,0.004221889918902377,0.19529256510579854
TANK,8.880342380670111,-1.0884757254644168,0.38020126375544416,-2.8628934967574278,0.004197916426356863,0.19529256510579854
SNX5,4.6379887057543865,1.7193287821003722,0.6036848652169382,2.8480567944709363,0.004398707389041893,0.20060583839038945
CD53,32.03153456849813,-0.9651369119183536,0.3394973173954096,-2.8428410548948957,0.0044713363006627475,0.2010859297436941
SDF2L1,7.082413050068341,1.6384051646332198,0.5778641735060893,2.835277284439498,0.004578592684094508,0.20308880974106872
SRGN,239.01362320660112,-0.8511112143811069,0.3009626676157561,-2.827962754064017,0.004684525643636326,0.20433646859242924
RIT1,3.680732059090372,-1.5793806649864934,0.5600521709897626,-2.82005989226915,0.0048014686916376835,0.20433646859242924
C9orf16,17.401552210342643,1.1879236766466073,0.42165366854201924,2.8172971452001643,0.004842969683973033,0.20433646859242924
C6orf1,4.2847419203999895,1.8492595599686106,0.6566445378860007,2.81622621262047,0.004859143941203537,0.20433646859242924
HOPX,51.08345994934227,0.8810952157723083,0.3136939122308875,2.808773716729949,0.004973058751039763,0.20476329715244307
BAZ2B,3.5803291535525172,-1.3948448927620154,0.49686235488332825,-2.8073064482608037,0.004995769139914454,0.20476329715244307
APBB1IP,10.05745386863303,1.1966621262918766,0.430137959133672,2.782042600243973,0.005401794905383396,0.2057766106309581
CD7,137.62980777959405,1.1503612512688577,0.4112152591822425,2.797467325401561,0.005150497645676077,0.2057766106309581
FKBP8,11.941170332714906,1.364702320929664,0.48735807969281136,2.8002045678402525,0.00510702309451979,0.2057766106309581
ASNA1,4.507181681013233,1.6860528512459922,0.603835479018719,2.792238796544322,0.005234471023483863,0.2057766106309581
PTPN7,14.070643124555419,1.0846299612119408,0.38979321031755837,2.7825778707851523,0.005392892193751838,0.2057766106309581
UBB,141.67597754199895,-1.2214179473343305,0.4380264426139867,-2.788457107852532,0.005295975980691941,0.2057766106309581
ATPIF1,15.310934583280332,1.09119835152654,0.39295984024059843,2.7768698981006033,0.00548851434832007,0.20585602875504244
DENND1B,4.804386359486189,1.6763975910265703,0.6042464229352207,2.774360802804937,0.005531029802868651,0.20585602875504244
PRKCSH,3.5166090616792927,1.875818844019965,0.6797959978593111,2.759384947729833,0.005791027457107498,0.21145783259131484
CDV3,4.558194646200984,-1.357522989736834,0.4936199664932505,-2.7501379236761405,0.005957018510630372,0.21145783259131484
KIAA1551,15.72623895790703,-1.02109116396885,0.3713529010997313,-2.749651775830946,0.0059658626998275385,0.21145783259131484
TUBB2A,5.292758780597217,-1.6753696995379193,0.609188258027457,-2.7501674194488626,0.005956482292507663,0.21145783259131484
ALKBH5,3.985537923901008,-1.3905704397421474,0.5061514174062688,-2.747340799454857,0.006008066892650082,0.21145783259131484
HINT2,4.422798226841009,1.7182370118048753,0.6282573481192908,2.7349254520436164,0.006239440500966308,0.2162056471969454
CLK1,25.479259781115868,-1.1189966636426054,0.40944268248344357,-2.732975118410753,0.0062765073614925474,0.2162056471969454
LAMTOR1,8.991515507770812,1.1565597072085565,0.42374092306180805,2.729402906973555,0.00634491301695743,0.2162613510411385
POLR2G,7.7443722153362735,1.2582635801984878,0.46183808620058076,2.724469067828269,0.006440496299028046,0.21723257308596677
TUBB4B,35.23350887400151,-1.5224330830925845,0.5656493139006602,-2.6914787054085516,0.007113603951680246,0.22365050618576857
SFPQ,20.849048357993038,-1.170030616166943,0.4327264118625173,-2.703857643287733,0.006853964566725539,0.22365050618576857
LSM4,8.668878251273592,1.3217468373943486,0.4906533779855975,2.693850479172991,0.007063184240820541,0.22365050618576857
GNL3,6.1447723448385325,-1.1406960377657893,0.4240009336443265,-2.690314919737095,0.007138461952166378,0.22365050618576857
BZW1,18.175886675240395,-1.0060968849575458,0.3729775596949858,-2.697472968026048,0.0069867957067934385,0.22365050618576857
AGO2,5.475421719457798,-1.7532799623249768,0.651869487277212,-2.6896180854364524,0.007153383353764868,0.22365050618576857
SH3BGRL3,152.69945741429098,0.8891289314698828,0.32830025126005286,2.708279777603907,0.00676329809732946,0.22365050618576857
MEA1,5.881426154422874,1.5698526455151574,0.5839741005529397,2.688223063366564,0.007183339296886946,0.22365050618576857
AP2S1,7.611577713229058,1.4511512369764825,0.5407652893415875,2.6835140227719525,0.007285291993218577,0.22466452832420716
LMNA,26.140222633649362,-1.6850899708968676,0.6302541487051732,-2.6736673996653635,0.007502682071791864,0.2248092058212534
GALNT11,3.3181118877108293,-1.5333601088097324,0.5747862085310981,-2.6677051154869034,0.007637125583797985,0.2248092058212534
HMGN2,31.829015009384424,1.1357511708638361,0.42521991727559266,2.670973594418286,0.007563159617314942,0.2248092058212534
SHISA5,12.915418327463842,1.432169050873001,0.5367540514548662,2.668203522621062,0.007625804850293489,0.2248092058212534
CAPG,21.117792189291286,1.2845380351550029,0.4808916873461266,2.6711587431338644,0.007558988971951442,0.2248092058212534
SNX17,7.19299859614275,1.4039007028113668,0.5289795456714057,2.6539791836931426,0.007954873406295051,0.2320529737800304
AURKAIP1,10.37976014090078,1.0938035279708973,0.4156333490312673,2.6316548720651682,0.008497013022153001,0.24263752517031012
FIBP,5.440972418177345,1.4002504874213693,0.5324471322285732,2.6298394763825277,0.008542519416125804,0.24263752517031012
RNF167,8.092858771575305,1.1767888898883927,0.44698640704692255,2.632717396627363,0.008470479470794016,0.24263752517031012
GLUL,17.604503205457807,-1.082464772951974,0.4131610588593542,-2.6199583666970416,0.008794050238375888,0.24337721941761647
THEM4,4.794028373402647,-1.5880579755281716,0.6059081126326804,-2.620955129034392,0.00876838020050269,0.24337721941761647
CRTAM,15.937469163590091,-1.5552345399284757,0.5924698233877552,-2.625002115779688,0.008664842883044697,0.24337721941761647
AIM1,8.746035573423875,-1.1005801426573798,0.4207539463827651,-2.6157333808015393,0.008903605127348169,0.24432096103689296
MIR4435-2HG,4.7326297664550925,1.5709708102019944,0.6034927367136389,2.603131263446224,0.00923765780167511,0.24720277654400002
STOML2,5.335763985214454,1.410370639000462,0.5412312434467789,2.6058559184770136,0.009164500341383199,0.24720277654400002
HERPUD1,30.72860613403816,-0.6828427671200268,0.26217097669096195,-2.6045704056896355,0.009198951898988384,0.24720277654400002
ATM,8.793631071374348,-1.054079687456921,0.4069979840553362,-2.589889210148044,0.009600682471931759,0.24812061763261323
SMC3,4.6864596859779,1.5677802105158225,0.6064400546232699,2.585218767401095,0.009731722803996874,0.24812061763261323
PPP1CA,20.206195220089832,1.0426330598213072,0.40158916447518334,2.5962679077356876,0.009424255089513124,0.24812061763261323
GABPB1,8.219179261455045,-1.0798265610518987,0.4175493570286193,-2.5861051942127316,0.00970673011211703,0.24812061763261323
DUSP23,5.323537481966521,1.3544685009246145,0.5235812528811248,2.5869308602463206,0.009683502042828838,0.24812061763261323
PLAC8,10.477802779216526,-1.4021296727852124,0.540709160273305,-2.593130976505922,0.009510654312791005,0.24812061763261323
