,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-138A9.2,5.069820151056431,-2.9054787655734837,0.5994959996033928,-4.846535702482844,1.256359872531875e-06,0.001665020352090572
CD55,18.67207590355894,-1.4217637746031653,0.298348580153123,-4.7654450839801745,1.88437217062343e-06,0.001665020352090572
CCL5,364.24462371155164,1.167823674653334,0.2459737716333558,4.747756912855211,2.0568503422984214e-06,0.001665020352090572
TOB1,19.411051925570156,-2.470342093007286,0.513473078370042,-4.811045013010395,1.5014319501359333e-06,0.001665020352090572
ELL2,7.81118611364218,-2.023253663852326,0.43774670990688086,-4.6219734336386455,3.801067005408803e-06,0.001988318368625427
IRS2,5.411098288066861,-2.497309235944778,0.5407944333614383,-4.61785307297294,3.877306151716368e-06,0.001988318368625427
CNOT6L,14.348658460754546,-1.5268918763793007,0.3321925437216884,-4.596406226560383,4.298402896966642e-06,0.001988318368625427
SMAP2,8.46781483789957,-2.06671555144432,0.5041198536959126,-4.099651176783393,4.1377331452522655e-05,0.016747474905408545
ACP5,5.8832552071225015,2.8683924911840912,0.7065651789056253,4.059629000719857,4.915074779624654e-05,0.017457772395844284
GADD45A,3.8423296149937993,-2.6203203256066456,0.6489198905745465,-4.037971964901003,5.3915294613478336e-05,0.017457772395844284
SGK1,3.4907463018021736,-2.2975741781968253,0.5858808750912348,-3.921572244253649,8.797306355447308e-05,0.025896070889943987
EIF4A2,39.64265994989065,-1.249713970196058,0.3246518102238072,-3.8493978189572857,0.00011840856542712719,0.03195057790441982
MKNK2,6.073174253452359,-2.0234716256360548,0.5284278087949597,-3.829230013935927,0.0001285448206512089,0.03201754840527803
IGFBP7,6.0550666023346755,-3.049876401290244,0.8210506372413325,-3.7146020756254403,0.00020352370456233084,0.047072125383773374
ETV3,6.352756934525463,-2.220693358854594,0.6057064449205309,-3.666286494848095,0.00024609820529117586,0.049804124295801715
MTRNR2L8,5.2949867560693,-2.538791310429961,0.6896484132197325,-3.68128347976212,0.00023206281328062958,0.049804124295801715
