,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CSF1,3.593406950896674,2.913194679085077,0.7601471200565656,3.832409019543867,0.00012689453392573794,0.6044347793519115
CCL5,514.9012718401125,0.5789279944428772,0.15423429869050279,3.753561946714551,0.00017433942294546047,0.6044347793519115
PDCD4,17.843838310596745,-1.0326399012121308,0.32033274973329706,-3.223647604161257,0.0012656905029358723,0.6158820753890885
GLS,4.645252034063174,-1.4857924105879243,0.4957896270348987,-2.996820283380675,0.0027281149138935227,0.6158820753890885
CHST12,13.917292614823973,1.0970380502203738,0.3710248614730113,2.956777736847625,0.003108721176610628,0.6158820753890885
RAB8A,6.206533340337854,1.2585296576161094,0.39118378888637234,3.2172336721797947,0.0012943313390061414,0.6158820753890885
DYNLL2,1.8065192755275346,-1.7340213299861873,0.5496826989555447,-3.1545859698349816,0.001607260170858795,0.6158820753890885
MX1,7.887700359318967,1.6490790283421655,0.5213717890304658,3.162961754046503,0.0015617284737073005,0.6158820753890885
DDA1,2.8488349400715354,1.7173355622647246,0.5597921365418612,3.0678093709454997,0.0021563412692935154,0.6158820753890885
IL2RB,10.956528625605538,1.0625675729268758,0.3521232107751613,3.0176016246919586,0.0025478359728676393,0.6158820753890885
GZMK,105.10684378026976,-1.6282321580357608,0.4834130846407676,-3.368200426857969,0.000756605716085425,0.6158820753890885
LY6E,44.17060265459431,1.4213202494211257,0.3994331654588893,3.5583431030025765,0.00037320161280725273,0.6158820753890885
NFKBIZ,11.334907357158988,1.60766417727724,0.529029014876378,3.0388960379666785,0.002374467792288624,0.6158820753890885
SYNJ2BP,0.9445795871433494,-2.448401985407669,0.8146674273247633,-3.005400612919835,0.0026523125978504566,0.6158820753890885
AGGF1,3.6856097221527144,1.8213149218700846,0.5890490372730136,3.091958065667694,0.0019884093642738724,0.6158820753890885
AIM1,9.795916988854161,-1.2098278872563586,0.4031253675351306,-3.0011207050891615,0.0026898791554337133,0.6158820753890885
TRAT1,14.062375361020626,-1.2524474204814993,0.34843960191975093,-3.59444625002743,0.00032508224551080784,0.6158820753890885
PRSS23,1.5550483736591567,-2.412094369080516,0.7512116981711402,-3.210938241447613,0.0013230236493530592,0.6158820753890885
ARL6IP1,10.90957737654174,-1.5167134406767078,0.5105047960492372,-2.9710072313021403,0.002968247915678775,0.6158820753890885
EPHA1-AS1,2.0885205172459025,-1.998558256537271,0.6167367792608834,-3.2405368444742426,0.0011930485315229543,0.6158820753890885
KDM5B,3.0251454147366186,1.761253522044801,0.5948210122554194,2.960980674449525,0.0030666118072012736,0.6158820753890885
KLRB1,19.81145174196133,1.8220937928656644,0.5942956376258268,3.0659720137687922,0.002169636216734595,0.6158820753890885
SPARCL1,3.6531694734310247,-3.269172404307781,0.9345111936757764,-3.4982699259587497,0.00046828692865725206,0.6158820753890885
CXCL13,25.356123932776736,2.6527850144988014,0.8524480898867113,3.1119607703635674,0.0018584919408408363,0.6158820753890885
TRAFD1,2.179405653818808,1.8729194519965136,0.6216498793160529,3.0128204224170743,0.002588320299884242,0.6158820753890885
FBXO11,2.064521624173873,-1.6704065422649386,0.5264163408361817,-3.1731662045513156,0.0015078617781120393,0.6158820753890885
AREG,37.596396000478755,3.1768576905884847,1.066360749423452,2.979158499884877,0.002890412215073482,0.6158820753890885
CD7,59.840718987911536,1.1999733041178138,0.38335688719829103,3.1301728081309483,0.0017470349747707467,0.6158820753890885
LRRC8C,1.6060503821853211,-1.8961136236685168,0.6376383253900888,-2.973650654559587,0.0029427990467134923,0.6158820753890885
ACP5,7.545141956003712,1.5121766293206922,0.483059162610597,3.130417030386992,0.0017455830149787368,0.6158820753890885
TRMO,4.977152771154972,-1.8580433533722611,0.6065668831005694,-3.0632126565739255,0.0021897438850477366,0.6158820753890885
RAB21,2.502158010283247,-1.8463401823701469,0.5472641309352336,-3.373764290407429,0.0007414782957607842,0.6158820753890885
CXCR4,232.76395430029035,-1.600020331739595,0.5330905163456564,-3.001404607059526,0.0026873722504635092,0.6158820753890885
KLRC1,18.7174539514685,2.377743467930036,0.7652387899307216,3.1071915057328674,0.001888740011153983,0.6158820753890885
OBFC1,3.5976709457935483,1.9043965523864415,0.6036260476687572,3.15492772344955,0.0016053787009035808,0.6158820753890885
RAB9A,5.872883452184949,-1.1132905802719983,0.3784437280704245,-2.941759891089611,0.003263528645615089,0.6285918785748619
KLF9,4.0803057728140635,-1.591127398385335,0.5759902501828496,-2.762420714378807,0.005737449472790136,0.6917524698521199
IL21R,3.8557573317837317,1.34662877776627,0.5011536995120245,2.687057441813735,0.0072084555125895185,0.6917524698521199
SHISA5,16.475208244720356,1.1232502451973276,0.42106169415359673,2.667661914616207,0.007638107550018033,0.6917524698521199
