,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TAGAP,25.270819110168624,1.589215883376973,0.38714205022436915,4.104994232623242,4.043249675283505e-05,0.11125001481542564
CACYBP,23.235681073478926,1.7038153779702008,0.4022899817382744,4.235291593909702,2.282553143754025e-05,0.11125001481542564
PIK3R1,24.296036058726905,-1.453798774220549,0.39322013512692655,-3.6971625925291973,0.00021802271098305174,0.3999263261799112
IFIT1,4.608136370746907,-3.7464532445835257,1.0488937737748534,-3.571813789208084,0.0003545174505239011,0.48772738255825693
LGALS3BP,4.291749490689728,-2.961514655413409,0.8926811036137988,-3.31755051543541,0.0009081049285221944,0.9994602843315271
PTTG1IP,3.70104351135695,0.4784017199435556,0.5825373910704941,0.8212377905295065,0.4115108347237266,0.9997552214882252
NOC2L,2.7455984636432964,-0.6479817387442112,0.6047548193562163,-1.0714784206829662,0.28395436850422817,0.9997552214882252
ISG15,28.10138646683864,-0.36000852345773293,0.5299554640076234,-0.6793184482622,0.4969361097838063,0.9997552214882252
SDF4,8.373403016228664,0.2134304746896866,0.518864595274737,0.4113413723606944,0.6808222367977627,0.9997552214882252
UBE2J2,3.83939798037796,0.18234421754999328,0.6026082697234797,0.3025916282789581,0.7622010952206217,0.9997552214882252
CPSF3L,5.248489973475586,-0.6280951702096785,0.5495327960569748,-1.1429621211261767,0.25305431837891823,0.9997552214882252
AURKAIP1,10.779724553595265,0.1384792237531646,0.5485045518415904,0.2524668633801197,0.8006802238709996,0.9997552214882252
CCNL2,3.330532458444701,0.7440505631482035,0.5643981181026079,1.3183080157133598,0.18740055872993477,0.9997552214882252
MRPL20,9.416193235084224,-0.11178687629562047,0.4776421586576514,-0.2340389646713396,0.8149547291085516,0.9997552214882252
ATAD3B,1.076526463844854,-0.24471102383211873,0.7776190915886312,-0.3146926644151549,0.7529950144421085,0.9997552214882252
SSU72,11.369433645331195,0.19798525311654708,0.4876129554417825,0.40602951768820483,0.6847209120831892,0.9997552214882252
CDK11B,2.4270592813891994,0.18942317758515378,0.6550100766421019,0.28919124199772395,0.7724350335381203,0.9997552214882252
SLC35E2B,1.685819119150736,-0.3712649839630414,0.6628137738115902,-0.5601346843292611,0.5753875741161212,0.9997552214882252
CDK11A,3.3816098938186103,-0.18345666256618448,0.5920696911578122,-0.3098565342999214,0.7566700576620204,0.9997552214882252
GNB1,4.914681815342151,-0.29790354324069357,0.5632504483692201,-0.5289006766052546,0.59687435259643,0.9997552214882252
FAM207A,2.214481750204666,-0.13376364958514272,0.6632440558754303,-0.20168088714882662,0.8401662054069932,0.9997552214882252
ITGB2-AS1,2.496628369818357,0.5363183363840258,0.714889452936634,0.7502115665309218,0.45312729365972215,0.9997552214882252
C21orf2,2.6187317196323368,-0.8363065360578388,0.7265755131529832,-1.1510249394845093,0.2497219756109027,0.9997552214882252
PFKL,2.4784724155803395,-0.018282054135712354,0.6397749929740044,-0.02857575606500018,0.9772029480440391,0.9997552214882252
TRAPPC10,1.835279584829306,0.31871284609957373,0.7107054364350275,0.44844576917586354,0.6538315163572191,0.9997552214882252
CSTB,16.359785861087232,-0.03290193406182106,0.45335093728125087,-0.07257497747580323,0.9421443392793571,0.9997552214882252
FAAP20,6.966913019010499,0.21362829572674077,0.5975745923778438,0.35749226699328024,0.7207233142967469,0.9997552214882252
RER1,7.8230066762266315,-0.07904306928726386,0.4902444234457565,-0.16123196003270732,0.8719107099425456,0.9997552214882252
TNFRSF14,7.963209122626362,0.3867866613660057,0.510819894375414,0.7571879357575426,0.44893727692738195,0.9997552214882252
WRAP73,2.7289453799134233,0.008979839765792932,0.6893697446488625,0.013026158800118077,0.9896069229252786,0.9997552214882252
LRRC47,2.1812693122995386,0.09253627686878321,0.6683842590193377,0.13844772018502302,0.8898865848583785,0.9997552214882252
C1orf174,2.471237778479695,0.4509694674454306,0.5599117924186103,0.8054294864864526,0.4205718818781592,0.9997552214882252
KCNAB2,4.043776753909109,0.9160312570748451,0.49514696646580547,1.850018921883278,0.06431082243267931,0.9997552214882252
RPL22,125.0171289424429,-0.24799859126618726,0.3007206420024429,-0.8246809717311412,0.4095527374394624,0.9997552214882252
ICMT,1.4489121658715645,0.06171876602564879,0.7549291762138426,0.08175437904676534,0.9348420348196739,0.9997552214882252
TNFRSF25,4.715658667704256,1.7412832841552126,0.5741719086905559,3.0326863049192805,0.002423874243952114,0.9997552214882252
PCNT,1.4316480608556932,0.05680776951764951,0.7738969499268569,0.07340482414747669,0.9414839788395925,0.9997552214882252
SLC25A33,1.9719171318161206,0.9356100498299957,0.6385992152025828,1.4650973999916241,0.1428943459431893,0.9997552214882252
PIK3CD,2.726300595503292,-0.7429088285908759,0.6697934145923476,-1.1091611419366196,0.2673606724197377,0.9997552214882252
CTNNBIP1,1.6477132958567255,-0.12717533200465714,0.7471859051289229,-0.17020574281672743,0.8648483355053604,0.9997552214882252
LZIC,1.9327655687901886,-0.9730709152839289,0.6958393130103259,-1.3984132501428372,0.1619890065003846,0.9997552214882252
UBE4B,1.3919152117278009,-0.41720733920641656,0.8144625337527617,-0.5122486571408871,0.6084769934385562,0.9997552214882252
PGD,1.8147722296981845,0.4448538346348895,0.7073454702565666,0.628906034378835,0.5294105752509497,0.9997552214882252
