,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EIF4A3,13.249289993414132,-2.0047142430542344,0.4517138774099181,-4.438017832325772,9.079109900590143e-06,0.03152266957484898
SIT1,10.432514082283637,2.393286530679985,0.5294770251405504,4.520095144911499,6.181184530090875e-06,0.03152266957484898
NME1,2.7103191838781475,-2.8016355383246023,0.7110132346191372,-3.940342319823811,8.13654181541403e-05,0.1883338212207834
RHOF,11.783921400676544,1.414376919103041,0.3751910121700007,3.769751601784588,0.0001634101022335331,0.2827363816345884
LY6E,47.16771412168003,1.457969069609207,0.39250451707623213,3.7145281294330696,0.0002035832241032463,0.2827363816345884
MIR22HG,1.8148773464381616,-2.3809777590179135,0.7059887134267229,-3.3725436593187745,0.0007447727769853668,0.7244689850016663
CHPT1,1.8551183064747092,-2.5152328251954685,0.7474783886740644,-3.3649572526868443,0.0007655551872760212,0.7244689850016663
UBE2H,3.9817178670145577,-1.6207883950383721,0.48511443602420845,-3.3410434212629583,0.0008346416877899382,0.7244689850016663
CD24,19.788044011876845,4.201535557627457,1.3242535307971512,3.1727576781300253,0.0015099849721166138,0.9532123314888878
CD38,3.2041373247621805,2.608731809746957,0.8200261356356436,3.1812788597582897,0.001466264174052246,0.9532123314888878
ID3,6.912069688157225,-2.3581603203266,0.7307646546295501,-3.226976435418915,0.0012510576277291884,0.9532123314888878
RER1,9.363087564963147,-0.07935781645254282,0.43114855216623343,-0.18406142396587627,0.853965268606193,0.9990322872684508
NOC2L,4.3536034638659595,0.2548742669040538,0.4690830112841304,0.5433457634850748,0.5868917608861153,0.9990322872684508
ISG15,50.24454598991202,0.7227934228787379,0.543481300832151,1.3299324590782302,0.18354052564453394,0.9990322872684508
TNFRSF18,6.630483073219619,-0.15085148718575855,1.2784456711808567,-0.11799600920578987,0.9060708199857828,0.9990322872684508
TNFRSF4,2.3824448548127033,0.08270284599887451,0.8198897491598013,0.10087069155776852,0.9196531091616795,0.9990322872684508
SDF4,11.15877176462082,0.3206001475093703,0.5369683590317786,0.5970559384308093,0.5504700341116647,0.9990322872684508
UBE2J2,4.524722866573185,0.021361880064448488,0.5404263930919213,0.039527825319987726,0.968469569450277,0.9990322872684508
PUSL1,1.1356735081028846,-0.08361933993401188,0.7620580289106544,-0.10972831039329634,0.9126248475338091,0.9990322872684508
CPSF3L,6.808285379889781,-0.1326700259903762,0.46857507997502434,-0.283135044222684,0.7770733188140589,0.9990322872684508
AURKAIP1,13.705480551326477,0.23369533150895486,0.46608579676682976,0.5013998133606855,0.6160897711287949,0.9990322872684508
CCNL2,2.799779746669248,-0.1556053297441971,0.5494363238553819,-0.2832090325814612,0.7770166046939017,0.9990322872684508
MRPL20,13.983394916594913,0.3821632422758882,0.3926911776707967,0.9731902930507537,0.33045873431920647,0.9990322872684508
SSU72,13.67410894981107,0.10733924766944149,0.4472966879100799,0.23997326734290486,0.810350980715,0.9990322872684508
MIB2,3.393000088211359,0.3439650742928118,0.6403045722121828,0.5371897831440589,0.59113652783584,0.9990322872684508
CDK11B,3.475388852472068,0.3962320685587286,0.6152401966479909,0.6440282522460612,0.5195571137890564,0.9990322872684508
MX2,5.38548969584662,1.1063531563363598,0.606799175862164,1.8232608090879654,0.06826389901155347,0.9990322872684508
MRPL39,2.088611218637252,0.5510267091587273,0.6169729278853475,0.8931132700544115,0.3717965172825184,0.9990322872684508
RP3-395M20.12,1.4703808303736046,0.7853499809314324,0.6880163380119586,1.1414699586941814,0.25367440648726103,0.9990322872684508
TNFRSF14,12.147593496051352,0.8730470664668412,0.4777561485333553,1.8273905404398745,0.06764107061695183,0.9990322872684508
FAM213B,1.198512589263903,0.30112272188511335,0.789902029549278,0.381215278123713,0.7030435132612095,0.9990322872684508
TPRG1L,1.04266646502028,-1.4740721061395627,0.76938008300459,-1.9159218424046056,0.05537504479664742,0.9990322872684508
WRAP73,2.511090150020204,-0.7701085530920666,0.6923806527703635,-1.112261802825797,0.2660256020093148,0.9990322872684508
LRRC47,2.461078267590483,0.1438576101354606,0.6202937366569201,0.23191852768138974,0.816601293807457,0.9990322872684508
CEP104,1.8991586517950736,0.41347314264294777,0.6131278019657153,0.674366977516489,0.5000780317933039,0.9990322872684508
C1orf174,2.947046091886725,0.16415749766000684,0.48727478286593673,0.3368889657997575,0.7362006036303834,0.9990322872684508
KCNAB2,4.726455412540817,0.7453006360548395,0.44465018825470815,1.6761505015441718,0.09370871686160961,0.9990322872684508
RPL22,156.77886168190804,-0.10601169200863074,0.2343852633615024,-0.4522967463407645,0.6510552195803456,0.9990322872684508
PSMG1,1.7383727572872694,1.0989220524879746,0.6865121674040988,1.6007320840988397,0.10943627173421004,0.9990322872684508
BRWD1,7.247456678514108,-0.5757199722159139,0.5107437356901631,-1.1272188614079603,0.25964995777750477,0.9990322872684508
HMGN1,43.536618906752004,-0.1251740595163187,0.3246983366566912,-0.38550877964203206,0.6998605029927812,0.9990322872684508
WRB,3.6873928844788084,-0.9111880494837739,0.7809463292201891,-1.1667742268455723,0.24330155784567364,0.9990322872684508
SKI,2.490595304360826,0.3494843782286983,0.7298237924441169,0.4788613112465206,0.6320372959552607,0.9990322872684508
ICMT,1.9955384660529372,0.29997388583162304,0.7203128220955543,0.4164494600539397,0.6770811425641015,0.9990322872684508
ACOT7,1.9822660738864721,0.33511865934482904,0.8446971503700428,0.3967323190305793,0.6915648647526418,0.9990322872684508
TNFRSF25,4.586979359358427,1.1286404313165186,0.6450735114422699,1.7496307185100175,0.08018205555400525,0.9990322872684508
ZBTB48,1.1101639478701606,0.35575228981441925,0.709330820121939,0.501532260720411,0.6159965793194697,0.9990322872684508
DNAJC11,1.2448627075531098,-0.3341376981014638,0.8725717504103162,-0.38293435232614353,0.7017684397261605,0.9990322872684508
CAMTA1,6.082372802926259,-0.010413989734256534,0.4856943918430114,-0.021441445298019002,0.9828935125889287,0.9990322872684508
VAMP3,2.8098613238011536,0.12306163056816972,0.5240629511941476,0.2348222294435379,0.8143467134957627,0.9990322872684508
TNFRSF9,3.436299844958857,-1.4359343175738837,0.6793384585608597,-2.1137244616120068,0.03453880797258269,0.9990322872684508
PARK7,31.569767017883866,-0.11379890768901482,0.3905731883008208,-0.29136384958756184,0.7707730595574085,0.9990322872684508
ERRFI1,1.7053669289129536,-1.5320583940661532,0.7102262893750793,-2.157141205536331,0.03099466385959578,0.9990322872684508
RERE,3.0122880468646196,0.32997421726344445,0.6460964104639237,0.5107197810099415,0.609547287498194,0.9990322872684508
ENO1,32.0734714453356,0.24154154294373548,0.305315866360338,0.7911201793183746,0.4288738646506032,0.9990322872684508
SLC25A33,2.864965581743557,0.8077305752456262,0.6502176889403919,1.242246387608926,0.21414566935898194,0.9990322872684508
PIK3CD,4.247957129632073,0.2710835287459716,0.5157459941718084,0.5256144144779661,0.5991561394646905,0.9990322872684508
CLSTN1,2.3147069927409305,0.8241519937299988,0.63341383521992,1.3011272376831728,0.1932149059230367,0.9990322872684508
CTNNBIP1,2.9700343271316023,0.6622778658081766,0.71652366814137,0.9242930767745543,0.3553337463579652,0.9990322872684508
LZIC,2.801156875500889,0.0378593188120102,0.5247346377711133,0.0721494562905608,0.9424829683191966,0.9990322872684508
UBE4B,1.8288390044446168,-0.0578038166487914,0.6358495178279633,-0.09090801365431075,0.9275656825867825,0.9990322872684508
KIF1B,1.5497650964935452,-0.8128728730559319,0.630476575336666,-1.289299087157788,0.19729412822182846,0.9990322872684508
PGD,3.249388150051565,1.161492299461976,0.6395748451598072,1.8160381200917306,0.06936452478676114,0.9990322872684508
DFFA,2.0823688204062916,0.3472235638144877,0.6149078269294433,0.5646757914082127,0.5722943032418448,0.9990322872684508
SRM,2.021582159236719,0.3180373835210933,0.7172334487608991,0.44342240879944794,0.657460230324809,0.9990322872684508
EXOSC10,2.9988416702701173,0.7725446396346045,0.5438657978904076,1.4204692455955417,0.15547111590802135,0.9990322872684508
UBIAD1,2.2781201286143955,0.4863968112040456,0.7060297819820379,0.6889182632474561,0.4908747057123666,0.9990322872684508
FBXO44,2.6157309891552267,-0.009200124501241183,0.5669148226922367,-0.016228407042790785,0.987052172902497,0.9990322872684508
FBXO6,2.6900690184085616,-0.18573491817536855,0.7518021824442047,-0.24705291167354776,0.8048672753109496,0.9990322872684508
MAD2L2,5.301596883105313,0.6713758195388775,0.5973663171676264,1.123892995377045,0.26105842325372164,0.9990322872684508
AGTRAP,7.570235117598897,0.7253651884063246,0.546344767850019,1.327669323641166,0.18428737193783007,0.9990322872684508
MTHFR,0.9334086702004082,0.2685640606506233,0.7816433652185137,0.34358899800236187,0.7311553998587984,0.9990322872684508
MIIP,3.058924946136194,1.495621760411281,0.6179201053841419,2.4204128452520557,0.015502895075388733,0.9990322872684508
TNFRSF1B,17.08649296563339,0.5550398265222846,0.479289041546686,1.1580482306274884,0.24684435464144017,0.9990322872684508
VPS13D,1.93968714675449,0.026591431386514458,0.5518034576560076,0.04819004125032407,0.9615647868989406,0.9990322872684508
DHRS3,3.9027467405650267,-0.1923714460852937,0.5771881092884438,-0.33329072964176065,0.7389148364291195,0.9990322872684508
PRDM2,7.776780568943584,-0.7763867929375201,0.4132028200219642,-1.878948437225696,0.06025153412610344,0.9990322872684508
EFHD2,3.6603034068621767,0.35897232090188386,0.5989234290089926,0.5993626288686963,0.5489310921878694,0.9990322872684508
CASP9,1.152966878790193,-1.3955777521289645,0.7223133319187905,-1.9320946886328119,0.05334781978952546,0.9990322872684508
DDI2,1.8832229494150776,-0.10038348906401412,0.6240584293687955,-0.16085591402963195,0.8722068855513216,0.9990322872684508
UQCRHL,5.104096769545824,0.800915533708498,0.6441021119161435,1.2434604993389158,0.21369818824125353,0.9990322872684508
SPEN,2.685676758874534,0.2891866695824089,0.540580032375011,0.5349562548803032,0.592680107034256,0.9990322872684508
FBXO42,2.25849362245166,-0.05357676729577721,0.6029068113772466,-0.0888640935626344,0.9291899198041231,0.9990322872684508
SZRD1,8.358291940011622,0.12730462578105428,0.4995382174990973,0.25484461713138956,0.7988431132004301,0.9990322872684508
NECAP2,8.899312671400745,0.8059410164402286,0.4578983239027789,1.7600872821961808,0.07839300877760895,0.9990322872684508
RP11-108M9.4,1.29246549389224,-2.1334963980450943,0.8547215433827027,-2.496130364985803,0.01255564485750592,0.9990322872684508
RP11-108M9.6,1.4966301275448037,-0.9944642956335454,0.8722333986879034,-1.140135538411523,0.25422983807410005,0.9990322872684508
SDHB,6.52005565556027,-0.06402118074991704,0.44401173270392374,-0.14418803836566116,0.8853519862438954,0.9990322872684508
RCC2,2.0564660239856805,-0.47839523475426643,0.6430597385076947,-0.7439359146701454,0.4569152463925148,0.9990322872684508
UBR4,3.2738528359500005,0.2335451080773623,0.6010747632347605,0.3885458554614896,0.6976121264947661,0.9990322872684508
AKR7A2,4.110253525380933,0.34173216247083654,0.6028814157978283,0.5668314755043533,0.5708286837007686,0.9990322872684508
STMN1,10.50108406012302,0.2368513287810589,0.37692892921050597,0.6283713199651572,0.529760720527805,0.9990322872684508
CAPZB,33.939111216940574,0.43105672901200875,0.3326873166694786,1.295681282133936,0.1950853126643881,0.9990322872684508
MINOS1,13.734016764966945,-0.6467957733786506,0.5301025824249023,-1.2201332248183865,0.22241437529426156,0.9990322872684508
DDOST,9.441138422660474,0.23743885989992883,0.4779358604820093,0.4968006787782491,0.619329616518022,0.9990322872684508
HP1BP3,12.67513340670598,0.5850887055649083,0.36117169358513274,1.6199738682649434,0.10523789044151931,0.9990322872684508
EIF4G3,1.822706979068177,0.18008832768095234,0.7060954351163281,0.2550481404136016,0.7986859177049372,0.9990322872684508
ECE1,3.645496789496375,0.6909608879803568,0.8478323495470736,0.8149734889798435,0.41508748535767415,0.9990322872684508
USP48,3.7238752435755567,0.14743239522138216,0.5416321497033891,0.2722002290708181,0.7854680657116442,0.9990322872684508
LINC00339,1.3784721873161652,1.2656513389982502,0.698352057275339,1.8123399592123524,0.06993368384366135,0.9990322872684508
CDC42,38.33513595745192,-0.5143935669987582,0.3190017673562855,-1.6125100850123009,0.10685098714544104,0.9990322872684508
ZBTB40,1.006436610376794,-0.1055019948387149,0.7541162418030268,-0.13990150190435993,0.8887378146129508,0.9990322872684508
KDM1A,0.89807196838879,-0.4900302371851659,0.7379316549947277,-0.6640591088190505,0.5066524803778747,0.9990322872684508
LUZP1,5.190543102036173,-0.19392039665939834,0.46840949553979844,-0.41399757798659287,0.6788758806086085,0.9990322872684508
HNRNPR,14.681602020888956,0.2665737029418333,0.3518686711401471,0.7575943094850257,0.44869388786680053,0.9990322872684508
RPL11,538.2253104253025,-0.11228477950179136,0.20436929742667603,-0.5494209791569944,0.5827165800786984,0.9990322872684508
TCEB3,2.602125979566416,0.3223554401121665,0.5548846643675495,0.5809413393674939,0.5612799896426685,0.9990322872684508
IFI6,27.2614631474198,0.7138451728180722,0.5580103411572563,1.2792687163066379,0.20080244500996902,0.9990322872684508
PITHD1,8.920959540529037,-0.6739097269858998,0.45400697476004087,-1.4843598544759924,0.13771347910557746,0.9990322872684508
LYPLA2,6.210781648543025,0.1140535944205322,0.6280333930293889,0.1816043472949456,0.8558932369374006,0.9990322872684508
HMGCL,2.7968475570643196,-1.0687674374239544,0.6962169716675435,-1.5351068430062786,0.12475758568424275,0.9990322872684508
PNRC2,12.386220746784993,-0.15184201602791791,0.36429068801111764,-0.4168155295347103,0.6768133425520022,0.9990322872684508
SRSF10,12.93059680299841,0.18959782890417237,0.3462755142511422,0.5475346107396531,0.5840114990286531,0.9990322872684508
NIPAL3,2.9652155110365745,0.3361439993003187,0.5314934126076276,0.6324518636103499,0.5270916532754939,0.9990322872684508
RCAN3,7.555591124931264,-0.5838371398400638,0.48547261487745325,-1.2026160115899442,0.22912494868983335,0.9990322872684508
SRRM1,28.22920936799184,-0.12940563812002748,0.3550065887688309,-0.3645161588938631,0.7154726095506223,0.9990322872684508
RUNX3,22.519522759678683,-0.08797929624882625,0.5047349075929138,-0.17430792862811978,0.8616234684874211,0.9990322872684508
SYF2,16.878324849474115,-0.0549070306370532,0.38153376549377493,-0.1439113273919371,0.8855704908366865,0.9990322872684508
RSRP1,43.06972807863486,-0.14462500674754689,0.3963353772014683,-0.36490562050944547,0.7151818586357845,0.9990322872684508
TMEM50A,25.424039662029706,-0.012297039845735025,0.29926657909149107,-0.0410905884748848,0.9672236775773313,0.9990322872684508
TMEM57,2.779201008149529,0.32739192644885323,0.4934761801791364,0.6634401813072455,0.5070486787411779,0.9990322872684508
LDLRAP1,4.720533129177672,-0.08175932789526863,0.5637138663830867,-0.14503692878774585,0.8846817150860601,0.9990322872684508
MTFR1L,1.2269177694961069,-0.6596727230760785,0.6792727394012327,-0.9711455867602882,0.3314757856026964,0.9990322872684508
EPB41,7.351259672935096,0.9626745724015211,0.40322431615130705,2.3874417634086442,0.0169660905326669,0.9990322872684508
