,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DEDD2,75.75767765503946,-1.4043735708518572,0.3959024388073708,-3.5472718356634454,0.0003892427428366564,0.4364732233526847
MRO,6.855225331100021,-1.7466021552827204,0.5017251102235676,-3.4811934258272195,0.000499184865455751,0.4364732233526847
PDE4C,12.560748592965318,-2.922907219062114,0.8681746989875622,-3.3667270221888703,0.0007606594350305147,0.4364732233526847
ARRDC2,47.72058737854946,-1.0704312061590613,0.2882565436848921,-3.7134671514316224,0.0002044390112581798,0.4364732233526847
HEXA-AS1,3.3396350087006312,-2.444834614148129,0.7165442838795325,-3.4119797884804024,0.0006449289492956965,0.4364732233526847
MOAP1,25.00805679228161,-1.0005571532454351,0.2864082824337058,-3.4934644513188315,0.0004767964597539331,0.4364732233526847
SRSF2,437.1687180134859,-0.9572161910063026,0.28007860380336763,-3.4176698184282834,0.0006315967834448758,0.4364732233526847
ERBB2,6.974407633235889,-2.8554138768695045,0.8405072234666201,-3.397250847045105,0.0006806654035024757,0.4364732233526847
MID1IP1,88.07805860572579,-1.0680383605468895,0.29424462223276404,-3.6297634004063832,0.0002836811238238619,0.4364732233526847
GIMAP7,79.1064004936189,1.3784323081297232,0.40588097895545594,3.3961490673377956,0.0006834112954234514,0.4364732233526847
TUBB2A,53.44248013314334,-1.1562724463259915,0.34311482346692956,-3.369928569808458,0.0007518767111358577,0.4364732233526847
EZR,242.3312970382038,-1.1777053957802965,0.34743594242787434,-3.3897051282331887,0.0006996784006375086,0.4364732233526847
DUSP1,4312.431444384317,-1.2037186974669027,0.31688006600112884,-3.7986570523581453,0.00014548223070172042,0.4364732233526847
PTGER4,196.04484107839895,-1.4055160583100927,0.39362680882768813,-3.5706817391225085,0.0003560533089829802,0.4364732233526847
RBP4,16.562450624129625,-2.77791939133514,0.7954860362751839,-3.4921032735440365,0.0004792329183061739,0.4364732233526847
ZFAND5,663.6064239346363,-1.1453064506237611,0.32613380649539364,-3.5117685680338613,0.00044513544804204643,0.4364732233526847
SLC19A2,21.854672417474863,-1.2408008928396699,0.37075377595054465,-3.346697925485679,0.0008178027423371026,0.4364732233526847
TUFT1,8.939755397507982,-1.8627647769461204,0.5564902570213232,-3.3473448159124635,0.0008158965461683562,0.4364732233526847
FAM46C,17.162721930367088,-2.164386431581,0.5576166966034148,-3.8814950211584915,0.00010381627784672607,0.4364732233526847
ERO1B,49.026912081521914,-1.7053513129927529,0.44652929354205656,-3.8191252794753847,0.00013392573667574278,0.4364732233526847
EIF2AK3,32.846322519337065,-1.420730703528304,0.4110012234650837,-3.456755411943442,0.0005467208300632352,0.4364732233526847
TIPARP,95.18891679696634,-1.0605482907957764,0.3174338861189966,-3.3410052838473843,0.0008347563439687969,0.4364732233526847
G3BP2,97.18096885929864,-0.9400839648142606,0.240628746428123,-3.9067816242606255,9.35336140651954e-05,0.4364732233526847
SLC25A33,75.40339025105276,-1.3377134974830442,0.380245211704807,-3.518028515035034,0.0004347656421284616,0.4364732233526847
NDUFV3,92.37516480180696,0.6257423596364364,0.19089324217522527,3.277970202119849,0.0010455643229330155,0.5248314675394564
INSIG1,568.7366703822456,-1.6315018709797198,0.5042224474388488,-3.235678774847852,0.0012135386618590729,0.5857191026026732
JCHAIN,73.5164024413068,3.5702104443194504,1.1100903477452326,3.2161440296919137,0.0012992560739592878,0.6038653508190779
KLHL15,20.984632246431037,-1.4321316010022382,0.45148191364043605,-3.172068598395283,0.0015135724996519443,0.6783507606475804
AC058791.1,50.06050643368765,-1.715033029643284,0.5441846983332561,-3.1515642297479785,0.0016239844062601475,0.6793126771386196
STAT2,76.36700192731188,0.8550118060146943,0.27106152757750984,3.154308963193621,0.0016087866757668202,0.6793126771386196
KLHDC7B,24.617807660842196,1.4614837992009062,0.46689646178408467,3.1302096263834325,0.0017468160103811163,0.707122390782988
RP11-4B16.4,8.634580576350496,-1.7851499879556068,0.5829210765375349,-3.062421414849389,0.002195541161809963,0.7312489070858094
H1F0,56.67596168495721,1.08662617640048,0.3541195233220404,3.0685294225144704,0.0021511514444974896,0.7312489070858094
NDUFV2-AS1,6.914480513012646,-1.523991461133851,0.496453259056779,-3.069758196429834,0.002142321405334047,0.7312489070858094
ID3,219.2653932842011,-1.1928289968380115,0.38982971291737906,-3.0598719320577312,0.002214316556638836,0.7312489070858094
P2RY6,72.42202514876224,1.1553203463368757,0.3771102179079265,3.0636145388639497,0.002186804746570979,0.7312489070858094
TUBA4A,32.86548310418253,-1.529103021290827,0.49349266799160174,-3.0985324007222115,0.0019448170309889642,0.7312489070858094
B3GALNT1,11.973420489031549,-1.0574979346107305,0.3419084359477545,-3.0929272969805344,0.001981926830747505,0.7312489070858094
CLU,18.352698297224045,2.1311384551856385,0.705127523058018,3.022344732685024,0.002508247216270825,0.7485370650189607
PSAT1,2.5975697769574864,2.6863575918262077,0.9076480263333128,2.95969088665181,0.003079478579591305,0.7485370650189607
HTRA1,27.7428867107024,-1.8761872039305703,0.6354531027703584,-2.952518755122975,0.0031519292231207675,0.7485370650189607
TBC1D7,77.70737193712648,-1.3961112169867138,0.46506725614719174,-3.001955520482506,0.0026825136772576875,0.7485370650189607
CCND1,100.08728262854724,0.9206078808032753,0.3026274886445084,3.0420497652964316,0.0023497304325034865,0.7485370650189607
LDLRAD4,60.368568841560176,-0.9368887255902572,0.31764029023636814,-2.949527356536171,0.003182603956393318,0.7485370650189607
SPAG9,155.97851408610396,-0.9220280286134424,0.3077257710736978,-2.99626523120361,0.0027330859914247627,0.7485370650189607
SNAI1,61.33586427495475,-1.2699837412280044,0.4296041716155193,-2.956171809161563,0.003114835278407226,0.7485370650189607
UBL3,75.82989247632125,-0.6931738230322955,0.23404177317810376,-2.9617525692936715,0.00305893494394022,0.7485370650189607
PES1,35.4551457060869,0.7652906597030299,0.2588024726177046,2.9570453943594845,0.0031060238695522777,0.7485370650189607
SNHG12,188.29770211840193,-1.4463553571837866,0.48349769918112756,-2.9914420681492304,0.0027766321614556768,0.7485370650189607
HSPD1,857.3632252135324,-1.2934063149427886,0.43905746027914555,-2.9458702606270757,0.003220474494193509,0.7485370650189607
EIF2A,101.62012809957501,-0.6042624393176999,0.20459819042173702,-2.9534104777375467,0.003142837504075523,0.7485370650189607
CDC42EP3,64.60572565291635,-1.3782170646690957,0.46744367596502634,-2.948413114850253,0.0031940991117146134,0.7485370650189607
NR4A1,671.1625874393719,-1.2474440841653573,0.42346319620215056,-2.945814643050725,0.003221053590805951,0.7485370650189607
PHLDA1,263.0902325298874,-1.5282777765966824,0.5062682461428554,-3.0187114997637896,0.0025385214266598153,0.7485370650189607
HSPH1,893.9983334064195,-1.6766524566104177,0.5713350295427844,-2.934622191732534,0.0033395403502647844,0.7619616700995051
RNF213,259.16564224615837,0.8498891272857381,0.29126697271723695,2.9179042146697953,0.0035239258074182874,0.7758200869700367
BAIAP2,59.31714071895612,-1.159385193647208,0.39682010528540723,-2.9216896477897376,0.003481382537636433,0.7758200869700367
CHORDC1,122.90608389094913,-1.160289617021968,0.4003164441349912,-2.898431063777898,0.0037503474373615513,0.8114329308870708
CCNE1,5.936709205894028,-1.6971432216770381,0.5900933724974226,-2.876058774383966,0.004026747250130489,0.8497699756418853
COL4A2-AS2,8.64856494655836,-1.7879545799066086,0.6222801345969098,-2.8732310104431984,0.004062969044426896,0.8497699756418853
MAPRE2,73.76042092124234,-1.2406099595329327,0.4373284323596042,-2.836792368699253,0.0045569235493585335,0.8535049794164214
MAFF,188.70966354076288,-1.2783641769718512,0.45031722938541685,-2.8388080525289583,0.004528238713664694,0.8535049794164214
CCL8,296.643078264691,1.8922132810149452,0.6669066816499725,2.837298430319338,0.00454970644464097,0.8535049794164214
ARHGEF1,65.70353323754246,-0.8371736660954162,0.29225302320077184,-2.8645509186753393,0.004176010096213684,0.8535049794164214
KBTBD8,26.819974498922726,-1.5843746937072127,0.5549601228334612,-2.8549343070234796,0.00430457317419847,0.8535049794164214
PABPC4,186.96146621928247,-0.7305852888667764,0.25614274392928377,-2.85225838397545,0.004340979931278763,0.8535049794164214
BRAF,21.05532616249341,-0.9791709121309381,0.344327565971613,-2.8437192049028766,0.004459032535117736,0.8535049794164214
SNAPC1,77.12180767498238,-1.3030048477894267,0.4610594113049491,-2.8261105094926844,0.00471170057894931,0.8673318607909518
TIMM8B,182.4311135713207,0.7201051928300892,0.25515395909741806,2.822237974975541,0.004768977479845061,0.8673318607909518
FAM210A,92.81915203281321,-1.3208291964434518,0.4691065771358772,-2.8156271108108384,0.00486821345646533,0.8682752273378923
KIAA0040,25.74057884759625,0.8050166441673253,0.286206455021559,2.8127130958897695,0.004912546110525967,0.8682752273378923
PTAFR,158.76213889907527,1.1716514574148478,0.4196210260164932,2.792165751410169,0.005235652883409376,0.9019635490543857
HSPA2,25.012700390698345,-1.5032109693676108,0.5392392743180925,-2.7876511243891335,0.005309168489829086,0.9019635490543857
LINC01480,37.12588011221219,-2.1401596022443896,0.7678899870175798,-2.7870653849213345,0.005318774613915414,0.9019635490543857
GRK6,23.81108680306742,-1.174433393599728,0.424870450049556,-2.7642152883608273,0.0057059878245995024,0.9178449685748474
PCMTD1,72.05253847676617,-0.5486129990261323,0.1976581905534555,-2.775564207534133,0.005510601717418728,0.9178449685748474
RP11-108M9.6,4.200599970797907,-2.2684525945417984,0.8255176969701084,-2.747915160229373,0.005997552587707187,0.9178449685748474
MZB1,6.126637908842063,2.999944439818075,1.088381648568097,2.756335007820905,0.005845309449851163,0.9178449685748474
KMT2D,19.248673014910324,0.9606254388682937,0.34835764597792146,2.757583908260699,0.005823026648418334,0.9178449685748474
MRPS18C,105.80676115009202,0.6075736258045964,0.2206331158533198,2.7537734915937118,0.005891252524755134,0.9178449685748474
KANSL1L,7.787483172049658,-1.3768751760502276,0.4983374702786442,-2.7629372828022567,0.005728377235967123,0.9178449685748474
CRABP2,14.425538862457527,2.189525317314351,0.7966655469496655,2.7483620017180037,0.005989384132646695,0.9178449685748474
NEXN,11.90225416323595,1.7617259569739059,0.6438516780367023,2.7362295029593446,0.0062147665560160275,0.9396277772463268
ARG2,10.871346963642951,-1.6973828263219675,0.6215271088670967,-2.7309875982978635,0.006314484775174041,0.9433389219483218
ABCB10,10.562893206909608,-1.1236006169161852,0.41252593495196666,-2.7237090367349004,0.006455334983172282,0.9461548074390153
HSPA8,1653.2635945522939,-0.9250677839902475,0.33981875174358406,-2.7222387794781637,0.006484127296179402,0.9461548074390153
ZNFX1,61.529822761825024,0.9214607541746014,0.34092260025384147,2.7028444388506583,0.006874891328110612,0.9856441933478759
CRY1,14.584370214866105,-1.179356757591063,0.43783996247952345,-2.6935795236968993,0.007068927994366789,0.9856441933478759
MPHOSPH8,102.46345917549226,0.6572077759765269,0.24374771845164944,2.696262267196945,0.007012243174200431,0.9856441933478759
PELI1,97.89129377530735,-1.1390430486994838,0.42243458804755185,-2.6963773349242564,0.007009821015169008,0.9856441933478759
PUSL1,17.63457236248127,-0.1768705882248976,0.2884575895232295,-0.6131597664572949,0.5397707048772709,0.9992664354108063
AURKAIP1,245.9580373926419,0.2365076923303142,0.2396434455875613,0.986914921668069,0.32368434849831595,0.9992664354108063
CCNL2,40.00610563375176,-0.2520640056466835,0.2811406190792655,-0.896576263053671,0.36994506895319634,0.9992664354108063
MRPL20,202.96781411690597,0.18868181918296503,0.23143882618692124,0.8152556867471166,0.414925968280499,0.9992664354108063
ANKRD65,2.4792432149750465,-0.6865018930178471,0.8252820851110108,-0.8318390831487685,0.40549978011516974,0.9992664354108063
VWA1,3.6926630409065244,0.9951645181013636,1.1538649595036736,0.8624618590804822,0.3884334128797944,0.9992664354108063
ATAD3B,12.49107277838892,-0.3181448226244768,0.39352097640753153,-0.8084570879266294,0.4188274996275374,0.9992664354108063
ATAD3A,14.294636132624532,0.3948706500884276,0.4281318220745942,0.922310909231196,0.356366425261334,0.9992664354108063
SSU72,154.67440612075723,-0.013211936610983218,0.26738289646138513,-0.04941204836148246,0.9605909266874731,0.9992664354108063
RP5-832C2.5,7.814728176094412,0.026751018065150678,0.6835899688960967,0.03913313430907986,0.96878424383518,0.9992664354108063
PCNT,14.362532403902689,-0.272760753011995,0.4175784890296768,-0.6531963694916532,0.5136296904721428,0.9992664354108063
DIP2A,22.42018479563912,0.13527483776203972,0.30521285568286677,0.4432147442131266,0.6576104152212761,0.9992664354108063
S100B,115.96454522986372,-0.19447638645970777,0.6082772969372064,-0.3197166611986571,0.749183128397934,0.9992664354108063
PRMT2,132.58954391885896,0.13388417140805434,0.2196288717765463,0.6095927658558029,0.5421316049213956,0.9992664354108063
AC145212.2,3.041660202331369,0.11269510034088427,1.0263615633516368,0.10980058525659574,0.912567526884732,0.9992664354108063
UBE2J2,50.72220521358124,-0.010942594735838715,0.2466677333788108,-0.04436167870823231,0.9646161075200839,0.9992664354108063
SCNN1D,1.7709302067780714,0.3646347053547808,1.196747173453096,0.30468816926691655,0.7606036610077356,0.9992664354108063
NFE2,1.618407069587408,0.3671834396494693,1.0437551919027537,0.3517907671243274,0.7249951832932049,0.9992664354108063
SPIC,1.4315885538921789,-0.3950811300198617,0.9797298456998206,-0.4032551746319981,0.6867605139952682,0.9992664354108063
HS3ST2,3.796027033132108,0.3472008050637,0.897761217922795,0.3867407035771045,0.698948179315251,0.9992664354108063
GRIN2D,2.6653050730661225,1.3004421569903888,0.8871469708116149,1.465870030307004,0.14268369802537317,0.9992664354108063
VSTM1,6.699223128501078,-0.333821325966096,0.8204824115553858,-0.4068598196191336,0.6841109484144915,0.9992664354108063
RP5-899B16.1,1.9891748574543517,-0.3321075570233609,0.8591777899453856,-0.38654113375588023,0.6990959449104717,0.9992664354108063
GRIN3A,3.7081839297688926,1.2925656939717955,0.7637049889380993,1.6924934532234173,0.09055192732214704,0.9992664354108063
TSGA10IP,1.7732487994815218,0.8418447688228518,1.2265133078179062,0.6863723071383387,0.4924783628735607,0.9992664354108063
IRG1,3.7966517834617886,1.2614410052792775,0.9554911740230329,1.320201629878027,0.186767707954399,0.9992664354108063
RP11-1008C21.1,21.692860406251093,0.5619012845210251,1.1301777796489036,0.49717955408359116,0.6190624382259191,0.9992664354108063
RP11-16K12.1,1.9494359338983231,1.144913637315584,0.836140659459344,1.3692835342511573,0.17091066293609902,0.9992664354108063
PMFBP1,3.6280147133173695,0.7761772573832171,0.7233835887555254,1.072981568075819,0.2832793861614128,0.9992664354108063
RP11-442O1.4,2.4705268313365445,0.31580227367445585,0.9776920043072431,0.32300793325830846,0.7466892339751041,0.9992664354108063
CTD-2545M3.8,8.369754062525812,1.9158521088597753,1.0917364378077368,1.7548668730952184,0.07928208167331259,0.9992664354108063
C19orf84,1.2641925339056548,0.15657430073399387,0.8396332911717281,0.18647938615617626,0.8520688427886665,0.9992664354108063
CLCN6,21.688865421428805,0.3082108913885759,0.338863415655962,0.9095431290272222,0.36306350269307364,0.9992664354108063
KIAA2013,36.570636584071806,0.02687877114868565,0.42036686065261497,0.06394122292836465,0.949017028267954,0.9992664354108063
PLOD1,49.04845787063602,0.16368444380521563,0.3398881651316487,0.4815832400101833,0.6301020345197668,0.9992664354108063
MFN2,22.944658639771287,0.359956469955194,0.3669880497922865,0.9808397580218965,0.3266717687256141,0.9992664354108063
MIIP,81.21501120087501,0.2548852293942749,0.31202082278223253,0.8168853191319411,0.41399396828012025,0.9992664354108063
TNFRSF8,5.849810809969782,-1.1828286584907652,0.8161353211505468,-1.4493045795680946,0.14725254273944066,0.9992664354108063
TNFRSF1B,218.17308491752667,-0.2239176650383031,0.4005974669424122,-0.5589592633906801,0.5761895221481983,0.9992664354108063
VPS13D,22.684064398332314,0.1260859528111457,0.3470336737549237,0.36332483659838727,0.7163622422441072,0.9992664354108063
DHRS3,59.77828481611675,0.41531384158426277,0.2880753514633782,1.4416847518350067,0.14939132714091788,0.9992664354108063
PDPN,12.027333744418321,-0.36724787196430125,0.6935369960460704,-0.5295288846276712,0.596438612545966,0.9992664354108063
PRDM2,41.154503028768616,-0.24724709422748561,0.308192024728966,-0.8022501375398103,0.4224082792802326,0.9992664354108063
TMEM51-AS1,2.397794883603521,-0.04983427987636696,0.726138692510071,-0.06862914810957522,0.9452848167236199,0.9992664354108063
TMEM51,87.47389363621559,0.5048156433311217,0.2925157819791367,1.725772332404024,0.08438837920383695,0.9992664354108063
FHAD1,14.097367988901821,0.12818316858279857,0.48408898956243057,0.2647925719167125,0.7911692594633289,0.9992664354108063
EFHD2,218.59818743060376,0.10163923351271145,0.3708134466267859,0.27409802540145933,0.7840092912509937,0.9992664354108063
CASP9,22.717400880850935,-0.3184663457867986,0.3698727534346246,-0.861015965165133,0.3892292501133001,0.9992664354108063
DNAJC16,9.567180339190589,0.3336248932952374,0.3757756749714891,0.8878299355607577,0.37463223764240317,0.9992664354108063
AGMAT,1.1847600721553095,-0.48352501032129386,0.9197879554032533,-0.5256918265572491,0.5991023436388727,0.9992664354108063
DDI2,20.77404876017686,0.6514895433046528,0.304528393345835,2.1393392456669695,0.032408203444353204,0.9992664354108063
PLEKHM2,46.38083189824191,0.21920572803349903,0.3985148138340552,0.5500566614439033,0.5822805107942663,0.9992664354108063
SLC25A34,2.5121322674906197,-0.42572575285063335,0.7832045906920118,-0.5435690213134186,0.586738082354787,0.9992664354108063
FBLIM1,2.8592045081965236,0.3586787483134065,0.735231131684875,0.48784488694248956,0.6256597144660975,0.9992664354108063
UQCRHL,78.80131101857344,-0.4326479393784529,0.7138254028997775,-0.6060977062750981,0.5444498740312349,0.9992664354108063
FLJ37453,14.004919292447788,-0.6487138009140075,0.4012908165153552,-1.6165677713414228,0.10597161340563241,0.9992664354108063
SPEN,49.496838250006796,-0.2759848278981753,0.2803057423007182,-0.9845849950590476,0.3248279630656876,0.9992664354108063
ZBTB17,15.875516200334424,0.07509983483427818,0.28967572239881084,0.25925484611680555,0.7954386161469604,0.9992664354108063
EPHA2,2.3811713626876228,-0.2543151027962721,0.7492668803612913,-0.3394185829669171,0.7342944214225902,0.9992664354108063
ARHGEF19,4.297975235495245,0.16946378733194906,0.4873243890804238,0.3477432920025314,0.728032981019591,0.9992664354108063
FBXO42,18.065579711347304,0.5013138995729935,0.34658308776055047,1.4464465153572192,0.14805200317561182,0.9992664354108063
SZRD1,90.16136429808799,0.38851678905506304,0.2660848184901715,1.460123847950438,0.144256039495494,0.9992664354108063
NECAP2,139.2514676953298,0.05269032666924611,0.18459705711404661,0.2854342723172087,0.7753114536205099,0.9992664354108063
RP4-798A10.2,2.7388764391835525,0.3475066581480654,1.0565338266004218,0.32891200394996106,0.742222200842951,0.9992664354108063
EIF4G3,38.74065017626637,0.014921275098207714,0.3239290913904433,0.04606339935125668,0.9632597181122031,0.9992664354108063
NBPF1,13.89567921572676,0.5691313299362867,0.5212590149636501,1.0918397832907982,0.2749035292178411,0.9992664354108063
CROCC,5.009311290010595,0.32239542896419837,0.48718545382217265,0.6617509337252827,0.5081308563940146,0.9992664354108063
RP11-108M9.4,26.73693954810161,0.04683384436066843,0.5269242635324839,0.0888815482640632,0.9291760478585933,0.9992664354108063
ATP13A2,15.275386848976078,0.7109445816849415,0.4744485363054789,1.498465117462586,0.1340124490133779,0.9992664354108063
SDHB,156.8883174599833,0.13180057386286825,0.205096170452789,0.6426281562054197,0.520465408705775,0.9992664354108063
PADI2,13.400004649044465,0.1851829305380653,0.5954858409583104,0.3109778903223828,0.7558174298334595,0.9992664354108063
PADI4,3.292334994961086,-1.0431146205422623,1.076038683948027,-0.9694025280903796,0.33234439146736516,0.9992664354108063
RCC2,63.3201337122915,-0.21664996675082113,0.2906694210946879,-0.7453483270957686,0.45606117300174365,0.9992664354108063
ARHGEF10L,39.27262466526531,0.42806136155502766,0.3819080516415119,1.1208492717426097,0.2623520269834565,0.9992664354108063
IGSF21,20.46588051152987,-0.3191245550999472,0.8186619802517989,-0.3898123557683634,0.6966753065388597,0.9992664354108063
ALDH4A1,5.113221339266672,-0.612208656820794,0.6143145241204523,-0.9965720047028459,0.31897230030344736,0.9992664354108063
IFFO2,6.237498127723635,-1.5076425419222261,0.6272972706157235,-2.403394072546179,0.01624367229001045,0.9992664354108063
UBR4,56.66783842860407,0.48995680368100714,0.3035847433478808,1.6139045667376002,0.10654812796659169,0.9992664354108063
RP1-43E13.2,7.021492240721267,-1.0292073542399327,0.7352090861771534,-1.3998838882575215,0.16154809152754357,0.9992664354108063
EMC1,15.284016744881221,-0.03577884363701376,0.3816823202620462,-0.0937398504925499,0.9253158135190487,0.9992664354108063
ZNF436-AS1,0.8380334632692666,-0.3474855295597453,0.97227951797976,-0.35739262540649236,0.720797896783028,0.9992664354108063
MRTO4,34.72209449414011,0.20761089724731124,0.31916805848364277,0.6504751704592997,0.5153853351693451,0.9992664354108063
AKR7A2,84.93494071196602,-0.48580404834858504,0.385517836147149,-1.2601337805889676,0.207621105989083,0.9992664354108063
PQLC2,24.0349566003269,0.1338722481968604,0.3398687861937978,0.3938939191683364,0.6936593600112329,0.9992664354108063
CAPZB,568.7069380783988,-0.030778443184827114,0.20538588793780732,-0.1498566600357036,0.8808777057813187,0.9992664354108063
MINOS1,305.83118469780885,0.5456727296378457,0.6585600565400226,0.8285846130795265,0.4073394977694772,0.9992664354108063
TMCO4,12.004716281776515,-0.441648397024496,0.46483615870079587,-0.9501162694806078,0.3420531772506925,0.9992664354108063
OTUD3,2.8668573162919047,0.3937433226347014,0.5758188116409615,0.683797254752092,0.4941032003565008,0.9992664354108063
PLA2G2D,29.8701242716546,0.14940289755001987,1.1970468082082992,0.12480957012336157,0.9006743107769741,0.9992664354108063
CAMK2N1,1.2352593250109218,-1.0670900566429606,0.9959036089112171,-1.071479254713786,0.28395399368436214,0.9992664354108063
MUL1,17.300965481577148,0.1640402365473695,0.3423274916788315,0.4791909517488317,0.6318027906291511,0.9992664354108063
CDA,25.30999565068513,0.08488050321134955,0.8362444117720961,0.10150202741741282,0.9191519482262708,0.9992664354108063
PINK1,16.263864522902335,-0.31415842787126314,0.4183176150033273,-0.7510045396217998,0.4526499237420969,0.9992664354108063
DDOST,180.99823778302667,-0.32089695162325643,0.3467949681313901,-0.9253218215717546,0.35479853114858806,0.9992664354108063
KIF17,4.3666727488409025,0.05738123856843645,0.6630289357520922,0.08654409404221147,0.9310339055585563,0.9992664354108063
HP1BP3,118.2828657144099,0.2781664990517317,0.21312186314251483,1.3051992646372534,0.19182500453777684,0.9992664354108063
NIPAL3,10.186909067231012,-0.09175505840259975,0.3938914230686944,-0.23294505294825302,0.8158040733991622,0.9992664354108063
ECE1,9.1712962522472,0.1910076434319813,0.6198225168532654,0.3081650605429679,0.757956737198912,0.9992664354108063
NBPF3,1.6325485762839262,1.1804491201772183,1.104574850286425,1.0686909265326099,0.2852089613926203,0.9992664354108063
USP48,52.40547305569877,-0.11002915627332131,0.28204649280632865,-0.3901099963291316,0.6964552112967416,0.9992664354108063
HSPG2,2.964868024133315,-0.5375031104242217,0.7478841860004207,-0.718698323197222,0.4723268166986667,0.9992664354108063
LINC00339,16.31846135652414,-0.22650352029124024,0.49890646280204076,-0.45399997229764033,0.6498288467331617,0.9992664354108063
CDC42,476.1899262067942,0.1999851641370412,0.25166603352062156,0.7946450354837192,0.42682001343630627,0.9992664354108063
ZBTB40,10.60733134193334,-0.2212146449862625,0.44845037699226353,-0.4932867856415668,0.6218099640621737,0.9992664354108063
C1QA,4168.329617216736,0.33654027718106233,0.4903295514280066,0.6863552812612302,0.49248909664937446,0.9992664354108063
C1QC,4236.229628413053,0.15926449181633598,0.5733544406463917,0.277776677959943,0.7811837951844683,0.9992664354108063
C1QB,4649.581593417598,0.2895951053532045,0.5474383205566452,0.5290004270412398,0.5968051536435679,0.9992664354108063
EPHB2,32.17367935078497,0.5384249973883666,0.4902101808998559,1.098355396046661,0.2720493312160924,0.9992664354108063
KDM1A,13.50447257096514,-0.5394051528400782,0.36175001845713795,-1.491099171578867,0.13593545980671476,0.9992664354108063
