,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TUBB2A,68.20863665484343,-1.9909064463113326,0.4059206686661897,-4.9046688183019365,9.358510344119937e-07,0.009551295657208808
KLHDC7B,8.662436549305133,3.167430511420745,0.6746506419020035,4.694919584588241,2.6671162506023574e-06,0.01361029422682383
OAS1,22.68908328289759,2.0602155593090417,0.4583499811726984,4.494852501221742,6.9618187135599815e-06,0.023684107263531057
TUBB4B,265.1758118190612,-2.012591820478047,0.4707060767744894,-4.2756869303012195,1.9054883923880028e-05,0.038894829065423915
RSAD2,17.598192776574717,2.7658039345870997,0.6458679659741193,4.282305487028797,1.8496680278555618e-05,0.038894829065423915
HSH2D,14.996058475797074,1.5691209964715458,0.3746546080178515,4.188180160850392,2.8120025400901755e-05,0.047832163206933884
MX1,66.41486704752627,1.7045745053656143,0.42104376854189374,4.04844966894697,5.1558018297980966e-05,0.07080100030435836
HSPA8,1479.1580015028717,-1.662898777969969,0.4125091989923263,-4.0311798670964984,5.549755069908553e-05,0.07080100030435836
SLC25A4,19.054632826939972,-1.7292760797783109,0.441590972373727,-3.916013206707475,9.002531855728052e-05,0.10208871124395612
ETV7,10.622981530630078,2.2192742567176507,0.573759809420777,3.867950003256687,0.00010975416025345578,0.11113620502045717
IFI35,35.96465963640249,0.9632750381691697,0.25313205244514253,3.8054249900965256,0.00014156091174465443,0.11113620502045717
TMEM140,20.423620806731012,1.3571061012887897,0.35656303858496063,3.8060762177553156,0.0001411888891382534,0.11113620502045717
ID1,23.653261894650544,-1.6821928447352068,0.43840837699329566,-3.837045396513789,0.00012452345983029637,0.11113620502045717
DEDD2,77.5501495920672,-1.6114664616910401,0.4378261494287919,-3.6806080765012172,0.00023267841068783427,0.12758563500147632
GRASP,12.130393010782104,-2.5860431361604332,0.7085584819906106,-3.649724337354982,0.0002625218827190871,0.12758563500147632
HECA,38.43700734912325,-1.5507426571805982,0.4224290367922604,-3.6710134060770385,0.00024159066656298997,0.12758563500147632
USP18,9.67305991271545,1.4983837162709326,0.40943903495196526,3.659601523940482,0.00025260774987931377,0.12758563500147632
SNAP47,17.067058934540743,1.266129769084914,0.3451918761848978,3.667901409147668,0.0002445494398212815,0.12758563500147632
AUTS2,8.784526502976062,-1.7263115942834653,0.4705305192768225,-3.6688621110841093,0.00024363243178353457,0.12758563500147632
PSPH,4.770996588642839,2.615655576831457,0.7031622121735737,3.7198466179604512,0.00019934380100217886,0.12758563500147632
HIC1,3.474040959069689,-2.558416687972182,0.6825181906949856,-3.7484959710261077,0.00017789819490518824,0.12758563500147632
ID3,63.89007325416419,-1.5700351804835448,0.4397490187395181,-3.5702983146701297,0.00035657491215322596,0.16541834333799202
OAS2,16.128797584995798,1.2519600159818849,0.3541525396969881,3.5350869347232643,0.0004076410223032538,0.17334934473445868
GIMAP4,145.98236303033912,1.3118159133114151,0.3707678150943263,3.5381062214844046,0.0004030078988579317,0.17334934473445868
DNAJA1,860.0723831446846,-1.8921549043306911,0.5397353564662795,-3.5057086434338594,0.0004553934213797638,0.18048455750384484
CDK4,28.30893592767342,1.1440966576458864,0.3293351714989288,3.4739583155928058,0.0005128406983746326,0.18048455750384484
SETD7,6.753963473310668,-1.3394453396670583,0.38374055679056035,-3.490497201728164,0.0004821226619280094,0.18048455750384484
ZBTB1,39.426609652740574,-1.1042707314508236,0.31564987853356696,-3.498403790240625,0.00046805192289989565,0.18048455750384484
