,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RBPJ,11.173073784361785,-1.9786212326605985,0.5407828909706209,-3.6588088597057538,0.00025339023323640793,0.5153957344028537
DIP2A,2.7712895953503467,0.3314012138340531,0.645828292988863,0.5131413681186741,0.607852435931499,0.9983019435574154
HP1BP3,7.663474345720498,0.19495774879730682,0.5912339212597365,0.3297472316573315,0.7415909621842769,0.9983019435574154
CDC42,17.043312757206778,-0.2894024413267116,0.4288194218900332,-0.6748818419911171,0.49975083778118545,0.9983019435574154
HNRNPR,5.804324620753089,0.47434264457842146,0.561688033384179,0.8444948376779539,0.3983929468668461,0.9983019435574154
RPL11,233.18191370859537,-0.2974566833348306,0.3625537017751678,-0.8204486173452281,0.41196040970544034,0.9983019435574154
PITHD1,7.379514115451693,-0.09685600959807997,0.614685581880823,-0.15757000400386595,0.8747956415834977,0.9983019435574154
PNRC2,7.1868058373972215,0.1996736828492107,0.5053326977089062,0.3951331147865509,0.6927446510962982,0.9983019435574154
SRSF10,8.327901589592686,-0.3504643040987626,0.47825111635576467,-0.7328039436045077,0.4636780157019801,0.9983019435574154
SRRM1,13.213781092515866,-0.36368994734119964,0.4692214218201822,-0.77509237734797,0.43828507551322105,0.9983019435574154
RUNX3,13.938500943376408,-1.1770035768845892,0.5776994992097272,-2.0373976063588235,0.04161021354910247,0.9983019435574154
SYF2,7.258670884436442,0.20294237763145698,0.5003111054995311,0.40563236634299976,0.6850127436165815,0.9983019435574154
RSRP1,28.77604371846019,-0.0580590005089381,0.41332321356158935,-0.14046876295344277,0.8882896313130343,0.9983019435574154
TMEM50A,8.602171095270869,-0.25374281189201525,0.45245743532903926,-0.5608103482872077,0.5749268314116678,0.9983019435574154
TMEM57,1.7927365665283295,0.02067375268530696,0.7305125885417817,0.02830033733788904,0.9774226115520915,0.9983019435574154
STMN1,6.153848300749092,-0.5091246164840083,0.5543446532851714,-0.9184261333934062,0.35839581418807775,0.9983019435574154
PRMT2,7.318887976777191,0.8506389089448503,0.5490625809929094,1.5492567484868096,0.12132001252822985,0.9983019435574154
ITGB2,9.097807952141435,0.6395794705499954,0.5326716568049412,1.2007011493464965,0.2298671481391542,0.9983019435574154
C21orf91,2.80488672417924,0.18969982770527993,0.6535319770633546,0.2902686239741411,0.7716107404407563,0.9983019435574154
ATP5J,9.344602222914945,-0.4360248010070241,0.5116773114321835,-0.8521480066931085,0.3941319499203222,0.9983019435574154
USP16,5.273116400763073,-0.620658269754465,0.5313782880353093,-1.1680158631419717,0.24280036624838575,0.9983019435574154
CCT8,4.761576364020931,-0.4644975143195638,0.6229383615031857,-0.7456556587696813,0.455875451254634,0.9983019435574154
TIAM1,1.7775106424337077,0.16510328729022086,0.7454318097700877,0.22148677468049477,0.8247134331820191,0.9983019435574154
SOD1,29.667234367911746,-0.6476376563874213,0.5700386407280262,-1.1361293956498972,0.2559024140895172,0.9983019435574154
TMEM50B,3.3319832792810478,0.5758859138881005,0.6039455590696556,0.9535394461302448,0.3403168199196891,0.9983019435574154
SON,13.969188290683348,-0.873556809710796,0.5288048114115569,-1.651945653404667,0.09854563020317654,0.9983019435574154
MRPS6,17.87683919500607,-0.9919800554574312,0.6014267598021872,-1.6493779820899546,0.0990702225961767,0.9983019435574154
EFHD2,4.797211610533405,-0.11987386831318515,0.6874164930525962,-0.17438317166477013,0.8615643387585312,0.9983019435574154
TTC3,4.281441240462036,0.7469711812557335,0.5557634770773912,1.3440451056335179,0.1789338015545444,0.9983019435574154
BRWD1,2.6341832995412546,0.5604194129157019,0.6209008908834748,0.9025907695482377,0.36674312724782987,0.9983019435574154
HMGN1,13.367800336205187,0.1227167672017495,0.4259479608998937,0.2881027225543883,0.7732681086470875,0.9983019435574154
CSTB,7.240504291095693,-0.4303549049435268,0.6039118067334905,-0.7126121730775247,0.47608577696747745,0.9983019435574154
SAMSN1,13.63230099361499,-0.38840215645883364,0.5285099702265381,-0.7349003393301184,0.46240019170476854,0.9983019435574154
ZNF683,15.245433214114831,0.7047405896024695,0.5351032832643509,1.3170178760691975,0.1878326326227121,0.9983019435574154
HMGN2,11.262495883720828,0.08732983320541303,0.4771009294222859,0.1830426809504634,0.8547645297543244,0.9983019435574154
NUDC,6.8303490917198815,-0.025125577991736286,0.557951822322808,-0.04503180559055448,0.9640819574656188,0.9983019435574154
FGR,2.2729271791941077,-0.04373200659443493,0.7543048022770859,-0.057976571887673654,0.9537672900550351,0.9983019435574154
IFI6,8.211432518085092,-1.1372077974548171,0.6976028370290762,-1.6301650983787757,0.1030666081885143,0.9983019435574154
ATPIF1,6.04798083978048,0.05780835359174262,0.54293660408726,0.10647348724797297,0.9152066899267948,0.9983019435574154
SNHG12,11.785702892183831,-0.7334347377569002,0.6743437007062376,-1.0876274768916456,0.2767595956551344,0.9983019435574154
TAF12,3.0512850886202045,-0.12269221366074519,0.6308653432725216,-0.19448241208543376,0.8457981659325118,0.9983019435574154
EPB41,3.54795528438105,0.3537447962061846,0.6529004240131322,0.5418051255532184,0.5879527600729209,0.9983019435574154
SRSF4,3.651465859672981,-0.20978776351176284,0.5789365911632569,-0.3623674279945519,0.7170774765717098,0.9983019435574154
LAPTM5,15.710605264689313,0.7565972649143345,0.40693736717257684,1.8592474566079145,0.06299207093248987,0.9983019435574154
PUM1,2.541071638018391,-0.13645478334564973,0.678591804451239,-0.20108522155819059,0.8406319374649989,0.9983019435574154
SNRNP40,2.9151763194344342,0.2121959351898417,0.686882894392996,0.3089259274353614,0.7573778735847383,0.9983019435574154
KHDRBS1,3.9915977959706805,-0.07018107272819828,0.5703240930592349,-0.12305472201208435,0.9020637652983978,0.9983019435574154
EIF3I,6.700211672267937,-0.06842155394499674,0.4970680633751064,-0.1376502716356638,0.8905168226381557,0.9983019435574154
LCK,5.820138767817633,0.5202163839508941,0.5217695236257224,0.9970233223588154,0.31875318955890874,0.9983019435574154
