,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTRNR2L8,3.487995076600141,-3.1949922346853263,0.708681811119712,-4.508359301104768,6.533087129251962e-06,0.010394141622639871
SMAP2,4.766194871069806,-2.465974222793465,0.6095733361482519,-4.045410251005016,5.2231573600499254e-05,0.017607950963659583
METRNL,6.702032085534908,-2.4616921497875865,0.6105592605389231,-4.031864405127067,5.5336112393650485e-05,0.017607950963659583
ELL2,5.987410432466323,-2.2035195232018765,0.5301412061345148,-4.156476609823778,3.231932433321117e-05,0.017607950963659583
PRELID1,11.311770803046375,1.9000342334545997,0.470551553063023,4.037887498376017,5.393470641047608e-05,0.017607950963659583
TOB1,5.041742214269168,-2.5398981772028093,0.6584110208083825,-3.857617957373159,0.00011449742717687312,0.03036090110640086
H2AFZ,34.676737063216194,-1.4187042587097949,0.40088068746617733,-3.5389688330383646,0.0004016932763382955,0.04867901561695788
PSMB9,16.372866422019534,1.4327871740152687,0.41096307474370025,3.486413408087419,0.0004895438402711037,0.04867901561695788
PPP1CA,6.738946112913111,1.8258975258291137,0.5235972975996557,3.487217245389989,0.0004880747177838739,0.04867901561695788
NFKB1,5.608701252239711,-2.1152340512371532,0.5915257907348254,-3.5758948880478987,0.00034903188081605424,0.04867901561695788
CCL5,171.6676561744496,1.5254166690713953,0.4153483869369506,3.672619702030892,0.00024007663236346003,0.04867901561695788
MAD2L2,3.683525065531728,2.561298118841417,0.7080882168947628,3.617202006373849,0.00029780488211822735,0.04867901561695788
IDH2,5.197849811286432,2.6385548482982126,0.7333566938937389,3.597914725900805,0.00032077874775103413,0.04867901561695788
ARPC2,33.58793586610596,1.222171502136657,0.34310867762766895,3.5620536052513367,0.0003679652260626697,0.04867901561695788
CNOT6L,9.547795173927959,-1.5503448051537763,0.4403246858120631,-3.5209127607610124,0.00043006408147916285,0.04867901561695788
PLIN2,4.566495397887531,-2.3772720344147027,0.6565531208641683,-3.6208373075520384,0.0002936511347317336,0.04867901561695788
HCG18,3.614687373225093,-1.9595990010448388,0.5828573363560878,-3.3620559934886907,0.0007736443399701173,0.07240400852308568
HSPE1,56.30692169002844,-2.1405062200757268,0.6414166127526515,-3.3371543198572664,0.0008464093798909798,0.07481318463369716
REL,34.6704681157279,-1.3738422049001748,0.4154272019238066,-3.3070588505953222,0.0009428108256828708,0.07894800124533935
NBEAL1,13.889243368483884,-1.963623394819699,0.5965870826052165,-3.2914279441734084,0.0009968014923513355,0.07929555871654874
LINC00996,4.2194812898499405,-2.0465457885656426,0.6249833078203592,-3.2745607169942015,0.0010582639452046934,0.08017609222955557
BIRC3,16.69967455089808,-1.4343787277188587,0.447094562050244,-3.208222263185712,0.0013355823825155063,0.08499646282328682
CRTAM,7.393178217756091,-2.17813046006669,0.6787633439144755,-3.208968898504831,0.001332119009637323,0.08499646282328682
GPR183,5.82572080322286,-1.8475502614004298,0.571356734802639,-3.233619468997105,0.0012223220048670764,0.08499646282328682
RAC2,23.686908183591243,1.3399053769535945,0.4159187084370906,3.22155591891645,0.0012749658002070802,0.08499646282328682
SH3BGRL3,67.0079332980902,1.2127109289451656,0.38171991533314864,3.1769653094645687,0.0014882483665286212,0.08675082104743556
MORF4L2,5.041725422397649,-2.038507870063124,0.6395508500345459,-3.1874054579913573,0.0014355538039165752,0.08675082104743556
RPL39,199.12321560678112,-0.9889440243039535,0.31201355380184015,-3.169554694832366,0.0015267272088800728,0.08675082104743556
MOB4,5.168930025995246,-1.9251841902279967,0.6215092425885714,-3.0975954310987395,0.0019509756946208046,0.08868578086119143
ZYX,6.4965712854081925,2.0132542985084867,0.6443038617810875,3.12469692940087,0.0017798833810690256,0.08868578086119143
SSNA1,3.895517976246708,2.0871974267242273,0.6680092353149418,3.124503848723274,0.0017810519185907474,0.08868578086119143
SKIL,7.753529536397822,-1.3902529087204674,0.44656653841944177,-3.113204391983932,0.0018506780181082143,0.08868578086119143
SRGN,164.71795250384247,-1.0028858506682259,0.3234920813845866,-3.1001867074326785,0.0019339869006063577,0.08868578086119143
LGALS3,6.996121702161389,1.7893794180209186,0.5752167860294946,3.110791377234195,0.001865867109758408,0.08868578086119143
CYCS,20.279167194689737,-1.2052538788985705,0.383752327236192,-3.1407076735635284,0.0016854016762552363,0.08868578086119143
HSP90AA1,176.7074812237579,-1.6365511588902484,0.5318943184036221,-3.0768351950102417,0.002092109349779168,0.09245961043051822
PLA2G16,3.8490758918569536,1.9942130012092902,0.6512230763939811,3.0622578859641303,0.002196741059425113,0.09445986555527987
