,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTRNR2L8,3.487995076600141,-3.1949922346853263,0.708681811119712,-4.508359301104768,6.533087129251962e-06,0.010394141622639871
SMAP2,4.766194871069806,-2.465974222793465,0.6095733361482519,-4.045410251005016,5.2231573600499254e-05,0.017607950963659583
METRNL,6.702032085534908,-2.4616921497875865,0.6105592605389231,-4.031864405127067,5.5336112393650485e-05,0.017607950963659583
ELL2,5.987410432466323,-2.2035195232018765,0.5301412061345148,-4.156476609823778,3.231932433321117e-05,0.017607950963659583
PRELID1,11.311770803046375,1.9000342334545997,0.470551553063023,4.037887498376017,5.393470641047608e-05,0.017607950963659583
TOB1,5.041742214269168,-2.5398981772028093,0.6584110208083825,-3.857617957373159,0.00011449742717687312,0.03036090110640086
H2AFZ,34.676737063216194,-1.4187042587097949,0.40088068746617733,-3.5389688330383646,0.0004016932763382955,0.04867901561695788
PSMB9,16.372866422019534,1.4327871740152687,0.41096307474370025,3.486413408087419,0.0004895438402711037,0.04867901561695788
PPP1CA,6.738946112913111,1.8258975258291137,0.5235972975996557,3.487217245389989,0.0004880747177838739,0.04867901561695788
NFKB1,5.608701252239711,-2.1152340512371532,0.5915257907348254,-3.5758948880478987,0.00034903188081605424,0.04867901561695788
CCL5,171.6676561744496,1.5254166690713953,0.4153483869369506,3.672619702030892,0.00024007663236346003,0.04867901561695788
MAD2L2,3.683525065531728,2.561298118841417,0.7080882168947628,3.617202006373849,0.00029780488211822735,0.04867901561695788
IDH2,5.197849811286432,2.6385548482982126,0.7333566938937389,3.597914725900805,0.00032077874775103413,0.04867901561695788
ARPC2,33.58793586610596,1.222171502136657,0.34310867762766895,3.5620536052513367,0.0003679652260626697,0.04867901561695788
CNOT6L,9.547795173927959,-1.5503448051537763,0.4403246858120631,-3.5209127607610124,0.00043006408147916285,0.04867901561695788
PLIN2,4.566495397887531,-2.3772720344147027,0.6565531208641683,-3.6208373075520384,0.0002936511347317336,0.04867901561695788
