,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LGALS3,9.747750404648501,2.007850481478326,0.4793609983516625,4.188597921780347,2.8068319495627674e-05,0.1054807446645688
CCL5,239.47460952486787,1.3594925678881038,0.34176072864001433,3.9779075065119422,6.952440439922226e-05,0.13063635586613861
UBE2L6,10.249711990118604,1.6897042392653645,0.4367511007553518,3.868803619139269,0.00010937068462058137,0.13700501093471493
SKIL,9.921117442004649,-1.423685431941932,0.3861551041394723,-3.686822773233945,0.00022707137929278264,0.14297058339543017
KLF2,6.747572086424402,-2.9576583307702764,0.7882794588614336,-3.7520428796181324,0.00017539945442169525,0.14297058339543017
VAMP8,16.05088041043412,1.2318471377689124,0.33424272672753613,3.685486741415541,0.00022826596603847286,0.14297058339543017
PKM,10.576793257210928,1.51102307774156,0.41813730471121136,3.6137007167661253,0.00030185747615259554,0.1620543421973506
AMD1,15.161224133831611,-1.5879859018104614,0.44792351248838114,-3.545216666543382,0.000392290481704085,0.17153447796170723
ACP5,4.790608820520867,2.451081403020073,0.6937593798314785,3.533042542236282,0.00041080636020632386,0.17153447796170723
ZFAND5,13.300496622858924,-1.2373920090639488,0.35517944143960206,-3.4838503153464924,0.000494255826679146,0.18574133966602308
NFKBID,13.493101722251353,-1.4856756310940507,0.4343621258832186,-3.420361819238092,0.0006253789763841798,0.19584784943764566
LMNA,33.63969379100775,-2.1097902737066327,0.6168034502113378,-3.4205228148184754,0.0006250089301224929,0.19584784943764566
IDH2,7.589213584345207,2.048779500372618,0.607270564199483,3.3737507153394843,0.0007415148603020632,0.21435483423193488
VAMP5,6.4874753580813875,2.0854841664382366,0.6317762788236801,3.3009852321794213,0.0009634595364627045,0.23682108309695185
ELL2,6.988407793469453,-2.153353831119852,0.6518480791313372,-3.3034596557980875,0.0009549970976658755,0.23682108309695185
HBP1,5.5188051225959915,-2.0562397459867654,0.6253381533584116,-3.288204525733191,0.001008285611908257,0.23682108309695185
FOSB,51.451953215044306,-1.6623512497894684,0.5130946506802014,-3.239853012666797,0.0011959133048718533,0.2496801222060236
CD83,21.429766628333027,-1.600500501151386,0.4937546291655353,-3.2414896116645924,0.001189067678128441,0.2496801222060236
KIAA1109,3.200468722141524,-1.9358678685384192,0.6053163561276902,-3.1981093009323076,0.001383318384207795,0.2599255243926447
SLC39A8,2.633014865984142,-2.1449190792256947,0.6693748886071084,-3.2043614359197474,0.0013536242937995722,0.2599255243926447
ARHGAP18,3.200119148510361,2.4184331855553274,0.7728334927892008,3.1293069052003193,0.0017521919280217078,0.29930548621454783
HCG18,3.952241983099988,-1.6572485477377945,0.5314268587766813,-3.1184885000970777,0.0018178123573376157,0.29930548621454783
RB1CC1,4.478345685791942,-1.5768267714902215,0.5060056377765861,-3.116223721180018,0.001831832406315753,0.29930548621454783
CTSA,12.134157906610332,1.3575385028681002,0.43890013278163253,3.09304646199212,0.0019811311570312206,0.31021212033847195
ERO1B,4.394066456051067,-1.5921468905703757,0.5265617571137808,-3.023666016494131,0.0024973196608704903,0.3135526333065532
ARL4A,12.230093774394513,-1.4961322204198133,0.49492150258075146,-3.022968718510475,0.0025030811599778065,0.3135526333065532
GSTP1,30.594603716867255,1.243101925094397,0.4093533522301978,3.0367454384380976,0.0023914732570181813,0.3135526333065532
PER1,4.176660733436873,-1.7420628163583025,0.5742887133814001,-3.033426873568649,0.0024179330445405064,0.3135526333065532
CRTAM,7.8801174206644085,-1.8733570909099238,0.6091026092273374,-3.075601815737296,0.0021007818930995005,0.3135526333065532
EIF1,163.9382544922525,-0.8893407629838895,0.2923323734753553,-3.0422246855901656,0.0023483653162198925,0.3135526333065532
SLC38A2,9.69224572093972,-1.735462794387381,0.5766056516793969,-3.009791508863547,0.002614270756179746,0.3169170807007576
GPR183,7.265382718130472,-1.8395810743461043,0.613336715161559,-2.9993004313487748,0.002706003338530516,0.31778626706867746
MRPS34,6.249407472302771,1.6194279299669068,0.5436152848724181,2.9789963141801157,0.002891942569809028,0.32933091446491897
LSP1,27.919405923145607,1.1157139760944952,0.37773241853270695,2.95371517337183,0.003139736408833556,0.33781445889428174
RBMX,8.264449798973457,-1.2034389733190185,0.4075201914574369,-2.953078150594436,0.0031462230072644656,0.33781445889428174
IFI44,3.56728034237983,1.937970704471288,0.6699701512429582,2.8926224562032785,0.003820402222455882,0.3589267887997301
LINC00152,5.952728639857347,1.5319254076539397,0.5279482505627818,2.9016582705235585,0.0037119321847264614,0.3589267887997301
PSMB9,24.485162195341356,0.9483104927275323,0.3274888971528235,2.895702727549267,0.003783105853281258,0.3589267887997301
NCOA7,4.671387376060546,-1.6886923555403308,0.5823362982134235,-2.899857626462833,0.0037333219169135,0.3589267887997301
PRELID1,17.262311100299517,1.102432669844875,0.38110355872769086,2.8927377994719645,0.0038189996302253077,0.3589267887997301
PARP1,5.469554863228471,2.0372277587420466,0.7078459935397013,2.8780663835568965,0.004001209311019883,0.3667449900198224
PPP1CA,10.519213431655666,1.1381343193938092,0.39657387428807145,2.869917544207836,0.004105788504267898,0.3673703142628277
DNAJA1,76.17609856049052,-1.740776752628393,0.6141460199016054,-2.83446720522147,0.004590216900699877,0.3719843044364366
GPCPD1,4.5693962959734185,-1.5521993287114144,0.5500458973563153,-2.8219451070751504,0.004773334681350467,0.3719843044364366
REL,41.55034604511112,-1.267966552021866,0.4463822442258354,-2.8405398476834836,0.004503724593870458,0.3719843044364366
HSP90AA1,246.03503649234312,-1.8125288031747833,0.6402096394633896,-2.831148879129666,0.004638112657406738,0.3719843044364366
EML2,2.0234738694015046,-2.1449285291687596,0.7601851585507439,-2.821586958179981,0.004778668010885288,0.3719843044364366
UBB,94.18610849399396,-1.19459171736929,0.42409309113634863,-2.8168148511177256,0.004850247716174932,0.3719843044364366
MAFF,16.47606287836157,-1.0922724944027509,0.3837091133985376,-2.846615981383448,0.004418662990652732,0.3719843044364366
HSPA8,118.39903055919008,-1.5591585119920048,0.5560714886893,-2.8038814140013764,0.005049147216251115,0.37402003745750634
SRSF2,39.9363693536578,-1.0460310015239092,0.37609414639909905,-2.781300936319,0.005414152318036108,0.37402003745750634
GNPTAB,6.4568005635113686,1.4734902038848336,0.5275587748040758,2.7930351541059233,0.005221601699779417,0.37402003745750634
RARRES3,26.150362836518806,0.9919186886199968,0.35674890418183414,2.7804393426094953,0.005428540012846487,0.37402003745750634
NFKB1,6.054200978634998,-1.7623389204866413,0.6344521254258957,-2.777733496130408,0.005473949457201396,0.37402003745750634
GOLGB1,7.368065856045994,-1.4994749818013995,0.5386471788855843,-2.783779513899408,0.0053729544940368575,0.37402003745750634
NCR1,3.054674009333649,1.8331444328024242,0.6665274918023262,2.750290806228417,0.005954239655215693,0.3995720111482246
DNAJB9,6.018910736139476,-1.3472206790755548,0.4915024782046494,-2.741025200924024,0.00612478096771737,0.40380573467862935
HLA-DPB1,16.477946242140014,1.0591899477979485,0.38740367981386997,2.734073017341605,0.006255617047065493,0.4046514952238557
