,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPB8,40.52919323378474,-2.538279086603022,0.5437875369006436,-4.667777237172677,3.044757541940821e-06,0.01312899452084882
UAP1,13.479951924448104,-1.5218045035002479,0.34464919856413273,-4.415517313953854,1.0076871352818942e-05,0.01565240815887723
KLF4,45.51294057025491,-2.199899733654035,0.5001244558611069,-4.398704578176006,1.0889894359144642e-05,0.01565240815887723
MCL1,117.42828056322683,-1.0072847202941437,0.23438781105753653,-4.297513235647222,1.72724950088228e-05,0.01861974961951098
EGR3,15.763549204971337,-2.2108869644143714,0.5255098344401682,-4.207127668256971,2.586370415139477e-05,0.02230485846016285
ZC3HAV1,30.411882532972534,-1.3107871220765888,0.31573745032126144,-4.1515098089975355,3.3028910586339224e-05,0.023736777074715786
CKS2,35.78678447443554,-1.957718814877484,0.48065870809425865,-4.072991463401448,4.641312615032013e-05,0.028590485708597197
CD74,92.14241657382709,3.8274901026397883,0.9507574260285745,4.025727275807526,5.679948966279138e-05,0.030614924928244556
MLF1,12.911943955540282,-1.8224083319088262,0.4564085708289517,-3.9929318781171848,6.52613218471964e-05,0.0312674244227901
NR4A3,24.18367454923133,-1.4371796225257394,0.36940281083987825,-3.890548691977065,0.00010001780371300224,0.043127676961046565
CCL26,9.486321465336829,-1.9758500822106937,0.5179443365172829,-3.814792329802341,0.00013629750501296397,0.04927024649676456
CSRP2,134.9307947967497,-1.422291399241145,0.3741898985884801,-3.800988227117609,0.0001441201502814882,0.04927024649676456
NUDT4,81.11927806301485,-1.2861347286967715,0.3390369448701228,-3.7934943319804275,0.00014854202329729575,0.04927024649676456
ID1,41.11615332048551,-1.7333827655503138,0.46276062765345893,-3.74574382946072,0.0001798600561321373,0.05539689728869829
TRIB1,10.069608822775113,-1.764724560644657,0.4787128460405943,-3.686394829887248,0.00022745337623879166,0.06538526388944464
MRPS6,29.908952920953706,-1.3407985383390397,0.3688984695794397,-3.6346004359074957,0.00027841178390213846,0.07503197576162632
PRF1,10.557951881853809,3.744830807476871,1.0485876327831865,3.5713093406768985,0.00035520107165347734,0.09009570711587025
DNAJB1,636.6069918642578,-2.258356198231708,0.6406062168748123,-3.5253423066186658,0.00042293589742829004,0.10131664387282148
STK38L,15.513146989632704,-1.3328113549595884,0.3830733643160474,-3.479258750707548,0.0005028028541502413,0.11410978458399161
TBC1D1,18.532265061214606,-1.1400326473883666,0.3459120686367671,-3.295729610941918,0.0009816644707445878,0.21164685989253312
RLF,11.727008646989301,-1.4152071115512086,0.4322618591955397,-3.2739578601382453,0.0010605242544367093,0.21776098024433765
ABHD5,18.99861770858912,-1.552459836026285,0.4791246568951962,-3.2402002562057044,0.0011944578059053398,0.2341137299574466
GLA,30.464910473031587,-1.525420861400936,0.47276148204048685,-3.2266183252008256,0.0012526242765697818,0.23483982089429994
GABARAPL1,14.546051087683736,-1.0825229661615159,0.3416067789359253,-3.1689153521293654,0.0015300895049892057,0.2537594594428252
IFRD1,49.484388903164586,-1.2301520787258957,0.38777550147521217,-3.1723305728341145,0.001512207668797125,0.2537594594428252
RNASET2,12.113912489415034,2.2310575165391415,0.7022963021008015,3.17680373635075,0.0014890777014314287,0.2537594594428252
COPS2,26.730185780274372,-0.9733410421814669,0.30888320418869547,-3.151162086452771,0.0016262221594254339,0.2597137019052767
NR4A1,261.64990004075946,-1.2966457661454922,0.41342928015805996,-3.1363181767139614,0.0017108348391578117,0.263468565230303
HLA-DRB5,10.499403754299603,4.577292523468249,1.4767643418225713,3.0995416085271352,0.0019382035192797617,0.27904425496580454
ATF3,239.793049979751,-1.1246528902423218,0.36290210930153977,-3.099053054298547,0.0019414025159958574,0.27904425496580454
GTF2B,24.537707899683504,-1.1394861924413475,0.36929816319657033,-3.085545247715789,0.0020317930712078222,0.2826158620338106
CD36,69.5434691284216,1.6489821920442176,0.5413359636590913,3.046134568444581,0.002318040639192117,0.3123559761311378
CHORDC1,30.221535721891723,-1.3888076657025565,0.46072839824581424,-3.014373915283556,0.0025751022058795254,0.32658355034566217
GLS,15.649653425436567,-1.462929971630311,0.4851211965535411,-3.0155968900626107,0.002564739823439557,0.32658355034566217
ANKRD37,24.6630942887523,-1.4362414927791824,0.4827582779624946,-2.9750737757225236,0.0029291809199344784,0.35085078129881864
RCAN2,29.67899845541273,-1.1180359124391714,0.3749026791119931,-2.9822030482347803,0.002861821254670239,0.35085078129881864
INSIG1,16.844850302965366,-1.5231435393643737,0.5172984727035966,-2.9444191694668107,0.003235614516192973,0.37708026469794864
C16orf72,14.590637807018945,-1.3374412518387762,0.4557300193532636,-2.9347227416284056,0.0033384584581267734,0.37882718082743805
JMJD6,17.717236536732226,-1.1775697389795026,0.40474282454935023,-2.90942709185922,0.0036209183100274324,0.3951689026795791
OAS1,15.623837660447524,1.8963944412288483,0.6526738304951595,2.9055775681861244,0.0036657597651166894,0.3951689026795791
MDK,58.6792600370944,1.0551266013236344,0.36515893608792016,2.889499604275299,0.003858554926702444,0.40580704497416925
CRYAB,132.73561743475565,-1.1632277720002415,0.40658206025674876,-2.8609913857627793,0.004223185267491896,0.4236727522104816
HIPK3,11.771938287391114,-1.099222570327034,0.3842280314385296,-2.8608599071015255,0.004224937000243671,0.4236727522104816
DNAJA1,243.9955229725478,-1.1934557338901592,0.42190129548665245,-2.8287557934932113,0.004672934124961761,0.43780398508297313
CYBA,69.8650355478337,1.5769618502142695,0.5651102090018174,2.7905385977714623,0.005262042574601161,0.43780398508297313
MAPRE2,31.130094111818515,-0.9286604432760627,0.3327792151683692,-2.7906203300774304,0.005260714153463388,0.43780398508297313
UBE2L6,40.437701094526524,1.2066790547670998,0.43303713074006456,2.786548702428528,0.005327261231536366,0.43780398508297313
