,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPB8,40.52919323378474,-2.538279086603022,0.5437875369006436,-4.667777237172677,3.044757541940821e-06,0.01312899452084882
UAP1,13.479951924448104,-1.5218045035002479,0.34464919856413273,-4.415517313953854,1.0076871352818942e-05,0.01565240815887723
KLF4,45.51294057025491,-2.199899733654035,0.5001244558611069,-4.398704578176006,1.0889894359144642e-05,0.01565240815887723
MCL1,117.42828056322683,-1.0072847202941437,0.23438781105753653,-4.297513235647222,1.72724950088228e-05,0.01861974961951098
EGR3,15.763549204971337,-2.2108869644143714,0.5255098344401682,-4.207127668256971,2.586370415139477e-05,0.02230485846016285
ZC3HAV1,30.411882532972534,-1.3107871220765888,0.31573745032126144,-4.1515098089975355,3.3028910586339224e-05,0.023736777074715786
CKS2,35.78678447443554,-1.957718814877484,0.48065870809425865,-4.072991463401448,4.641312615032013e-05,0.028590485708597197
CD74,92.14241657382709,3.8274901026397883,0.9507574260285745,4.025727275807526,5.679948966279138e-05,0.030614924928244556
MLF1,12.911943955540282,-1.8224083319088262,0.4564085708289517,-3.9929318781171848,6.52613218471964e-05,0.0312674244227901
NR4A3,24.18367454923133,-1.4371796225257394,0.36940281083987825,-3.890548691977065,0.00010001780371300224,0.043127676961046565
CCL26,9.486321465336829,-1.9758500822106937,0.5179443365172829,-3.814792329802341,0.00013629750501296397,0.04927024649676456
CSRP2,134.9307947967497,-1.422291399241145,0.3741898985884801,-3.800988227117609,0.0001441201502814882,0.04927024649676456
NUDT4,81.11927806301485,-1.2861347286967715,0.3390369448701228,-3.7934943319804275,0.00014854202329729575,0.04927024649676456
