,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSPA6,182.87903640390724,-6.107211828297889,1.4146363616949136,-4.317160221288725,1.580494360716983e-05,0.050468747326616034
GPX7,8.055876984543787,2.465965567525433,0.5743695387623811,4.293343224362065,1.760026061956967e-05,0.050468747326616034
ARRDC3,12.518304156958697,-2.277596085715997,0.5621198698697266,-4.051797859847648,5.08255681236973e-05,0.072871158297351
TAGLN,8.32210090280129,-3.080928036229274,0.7537910436784867,-4.087244153491664,4.365276543668567e-05,0.072871158297351
EIF4A1,17.352350568995046,-1.7663253424484169,0.465775004050977,-3.7922287093257165,0.00014930131426419175,0.07784027611864906
MYL9,7.223517272701755,-2.6808810810686916,0.699485169504851,-3.8326489223015607,0.0001267708092836982,0.07784027611864906
MT1X,32.318369941994,-2.649514917658456,0.6689675928465263,-3.9606027945008453,7.476080119743563e-05,0.07784027611864906
ZFAND2A,103.94410904012342,-3.068861516290798,0.8075516568472353,-3.800204594058972,0.00014457667306393973,0.07784027611864906
HSPH1,100.1440219622284,-3.4953195528392147,0.9131409044329701,-3.8277986845958796,0.0001292944380420167,0.07784027611864906
SESN1,5.9638534977244,-2.231937366963771,0.5885324038819485,-3.792378044508603,0.00014921153313446513,0.07784027611864906
IL6ST,26.828370890908843,-1.2808596562944206,0.3334983369869894,-3.840677791279032,0.0001226950722853015,0.07784027611864906
BORCS7,5.495641848802934,-2.2886701643168954,0.615809952085059,-3.7165202617588937,0.00020198544979206594,0.09653221287979151
TMED7,5.413749935255846,-2.1437560420100694,0.5822540785417861,-3.6818222851765223,0.00023157281457061852,0.10215923781249978
RP11-138A9.2,18.674970482995388,-2.541828596966459,0.6961004342183648,-3.6515256592543577,0.0002606870470245707,0.10678858676327951
TBCEL,13.865230209678304,-2.2229039070997696,0.6266588233411559,-3.547231482751518,0.00038930237113817744,0.14884327323182983
IER5,12.537949370290066,-2.939870458559579,0.8328253466934634,-3.529996379470968,0.00041556535372014623,0.1489542064740649
RAB21,7.885768068388984,-2.100621811973611,0.5990758631816588,-3.506437065945746,0.0004541488182359239,0.15320843956370728
OAT,10.829778653740059,-1.41675658124281,0.4115463038236104,-3.442520484523741,0.0005763202151778789,0.17395770705500715
SERPINB6,4.466657147117707,-2.179820812322683,0.6307571420958165,-3.455879714781816,0.000548500029970514,0.17395770705500715
RP11-390F4.3,4.5822003966675595,-2.2715971627825398,0.6715875263770384,-3.3824290558774224,0.0007184783286525473,0.20602366074111794
FOSB,149.1339810484902,-1.3910670376237968,0.41465167547433723,-3.3547845575023847,0.0007942681656185397,0.20827248624933742
GSTM3,11.657734465071016,-2.8113542929540793,0.8384200452807614,-3.3531572972025523,0.0007989528679137617,0.20827248624933742
GADD45G,7.5428028328519545,-3.3468928501470683,1.0064333265970047,-3.3254988300752366,0.0008826047062092553,0.22007556478739476
CST3,93.74487836996583,-2.130588392948182,0.6441750975538041,-3.3074678003525686,0.0009414353416815052,0.2249638201893097
IRS2,2.489972192890239,-3.365159926652125,1.0374086789440082,-3.2438131615378087,0.0011794108215123023,0.2510853584720085
HNRNPH1,42.47526387456851,-1.8331744742458835,0.56705638674921,-3.2327904544996073,0.0012258744615895796,0.2510853584720085
VMP1,38.442823033458566,-1.3596588703752097,0.41864610889879383,-3.2477523174684575,0.001163204785524564,0.2510853584720085
GBP5,5.9963965950124445,1.776028880332068,0.5484040845622778,3.238540576789557,0.001201429296978707,0.2510853584720085
BAG3,34.426847849006215,-2.8700118342241416,0.8908073750996758,-3.221809691352191,0.0012738371453098723,0.2519122768397282
BORCS8,2.8765490378852614,-1.95756220620033,0.6176424896483746,-3.1694098754682094,0.0015274882155767602,0.28745412080221433
HSPA1A,748.7203720683401,-2.7656841344372958,0.8815036641889391,-3.1374618697495356,0.0017041743866216717,0.28745412080221433
JUND,88.53031143884861,-2.2753769098195487,0.7220877384604744,-3.1511086376715953,0.0016265197922892994,0.28745412080221433
HSPA13,20.48294913211422,-1.3302241654294946,0.4236105424179593,-3.1402055242454674,0.0016882934568566885,0.28745412080221433
ARPC2,102.4267311514168,1.012308687503495,0.32234305170049077,3.1404700121909093,0.0016867697536389137,0.28745412080221433
CETN2,8.517115930807266,-1.9995708008241568,0.6421756105839687,-3.1137445394505527,0.0018472935751962924,0.30269224725002103
TBC1D15,6.281127423619996,-1.7203748224486743,0.5646103215418853,-3.0470127038247026,0.002311279413246732,0.34882072197289493
ESR1,4.405575767965574,-2.183734608604885,0.7144124480986869,-3.0566861123663265,0.002237984979376265,0.34882072197289493
ARMT1,9.194878605888718,-2.4961225800524836,0.8189144540899216,-3.0480870957717827,0.002303031675089578,0.34882072197289493
SDHAF2,5.091162040867606,-2.004716451832577,0.660866604702116,-3.0334661148995385,0.0024176186037915045,0.35551391519857123
HSP90AA1,897.5317207146828,-2.2351398604358383,0.771078229389001,-2.898719968020565,0.0037468937793747573,0.3759805560484664
BAK1,5.360504404206033,1.5175396371870196,0.515374882409619,2.9445355002397684,0.00323439838716277,0.3759805560484664
CLK1,34.85170025503566,-1.2241858928646063,0.41536974344259825,-2.9472197053124596,0.00320645296420634,0.3759805560484664
MXI1,2.8763498053012513,-1.969109884027428,0.6705938112852932,-2.9363675162067704,0.0033208063445885755,0.3759805560484664
SLC5A3,18.95941429187439,-2.04095132468063,0.7086292280383182,-2.8801399151013682,0.003974987252791026,0.3759805560484664
ABHD5,9.767500557822704,-1.4138085495401813,0.48650568034324765,-2.906047363193555,0.0036602604029375356,0.3759805560484664
NDUFV2,60.92284642410653,0.8524961802873752,0.2876201277700133,2.9639656546187476,0.003037021812381231,0.3759805560484664
SGK1,16.91217112287937,-1.9558475501722932,0.6801835594174142,-2.8754701919692107,0.004034262355391584,0.3759805560484664
USB1,3.02259213790991,1.881071408942274,0.6569477257793344,2.863350210567769,0.004191869607683678,0.3759805560484664
RP11-1070N10.3,6.5801103103477026,1.6467877527064916,0.5718903582049778,2.879551524308524,0.003982412191342326,0.3759805560484664
TMEM64,2.781985282122839,-2.637992225364303,0.9153644946128172,-2.8819035923827547,0.003952806549416583,0.3759805560484664
ALG8,12.06230069364876,-1.4620422952020022,0.5024083309289862,-2.910067777933916,0.0036135038414717054,0.3759805560484664
CD82,3.6072793943928843,1.9874978893267867,0.6937302301923074,2.864943464804521,0.004170836983838308,0.3759805560484664
EVI2B,25.62727334471818,-1.8738346316729426,0.6365583858556952,-2.9436964044610545,0.003243179686280484,0.3759805560484664
PYCR2,6.314872428051502,-1.7222616503432797,0.6009864744849777,-2.8657244771093926,0.00416056181334733,0.3759805560484664
MXD1,8.84976544296848,-1.7880468933385383,0.6206104986598664,-2.881109644776571,0.003962777601612489,0.3759805560484664
HSPA1B,535.5592427620045,-2.6594839955929954,0.9150079586206845,-2.9065146051866,0.0036547983678585126,0.3759805560484664
COX6C,202.39782757905218,-1.8650696447130428,0.628613956433574,-2.9669555147875974,0.003007644719713837,0.3759805560484664
NXF1,4.733890750901744,-1.6790383676836094,0.5860868585787052,-2.86482855417604,0.0041723507147566,0.3759805560484664
FBP1,13.242606892515155,-2.356394309082024,0.8143340185715492,-2.8936459184346184,0.0038079730943458867,0.3759805560484664
PKM,37.187031502182904,1.1540878416371918,0.3963423914904008,2.9118455820417664,0.0035930021074369167,0.3759805560484664
MTRNR2L8,19.631375669095906,-2.441965300746507,0.8233242668326914,-2.9659824192243094,0.0030171773643106075,0.3759805560484664
RRP1B,4.892499962290362,1.7613514125558827,0.5980812438963672,2.9450035936272925,0.003229509118683163,0.3759805560484664
GTF2IRD2,2.2255727170504858,-2.2730100017104298,0.7702317921292965,-2.9510726834927454,0.003166723882656039,0.3759805560484664
HMGA1,22.925932964296194,1.1460845162291426,0.4003012077537577,2.8630553543924053,0.00419577255224095,0.3759805560484664
SERBP1,40.44385142801948,0.9534846922626529,0.33361026111583475,2.858079631823998,0.004262134163433206,0.37605137580445286
